# QuantImmuBench DS2 全工具指标 | NN=16 | sub_agg=max
# Spearman: 纯 numpy 实现(禁 scipy.stats); p-value via scipy.special.betainc
# pending_DTU_consent: 工具原始数据使用待 DTU 授权
Tool,Aggregation,Threshold,n_pep,n_pos,n_neg,AUC_ROC,AUPRC,Spearman_rho,Spearman_pval,pending_DTU_consent
DeepImmuno,max,>0,101,90,11,0.4813,0.8951,-0.1168,0.2449,False
DeepImmuno,max,>10,101,64,37,0.5188,0.6632,-0.1168,0.2449,False
DeepImmuno,max,>median,101,50,51,0.4535,0.4929,-0.1168,0.2449,False
DeepImmuno,mean,>0,101,90,11,0.5192,0.8871,-0.1494,0.136,False
DeepImmuno,mean,>10,101,64,37,0.4717,0.6209,-0.1494,0.136,False
DeepImmuno,mean,>median,101,50,51,0.4431,0.4757,-0.1494,0.136,False
DeepImmuno,top3mean,>0,101,90,11,0.499,0.9001,-0.1248,0.2139,False
DeepImmuno,top3mean,>10,101,64,37,0.5177,0.6572,-0.1248,0.2139,False
DeepImmuno,top3mean,>median,101,50,51,0.4439,0.4871,-0.1248,0.2139,False
PredIG,max,>0,101,90,11,0.6611,0.9411,0.1983,0.0468,False
PredIG,max,>10,101,64,37,0.5576,0.6771,0.1983,0.0468,False
PredIG,max,>median,101,50,51,0.5676,0.5619,0.1983,0.0468,False
PredIG,mean,>0,101,90,11,0.7495,0.9592,0.2797,0.0046,False
PredIG,mean,>10,101,64,37,0.6309,0.7221,0.2797,0.0046,False
PredIG,mean,>median,101,50,51,0.6145,0.5898,0.2797,0.0046,False
PredIG,top3mean,>0,101,90,11,0.6626,0.939,0.2042,0.0406,False
PredIG,top3mean,>10,101,64,37,0.5644,0.6922,0.2042,0.0406,False
PredIG,top3mean,>median,101,50,51,0.5712,0.5629,0.2042,0.0406,False
IMPROVE,max,>0,101,90,11,0.6207,0.9221,0.2434,0.0142,False
IMPROVE,max,>10,101,64,37,0.6556,0.7599,0.2434,0.0142,False
IMPROVE,max,>median,101,50,51,0.5982,0.6211,0.2434,0.0142,False
IMPROVE,mean,>0,101,90,11,0.6182,0.9184,0.2074,0.0374,False
IMPROVE,mean,>10,101,64,37,0.6149,0.7349,0.2074,0.0374,False
IMPROVE,mean,>median,101,50,51,0.6027,0.61,0.2074,0.0374,False
IMPROVE,top3mean,>0,101,90,11,0.6258,0.9212,0.3202,0.0011,False
IMPROVE,top3mean,>10,101,64,37,0.6805,0.7859,0.3202,0.0011,False
IMPROVE,top3mean,>median,101,50,51,0.6455,0.654,0.3202,0.0011,False
NeoTImmuML,max,>0,101,90,11,0.6551,0.9421,0.0218,0.8285,False
NeoTImmuML,max,>10,101,64,37,0.5046,0.6374,0.0218,0.8285,False
NeoTImmuML,max,>median,101,50,51,0.5173,0.5155,0.0218,0.8285,False
NeoTImmuML,mean,>0,101,90,11,0.5758,0.9251,0.0966,0.3365,False
NeoTImmuML,mean,>10,101,64,37,0.5503,0.6962,0.0966,0.3365,False
NeoTImmuML,mean,>median,101,50,51,0.5671,0.6096,0.0966,0.3365,False
NeoTImmuML,top3mean,>0,101,90,11,0.6551,0.9421,0.0218,0.8285,False
NeoTImmuML,top3mean,>10,101,64,37,0.5046,0.6374,0.0218,0.8285,False
NeoTImmuML,top3mean,>median,101,50,51,0.5173,0.5155,0.0218,0.8285,False
pTuneos,max,>0,101,90,11,0.7525,0.9494,0.1363,0.1741,False
pTuneos,max,>10,101,64,37,0.5796,0.6552,0.1363,0.1741,False
pTuneos,max,>median,101,50,51,0.5304,0.4936,0.1363,0.1741,False
pTuneos,mean,>0,101,90,11,0.7813,0.9683,0.0297,0.7679,False
pTuneos,mean,>10,101,64,37,0.5087,0.6358,0.0297,0.7679,False
pTuneos,mean,>median,101,50,51,0.4582,0.4471,0.0297,0.7679,False
pTuneos,top3mean,>0,101,90,11,0.7313,0.9497,0.097,0.3345,False
pTuneos,top3mean,>10,101,64,37,0.5631,0.65,0.097,0.3345,False
pTuneos,top3mean,>median,101,50,51,0.5108,0.4797,0.097,0.3345,False
PRIME,max,>0,100,89,11,0.5276,0.9146,0.1163,0.2491,False
PRIME,max,>10,100,63,37,0.5897,0.7041,0.1163,0.2491,False
PRIME,max,>median,100,50,50,0.5848,0.5674,0.1163,0.2491,False
PRIME,mean,>0,100,89,11,0.5414,0.8884,0.1637,0.1036,False
PRIME,mean,>10,100,63,37,0.5933,0.6977,0.1637,0.1036,False
PRIME,mean,>median,100,50,50,0.5892,0.5984,0.1637,0.1036,False
PRIME,top3mean,>0,100,89,11,0.549,0.9169,0.1682,0.0944,False
PRIME,top3mean,>10,100,63,37,0.6006,0.7375,0.1682,0.0944,False
PRIME,top3mean,>median,100,50,50,0.6042,0.6289,0.1682,0.0944,False
ImmuneApp,max,>0,101,90,11,0.5889,0.908,0.0885,0.3786,False
ImmuneApp,max,>10,101,64,37,0.5241,0.6496,0.0885,0.3786,False
ImmuneApp,max,>median,101,50,51,0.5188,0.5098,0.0885,0.3786,False
ImmuneApp,mean,>0,101,90,11,0.6444,0.9301,0.0434,0.6666,False
ImmuneApp,mean,>10,101,64,37,0.5207,0.6597,0.0434,0.6666,False
ImmuneApp,mean,>median,101,50,51,0.5149,0.5538,0.0434,0.6666,False
ImmuneApp,top3mean,>0,101,90,11,0.5384,0.8874,0.0533,0.5965,False
ImmuneApp,top3mean,>10,101,64,37,0.5198,0.6575,0.0533,0.5965,False
ImmuneApp,top3mean,>median,101,50,51,0.5406,0.5361,0.0533,0.5965,False
deepHLApan,max,>0,98,88,10,0.4188,0.9038,0.0415,0.6847,False
deepHLApan,max,>10,98,63,35,0.571,0.7133,0.0415,0.6847,False
deepHLApan,max,>median,98,49,49,0.5746,0.5765,0.0415,0.6847,False
deepHLApan,mean,>0,98,88,10,0.4398,0.8585,-0.0352,0.7309,False
deepHLApan,mean,>10,98,63,35,0.5161,0.6517,-0.0352,0.7309,False
deepHLApan,mean,>median,98,49,49,0.5514,0.5562,-0.0352,0.7309,False
deepHLApan,top3mean,>0,98,88,10,0.4261,0.9059,0.0475,0.6425,False
deepHLApan,top3mean,>10,98,63,35,0.5728,0.7098,0.0475,0.6425,False
deepHLApan,top3mean,>median,98,49,49,0.5758,0.5687,0.0475,0.6425,False
HLAthena,max,>0,100,89,11,0.5092,0.8903,0.0838,0.407,False
HLAthena,max,>10,100,63,37,0.5566,0.6666,0.0838,0.407,False
HLAthena,max,>median,100,50,50,0.557,0.5577,0.0838,0.407,False
HLAthena,mean,>0,100,89,11,0.5046,0.8958,0.1546,0.1245,False
HLAthena,mean,>10,100,63,37,0.5886,0.7396,0.1546,0.1245,False
HLAthena,mean,>median,100,50,50,0.5436,0.5827,0.1546,0.1245,False
HLAthena,top3mean,>0,100,89,11,0.4862,0.9001,0.1416,0.1601,False
HLAthena,top3mean,>10,100,63,37,0.5914,0.7361,0.1416,0.1601,False
HLAthena,top3mean,>median,100,50,50,0.5494,0.5875,0.1416,0.1601,False
BigMHC,max,>0,101,90,11,0.4864,0.8973,-0.0655,0.5152,False
BigMHC,max,>10,101,64,37,0.4918,0.6358,-0.0655,0.5152,False
BigMHC,max,>median,101,50,51,0.4475,0.4745,-0.0655,0.5152,False
BigMHC,mean,>0,101,90,11,0.5232,0.8998,-0.1037,0.3023,False
BigMHC,mean,>10,101,64,37,0.4873,0.6103,-0.1037,0.3023,False
BigMHC,mean,>median,101,50,51,0.4675,0.4715,-0.1037,0.3023,False
BigMHC,top3mean,>0,101,90,11,0.4581,0.8848,-0.0648,0.5194,False
BigMHC,top3mean,>10,101,64,37,0.4926,0.62,-0.0648,0.5194,False
BigMHC,top3mean,>median,101,50,51,0.458,0.4852,-0.0648,0.5194,False
CNNeo,max,>0,101,90,11,0.3975,0.8739,0.0837,0.4054,False
CNNeo,max,>10,101,64,37,0.5429,0.677,0.0837,0.4054,False
CNNeo,max,>median,101,50,51,0.5488,0.5788,0.0837,0.4054,False
CNNeo,mean,>0,101,90,11,0.4636,0.8843,-0.137,0.1719,False
CNNeo,mean,>10,101,64,37,0.5017,0.6841,-0.137,0.1719,False
CNNeo,mean,>median,101,50,51,0.4796,0.5598,-0.137,0.1719,False
CNNeo,top3mean,>0,101,90,11,0.3924,0.8728,0.0706,0.4831,False
CNNeo,top3mean,>10,101,64,37,0.541,0.6759,0.0706,0.4831,False
CNNeo,top3mean,>median,101,50,51,0.5429,0.5753,0.0706,0.4831,False
IEDB_Calis,max,>0,101,90,11,0.5273,0.8769,0.0976,0.3315,False
IEDB_Calis,max,>10,101,64,37,0.5401,0.6712,0.0976,0.3315,False
IEDB_Calis,max,>median,101,50,51,0.5916,0.5628,0.0976,0.3315,False
IEDB_Calis,mean,>0,101,90,11,0.4798,0.8733,0.002,0.9844,False
IEDB_Calis,mean,>10,101,64,37,0.5291,0.6522,0.002,0.9844,False
IEDB_Calis,mean,>median,101,50,51,0.558,0.5356,0.002,0.9844,False
IEDB_Calis,top3mean,>0,101,90,11,0.5263,0.8742,0.0962,0.3386,False
IEDB_Calis,top3mean,>10,101,64,37,0.5427,0.6681,0.0962,0.3386,False
IEDB_Calis,top3mean,>median,101,50,51,0.5935,0.5634,0.0962,0.3386,False
MHCflurry_presentation,max,>0,101,90,11,0.5146,0.8977,0.1124,0.2631,False
MHCflurry_presentation,max,>10,101,64,37,0.5851,0.6954,0.1124,0.2631,False
MHCflurry_presentation,max,>median,101,50,51,0.5531,0.5622,0.1124,0.2631,False
MHCflurry_presentation,mean,>0,101,90,11,0.5071,0.8784,0.1382,0.1682,False
MHCflurry_presentation,mean,>10,101,64,37,0.6094,0.7117,0.1382,0.1682,False
MHCflurry_presentation,mean,>median,101,50,51,0.5753,0.5763,0.1382,0.1682,False
MHCflurry_presentation,top3mean,>0,101,90,11,0.497,0.9034,0.1748,0.0805,False
MHCflurry_presentation,top3mean,>10,101,64,37,0.636,0.7657,0.1748,0.0805,False
MHCflurry_presentation,top3mean,>median,101,50,51,0.5853,0.6013,0.1748,0.0805,False
MHCflurry_affinity_neg,max,>0,101,90,11,0.4854,0.9006,0.1153,0.2507,False
MHCflurry_affinity_neg,max,>10,101,64,37,0.5804,0.6749,0.1153,0.2507,False
MHCflurry_affinity_neg,max,>median,101,50,51,0.5833,0.5789,0.1153,0.2507,False
MHCflurry_affinity_neg,mean,>0,101,90,11,0.4616,0.8934,-0.2671,0.0069,False
MHCflurry_affinity_neg,mean,>10,101,64,37,0.44,0.6006,-0.2671,0.0069,False
MHCflurry_affinity_neg,mean,>median,101,50,51,0.3918,0.4533,-0.2671,0.0069,False
MHCflurry_affinity_neg,top3mean,>0,101,90,11,0.4848,0.9053,0.2387,0.0162,False
MHCflurry_affinity_neg,top3mean,>10,101,64,37,0.6639,0.7901,0.2387,0.0162,False
MHCflurry_affinity_neg,top3mean,>median,101,50,51,0.6241,0.6741,0.2387,0.0162,False
Repitope,max,>0,101,90,11,0.6197,0.9295,0.0835,0.4062,False
Repitope,max,>10,101,64,37,0.5652,0.6741,0.0835,0.4062,False
Repitope,max,>median,101,50,51,0.5124,0.5181,0.0835,0.4062,False
Repitope,mean,>0,101,90,11,0.6323,0.9338,0.0847,0.3994,False
Repitope,mean,>10,101,64,37,0.5676,0.6576,0.0847,0.3994,False
Repitope,mean,>median,101,50,51,0.5263,0.5054,0.0847,0.3994,False
Repitope,top3mean,>0,101,90,11,0.6197,0.9295,0.0835,0.4062,False
Repitope,top3mean,>10,101,64,37,0.5652,0.6741,0.0835,0.4062,False
Repitope,top3mean,>median,101,50,51,0.5124,0.5181,0.0835,0.4062,False
netmhcpan_ba,max,>0,101,90,11,0.4732,0.9145,0.0884,0.3796,True
netmhcpan_ba,max,>10,101,64,37,0.5589,0.6665,0.0884,0.3796,True
netmhcpan_ba,max,>median,101,50,51,0.5675,0.5719,0.0884,0.3796,True
netmhcpan_ba,mean,>0,101,90,11,0.5727,0.9171,0.3493,0.0003,True
netmhcpan_ba,mean,>10,101,64,37,0.7023,0.7631,0.3493,0.0003,True
netmhcpan_ba,mean,>median,101,50,51,0.6522,0.6095,0.3493,0.0003,True
netmhcpan_ba,top3mean,>0,101,90,11,0.4611,0.9022,0.1017,0.3113,True
netmhcpan_ba,top3mean,>10,101,64,37,0.5766,0.6859,0.1017,0.3113,True
netmhcpan_ba,top3mean,>median,101,50,51,0.5655,0.5852,0.1017,0.3113,True
TSCAPE,max,>0,101,90,11,0.4419,0.8792,-0.1352,0.1778,False
TSCAPE,max,>10,101,64,37,0.488,0.6354,-0.1352,0.1778,False
TSCAPE,max,>median,101,50,51,0.4639,0.4835,-0.1352,0.1778,False
TSCAPE,mean,>0,101,90,11,0.4485,0.9093,-0.184,0.0655,False
TSCAPE,mean,>10,101,64,37,0.4219,0.605,-0.184,0.0655,False
TSCAPE,mean,>median,101,50,51,0.4416,0.486,-0.184,0.0655,False
TSCAPE,top3mean,>0,101,90,11,0.4116,0.8636,-0.1588,0.1128,False
TSCAPE,top3mean,>10,101,64,37,0.4717,0.6234,-0.1588,0.1128,False
TSCAPE,top3mean,>median,101,50,51,0.4547,0.4808,-0.1588,0.1128,False
