Tool,n_patients,rho_global,fisherz_weighted,fisherz_ci_lo,fisherz_ci_hi,fisherz_n_used,fisherz_n_dropped,median,simple_mean,hs_weighted,geometric_mean,power_mean_p2,uwls3,rho_min,rho_max,rho_std,rho_p101,n_p101,rho_p102,n_p102,rho_p104,n_p104,rho_p105,n_p105,rho_p106,n_p106,rho_p107,n_p107,rho_p108,n_p108,rho_p109,n_p109,rho_p110,n_p110
DeepImmuno,9,-0.1168,0.0127,-0.2157,0.2398,9,0,-0.05,0.0267,0.017,-0.0042,0.058,0.0172,-0.3297,0.5088,0.2713,-0.05,9,0.1429,6,0.3234,14,-0.1676,16,-0.3297,13,0.119,8,0.5088,12,-0.227,10,-0.0798,13
PredIG,9,0.1983,0.23,-0.0015,0.4382,9,0,0.2912,0.2043,0.2178,0.1408,0.2499,0.2242,-0.5394,0.6103,0.3547,0.6103,9,0.0286,6,0.1716,14,0.4206,16,0.2912,13,0.4762,8,-0.063,12,-0.5394,10,0.4429,13
IMPROVE,9,0.2434,0.2499,0.0205,0.4543,9,0,0.2684,0.2129,0.2371,0.1793,0.2444,0.239,-0.1905,0.5429,0.2953,0.0509,9,0.5429,6,0.2684,14,0.5125,16,0.5055,13,-0.1905,8,-0.1228,12,-0.0554,10,0.4044,13
NeoTImmuML,9,0.0218,0.0328,-0.194,0.2562,9,0,0.0578,0.0357,0.0335,0.0189,0.052,0.0338,-0.2845,0.3497,0.1952,-0.2845,9,0.2571,6,-0.0352,14,0.0706,16,-0.022,13,-0.1667,8,0.0947,12,0.3497,10,0.0578,13
pTuneos,9,0.1363,0.1696,-0.063,0.3846,9,0,0.1592,0.1998,0.1731,0.1521,0.2458,0.1829,-0.3159,0.765,0.3556,0.2039,9,0.765,6,0.3866,14,-0.1808,16,0.6528,13,0.0982,8,0.0294,12,-0.3159,10,0.1592,13
PRIME,9,0.1163,0.253,0.0203,0.4598,9,0,0.3859,0.1598,0.2225,0.1055,0.2082,0.2239,-0.3333,0.5259,0.3589,-0.1356,9,-0.1,5,0.5259,14,0.3859,16,0.4396,13,-0.3333,8,-0.2702,12,0.4724,10,0.4539,13
ImmuneApp,9,0.0885,0.1732,-0.0603,0.3887,9,0,0.1865,0.1805,0.1716,0.1311,0.2273,0.1773,-0.2455,0.6118,0.3561,0.6118,9,0.3719,6,-0.2419,14,0.5931,16,0.1865,13,-0.2455,8,-0.0673,12,0.523,10,-0.1074,13
deepHLApan,9,0.0415,0.2605,0.0228,0.4702,9,0,0.4017,0.2253,0.2369,0.1414,0.2993,0.2565,-0.4286,0.8117,0.4584,0.8117,9,-0.4286,6,-0.0882,14,0.5357,15,0.4017,13,0.4286,8,-0.1455,11,0.7576,10,-0.2456,12
HLAthena,9,0.0838,-0.0076,-0.238,0.2235,9,0,0.0088,-0.0889,-0.0283,-0.2059,-0.0096,-0.0373,-0.8,0.5,0.4117,0.1526,9,-0.8,5,0.0088,14,-0.2962,16,0.5,13,-0.5476,8,-0.193,12,0.0923,10,0.2834,13
BigMHC,9,-0.0655,-0.0433,-0.2683,0.1861,9,0,0.0,-0.0513,-0.0451,-0.1088,-0.0049,-0.0463,-0.619,0.4286,0.3186,0.0,9,0.4286,6,0.0286,14,0.2903,16,-0.3901,13,-0.619,8,-0.1366,12,-0.1043,10,0.0413,13
CNNeo,9,0.0837,-0.1581,-0.3729,0.0727,9,0,-0.1857,-0.1153,-0.1445,-0.1546,-0.0736,-0.1452,-0.4867,0.3892,0.2913,-0.2308,9,0.3143,6,-0.2932,14,-0.1857,16,-0.1302,13,-0.3395,8,-0.4867,12,0.3892,10,-0.0748,13
IEDB_Calis,9,0.0976,0.1124,-0.1205,0.3336,9,0,0.0476,0.2049,0.1262,0.1425,0.2689,0.1535,-0.3454,0.8857,0.4219,0.8333,9,0.8857,6,-0.3454,14,0.0383,16,-0.0824,13,0.0476,8,0.2767,12,0.3171,10,-0.1264,13
MHCflurry_presentation,9,0.1124,0.1498,-0.0812,0.3656,9,0,0.2543,0.1686,0.1529,0.1324,0.2038,0.1577,-0.2143,0.7143,0.3066,0.2543,9,0.7143,6,-0.1012,14,0.2992,16,0.3956,13,-0.2143,8,-0.214,12,0.1169,10,0.2669,13
MHCflurry_affinity_neg,9,0.1153,0.2027,-0.0283,0.4132,9,0,0.2571,0.1605,0.189,0.1261,0.1916,0.1898,-0.3221,0.5254,0.2865,-0.3221,9,0.2571,6,0.0308,14,0.4112,16,0.4341,13,-0.0476,8,-0.1088,12,0.2646,10,0.5254,13
Repitope,9,0.0835,0.1193,-0.112,0.3383,9,0,0.1429,0.1567,0.1269,0.1186,0.1937,0.1334,-0.3262,0.7381,0.3129,0.2833,9,0.1429,6,0.0352,14,-0.1046,16,-0.044,13,0.7381,8,0.3853,12,-0.3262,10,0.2999,13
netmhcpan_ba,9,0.0884,0.1674,-0.0662,0.3835,9,0,0.1429,0.1219,0.1511,0.0645,0.1715,0.1539,-0.4246,0.5461,0.3577,-0.1187,9,0.1429,6,0.0528,14,0.3387,16,0.5385,13,-0.3333,8,-0.4246,12,0.5461,10,0.3549,13
TSCAPE,9,-0.1352,0.0005,-0.2258,0.2267,9,0,0.0246,-0.0129,-0.0028,-0.0309,0.0051,-0.004,-0.2692,0.3579,0.201,0.0678,9,0.1429,6,0.0484,14,0.3579,16,-0.2692,13,-0.119,8,0.0246,12,-0.2675,10,-0.1018,13
