HLA-A01-01	HLA-A01:01
HLA-A02-01	HLA-A02:01
HLA-A02-03	HLA-A02:03
HLA-A02-05	HLA-A02:05
HLA-A02-06	HLA-A02:06
HLA-A02-07	HLA-A02:07
HLA-A02-08	HLA-A02:08
HLA-A03-01	HLA-A03:01
HLA-A24-02	HLA-A24:02
HLA-A25-01	HLA-A25:01
HLA-A30-01	HLA-A30:01
HLA-A31-01	HLA-A31:01
HLA-A32-01	HLA-A32:01
HLA-A66-01	HLA-A66:01
HLA-A66-02	HLA-A66:02
HLA-A66-04	HLA-A66:04
HLA-A66-05	HLA-A66:05
HLA-A66-06	HLA-A66:06
HLA-A66-07	HLA-A66:07
HLA-A66-08	HLA-A66:08
HLA-A66-09	HLA-A66:09
HLA-A66-10	HLA-A66:10
HLA-B07-02	HLA-B07:02
HLA-B08-01	HLA-B08:01
HLA-B13-02	HLA-B13:02
HLA-B15-01	HLA-B15:01
HLA-B15-11	HLA-B15:11
HLA-B18-01	HLA-B18:01
HLA-B27-05	HLA-B27:05
HLA-B27-06	HLA-B27:06
HLA-B35-03	HLA-B35:03
HLA-B35-05	HLA-B35:05
HLA-B35-07	HLA-B35:07
HLA-B35-08	HLA-B35:08
HLA-B35-09	HLA-B35:09
HLA-B35-10	HLA-B35:10
HLA-B38-01	HLA-B38:01
HLA-B38-03	HLA-B38:03
HLA-B38-05	HLA-B38:05
HLA-B38-06	HLA-B38:06
HLA-B38-07	HLA-B38:07
HLA-B38-08	HLA-B38:08
HLA-B40-01	HLA-B40:01
HLA-B40-06	HLA-B40:06
HLA-B44-02	HLA-B44:02
HLA-B55-01	HLA-B55:01
HLA-B57-01	HLA-B57:01
HLA-C02-02	HLA-C02:02
HLA-C03-03	HLA-C03:03
HLA-C03-04	HLA-C03:04
HLA-C04-01	HLA-C04:01
HLA-C05-01	HLA-C05:01
HLA-C06-02	HLA-C06:02
HLA-C06-03	HLA-C06:03
HLA-C06-05	HLA-C06:05
HLA-C06-06	HLA-C06:06
HLA-C06-07	HLA-C06:07
HLA-C06-08	HLA-C06:08
HLA-C06-09	HLA-C06:09
HLA-C06-10	HLA-C06:10
HLA-C06-11	HLA-C06:11
HLA-C07-01	HLA-C07:01
HLA-C07-02	HLA-C07:02
HLA-C08-01	HLA-C08:01
HLA-C12-03	HLA-C12:03
