bb_idx,nettepi_Comb,nettepi_Rank,nettepi_score,pending_DTU_consent
0,0.048,50.0,0.048,True
1,0.515,0.4,0.515,True
2,0.07,32.0,0.07,True
3,0.13,10.0,0.13,True
4,,,,True
5,,,,True
6,0.093,15.0,0.093,True
7,0.61,0.12,0.61,True
8,0.06,50.0,0.06,True
9,0.396,1.5,0.396,True
10,,,,True
11,,,,True
12,0.096,15.0,0.096,True
13,0.649,0.07,0.649,True
14,0.088,15.0,0.088,True
15,0.202,5.0,0.202,True
16,,,,True
17,,,,True
18,0.018,50.0,0.018,True
19,0.208,4.0,0.208,True
20,0.023,50.0,0.023,True
21,0.055,50.0,0.055,True
22,,,,True
23,,,,True
24,0.013,50.0,0.013,True
25,0.036,50.0,0.036,True
26,0.019,50.0,0.019,True
27,0.209,5.0,0.209,True
28,,,,True
29,,,,True
30,0.093,15.0,0.093,True
31,0.052,50.0,0.052,True
32,0.095,15.0,0.095,True
33,0.051,50.0,0.051,True
34,,,,True
35,,,,True
36,0.157,7.0,0.157,True
37,0.078,20.0,0.078,True
38,0.187,4.0,0.187,True
39,0.699,0.03,0.699,True
40,,,,True
41,,,,True
42,0.049,50.0,0.049,True
43,0.054,50.0,0.054,True
44,0.443,1.5,0.443,True
45,0.083,32.0,0.083,True
46,,,,True
47,,,,True
48,0.014,50.0,0.014,True
49,0.122,10.0,0.122,True
50,0.035,50.0,0.035,True
51,0.548,0.4,0.548,True
52,,,,True
53,,,,True
54,0.102,15.0,0.102,True
55,0.058,50.0,0.058,True
56,0.644,0.4,0.644,True
57,0.116,15.0,0.116,True
58,,,,True
59,,,,True
60,0.159,6.0,0.159,True
61,0.125,9.0,0.125,True
62,0.113,9.0,0.113,True
63,0.123,15.0,0.123,True
64,,,,True
65,,,,True
66,0.402,1.0,0.402,True
67,0.04,50.0,0.04,True
68,0.062,32.0,0.062,True
69,0.055,50.0,0.055,True
70,,,,True
71,,,,True
72,0.633,0.12,0.633,True
73,0.063,32.0,0.063,True
74,0.08,20.0,0.08,True
75,0.132,10.0,0.132,True
76,,,,True
77,,,,True
78,0.064,50.0,0.064,True
79,0.444,0.8,0.444,True
80,,,,True
81,0.334,4.0,0.334,True
82,0.052,32.0,0.052,True
83,,,,True
84,0.573,0.4,0.573,True
85,0.198,5.0,0.198,True
86,,,,True
87,0.04,50.0,0.04,True
88,0.26,3.0,0.26,True
89,,,,True
90,0.092,32.0,0.092,True
91,0.373,1.5,0.373,True
92,,,,True
93,0.573,0.4,0.573,True
94,0.02,50.0,0.02,True
95,,,,True
96,0.492,1.0,0.492,True
97,0.025,50.0,0.025,True
98,,,,True
99,0.45,1.5,0.45,True
100,0.119,10.0,0.119,True
101,,,,True
102,0.18,10.0,0.18,True
103,0.392,1.0,0.392,True
104,,,,True
105,0.665,0.05,0.665,True
106,0.192,5.0,0.192,True
107,,,,True
108,0.575,0.4,0.575,True
109,0.181,5.0,0.181,True
110,,,,True
111,0.066,50.0,0.066,True
112,0.423,0.8,0.423,True
113,,,,True
114,0.373,3.0,0.373,True
115,0.614,0.15,0.614,True
116,,,,True
117,0.636,0.12,0.636,True
118,0.019,50.0,0.019,True
119,,,,True
120,0.218,8.0,0.218,True
121,0.525,0.4,0.525,True
122,,,,True
123,,,,True
124,0.774,0.01,0.774,True
125,,,,True
126,,,,True
127,,,,True
128,,,,True
129,,,,True
130,0.557,0.25,0.557,True
131,,,,True
132,,,,True
133,,,,True
134,,,,True
135,,,,True
136,0.043,50.0,0.043,True
137,,,,True
138,,,,True
139,,,,True
140,,,,True
141,,,,True
142,-0.03,50.0,-0.03,True
143,,,,True
144,,,,True
145,,,,True
146,,,,True
147,,,,True
148,0.042,50.0,0.042,True
149,,,,True
150,,,,True
151,,,,True
152,,,,True
153,,,,True
154,0.079,20.0,0.079,True
155,,,,True
156,,,,True
157,,,,True
158,,,,True
159,,,,True
160,0.044,50.0,0.044,True
161,,,,True
162,,,,True
163,,,,True
164,,,,True
165,,,,True
166,-0.002,50.0,-0.002,True
167,,,,True
168,,,,True
169,,,,True
170,,,,True
171,0.109,20.0,0.109,True
172,,,,True
173,,,,True
174,,,,True
175,0.469,3.0,0.469,True
176,,,,True
177,,,,True
178,,,,True
179,0.224,9.0,0.224,True
