bb_idx,MT_TSCAPE
0,0.145716
1,0.436341
2,0.283220
3,0.322431
4,0.053327
5,0.063741
6,0.163203
7,0.312854
8,0.283937
9,0.272136
10,0.054697
11,0.048688
12,0.217953
13,0.508419
14,0.286072
15,0.300982
16,0.057232
17,0.072889
18,0.213983
19,0.312968
20,0.368947
21,0.327375
22,0.066877
23,0.060360
24,0.158183
25,0.315313
26,0.323238
27,0.354193
28,0.063646
29,0.082195
30,0.178461
31,0.393646
32,0.314198
33,0.362964
34,0.083703
35,0.095697
36,0.188382
37,0.314930
38,0.250256
39,0.358747
40,0.046083
41,0.065555
42,0.188381
43,0.264123
44,0.266836
45,0.329537
46,0.040851
47,0.045402
48,0.121567
49,0.398104
50,0.193578
51,0.225952
52,0.036828
53,0.048867
54,0.209639
55,0.435953
56,0.362870
57,0.334560
58,0.062469
59,0.056808
60,0.160697
61,0.374901
62,0.325113
63,0.323520
64,0.065491
65,0.070458
66,0.529730
67,0.573339
68,0.512287
69,0.643405
70,0.162146
71,0.168712
72,0.353395
73,0.554238
74,0.509991
75,0.597787
76,0.126224
77,0.123927
78,0.056371
79,0.212895
80,0.110223
81,0.020227
82,0.042562
83,0.034519
84,0.057343
85,0.215498
86,0.110488
87,0.066949
88,0.286067
89,0.167672
90,0.080790
91,0.358152
92,0.186510
93,0.081330
94,0.291756
95,0.213415
96,0.038220
97,0.146066
98,0.094976
99,0.079076
100,0.241240
101,0.143670
102,0.095616
103,0.322259
104,0.234504
105,0.084810
106,0.350920
107,0.160603
108,0.028258
109,0.100984
110,0.067164
111,0.074622
112,0.305605
113,0.162738
114,0.049118
115,0.119058
116,0.076262
117,0.051745
118,0.100616
119,0.073444
120,0.076634
121,0.339884
122,0.195386
123,0.465534
124,0.316928
125,0.139769
126,0.232114
127,0.390885
128,0.114828
129,0.437951
130,0.249927
131,0.096567
132,0.149310
133,0.280361
134,0.089228
135,0.503158
136,0.329047
137,0.129677
138,0.284271
139,0.394426
140,0.098366
141,0.220368
142,0.119014
143,0.047791
144,0.134499
145,0.148831
146,0.047729
147,0.336976
148,0.135314
149,0.100385
150,0.182320
151,0.283493
152,0.080529
153,0.266226
154,0.145058
155,0.063628
156,0.131857
157,0.171420
158,0.048515
159,0.323195
160,0.138829
161,0.078642
162,0.266297
163,0.248222
164,0.081819
165,0.296790
166,0.208387
167,0.103825
168,0.229016
169,0.271164
170,0.098729
171,0.048805
172,0.049680
173,0.028238
174,0.048190
175,0.235631
176,0.121277
177,0.071461
178,0.083404
179,0.085894
180,0.086077
181,0.043771
182,0.068878
183,0.146345
184,0.112966
185,0.066372
186,0.104621
187,0.183993
188,0.114989
189,0.045331
190,0.084938
191,0.665239
192,0.374987
193,0.131164
194,0.358712
195,0.548389
196,0.380414
197,0.197548
198,0.272711
199,0.424966
200,0.180011
201,0.120571
202,0.240849
203,0.107697
204,0.112395
205,0.641007
206,0.305714
207,0.528816
208,0.285003
209,0.263138
210,0.245457
211,0.436178
212,0.216628
213,0.362596
214,0.330548
215,0.302688
216,0.242824
217,0.195421
218,0.183967
219,0.499790
220,0.270219
221,0.208179
222,0.150307
223,0.508918
224,0.333614
225,0.203773
226,0.194421
227,0.439129
228,0.350811
229,0.641011
230,0.395333
231,0.208477
232,0.229154
233,0.368991
234,0.066332
235,0.372685
236,0.298370
237,0.362454
238,0.044413
239,0.253289
240,0.180135
241,0.366912
242,0.052403
243,0.244614
244,0.215251
245,0.327448
246,0.059563
247,0.314416
248,0.218572
249,0.451299
250,0.054998
251,0.410853
252,0.223370
253,0.214726
254,0.053763
255,0.342508
256,0.189385
257,0.636697
258,0.129183
259,0.431696
260,0.360445
261,0.617771
317,0.617771
262,0.089607
318,0.089607
263,0.372743
319,0.372743
264,0.269004
320,0.269004
265,0.178514
266,0.031343
267,0.283572
268,0.140214
269,0.240261
270,0.050742
271,0.207290
272,0.149434
273,0.464070
274,0.055291
275,0.380346
276,0.298923
277,0.089292
278,0.025933
279,0.161229
280,0.095055
281,0.262058
282,0.059695
283,0.275245
284,0.242685
285,0.087364
286,0.032731
287,0.206218
288,0.100584
289,0.771555
290,0.160642
291,0.559847
292,0.435887
293,0.515033
294,0.068079
295,0.331635
296,0.219339
297,0.205296
298,0.044582
299,0.249748
300,0.154283
301,0.475661
302,0.100206
303,0.410108
304,0.247909
305,0.485991
306,0.125228
307,0.441236
308,0.288716
309,0.434392
310,0.092291
311,0.289206
312,0.240017
313,0.238945
314,0.044266
315,0.196288
316,0.122269
321,0.529968
322,0.106236
323,0.521561
324,0.352093
325,0.359894
1089,0.359894
1809,0.359894
326,0.309933
1090,0.309933
1810,0.309933
327,0.058038
328,0.062210
329,0.303829
1093,0.303829
1813,0.303829
330,0.271578
1094,0.271578
1814,0.271578
331,0.062478
332,0.037169
333,0.319549
1097,0.319549
1817,0.319549
334,0.333551
1098,0.333551
1818,0.333551
335,0.058652
336,0.044175
337,0.658386
1101,0.658386
1821,0.658386
338,0.473325
1102,0.473325
1822,0.473325
339,0.159532
340,0.154478
341,0.264781
1105,0.264781
1825,0.264781
342,0.227302
1106,0.227302
1826,0.227302
343,0.049410
344,0.042274
345,0.309649
1109,0.309649
1829,0.309649
346,0.291441
1110,0.291441
1830,0.291441
347,0.042070
348,0.029523
349,0.307498
1113,0.307498
1833,0.307498
350,0.280187
1114,0.280187
1834,0.280187
351,0.059902
352,0.033970
353,0.367976
1117,0.367976
1837,0.367976
354,0.304116
1118,0.304116
1838,0.304116
355,0.073135
356,0.056451
357,0.305536
1121,0.305536
1841,0.305536
358,0.171987
1122,0.171987
1842,0.171987
359,0.042390
360,0.039163
361,0.521134
1125,0.521134
1845,0.521134
362,0.420085
