bb_idx,MT_CNNeo,WT_CNNeo
325,0.172782,0.172782
326,0.894982,0.894982
327,0.852896,0.852896
328,0.913946,0.913946
329,0.175949,0.175949
330,0.894166,0.894166
331,0.852288,0.852288
332,0.906893,0.906893
333,0.157445,0.157445
334,0.896113,0.896113
335,0.854894,0.854894
336,0.921081,0.921081
337,0.174503,0.174503
338,0.904631,0.904631
339,0.864327,0.864327
340,0.913475,0.913475
341,0.164844,0.164844
342,0.896602,0.896602
343,0.855432,0.855432
344,0.895667,0.895667
345,0.185941,0.185941
346,0.903794,0.903794
347,0.862768,0.862768
348,0.907314,0.907314
349,0.225471,0.225471
350,0.921414,0.921414
351,0.884124,0.884124
352,0.923052,0.923052
353,0.155134,0.155134
354,0.88302,0.88302
355,0.841842,0.841842
356,0.914719,0.914719
357,0.19721,0.19721
358,0.908093,0.908093
359,0.868925,0.868925
360,0.916129,0.916129
361,0.181389,0.181389
362,0.909664,0.909664
363,0.869084,0.869084
364,0.906893,0.906893
365,0.191991,0.160412
366,0.915529,0.8995
367,0.875194,0.858553
368,0.902953,0.914719
369,0.193992,0.193992
370,0.914681,0.914681
371,0.874623,0.874623
372,0.909723,0.909723
373,0.160412,0.160412
374,0.8995,0.8995
375,0.858553,0.858553
376,0.914719,0.914719
377,0.191991,0.191991
378,0.915529,0.915529
379,0.875194,0.875194
380,0.902953,0.902953
381,0.174503,0.174503
382,0.904631,0.904631
383,0.864327,0.864327
384,0.913475,0.913475
385,0.155591,0.155591
386,0.892039,0.892039
387,0.850539,0.850539
388,0.919296,0.919296
389,0.172782,0.172782
390,0.894982,0.894982
391,0.852896,0.852896
392,0.913946,0.913946
393,0.175949,0.175949
394,0.894166,0.894166
395,0.852288,0.852288
396,0.906893,0.906893
397,0.157445,0.157445
398,0.896113,0.896113
399,0.854894,0.854894
400,0.921081,0.921081
401,0.174503,0.174503
402,0.904631,0.904631
403,0.864327,0.864327
404,0.913475,0.913475
405,0.164844,0.164844
406,0.896602,0.896602
407,0.855432,0.855432
408,0.895667,0.895667
409,0.185941,0.185941
410,0.903794,0.903794
411,0.862768,0.862768
412,0.907314,0.907314
413,0.225471,0.225471
414,0.921414,0.921414
415,0.884124,0.884124
416,0.923052,0.923052
417,0.155134,0.155134
418,0.88302,0.88302
419,0.841842,0.841842
420,0.914719,0.914719
421,0.19721,0.19721
422,0.908093,0.908093
423,0.868925,0.868925
424,0.916129,0.916129
425,0.181389,0.181389
426,0.909664,0.909664
427,0.869084,0.869084
428,0.906893,0.906893
429,0.191991,0.160412
430,0.915529,0.8995
431,0.875194,0.858553
432,0.902953,0.914719
433,0.193992,0.193992
434,0.914681,0.914681
435,0.874623,0.874623
436,0.909723,0.909723
437,0.160412,0.160412
438,0.8995,0.8995
439,0.858553,0.858553
440,0.914719,0.914719
441,0.191991,0.191991
442,0.915529,0.915529
443,0.875194,0.875194
444,0.902953,0.902953
445,0.174503,0.174503
446,0.904631,0.904631
447,0.864327,0.864327
448,0.913475,0.913475
449,0.172782,0.172782
450,0.894982,0.894982
451,0.852896,0.852896
452,0.913946,0.913946
453,0.175949,0.175949
454,0.894166,0.894166
455,0.852288,0.852288
456,0.906893,0.906893
457,0.157445,0.157445
458,0.896113,0.896113
459,0.854894,0.854894
460,0.921081,0.921081
461,0.174503,0.174503
462,0.904631,0.904631
463,0.864327,0.864327
464,0.913475,0.913475
465,0.164844,0.164844
466,0.896602,0.896602
467,0.855432,0.855432
468,0.895667,0.895667
469,0.185941,0.185941
470,0.903794,0.903794
471,0.862768,0.862768
472,0.907314,0.907314
473,0.225471,0.225471
474,0.921414,0.921414
475,0.884124,0.884124
476,0.923052,0.923052
477,0.155134,0.155134
478,0.88302,0.88302
479,0.841842,0.841842
480,0.914719,0.914719
481,0.19721,0.19721
482,0.908093,0.908093
483,0.868925,0.868925
484,0.916129,0.916129
485,0.181389,0.181389
486,0.909664,0.909664
487,0.869084,0.869084
488,0.906893,0.906893
489,0.191991,0.160412
490,0.915529,0.8995
491,0.875194,0.858553
492,0.902953,0.914719
493,0.193992,0.193992
494,0.914681,0.914681
495,0.874623,0.874623
496,0.909723,0.909723
497,0.160412,0.160412
498,0.8995,0.8995
499,0.858553,0.858553
