bb_idx,MT_ImmuneApp,WT_ImmuneApp
325,0.002169,0.002169
326,0.000347,0.000347
327,0.969833,0.969833
328,1e-06,1e-06
329,0.011988,0.011988
330,0.000307,0.000307
331,0.938867,0.938867
332,0.000179,0.000179
333,6.7e-05,6.7e-05
334,0.000175,0.000175
335,0.003266,0.003266
336,6e-06,6e-06
337,0.000315,0.110853
338,0.000818,1e-05
339,1.3e-05,3e-06
340,0.056704,1e-06
341,0.001012,0.008055
342,1.6e-05,1.1e-05
343,0.004274,0.000197
344,1e-06,8.3e-05
345,0.090608,0.001351
346,7e-06,0.003737
347,2.2e-05,0.000109
348,0.00023,6.9e-05
349,0.000808,0.999996
350,0.003685,1.0
351,0.00062,0.999712
352,0.000346,1.0
353,0.000116,0.00044
354,7e-06,1.2e-05
355,2.3e-05,1e-06
356,1.1e-05,2.5e-05
357,1.2e-05,0.000741
358,0.97303,0.000501
359,0.47232,0.000106
360,0.871158,0.000803
361,0.73729,0.063238
362,4.8e-05,0.999958
363,0.994843,0.12879
364,4e-06,3e-06
365,3e-06,0.000121
366,0.00021,0.0001
367,0.999999,0.222563
368,0.000391,0.013678
369,0.088019,0.088019
370,0.096142,0.096142
371,0.001069,0.001069
372,8e-06,8e-06
373,1e-06,1e-06
374,0.000631,0.000631
375,1e-06,1e-06
376,1e-06,1e-06
377,0.001168,0.001168
378,0.922702,0.922702
379,0.999571,0.999571
380,1e-05,1e-05
381,9e-06,9e-06
382,0.998909,0.998909
383,0.029002,0.029002
384,1e-06,1e-06
385,1e-06,1e-06
386,0.004343,0.004343
387,0.441563,0.441563
388,0.000408,0.000408
389,4e-06,4e-06
390,0.067522,0.067522
391,0.05774,0.05774
392,9e-06,9e-06
393,0.385687,0.385687
394,0.997539,0.997539
395,0.999997,0.999997
396,8e-06,8e-06
397,1e-05,0.03172
398,3.5e-05,9e-06
399,5e-06,1e-06
400,9e-06,1e-06
401,0.02057,0.003526
402,0.001374,1.2e-05
403,3e-06,5e-06
404,0.000279,2e-05
405,0.940771,0.00952
406,0.003886,0.909968
407,0.001799,0.000245
408,0.000127,3.4e-05
409,2e-06,6.9e-05
410,1.7e-05,6.6e-05
411,0.004865,0.006868
412,1e-06,0.378944
413,1.5e-05,8.9e-05
414,0.001409,4.7e-05
415,1.7e-05,0.005904
416,1.2e-05,1e-06
417,0.0,0.0
418,3.3e-05,0.690281
419,4e-06,1e-06
420,9e-06,1e-06
421,0.999975,0.999835
422,0.027108,0.948005
423,0.967221,1e-06
424,0.061671,0.070471
425,0.0,7e-06
426,0.813569,0.078778
427,0.999996,0.000158
428,0.000126,0.000493
429,0.000223,0.05033
430,0.000275,0.5817
431,0.755831,0.357174
432,2e-06,0.919487
433,0.0,0.0
434,0.73389,0.73389
435,1.4e-05,1.4e-05
436,1e-06,1e-06
437,3e-06,3e-06
438,0.001029,0.001029
439,2e-06,2e-06
440,1e-06,1e-06
441,0.001625,0.001625
442,0.000761,0.000761
443,7e-06,7e-06
444,1e-06,1e-06
445,1.9e-05,1.9e-05
446,2.6e-05,2.6e-05
447,0.160753,0.160753
448,0.000813,0.000813
449,5.9e-05,5.9e-05
450,6e-06,6e-06
451,0.000128,0.000128
452,4e-06,4e-06
453,6.5e-05,0.999403
454,0.998272,0.991441
455,0.999954,0.018479
456,0.000302,5.1e-05
457,5.5e-05,5.5e-05
458,0.000206,2e-05
459,1e-05,1.4e-05
460,4e-06,6e-06
461,0.581051,0.001441
462,3.5e-05,4.3e-05
463,6.4e-05,0.000437
464,1.8e-05,9e-06
465,0.0,0.0
466,3.2e-05,6.9e-05
467,1e-06,7e-06
468,0.000315,0.886607
469,4.2e-05,2e-06
470,1e-05,2.4e-05
471,4.6e-05,3e-06
472,1.1e-05,5e-06
473,1.9e-05,0.0
474,9e-06,0.000776
475,0.000266,4e-06
476,0.000143,0.999889
477,0.000401,2e-05
478,0.997398,0.948927
479,1e-05,1.2e-05
480,0.004228,0.000168
481,1e-06,3.2e-05
482,0.032981,0.032397
483,0.861891,0.998925
484,0.000217,0.001947
485,0.002167,0.000665
486,7.4e-05,0.771868
487,0.0002,0.000518
488,0.000139,0.000976
489,9e-06,0.0
490,0.000298,0.000107
491,1e-06,0.0
492,1e-06,3e-06
493,1.1e-05,1.1e-05
494,0.998369,0.998369
495,0.114843,0.114843
496,9.3e-05,9.3e-05
497,0.000162,0.000162
498,1.3e-05,1.3e-05
499,5.4e-05,5.4e-05
500,3e-06,3e-06
501,0.0,0.0
502,2.1e-05,2.1e-05
503,8e-06,8e-06
504,3e-06,3e-06
505,2e-06,4e-06
506,7e-05,2.6e-05
507,3e-06,0.0
508,1e-06,0.0
509,0.000243,0.003282
510,0.073555,0.003069
511,0.000323,1.3e-05
512,8e-06,0.006889
513,0.005375,0.000132
514,1.8e-05,2.4e-05
515,0.000217,0.000205
516,2.7e-05,9e-06
517,1e-06,1.5e-05
518,0.001132,1.8e-05
519,0.0,0.0
520,0.134003,0.077446
521,0.004317,0.90538
522,0.001822,4.9e-05
523,7.5e-05,0.041014
524,0.001698,5e-06
525,0.116632,8.7e-05
526,0.003272,9e-06
527,0.0,2e-06
528,0.000581,2.5e-05
529,8.6e-05,8.3e-05
530,0.73727,0.999433
531,0.026065,0.037018
532,0.007546,0.934757
533,1e-05,0.000449
534,0.074935,0.000201
535,1e-06,0.0
536,9.5e-05,5e-06
537,0.000358,0.002311
538,0.314723,0.174064
539,0.999712,0.999816
540,0.01049,0.007102
541,3e-06,0.0
542,0.000698,0.019557
543,3e-06,2e-06
544,0.0,1e-06
545,2e-05,4e-06
546,1.4e-05,9e-06
547,0.001473,3.9e-05
548,0.000106,1e-06
549,1e-06,1e-06
550,0.026416,0.026416
551,5.1e-05,5.1e-05
552,0.000268,0.000268
553,0.000609,0.000609
554,1.5e-05,1.5e-05
555,1e-06,1e-06
556,0.000398,0.000398
557,0.0,2.2e-05
558,1.8e-05,9e-06
559,0.0,0.0
560,7e-06,0.0
561,0.090524,0.776776
562,0.004943,0.000148
563,0.001055,7.8e-05
564,0.998369,6.3e-05
565,2.3e-05,1e-06
566,0.006384,0.995711
567,0.024634,0.984754
568,2.1e-05,0.46183
569,9.2e-05,0.997185
570,2e-05,7.2e-05
571,1.4e-05,4e-06
572,1.1e-05,2e-06
573,0.0,0.0
574,0.0,1.4e-05
575,1e-06,2e-06
576,1.3e-05,3.2e-05
577,0.003792,0.003417
578,0.003108,0.001065
579,2e-06,1.1e-05
580,6.2e-05,0.003399
581,2.1e-05,0.0
582,0.159679,0.125521
583,0.035375,2e-06
584,6e-06,0.000714
585,6e-06,1e-06
586,0.000143,1.2e-05
587,0.007242,4e-06
588,3e-06,4.4e-05
589,1e-06,0.0
590,0.048014,0.383845
591,0.999896,0.002449
592,3e-06,0.0012
593,1.4e-05,7e-06
594,0.000358,0.8996
595,2e-06,3e-06
596,1e-06,2e-06
597,0.001138,1e-05
598,0.004319,0.003837
599,0.000213,3.1e-05
600,8e-06,0.000323
601,0.039291,0.039291
602,0.999998,0.999998
603,0.999965,0.999965
604,0.009518,0.009518
605,2e-05,0.000409
606,1.8e-05,1e-06
607,0.0,0.0
608,0.134546,0.00026
609,0.000971,0.025568
610,0.009621,0.999305
611,0.999792,0.999778
612,0.780365,0.99975
613,0.000132,1.3e-05
614,0.000439,3.5e-05
615,0.02449,0.246882
616,0.007566,2.8e-05
617,0.24616,0.087222
618,1e-06,0.021714
619,3.8e-05,1.2e-05
620,0.00018,0.000769
621,0.0,0.0
622,8.4e-05,5.8e-05
623,1.1e-05,5e-06
624,8e-06,2e-06
625,3.2e-05,1e-06
626,0.004372,0.260077
627,0.999999,0.999944
628,0.004489,0.000406
629,6e-06,2.5e-05
630,1.3e-05,1.6e-05
631,0.000768,0.002075
632,2.4e-05,3e-06
633,0.0,0.0
634,0.000922,0.000152
635,3.2e-05,1.3e-05
636,0.000157,1.6e-05
637,9e-06,9.8e-05
638,0.000304,0.197045
639,0.000154,0.000645
640,1e-06,1e-05
641,0.000102,1e-06
642,0.002884,0.542331
643,4.3e-05,3e-06
644,0.000231,0.000763
645,0.000997,5e-06
646,2.5e-05,2e-06
647,0.000542,3.1e-05
648,0.000666,0.002103
649,4e-06,1e-06
650,9e-06,0.007995
651,0.071276,0.098425
652,7e-06,0.015077
653,0.971277,1.0
654,0.008563,0.034325
655,0.065328,0.000487
