bb_idx,MT_PRIME,WT_PRIME
325,0.000855,0.000855
326,0.000372,0.000372
327,0.001892,0.001892
328,0.000491,0.000491
329,0.000363,0.000363
330,0.000789,0.000789
331,0.000671,0.000671
332,0.005576,0.005576
333,0.000433,0.000433
334,0.000875,0.000875
335,0.000585,0.000585
336,0.000958,0.000958
337,0.001006,0.00057
338,0.000423,0.00042
339,0.000428,0.000424
340,0.000333,0.000329
341,0.000328,0.000449
342,0.000283,0.000365
343,0.000296,0.000369
344,0.000255,0.000425
345,0.000259,0.000318
346,0.00026,0.000362
347,0.000367,0.000454
348,0.000228,0.000232
349,0.000265,0.000301
350,0.000549,0.000864
351,0.000194,0.000226
352,0.000168,0.000319
353,0.000167,0.000217
354,0.000129,0.000147
355,0.000133,0.000146
356,0.000131,0.000127
357,0.00018,0.000166
358,0.000161,0.000165
359,0.001663,0.000571
360,0.000589,0.000412
361,0.000284,0.000283
362,0.000712,0.00581
363,0.000499,0.000443
364,0.000875,0.000732
365,0.00037,0.000379
366,0.002092,0.001
367,0.024331,0.003736
368,0.000593,0.000485
369,0.000932,0.000932
370,0.001259,0.001259
371,0.00107,0.00107
372,0.002833,0.002833
373,0.00113,0.00113
374,0.001067,0.001067
375,0.001313,0.001313
376,0.000489,0.000489
377,0.002103,0.002103
378,0.00126,0.00126
379,0.002271,0.002271
380,0.001971,0.001971
381,0.00053,0.00053
382,0.00041,0.00041
383,0.000531,0.000531
384,0.000196,0.000196
385,0.000458,0.000458
386,0.000422,0.000422
387,0.003229,0.003229
388,0.002716,0.002716
389,0.019732,0.019732
390,0.002789,0.002789
391,0.021945,0.021945
392,0.02123,0.02123
393,0.001531,0.001531
394,0.004441,0.004441
395,0.002575,0.002575
396,0.016344,0.016344
397,0.002683,0.001864
398,0.007216,0.005352
399,0.002195,0.00207
400,0.00398,0.002454
401,0.005043,0.00832
402,0.00107,0.001409
403,0.001085,0.001383
404,0.00084,0.001329
405,0.001285,0.001541
406,0.000638,0.000975
407,0.000867,0.001231
408,0.002598,0.00165
409,0.001605,0.001785
410,0.001753,0.002169
411,0.002042,0.00263
412,0.001316,0.002712
413,0.000509,0.000577
414,0.005316,0.009131
415,0.000542,0.000659
416,0.000271,0.000327
417,0.001215,0.002148
418,0.000368,0.000482
419,0.000958,0.001058
420,0.001121,0.001649
421,0.001435,0.001084
422,0.005654,0.008695
423,0.039077,0.005807
424,0.008693,0.004894
425,0.001271,0.001268
426,0.008071,0.091237
427,0.042045,0.039701
428,0.001842,0.001073
429,0.001866,0.002605
430,0.00338,0.00233
431,0.002653,0.001968
432,0.009754,0.00756
433,0.004622,0.004622
434,0.035226,0.035226
435,0.011732,0.011732
436,0.014502,0.014502
437,0.054212,0.054212
438,0.005516,0.005516
439,0.005129,0.005129
440,0.00658,0.00658
441,0.002679,0.002679
442,0.005044,0.005044
443,0.004978,0.004978
444,0.004293,0.004293
445,0.005504,0.005504
446,0.001557,0.001557
447,0.005087,0.005087
448,0.007819,0.007819
449,0.005038,0.005038
450,0.001828,0.001828
451,0.010778,0.010778
452,0.003303,0.003303
453,0.003709,0.002226
454,0.003942,0.003308
455,0.003377,0.002718
456,0.008624,0.004463
457,0.001182,0.001484
458,0.003066,0.004529
459,0.001578,0.001893
460,0.000974,0.001338
461,0.002391,0.002498
462,0.000758,0.001225
463,0.000954,0.001158
464,0.000843,0.000847
465,0.001063,0.001299
466,0.000965,0.001164
467,0.001019,0.001255
468,0.003039,0.004073
469,0.000499,0.000591
470,0.000804,0.000989
471,0.001112,0.001385
472,0.000299,0.000398
473,0.000614,0.000712
474,0.004067,0.008836
475,0.001475,0.00269
476,0.000396,0.000565
477,0.001834,0.004176
478,0.002646,0.004654
479,0.001107,0.001391
480,0.001051,0.001593
481,0.001213,0.000975
482,0.002762,0.004586
483,0.210544,0.115174
484,0.000868,0.000642
485,0.001686,0.001626
486,0.002142,0.01113
487,0.002193,0.002082
488,0.002571,0.00188
489,0.001592,0.002051
490,0.005047,0.002519
491,0.007177,0.002725
492,0.002141,0.002133
493,0.025032,0.025032
494,0.021351,0.021351
495,0.007039,0.007039
496,0.009485,0.009485
497,0.005177,0.005177
498,0.002515,0.002515
499,0.002518,0.002518
500,0.001434,0.001434
501,0.002599,0.002599
502,0.005692,0.005692
503,0.034557,0.034557
504,0.004219,0.004219
505,0.013204,0.008749
506,0.001749,0.001639
507,0.01078,0.008795
508,0.00234,0.001685
509,0.001634,0.001684
510,0.001907,0.002513
511,0.001947,0.002168
512,0.002273,0.002652
513,0.000804,0.000979
514,0.001435,0.002622
515,0.001016,0.001219
516,0.001038,0.001107
517,0.00112,0.001448
518,0.000864,0.001015
519,0.001056,0.001179
520,0.000736,0.000978
521,0.00053,0.000616
522,0.00049,0.000585
523,0.000553,0.000686
524,0.001106,0.001317
525,0.000493,0.000601
526,0.000812,0.000982
527,0.004288,0.004642
528,0.000469,0.000616
529,0.000612,0.000759
530,0.027644,0.050997
531,0.001276,0.002174
532,0.000519,0.000708
533,0.000973,0.001494
534,0.001469,0.002144
535,0.007221,0.008501
536,0.000559,0.000699
537,0.00213,0.001294
538,0.000993,0.001201
539,0.008733,0.004379
540,0.001113,0.001041
541,0.001387,0.001346
542,0.00162,0.005916
543,0.001674,0.001583
544,0.001235,0.001046
545,0.001653,0.003188
546,0.003143,0.001867
547,0.002589,0.001574
548,0.002732,0.002654
549,0.001957,0.001957
550,0.004582,0.004582
551,0.002678,0.002678
552,0.002471,0.002471
553,0.002319,0.002319
554,0.002042,0.002042
555,0.004972,0.004972
556,0.002694,0.002694
557,0.000963,0.001003
558,0.000259,0.000319
559,0.000567,0.00069
560,0.000262,0.000297
561,0.000229,0.000242
562,0.000227,0.000294
563,0.00025,0.000273
564,0.000387,0.000433
565,0.000359,0.000398
566,0.000438,0.000488
567,0.000241,0.000258
568,0.000284,0.000338
569,0.000193,0.000196
570,0.000165,0.000178
571,0.000177,0.000192
572,0.000152,0.000169
573,0.000191,0.000204
574,0.000169,0.000183
575,0.000198,0.000213
576,0.000374,0.000409
577,0.000205,0.000236
578,0.000775,0.000998
579,0.000302,0.000375
580,0.000174,0.000196
581,0.000205,0.000231
582,0.002739,0.007571
583,0.00166,0.003719
584,0.00014,0.000155
585,0.000382,0.000545
586,0.000199,0.00022
587,0.000216,0.000243
588,0.000212,0.00022
589,0.000304,0.000248
590,0.000302,0.000374
591,0.001365,0.000609
592,0.000235,0.000233
593,0.000652,0.000615
594,0.000315,0.000607
595,0.000308,0.000309
596,0.000725,0.0005
597,0.000272,0.000276
598,0.000483,0.000313
599,0.000313,0.000276
600,0.00034,0.000339
601,0.000435,0.000435
602,0.000711,0.000711
603,0.001021,0.001021
604,0.001249,0.001249
605,0.000718,0.000601
606,0.000294,0.000417
607,0.000293,0.00032
608,0.000319,0.000328
609,0.000339,0.000343
610,0.000451,0.000422
611,0.000288,0.000325
612,0.000694,0.000852
613,0.000204,0.000225
614,0.000333,0.000406
615,0.000245,0.00026
616,0.000218,0.000249
617,0.000294,0.00029
618,0.000211,0.000226
619,0.000261,0.000289
620,0.000202,0.000228
621,0.000295,0.000364
622,0.000567,0.000666
623,0.000225,0.00025
624,0.000459,0.000494
625,0.000254,0.000296
626,0.000337,0.000372
627,0.002897,0.003788
628,0.000173,0.000192
629,0.000437,0.000619
630,0.000724,0.001426
631,0.000297,0.000355
632,0.000209,0.000237
633,0.000263,0.000325
634,0.00024,0.000268
635,0.000241,0.000268
636,0.000233,0.000235
637,0.002032,0.000851
638,0.000303,0.000309
639,0.00044,0.000342
640,0.000435,0.000384
641,0.000309,0.000311
642,0.000312,0.000383
643,0.000311,0.00031
644,0.000463,0.000365
645,0.000347,0.000353
646,0.000388,0.000357
647,0.000564,0.000384
648,0.000678,0.000657
649,0.001525,0.00179
650,0.000452,0.0005
651,0.000518,0.000591
652,0.000698,0.000835
653,0.000374,0.000402
654,0.000838,0.000991
655,0.000366,0.000412
656,0.000832,0.001
657,0.00033,0.000368
658,0.000409,0.000485
659,0.000697,0.000711
660,0.000496,0.000584
661,0.00062,0.000609
662,0.000618,0.00076
663,0.000421,0.000474
664,0.000374,0.000431
665,0.000544,0.000685
666,0.00066,0.000822
667,0.001118,0.001366
668,0.000485,0.00053
669,0.000495,0.000564
670,0.000514,0.000617
671,0.00061,0.000713
672,0.000381,0.00044
673,0.00086,0.001273
674,0.000872,0.001443
675,0.000464,0.000544
676,0.000324,0.000371
677,0.001411,0.00275
678,0.000443,0.000502
679,0.000447,0.000507
680,0.000588,0.00067
681,0.000519,0.00047
682,0.000463,0.000468
683,0.000978,0.000638
684,0.000574,0.000521
685,0.000614,0.000642
686,0.000647,0.000937
687,0.000614,0.000613
688,0.003207,0.001779
689,0.000657,0.000657
690,0.000967,0.000967
691,0.000703,0.000703
692,0.001409,0.001409
693,0.00038,0.00038
694,0.000602,0.000602
695,0.00044,0.00044
696,0.000343,0.000343
697,0.000396,0.000396
698,0.009804,0.009804
699,0.000459,0.000459
700,0.001695,0.001695
701,0.003208,0.003208
702,0.000346,0.000346
703,0.000368,0.000368
704,0.00023,0.00023
705,0.000345,0.000345
706,0.000227,0.000227
707,0.000636,0.000636
708,0.000243,0.000243
709,0.000441,0.000441
710,0.00023,0.00023
711,0.000369,0.000369
712,0.000468,0.000468
713,0.000176,0.000176
714,0.000417,0.000417
715,0.000426,0.000426
716,0.000275,0.000275
717,0.000259,0.000259
718,0.000232,0.000232
719,0.000301,0.000301
720,0.000888,0.000888
721,0.000215,0.000215
722,0.000207,0.000207
723,0.000297,0.000297
724,0.000128,0.000128
725,0.0002,0.0002
726,0.000312,0.000312
727,0.000815,0.000815
728,0.001786,0.001786
729,0.000401,0.000401
730,0.001408,0.001408
731,0.0009,0.0009
732,0.000538,0.000538
733,0.00035,0.00035
734,0.000328,0.000328
735,0.000281,0.000281
736,0.000217,0.000217
737,0.00027,0.000268
738,0.000271,0.000271
739,0.000567,0.000609
740,0.000526,0.000525
741,0.000272,0.000333
742,0.000843,0.001233
743,0.000398,0.000631
744,0.003234,0.008388
745,0.000256,0.000321
746,0.000865,0.001132
747,0.000249,0.00032
748,0.000262,0.00028
749,0.000209,0.000269
750,0.000203,0.000235
751,0.000195,0.000221
752,0.0002,0.000262
753,0.000237,0.000283
754,0.00047,0.00052
755,0.000229,0.000289
756,0.00043,0.00044
757,0.002305,0.002305
758,0.006675,0.006675
759,0.002913,0.002913
760,0.004736,0.004736
761,0.00163,0.00163
762,0.011968,0.011968
763,0.001441,0.001441
764,0.041603,0.041603
765,0.006014,0.006014
766,0.03427,0.03427
767,0.002309,0.002309
768,0.002423,0.002423
769,0.013113,0.013113
770,0.000855,0.000855
771,0.001147,0.001147
772,0.00052,0.00052
773,0.013051,0.013051
774,0.000621,0.000621
775,0.00448,0.00448
776,0.010605,0.010605
777,0.000746,0.000746
778,0.003049,0.003049
779,0.007358,0.007358
780,0.001991,0.001991
781,0.00173,0.00173
782,0.001053,0.001053
783,0.00091,0.00091
784,0.00541,0.00541
785,0.000562,0.000562
786,0.001005,0.001005
787,0.003246,0.003246
788,0.000526,0.000526
789,0.002261,0.002261
790,0.001054,0.001054
791,0.01971,0.01971
792,0.099555,0.099555
793,0.000943,0.000943
794,0.001934,0.001934
795,0.00149,0.00149
796,0.003399,0.003399
797,0.001166,0.001166
798,0.016068,0.016068
799,0.002865,0.002865
800,0.000602,0.000602
801,0.001195,0.00114
802,0.000972,0.001197
803,0.000716,0.00076
804,0.001427,0.001474
805,0.001294,0.001715
806,0.007111,0.009628
807,0.018953,0.056613
808,0.046794,0.085224
809,0.001257,0.001816
810,0.002493,0.003876
811,0.001257,0.001714
812,0.002865,0.00342
813,0.0006,0.000926
814,0.008707,0.012791
815,0.000722,0.00096
816,0.000786,0.001207
817,0.000777,0.000972
818,0.000522,0.000704
819,0.000449,0.000602
820,0.002555,0.004144
821,0.002541,0.002541
822,0.034682,0.034682
823,0.008019,0.008019
824,0.007569,0.007569
825,0.002106,0.002106
826,0.002465,0.002465
827,0.001469,0.001469
828,0.002239,0.002239
829,0.001081,0.001081
830,0.011891,0.011891
831,0.00116,0.00116
832,0.000608,0.000608
833,0.013641,0.013641
834,0.000639,0.000639
835,0.000989,0.000989
836,0.000654,0.000654
837,0.001511,0.001511
838,0.002179,0.002179
839,0.009961,0.009961
840,0.000831,0.000831
841,0.004331,0.004331
842,0.000778,0.000778
843,0.001973,0.001973
844,0.001233,0.001233
845,0.000582,0.000582
846,0.000922,0.000922
847,0.000748,0.000748
848,0.000347,0.000347
849,0.000621,0.000621
850,0.002059,0.002059
851,0.049612,0.049612
852,0.001147,0.001147
853,0.001156,0.001156
854,0.001818,0.001818
855,0.00236,0.00236
856,0.003981,0.003981
857,0.000767,0.000767
858,0.001496,0.001496
859,0.000973,0.000973
860,0.000723,0.000723
861,0.000791,0.00079
862,0.015641,0.012823
863,0.001722,0.001741
864,0.000697,0.00063
865,0.00249,0.0029
866,0.008188,0.010344
867,0.001416,0.002432
868,0.001874,0.0029
869,0.003062,0.004017
870,0.001654,0.002048
871,0.005173,0.00715
872,0.002116,0.002236
873,0.000702,0.000872
874,0.001159,0.00139
875,0.000964,0.001115
876,0.000539,0.000599
877,0.000669,0.00096
878,0.003936,0.005248
879,0.000968,0.001269
880,0.001323,0.001402
881,0.002396,0.002396
882,0.005374,0.005374
883,0.002515,0.002515
884,0.002874,0.002874
885,0.001036,0.001036
886,0.001111,0.001111
887,0.00085,0.00085
888,0.000702,0.000702
889,0.001032,0.001032
890,0.004523,0.004523
891,0.001108,0.001108
892,0.00117,0.00117
893,0.001404,0.001404
894,0.000954,0.000954
895,0.001051,0.001051
896,0.000575,0.000575
897,0.006637,0.006637
898,0.000656,0.000656
899,0.002875,0.002875
900,0.000945,0.000945
901,0.001166,0.001166
902,0.000735,0.000735
903,0.001524,0.001524
904,0.00039,0.00039
905,0.00053,0.00053
906,0.001096,0.001096
907,0.00397,0.00397
908,0.001282,0.001282
909,0.000756,0.000756
910,0.001456,0.001456
911,0.00632,0.00632
912,0.001029,0.001029
913,0.000715,0.000715
914,0.000994,0.000994
915,0.001204,0.001204
916,0.001144,0.001144
917,0.000596,0.000594
918,0.001319,0.001289
919,0.000712,0.000688
920,0.001085,0.000938
921,0.00078,0.000849
922,0.033288,0.038254
923,0.001969,0.002858
924,0.001249,0.001583
925,0.002735,0.003544
926,0.001358,0.001492
927,0.00089,0.000986
928,0.00098,0.001003
929,0.001163,0.001347
930,0.000858,0.000899
931,0.002163,0.002439
932,0.000751,0.000845
933,0.000642,0.000701
934,0.000922,0.000979
935,0.000849,0.000918
936,0.000929,0.000962
937,0.000282,0.000282
938,0.000365,0.000365
939,0.00025,0.00025
940,0.000248,0.000248
941,0.000307,0.000307
942,0.000243,0.000243
943,0.000216,0.000216
944,0.00027,0.00027
945,0.000215,0.000215
946,0.002927,0.002927
947,0.000233,0.000233
948,0.000283,0.000283
949,0.000364,0.000364
950,0.000179,0.000179
951,0.000183,0.000183
952,0.000186,0.000186
953,0.000229,0.000229
954,0.000169,0.000169
955,0.000327,0.000327
956,0.000144,0.000144
957,0.000278,0.000278
958,0.000217,0.000217
959,0.000818,0.000818
960,0.000232,0.000232
961,0.0002,0.0002
962,0.000231,0.000231
963,0.000214,0.000214
964,0.000248,0.000248
965,0.000181,0.000181
966,0.000283,0.000283
967,0.000341,0.000341
968,0.000163,0.000163
969,0.000188,0.000189
970,0.000205,0.000208
971,0.000233,0.000242
972,0.000494,0.000355
973,0.000177,0.00019
974,0.000923,0.001075
975,0.000188,0.000213
976,0.000377,0.000476
977,0.000268,0.000292
978,0.000835,0.000936
979,0.000279,0.000313
980,0.000207,0.00021
981,0.000205,0.000218
982,0.000195,0.000206
983,0.000176,0.00019
984,0.000168,0.000183
985,0.000359,0.000354
986,0.000188,0.0002
987,0.000302,0.000375
988,0.000246,0.000275
989,0.000388,0.000388
990,0.000541,0.000541
991,0.00042,0.00042
992,0.00039,0.00039
993,0.000215,0.000215
994,0.000436,0.000436
995,0.000215,0.000215
996,0.0003,0.0003
997,0.000399,0.000399
998,0.000579,0.000579
999,0.000227,0.000227
1000,0.000277,0.000277
1001,0.000258,0.000258
1002,0.000199,0.000199
1003,0.000202,0.000202
1004,0.000148,0.000148
1005,0.000316,0.000316
1006,0.00024,0.00024
1007,0.001703,0.001703
1008,0.000232,0.000232
1009,0.000301,0.000301
1010,0.000229,0.000229
1011,0.000225,0.000225
1012,0.000255,0.000255
1013,0.000219,0.000219
1014,0.000224,0.000224
1015,0.000236,0.000236
1016,0.000183,0.000183
1017,0.000183,0.000183
1018,0.000354,0.000364
1019,0.000486,0.000393
1020,0.00024,0.000219
1021,0.000225,0.000244
1022,0.001088,0.001176
1023,0.000227,0.000274
1024,0.001424,0.002105
1025,0.000257,0.000271
1026,0.000324,0.00034
1027,0.000228,0.000246
1028,0.000297,0.000302
1029,0.000334,0.000381
1030,0.000533,0.000512
1031,0.000275,0.000296
1032,0.00018,0.000194
1033,0.000323,0.000301
1034,0.000219,0.000233
1035,0.000202,0.000213
1036,0.000246,0.000272
1037,0.000412,0.000412
1038,0.000968,0.000968
1039,0.000667,0.000667
1040,0.000952,0.000952
1041,0.000465,0.000465
1042,0.000411,0.000411
1043,0.000404,0.000404
1044,0.000518,0.000518
1045,0.000341,0.000341
1046,0.001214,0.001214
1047,0.000342,0.000342
1048,0.000275,0.000275
1049,0.000602,0.000602
1050,0.000323,0.000323
1051,0.000488,0.000488
1052,0.000323,0.000323
1053,0.000602,0.000602
1054,0.000446,0.000446
1055,0.000675,0.000675
1056,0.000407,0.000407
1057,0.000411,0.000411
1058,0.00036,0.00036
1059,0.000371,0.000371
1060,0.000297,0.000297
1061,0.00032,0.00032
1062,0.00039,0.000432
1063,0.000337,0.000326
1064,0.00046,0.000377
1065,0.000293,0.000319
1066,0.001113,0.001193
1067,0.000944,0.001784
1068,0.000707,0.000912
1069,0.000534,0.000555
1070,0.000383,0.000426
1071,0.000426,0.00046
1072,0.001172,0.001265
1073,0.000329,0.000359
1074,0.000496,0.000505
1075,0.000326,0.000356
1076,0.000342,0.000381
1077,0.000521,0.000603
1078,0.000475,0.000508
1079,0.000456,0.000498
1080,0.000363,0.000406
1081,0.000345,0.000345
1082,0.00036,0.00036
1083,0.000312,0.000312
1084,0.000441,0.000441
1085,0.000273,0.000273
1086,0.000358,0.000358
1087,0.000506,0.000506
1088,0.000477,0.000477
1089,0.000855,0.000855
1090,0.000372,0.000372
1091,0.001892,0.001892
1092,0.000491,0.000491
1093,0.000363,0.000363
1094,0.000789,0.000789
1095,0.000671,0.000671
1096,0.005576,0.005576
1097,0.000433,0.000433
1098,0.000875,0.000875
1099,0.000585,0.000585
1100,0.000958,0.000958
1101,0.001006,0.00057
1102,0.000423,0.00042
1103,0.000428,0.000424
1104,0.000333,0.000329
1105,0.000328,0.000449
1106,0.000283,0.000365
1107,0.000296,0.000369
1108,0.000255,0.000425
1109,0.000259,0.000318
1110,0.00026,0.000362
1111,0.000367,0.000454
1112,0.000228,0.000232
1113,0.000265,0.000301
1114,0.000549,0.000864
1115,0.000194,0.000226
1116,0.000168,0.000319
1117,0.000167,0.000217
1118,0.000129,0.000147
1119,0.000133,0.000146
1120,0.000131,0.000127
1121,0.00018,0.000166
1122,0.000161,0.000165
1123,0.001663,0.000571
1124,0.000589,0.000412
1125,0.000284,0.000283
1126,0.000712,0.00581
1127,0.000499,0.000443
1128,0.000875,0.000732
1129,0.00037,0.000379
1130,0.002092,0.001
1131,0.024331,0.003736
1132,0.000593,0.000485
1133,0.000932,0.000932
1134,0.001259,0.001259
1135,0.00107,0.00107
1136,0.002833,0.002833
1137,0.001281,0.001281
1138,0.001289,0.001289
1139,0.001586,0.001586
1140,0.001205,0.001205
1141,0.001964,0.001964
1142,0.001335,0.001335
1143,0.004386,0.004386
1144,0.002223,0.002223
1145,0.019732,0.019732
1146,0.002789,0.002789
1147,0.021945,0.021945
1148,0.02123,0.02123
1149,0.001531,0.001531
1150,0.004441,0.004441
1151,0.002575,0.002575
1152,0.016344,0.016344
1153,0.002683,0.001864
1154,0.007216,0.005352
1155,0.002195,0.00207
1156,0.00398,0.002454
1157,0.005043,0.00832
1158,0.00107,0.001409
1159,0.001085,0.001383
1160,0.00084,0.001329
1161,0.001285,0.001541
1162,0.000638,0.000975
1163,0.000867,0.001231
1164,0.002598,0.00165
1165,0.001605,0.001785
1166,0.001753,0.002169
1167,0.002042,0.00263
1168,0.001316,0.002712
1169,0.000509,0.000577
1170,0.005316,0.009131
