bb_idx,MT_TSCAPE
325,0.062233
326,0.309900
327,0.359960
328,0.058058
329,0.037171
330,0.271543
331,0.303865
332,0.062478
333,0.044193
334,0.333498
335,0.319568
336,0.058658
337,0.154458
338,0.473259
339,0.658326
340,0.159477
341,0.042293
342,0.227278
343,0.264825
344,0.049410
345,0.029516
346,0.291374
347,0.309470
348,0.042067
349,0.033969
350,0.280059
351,0.307386
352,0.059885
353,0.056462
354,0.304098
355,0.367941
356,0.073132
357,0.039155
358,0.171872
359,0.305412
360,0.042371
361,0.091632
362,0.420089
363,0.521089
364,0.109303
365,0.090967
366,0.552740
367,0.599861
368,0.115674
369,0.121609
370,0.581258
371,0.610975
372,0.140190
373,0.041248
374,0.375687
375,0.367201
376,0.054421
377,0.042012
378,0.264379
379,0.280297
380,0.052445
381,0.050723
382,0.354074
383,0.312032
384,0.068878
385,0.090544
386,0.281310
387,0.488992
388,0.101561
389,0.100279
390,0.320562
391,0.363724
392,0.083548
393,0.044539
394,0.252297
395,0.313070
396,0.064396
397,0.043985
398,0.344534
399,0.310320
400,0.055643
401,0.154112
402,0.416449
403,0.639830
404,0.149193
405,0.042729
406,0.226439
407,0.274874
408,0.053760
409,0.027816
410,0.279283
411,0.303024
412,0.040866
413,0.030595
414,0.231031
415,0.254055
416,0.054210
417,0.066631
418,0.294331
419,0.394164
420,0.074929
421,0.051503
422,0.222500
423,0.400194
424,0.053477
425,0.087318
426,0.417238
427,0.544542
428,0.115127
429,0.062297
430,0.379788
431,0.419274
432,0.070222
433,0.113678
434,0.553541
435,0.591512
436,0.124803
437,0.047836
438,0.351607
439,0.356843
440,0.054210
441,0.038022
442,0.249211
443,0.246905
444,0.050614
445,0.079113
446,0.408606
447,0.485686
448,0.097133
449,0.058066
450,0.237658
451,0.298095
452,0.053097
453,0.039732
454,0.240873
455,0.288398
456,0.065775
457,0.050481
458,0.396464
459,0.337079
460,0.070166
461,0.155961
462,0.435630
463,0.630286
464,0.160361
465,0.041281
466,0.227588
467,0.291608
468,0.060210
469,0.036904
470,0.268938
471,0.335172
472,0.049717
473,0.022166
474,0.149540
475,0.170392
476,0.042262
477,0.044137
478,0.270373
479,0.337262
480,0.062661
481,0.044597
482,0.239424
483,0.345184
484,0.050522
485,0.100830
486,0.412267
487,0.554627
488,0.130010
489,0.052831
490,0.335631
491,0.332811
492,0.062587
493,0.131655
494,0.611227
495,0.628917
496,0.156260
497,0.045667
498,0.328554
499,0.340006
500,0.051647
501,0.046372
502,0.261455
503,0.272134
504,0.059149
505,0.067248
506,0.261763
507,0.304509
508,0.061453
509,0.037862
510,0.245225
511,0.279287
512,0.063445
513,0.050785
514,0.393614
515,0.358180
516,0.066473
517,0.132910
518,0.368253
519,0.600942
520,0.147930
521,0.051027
522,0.236057
523,0.297443
524,0.070122
525,0.040270
526,0.307781
527,0.352971
528,0.056848
529,0.024478
530,0.170009
531,0.204757
532,0.049509
533,0.049055
534,0.290925
535,0.318365
536,0.068281
537,0.035681
538,0.202928
539,0.289120
540,0.042476
541,0.100906
542,0.399470
543,0.553988
544,0.134830
545,0.055193
546,0.345419
547,0.373976
548,0.064522
549,0.142874
550,0.616965
551,0.644565
552,0.176308
553,0.050287
554,0.380651
555,0.390100
556,0.064307
557,0.078166
558,0.268589
559,0.312833
560,0.074258
561,0.040815
562,0.259199
563,0.276552
