bb_idx,MT_deepHLApan,WT_deepHLApan
325,0.0137,0.0137
326,0.1537,0.1537
327,0.9351,0.9351
328,0.9795,0.9795
329,0.0147,0.0147
330,0.2553,0.2553
331,0.9512,0.9512
332,0.9756,0.9756
333,0.2077,0.2077
334,0.0552,0.0552
335,0.9516,0.9516
336,0.9809,0.9809
337,0.0102,0.1828
338,0.0022,0.0292
339,0.6848,0.8265
340,0.9817,0.9853
341,0.1883,0.1966
342,0.0091,0.0201
343,0.7901,0.8547
344,0.9855,0.9901
345,0.0064,0.0109
346,0.0059,0.0924
347,0.8496,0.9801
348,0.9836,0.9941
349,0.0048,0.0049
350,0.0045,0.0214
351,0.8023,0.9104
352,0.9834,0.9917
353,0.0559,0.0279
354,0.0051,0.0062
355,0.8313,0.8892
356,0.9737,0.9881
357,0.025,0.0268
358,0.0255,0.0316
359,0.9662,0.966
360,0.9917,0.9936
361,0.0252,0.0737
362,0.0811,0.0246
363,0.9895,0.9905
364,0.992,0.9908
365,0.0391,0.0824
366,0.0644,0.0558
367,0.9788,0.9844
368,0.9926,0.9935
369,0.1838,0.1838
370,0.0785,0.0785
371,0.9692,0.9692
372,0.9891,0.9891
373,0.307,0.307
374,0.1338,0.1338
375,0.9645,0.9645
376,0.99,0.99
377,0.1741,0.1741
378,0.1813,0.1813
379,0.9715,0.9715
380,0.9868,0.9868
381,0.0981,0.0981
382,0.1749,0.1749
383,0.9712,0.9712
384,0.9864,0.9864
385,0.0059,0.0059
386,0.0138,0.0138
387,0.9267,0.9267
388,0.9866,0.9866
389,0.0037,0.0037
390,0.1902,0.1902
391,0.877,0.877
392,0.9765,0.9765
393,0.1672,0.1672
394,0.2273,0.2273
395,0.95,0.95
396,0.9779,0.9779
397,0.0152,0.1945
398,0.015,0.0866
399,0.8936,0.9494
400,0.9712,0.9774
401,0.2204,0.2756
402,0.0212,0.0368
403,0.7879,0.8157
404,0.9769,0.9833
405,0.1672,0.1458
406,0.0048,0.024
407,0.7885,0.8932
408,0.9833,0.9903
409,0.0015,0.002
410,0.0037,0.0182
411,0.8214,0.9196
412,0.9812,0.9931
413,0.0111,0.0089
414,0.0044,0.0125
415,0.7828,0.8761
416,0.9684,0.9893
417,0.0686,0.0446
418,0.0035,0.0052
419,0.827,0.8965
420,0.988,0.9926
