bb_idx,MT_CNNeo,WT_CNNeo
0,0.90305567,0.90305567
1,0.5726107,0.5726107
2,0.8581787,0.8581787
3,0.8249063,0.8249063
4,0.7456084,0.7456084
5,0.8827184,0.8827184
6,0.90305567,0.90305567
7,0.62465674,0.62465674
8,0.8753356,0.8753356
9,0.8249063,0.8249063
10,0.7456084,0.7456084
11,0.8827184,0.8827184
12,0.8757262,0.87854403
13,0.69350725,0.61048347
14,0.9027336,0.8697364
15,0.8249063,0.8249063
16,0.7456084,0.7456084
17,0.85931915,0.8588664
18,0.81215894,0.88326323
19,0.62490124,0.7032023
20,0.87614304,0.9046308
21,0.8249063,0.8249063
22,0.7456084,0.7456084
23,0.80602807,0.86699104
24,0.87363535,0.87363535
25,0.6833149,0.6833149
26,0.9005439,0.9005439
27,0.8281039,0.8281039
28,0.7456084,0.7456084
29,0.8575328,0.8575328
30,0.87007844,0.87007844
31,0.6880424,0.6880424
32,0.8970757,0.8970757
33,0.8249063,0.8249063
34,0.7456084,0.7456084
35,0.85314286,0.85314286
36,0.8643305,0.8643305
37,0.74151015,0.74151015
38,0.91552943,0.91552943
39,0.8249063,0.8249063
40,0.7456084,0.7456084
41,0.84985006,0.84985006
42,0.87817395,0.9078788
43,0.73989874,0.67163664
44,0.9146809,0.8961129
45,0.8249063,0.8249063
46,0.7456084,0.7456084
47,0.8613583,0.890859
48,0.85157144,0.90305567
49,0.6826254,0.67163664
50,0.8994274,0.8961129
51,0.8249063,0.8249063
52,0.7456084,0.7456084
53,0.8369207,0.8827184
54,0.87817395,0.87817395
55,0.73989874,0.73989874
56,0.9146809,0.9146809
57,0.8249063,0.8249063
58,0.7456084,0.7456084
59,0.8613583,0.8613583
60,0.8643305,0.8643305
61,0.62375957,0.75487214
62,0.8772637,0.9155573
63,0.8249063,0.8249063
64,0.7456084,0.7456084
65,0.84985006,0.84985006
66,0.85157144,0.85157144
67,0.6826254,0.6826254
68,0.8994274,0.8994274
69,0.8249063,0.8249063
70,0.7456084,0.7456084
71,0.8369207,0.8369207
72,0.87007844,0.8689743
73,0.7226535,0.752497
74,0.91151494,0.9183263
75,0.8249063,0.8249063
76,0.7456084,0.7456084
77,0.85314286,0.8540496
78,0.8633322,0.8633322
79,0.8689743,0.8689743
80,0.901779,0.901779
81,0.76720154,0.76720154
82,0.8697941,0.8697941
83,0.86461633,0.86461633
84,0.89531136,0.89531136
85,0.87817395,0.87817395
86,0.91327995,0.91327995
87,0.8206567,0.82247144
88,0.8857656,0.8969222
89,0.88740176,0.8885112
90,0.81482625,0.81482625
91,0.90305567,0.90305567
92,0.8862428,0.8862428
93,0.78181773,0.89531136
94,0.85157144,0.87817395
95,0.8731104,0.91327995
96,0.8206567,0.8206567
97,0.8857656,0.8857656
98,0.88740176,0.88740176
99,0.8202754,0.8202754
100,0.89660764,0.89660764
101,0.8871302,0.8871302
102,0.8202754,0.8202754
103,0.89660764,0.89660764
104,0.8871302,0.8871302
105,0.80877495,0.80877495
106,0.88090146,0.88090146
107,0.8829736,0.8829736
108,0.7888556,0.7888556
