bb_idx,MT_DeepImmuno,WT_DeepImmuno
0,0.3702837,0.47218055
1,0.78433985,0.8089186
2,0.71546865,0.6664842
3,0.8966586,0.91944396
4,0.9108487,0.93654096
5,0.8572458,0.91369295
6,0.6233643,0.4267966
7,0.8957172,0.83235407
8,0.8602119,0.6915529
9,0.9209005,0.73893017
10,0.9436234,0.78236645
11,0.90189487,0.6483098
12,0.6593046,0.7021999
13,0.9843683,0.9886687
14,0.96402955,0.97637326
15,0.96286345,0.97089887
16,0.9827663,0.98921204
17,0.98812205,0.9901191
18,0.63735616,0.6647264
19,0.6716761,0.6485626
20,0.7090106,0.7365154
21,0.89640045,0.901719
22,0.9424646,0.9423342
23,0.9187285,0.9036611
24,0.49220708,0.43829393
25,0.901847,0.86895406
26,0.89096653,0.8696041
27,0.91260904,0.8863534
28,0.95866853,0.9027703
29,0.8625622,0.8083732
30,0.6622436,0.7197448
31,0.91152334,0.95194185
32,0.9128244,0.932586
33,0.95573956,0.9539645
34,0.9895679,0.9926064
35,0.9725134,0.98193324
36,0.5072461,0.7406347
37,0.77258056,0.92605597
38,0.6976887,0.8778026
39,0.68334043,0.94850475
40,0.91744894,0.98655075
41,0.8693233,0.9788018
42,0.22753274,0.30406517
43,0.588835,0.6663957
44,0.74264306,0.7007357
45,0.7490752,0.7227225
46,0.89861846,0.91026706
47,0.74123025,0.74654853
48,0.7697431,0.7402668
49,0.89426285,0.88842165
50,0.7734802,0.7116465
51,0.8409253,0.7826533
52,0.94465965,0.94013226
53,0.87939084,0.85372007
54,0.35483664,0.467091
55,0.7642322,0.93039995
56,0.8028036,0.8148111
57,0.83520555,0.89943373
58,0.7881743,0.9335745
59,0.7352419,0.86907375
60,0.4109469,0.3794551
61,0.7228401,0.660219
62,0.7931262,0.71735823
63,0.8484765,0.80956376
64,0.9330522,0.91400874
65,0.8252969,0.8317876
66,0.33113462,0.40946597
67,0.6945744,0.8441038
68,0.72463393,0.80690396
69,0.7707324,0.86531335
70,0.88516605,0.92874324
71,0.8661375,0.9055054
72,0.27826303,0.36566874
