bb_idx,MT_ICERFIRE
0,0.121147
1,0.169256
2,0.14678
3,0.112817
4,0.121147
5,
6,0.225992
7,0.344036
8,0.233718
9,0.217421
10,0.252324
11,
12,0.244964
13,0.392954
14,0.246587
15,0.235922
16,0.245606
17,
18,0.207936
19,0.18637
20,0.160755
21,0.207277
22,0.16153
23,
24,0.150221
25,0.166078
26,0.150221
27,0.154368
28,0.130669
29,
30,0.175007
31,0.189956
32,0.181744
33,0.190357
34,0.320546
35,
36,0.154087
37,0.171493
38,0.159671
39,0.390745
40,0.166272
41,
42,0.15616
43,0.160174
44,0.170797
45,0.157329
46,0.140634
47,
48,0.189074
49,0.110143
50,0.173113
51,0.183568
52,0.152642
53,
54,0.360269
55,0.334738
56,0.395028
57,0.326208
58,0.334738
59,
60,0.156808
61,0.16013
62,0.158219
63,0.159375
64,0.324298
65,
66,0.305997
67,0.199726
68,0.287364
69,0.18204
70,0.182006
71,
72,0.319362
73,0.258838
74,0.252359
75,0.245336
76,0.245576
77,
78,0.122798
79,0.262139
80,0.28935
81,0.098775
82,0.109981
83,0.07912
84,0.271273
85,0.140354
86,0.107089
87,0.126721
88,0.166978
89,0.432811
90,0.169099
91,0.157819
92,0.171321
93,0.229189
94,0.165156
95,0.140663
96,0.080505
97,0.094553
98,0.087011
99,0.144685
100,0.143051
101,0.196737
102,0.150033
103,0.160595
104,0.240754
105,0.315629
106,0.182433
107,0.155161
108,0.277434
109,0.171241
110,0.16139
111,0.145765
112,0.140866
113,0.12472
114,0.15746
115,0.285222
116,0.302161
117,0.244501
118,0.095673
119,0.092711
120,0.195587
121,0.263285
122,0.290734
123,
124,0.334405
125,
126,0.200329
127,0.270212
128,0.262759
129,
130,0.266102
131,
132,0.246032
133,0.234155
134,0.233499
135,
136,0.191906
137,
138,0.13272
139,0.190595
140,0.195305
141,
142,0.135323
143,
144,0.130936
145,0.160186
146,0.172873
147,
148,0.113948
149,
150,0.111008
151,0.102841
152,0.102088
153,
154,0.122675
155,
156,0.131854
157,0.116603
158,0.132341
159,
160,0.179452
161,
162,0.310612
163,0.190705
164,0.175264
165,
166,0.140285
167,
168,0.13846
169,0.124999
170,0.149478
171,0.089935
172,0.127836
173,
174,0.125674
175,0.15156
176,0.156196
177,
178,0.151386
179,0.2007
180,0.201231
181,
182,0.213347
183,0.249191
184,0.24479
185,
186,0.324237
187,0.090141
188,0.089941
189,
190,0.088134
191,0.144841
192,0.108382
193,
194,0.159396
195,0.222812
196,0.183178
197,
198,0.228502
199,0.169715
200,0.199888
201,
202,0.24544
203,
204,0.238351
205,
206,0.27369
207,
208,0.083955
209,
210,0.147485
211,
212,0.16785
213,
214,0.158785
215,
216,0.189905
217,
218,0.166851
219,
220,0.252223
221,
222,0.159577
223,
224,0.332156
225,
226,0.184459
227,
228,0.181351
229,
230,0.270901
231,
232,0.386364
233,0.13023
234,0.122448
235,0.128306
236,0.12372
237,0.112453
238,0.160848
239,0.106648
240,0.122902
241,0.171995
242,0.148503
243,0.172787
244,0.149741
245,0.281856
246,0.353003
247,0.271124
248,0.297985
249,0.120654
250,0.112127
251,0.109786
252,0.11534
253,0.100326
254,0.112204
255,0.112204
256,0.143353
257,0.216248
258,0.216248
259,0.215064
260,0.194247
261,0.320757
262,0.248796
263,0.245739
264,0.195404
265,0.177902
266,0.177547
267,0.152186
268,0.17778
269,0.170019
270,0.188712
271,0.190314
272,0.190314
273,0.177023
274,0.174711
275,0.16578
276,0.167448
277,0.150537
278,0.200247
279,0.159567
280,0.157582
281,0.194925
282,0.180747
283,0.194069
284,0.194943
285,0.159687
286,0.254233
287,0.279381
288,0.249765
289,0.143496
290,0.138951
291,0.134332
292,0.141715
293,0.143178
294,0.192726
295,0.208152
296,0.155999
297,0.195233
298,0.225533
299,0.225533
300,0.225533
301,0.153527
302,0.151954
303,0.151372
304,0.137556
305,0.155604
306,0.155604
307,0.170031
308,0.155604
309,0.171555
310,0.228198
311,0.188388
312,0.175457
313,0.160562
314,0.1625
315,0.152537
316,0.148084
317,0.320757
318,0.248796
319,0.245739
320,0.195404
321,0.250741
322,0.250741
323,0.295479
324,0.250741
