bb_idx,MT_IEDB_Calis,WT_IEDB_Calis
0,0.2434,0.2434
1,0.23794,0.26212
2,0.23794,0.26212
3,0.20544,0.22962
4,0.23794,0.26212
5,0.23794,0.26212
6,-0.13954,-0.19464
7,-0.14266,-0.19776
8,-0.14266,-0.19776
9,-0.21456,-0.21456
10,-0.14266,-0.19776
11,-0.14266,-0.19776
12,0.1561,0.1561
13,0.26842,0.26842
14,0.26842,0.26842
15,0.27202,0.27202
16,0.26842,0.26842
17,0.26842,0.26842
18,-0.03107,-0.03107
19,-0.04043,-0.04043
20,-0.04043,-0.04043
21,-0.03683,-0.03683
22,-0.04043,-0.04043
23,-0.04043,-0.04043
24,-0.04834,-0.04803
25,-0.02104,-0.02073
26,-0.02104,-0.02073
27,-0.03204,-0.03173
28,-0.02104,-0.02073
29,-0.02104,-0.02073
30,0.11262,0.11262
31,-0.027,-0.027
32,-0.027,-0.027
33,-0.0702,-0.0702
34,-0.027,-0.027
35,-0.027,-0.027
36,0.09296,0.07498
37,0.19176,0.17378
38,0.19176,0.17378
39,0.15376,0.13578
40,0.19176,0.17378
41,0.19176,0.17378
42,0.16249,0.16249
43,0.15313,0.15313
44,0.15313,0.15313
45,0.14213,0.14213
46,0.15313,0.15313
47,0.15313,0.15313
48,-0.07644,-0.07644
49,-0.0416,-0.0416
50,-0.0416,-0.0416
51,-0.055,-0.055
52,-0.0416,-0.0416
53,-0.0416,-0.0416
54,0.22862,0.17352
55,0.2255,0.1704
56,0.2255,0.1704
57,0.1536,0.1536
58,0.2255,0.1704
59,0.2255,0.1704
60,0.36008,0.36008
61,0.22046,0.22046
62,0.22046,0.22046
63,0.18246,0.18246
64,0.22046,0.22046
65,0.22046,0.22046
66,0.03383,0.03383
67,0.06867,0.06867
68,0.06867,0.06867
69,0.13867,0.13867
70,0.06867,0.06867
71,0.06867,0.06867
72,0.04585,0.04585
73,0.03649,0.03649
74,0.03649,0.03649
75,-0.03541,-0.03541
76,0.03649,0.03649
77,0.03649,0.03649
78,0.04294,0.18438
79,0.1407,0.1407
80,0.04294,0.18438
81,-0.22062,-0.22062
82,-0.25364,-0.25364
83,-0.22062,-0.22062
84,-0.05005,-0.05005
85,-0.04069,-0.04069
86,-0.05005,-0.05005
87,-0.14759,-0.14759
88,-0.13823,-0.13823
89,-0.14759,-0.14759
90,-0.01913,-0.02095
91,-0.05397,-0.05397
92,-0.01913,-0.02095
93,-0.21141,-0.21141
94,-0.20205,-0.20205
95,-0.21141,-0.21141
96,-0.29052,-0.29052
97,-0.31912,-0.31912
98,-0.29052,-0.29052
99,-0.02654,-0.03794
100,-0.01718,-0.02858
101,-0.02654,-0.03794
102,-0.13147,-0.13147
103,-0.12211,-0.12211
104,-0.13147,-0.13147
105,-0.36535,-0.0476
106,-0.47767,-0.15992
107,-0.36535,-0.0476
108,-0.09246,-0.08406
109,-0.12548,-0.11708
110,-0.09246,-0.08406
111,-0.07751,-0.16591
112,-0.06815,-0.06815
113,-0.07751,-0.16591
114,-0.16407,-0.16407
115,-0.15471,-0.15471
116,-0.16407,-0.16407
117,-0.37785,-0.39415
118,-0.28009,-0.29639
119,-0.37785,-0.39415
120,-0.19907,0.00277
121,-0.18971,0.01213
122,-0.19907,0.00277
123,0.05162,0.04928
124,0.05474,0.05474
125,0.05162,0.04928
126,0.10862,0.10628
127,0.05162,0.04928
128,0.05162,0.04928
129,-0.05303,-0.05303
130,-0.04367,-0.04367
