bb_idx,MT_Neoag,WT_Neoag
0,13.16998,
1,13.16998,
2,13.16998,
3,13.16998,
4,13.16998,
5,13.16998,
6,39.513792,
7,39.513792,
8,39.513792,
9,39.513792,
10,39.513792,
11,39.513792,
12,1.933884,
13,1.933884,
14,1.933884,
15,1.933884,
16,1.933884,
17,1.933884,
18,13.16998,
19,13.16998,
20,13.16998,
21,13.16998,
22,13.16998,
23,13.16998,
24,13.16998,
25,13.16998,
26,13.16998,
27,13.16998,
28,13.16998,
29,13.16998,
30,37.532123,
31,37.532123,
32,37.532123,
33,37.532123,
34,37.532123,
35,37.532123,
36,1.933884,
37,1.933884,
38,1.933884,
39,1.933884,
40,1.933884,
41,1.933884,
42,39.513792,
43,39.513792,
44,39.513792,
45,39.513792,
46,39.513792,
47,39.513792,
48,97.084433,
49,97.084433,
50,97.084433,
51,97.084433,
52,97.084433,
53,97.084433,
54,39.513792,
55,39.513792,
56,39.513792,
57,39.513792,
58,39.513792,
59,39.513792,
60,13.16998,
61,13.16998,
62,13.16998,
63,13.16998,
64,13.16998,
65,13.16998,
66,39.513792,
67,39.513792,
68,39.513792,
69,39.513792,
70,39.513792,
71,39.513792,
72,71.943134,
73,71.943134,
74,71.943134,
75,71.943134,
76,71.943134,
77,71.943134,
78,39.513792,
79,39.513792,
80,39.513792,
81,1.933884,
82,1.933884,
83,1.933884,
84,1.933884,
85,1.933884,
86,1.933884,
87,34.773693,
88,34.773693,
89,34.773693,
90,13.16998,
91,13.16998,
92,13.16998,
93,13.16998,
94,13.16998,
95,13.16998,
96,1.933884,
97,1.933884,
98,1.933884,
99,13.16998,
100,13.16998,
101,13.16998,
102,1.933884,
103,1.933884,
104,1.933884,
105,13.16998,
106,13.16998,
107,13.16998,
108,22.440171,
109,22.440171,
110,22.440171,
111,34.773693,
112,34.773693,
113,34.773693,
114,71.943134,
115,71.943134,
116,71.943134,
117,13.16998,
118,13.16998,
119,13.16998,
120,1.933884,
121,1.933884,
122,1.933884,
123,1.933884,
124,1.933884,
125,1.933884,
126,1.933884,
127,1.933884,
128,1.933884,
129,39.513792,
130,39.513792,
131,39.513792,
132,39.513792,
133,39.513792,
134,39.513792,
135,39.513792,
136,39.513792,
137,39.513792,
138,39.513792,
139,39.513792,
140,39.513792,
141,1.933884,
142,1.933884,
143,1.933884,
144,1.933884,
145,1.933884,
146,1.933884,
147,13.16998,
148,13.16998,
149,13.16998,
150,13.16998,
151,13.16998,
152,13.16998,
153,13.16998,
154,13.16998,
155,13.16998,
156,13.16998,
157,13.16998,
158,13.16998,
159,13.16998,
160,13.16998,
161,13.16998,
162,13.16998,
163,13.16998,
164,13.16998,
165,13.16998,
166,13.16998,
167,13.16998,
168,13.16998,
169,13.16998,
170,13.16998,
171,39.513792,
172,39.513792,
173,39.513792,
174,39.513792,
175,71.883478,
176,71.883478,
177,71.883478,
178,71.883478,
179,97.084433,
180,97.084433,
181,97.084433,
182,97.084433,
183,13.16998,
184,13.16998,
185,13.16998,
186,13.16998,
187,13.16998,
188,13.16998,
189,13.16998,
190,13.16998,
191,39.513792,
192,39.513792,
193,39.513792,
194,39.513792,
195,1.933884,
196,1.933884,
197,1.933884,
198,1.933884,
199,13.16998,
200,13.16998,
201,13.16998,
202,13.16998,
203,71.883478,
204,71.883478,
205,100.354785,
206,100.354785,
207,39.513792,
208,39.513792,
209,39.513792,
210,39.513792,
211,1.933884,
212,1.933884,
213,71.789602,
214,71.789602,
215,39.513792,
216,39.513792,
217,54.97577,
218,54.97577,
219,1.933884,
220,1.933884,
221,34.773693,
222,34.773693,
223,81.76321,
224,81.76321,
225,1.933884,
226,1.933884,
227,13.16998,
228,13.16998,
229,43.318294,
230,43.318294,
231,1.933884,
232,1.933884,
233,39.513792,
234,39.513792,
235,39.513792,
236,39.513792,
237,13.16998,
238,13.16998,
239,13.16998,
240,13.16998,
241,97.084433,
242,97.084433,
243,97.084433,
244,97.084433,
245,13.16998,
246,13.16998,
247,13.16998,
248,13.16998,
249,39.513792,
250,39.513792,
251,39.513792,
252,39.513792,
253,61.117504,
254,61.117504,
255,61.117504,
256,61.117504,
257,96.855162,
258,96.855162,
259,96.855162,
260,96.855162,
261,1.933884,
262,1.933884,
263,1.933884,
264,1.933884,
265,13.16998,
266,13.16998,
267,13.16998,
268,13.16998,
269,13.16998,
270,13.16998,
271,13.16998,
272,13.16998,
273,13.16998,
274,13.16998,
275,13.16998,
276,13.16998,
277,13.16998,
278,13.16998,
279,13.16998,
280,13.16998,
281,125.082993,
282,125.082993,
283,125.082993,
284,125.082993,
285,13.16998,
286,13.16998,
287,13.16998,
288,13.16998,
289,1.933884,
290,1.933884,
291,1.933884,
292,1.933884,
293,13.16998,
294,13.16998,
295,13.16998,
296,13.16998,
297,81.76321,
298,81.76321,
299,81.76321,
300,81.76321,
301,39.513792,
302,39.513792,
303,39.513792,
304,39.513792,
305,34.773693,
306,34.773693,
307,34.773693,
308,34.773693,
309,13.16998,
310,13.16998,
311,13.16998,
312,13.16998,
313,13.16998,
314,13.16998,
315,13.16998,
316,13.16998,
317,1.933884,
318,1.933884,
319,1.933884,
320,1.933884,
321,1.933884,
322,1.933884,
323,1.933884,
324,1.933884,
