bb_idx,MT_PRIME,WT_PRIME
0,0.001761,0.001546
1,0.057147,0.02745
2,0.001684,0.00178
3,0.003693,0.002931
4,0.001472,0.001351
5,0.001394,0.001422
6,0.005605,0.005075
7,0.112121,0.084815
8,0.004444,0.00321
9,0.038805,0.016366
10,0.002769,0.002437
11,0.00384,0.0078
12,0.014485,0.016951
13,0.183772,0.205309
14,0.007424,0.008045
15,0.047525,0.049147
16,0.021128,0.017982
17,0.0077,0.008041
18,0.004488,0.003471
19,0.024457,0.017916
20,0.003217,0.00219
21,0.010701,0.005953
22,0.002772,0.002291
23,0.002952,0.002271
24,0.002765,0.001811
25,0.002318,0.001597
26,0.001741,0.001331
27,0.035398,0.029914
28,0.001206,0.000921
29,0.001253,0.000931
30,0.011116,0.001818
31,0.003513,0.002979
32,0.005711,0.00131
33,0.006123,0.001593
34,0.109712,0.016013
35,0.017468,0.002948
36,0.040735,0.048595
37,0.007886,0.015244
38,0.031634,0.041905
39,0.257018,0.289722
40,0.009705,0.020535
41,0.010744,0.026966
42,0.005218,0.006278
43,0.001847,0.002999
44,0.075511,0.088582
45,0.006367,0.009109
46,0.006355,0.006357
47,0.002,0.003051
48,0.002588,0.002895
49,0.026641,0.042712
50,0.003229,0.003394
51,0.104095,0.142696
52,0.002373,0.00189
53,0.00239,0.002378
54,0.040952,0.036798
55,0.00601,0.00486
56,0.197917,0.160561
57,0.07232,0.034055
58,0.011186,0.008896
59,0.00753,0.014856
60,0.046421,0.045753
61,0.01825,0.036611
62,0.023631,0.018967
63,0.027263,0.021983
64,0.122313,0.06256
65,0.149298,0.090802
66,0.169012,0.041244
67,0.002122,0.001848
68,0.005816,0.004407
69,0.012787,0.013026
70,0.004475,0.002573
71,0.024574,0.017003
72,0.196854,0.163441
73,0.008989,0.011127
74,0.031301,0.045497
75,0.05571,0.085892
76,0.031103,0.03163
77,0.009651,0.009763
78,0.01786,0.012484
79,0.153472,0.120023
80,0.164202,0.174573
81,0.010554,0.001882
82,0.004706,0.00104
83,0.002518,0.00091
84,0.073151,0.005433
85,0.019303,0.001838
86,0.001679,0.000499
87,0.004276,0.00357
88,0.067731,0.071274
89,0.150176,0.151798
90,0.005263,0.00328
91,0.08839,0.072869
92,0.052471,0.03268
93,0.062115,0.118403
94,0.002687,0.005182
95,0.001774,0.001429
96,0.012236,0.001798
97,0.002323,0.00063
98,0.001264,0.000564
99,0.028971,0.022962
100,0.014051,0.017242
101,0.016819,0.017592
102,0.014291,0.005807
103,0.032055,0.01142
104,0.018596,0.013777
105,0.15257,0.18006
106,0.034557,0.042333
107,0.009297,0.023173
108,0.066539,0.023375
109,0.006752,0.006389
110,0.017775,0.096243
111,0.001743,0.001918
112,0.059418,0.051012
113,0.005349,0.005238
114,0.052041,0.063288
115,0.109033,0.078443
116,0.047657,0.031246
117,0.111254,0.065879
118,0.005044,0.005902
119,0.001458,0.002616
120,0.037367,0.040798
121,0.163953,0.163116
122,0.097697,0.110433
123,0.008027,0.003004
124,0.145531,0.098432
125,0.020521,0.009515
126,0.069193,0.031769
127,0.009821,0.003895
128,0.01286,0.023807
129,0.008392,0.010681
130,0.145595,0.060176
131,0.017012,0.019845
132,0.127357,0.056822
133,0.037731,0.058554
134,0.01546,0.075208
135,0.020265,0.016443
136,0.004743,0.001376
137,0.001619,0.000809
138,0.005885,0.030441
139,0.005578,0.002464
140,0.001872,0.000805
141,0.070272,0.012561
142,0.001352,0.001327
143,0.001557,0.001841
144,0.001754,0.001191
145,0.002627,0.001897
146,0.001531,0.001075
147,0.014314,0.024142
148,0.003058,0.003278
149,0.000875,0.001384
150,0.000845,0.001066
151,0.004015,0.006715
152,0.00583,0.003591
153,0.035474,0.021378
154,0.019466,0.016332
155,0.003419,0.002257
156,0.002449,0.002065
157,0.024898,0.032337
158,0.001635,0.003183
159,0.007364,0.00486
160,0.008697,0.004376
161,0.005093,0.00429
162,0.129312,0.131412
163,0.015022,0.016318
164,0.005389,0.006493
165,0.007685,0.005163
166,0.003018,0.003328
167,0.003603,0.001094
168,0.001681,0.000919
169,0.006206,0.001757
170,0.002466,0.001039
171,0.002409,0.002573
172,0.003181,0.003292
173,0.004665,0.003518
174,0.003283,0.002831
175,0.043151,0.01439
176,0.027454,0.011089
177,0.006685,0.004009
178,0.05323,0.051377
179,0.006871,0.002954
180,0.002796,0.014065
181,0.00222,0.004962
182,0.002603,0.001582
183,0.003576,0.008333
184,0.002409,0.005773
185,0.006615,0.015982
186,0.168091,0.069574
187,0.014552,0.006993
188,0.011647,0.009011
189,0.0822,0.046139
190,0.033619,0.020938
191,0.017645,0.019521
192,0.018462,0.020969
193,0.005018,0.002069
194,0.004975,0.002478
195,0.077591,0.039116
196,0.023851,0.011051
197,0.01011,0.005942
198,0.021234,0.007854
199,0.001808,0.002347
200,0.006936,0.006534
201,0.017603,0.03745
202,0.053044,0.100186
203,0.053066,0.015427
204,0.005312,0.001822
205,0.025353,0.018944
206,0.010921,0.007007
207,0.005158,0.003015
208,0.002816,0.002847
209,0.018498,0.007298
210,0.004447,0.001816
211,0.0872,0.081717
212,0.007214,0.008576
213,0.005085,0.004536
214,0.002786,0.003123
215,0.044381,0.010105
216,0.002745,0.001943
217,0.008393,0.010075
218,0.000939,0.001122
219,0.070233,0.031358
220,0.052875,0.009186
221,0.008366,0.010133
222,0.000828,0.000625
223,0.277722,0.170752
224,0.024519,0.01222
225,0.04408,0.041731
226,0.002524,0.003184
227,0.00379,0.003184
228,0.032385,0.028549
229,0.110866,0.160439
230,0.080264,0.121615
231,0.009618,0.012561
232,0.287694,0.293006
233,0.0025,0.00114
234,0.008748,0.003893
235,0.002491,0.001361
236,0.013257,0.003455
237,0.024321,0.018874
238,0.109953,0.092059
239,0.004494,0.003751
240,0.064899,0.057361
241,0.021533,0.008012
242,0.05442,0.022873
243,0.004271,0.001996
244,0.014622,0.005447
245,0.00932,0.005424
246,0.125463,0.086624
247,0.005603,0.004045
248,0.06287,0.050836
249,0.004311,0.004066
250,0.009042,0.006706
251,0.006151,0.005744
252,0.021552,0.032418
253,0.001842,0.001603
254,0.004265,0.007083
255,0.004033,0.003758
256,0.060742,0.079275
257,0.015107,0.010775
258,0.003418,0.003702
259,0.003572,0.003644
260,0.051102,0.064854
261,0.120684,0.124171
262,0.127953,0.151284
263,0.035375,0.036648
264,0.020225,0.026517
265,0.00282,0.00254
266,0.009816,0.005944
267,0.015439,0.019016
268,0.010704,0.00872
269,0.049747,0.04911
270,0.010414,0.008455
271,0.00314,0.002407
272,0.003281,0.002407
273,0.006553,0.010856
274,0.012882,0.016646
275,0.006511,0.00838
276,0.022795,0.036723
277,0.00141,0.00148
278,0.001918,0.002367
279,0.002123,0.002244
280,0.010342,0.017012
281,0.008048,0.010777
282,0.035172,0.055033
283,0.008532,0.009457
284,0.00774,0.007047
285,0.002701,0.002217
286,0.073269,0.061998
287,0.00471,0.003255
288,0.061639,0.026645
289,0.002473,0.00203
290,0.021219,0.018736
291,0.000908,0.000793
292,0.005159,0.003691
293,0.012172,0.046311
294,0.117218,0.022352
295,0.006892,0.014069
296,0.015596,0.005587
297,0.01566,0.00252
298,0.005298,0.003154
299,0.003918,0.003864
300,0.002918,0.002638
301,0.004402,0.004077
302,0.005844,0.005375
303,0.004208,0.00507
304,0.059328,0.014572
305,0.001776,0.00165
306,0.001076,0.001218
307,0.002662,0.003166
308,0.000917,0.002896
309,0.028255,0.015629
310,0.066206,0.049842
311,0.001865,0.001308
312,0.025803,0.010916
313,0.004651,0.002874
314,0.003499,0.002659
315,0.005318,0.00344
316,0.003633,0.002031
317,0.120684,0.124171
318,0.127953,0.151284
319,0.035375,0.036648
320,0.020225,0.026517
321,0.002627,0.002201
322,0.003119,0.002761
323,0.001545,0.001243
324,0.01443,0.004726
