bb_idx,MT_PredIG,WT_PredIG
0,0.026091,0.026091
1,0.003724,0.019721
2,0.061716,0.083385
3,0.034993,0.106524
4,0.007759,0.007759
5,0.007759,0.007759
6,0.631092,0.20681
7,0.03125,0.000397
8,0.557918,0.064039
9,0.031094,0.089364
10,0.040639,0.012708
11,0.040639,0.008576
12,0.048615,0.038738
13,0.362676,0.082927
14,0.025082,0.057825
15,0.008797,0.07534
16,0.049059,0.049059
17,0.039105,0.049059
18,0.000133,0.000293
19,3.3e-05,3.4e-05
20,0.002797,0.003349
21,0.000121,0.001196
22,0.00013,9.9e-05
23,9.9e-05,5.6e-05
24,0.026091,0.026091
25,0.286508,0.286508
26,0.076746,0.076746
27,0.106524,0.106524
28,0.007759,0.007759
29,0.007759,0.007759
30,0.003412,0.000253
31,0.006171,0.000144
32,0.004778,0.000719
33,0.03,0.001201
34,0.000889,0.000244
35,0.000722,0.000192
36,0.048572,0.064961
37,0.223436,0.306025
38,0.048572,0.069427
39,0.027926,0.03837
40,0.038775,0.017837
41,0.039163,0.0531
42,0.001811,0.014612
43,0.00181,0.009158
44,0.001114,0.002942
45,0.000252,0.004437
46,4.4e-05,0.005516
47,0.000137,0.009077
48,0.179539,0.102833
49,0.282865,0.175338
50,0.228864,0.405953
51,0.001583,0.001111
52,0.055003,0.004662
53,0.054972,0.004662
54,0.002438,0.082575
55,0.009026,0.01775
56,0.002311,0.000203
57,0.001164,0.082575
58,0.000163,1.7e-05
59,0.000376,4.2e-05
60,0.069741,0.027376
61,0.044906,0.080734
62,0.069741,0.080734
63,0.069741,0.026114
64,0.018423,0.019336
65,0.018423,0.019336
66,0.000465,0.000778
67,0.000721,0.001038
68,0.00811,0.000613
69,0.000783,0.000613
70,3.8e-05,0.000146
71,3.8e-05,0.000258
72,0.00132,0.001322
73,0.030857,0.016066
74,0.002338,0.002033
75,0.001293,0.000584
76,0.001531,0.001531
77,0.001085,0.001085
78,0.010259,0.009526
79,0.00113,5.1e-05
80,3.8e-05,3.8e-05
81,0.00149,0.000838
82,0.000959,0.025039
83,0.000268,0.00119
84,0.009302,0.14152
85,0.12805,0.304586
86,0.002551,0.005328
87,0.001358,0.000729
88,0.000255,0.000811
89,0.000344,0.000344
90,0.132313,0.104862
91,0.025224,0.054104
92,0.093116,0.03962
93,1.8e-05,3.6e-05
94,0.001032,0.000268
95,3.2e-05,3.2e-05
96,8.7e-05,0.002105
97,0.000848,0.004824
98,3.8e-05,0.000291
99,0.000213,0.000524
100,0.000783,0.000783
101,3.8e-05,3.8e-05
102,0.184176,0.256391
103,0.008773,0.056307
104,0.042799,0.042799
105,0.003113,0.000963
106,0.001097,0.000783
107,3.8e-05,3.8e-05
108,0.002255,0.000416
109,0.000526,0.000457
110,0.002588,0.004871
111,0.000748,0.001427
112,0.000187,0.001059
113,4.6e-05,0.000103
114,0.008766,0.002042
