bb_idx,MT_Repitope,WT_Repitope
0,0.30976,0.2764
1,0.30976,0.2764
2,0.30976,0.2764
3,0.30976,0.2764
4,0.30976,0.2764
5,0.30976,0.2764
6,0.40528,0.294
7,0.40528,0.294
8,0.40528,0.294
9,0.40528,0.294
10,0.40528,0.294
11,0.40528,0.294
12,0.35472,0.38048
13,0.35472,0.38048
14,0.35472,0.38048
15,0.35472,0.38048
16,0.35472,0.38048
17,0.35472,0.38048
18,0.26776,0.28512
19,0.26776,0.28512
20,0.26776,0.28512
21,0.26776,0.28512
22,0.26776,0.28512
23,0.26776,0.28512
24,0.31664,0.29048
25,0.31664,0.29048
26,0.31664,0.29048
27,0.31664,0.29048
28,0.31664,0.29048
29,0.31664,0.29048
30,0.45904,0.39504
31,0.45904,0.39504
32,0.45904,0.39504
33,0.45904,0.39504
34,0.45904,0.39504
35,0.45904,0.39504
36,0.32056,0.3532
37,0.32056,0.3532
38,0.32056,0.3532
39,0.32056,0.3532
40,0.32056,0.3532
41,0.32056,0.3532
42,0.34256,0.37672
43,0.34256,0.37672
44,0.34256,0.37672
45,0.34256,0.37672
46,0.34256,0.37672
47,0.34256,0.37672
48,0.38704,0.3288
49,0.38704,0.3288
50,0.38704,0.3288
51,0.38704,0.3288
52,0.38704,0.3288
53,0.38704,0.3288
54,0.43752,0.33688
55,0.43752,0.33688
56,0.43752,0.33688
57,0.43752,0.33688
58,0.43752,0.33688
59,0.43752,0.33688
60,0.42424,0.39832
61,0.42424,0.39832
62,0.42424,0.39832
63,0.42424,0.39832
64,0.42424,0.39832
65,0.42424,0.39832
66,0.14432,0.17888
67,0.14432,0.17888
68,0.14432,0.17888
69,0.14432,0.17888
70,0.14432,0.17888
71,0.14432,0.17888
72,0.2452,0.26392
73,0.2452,0.26392
74,0.2452,0.26392
75,0.2452,0.26392
76,0.2452,0.26392
77,0.2452,0.26392
78,0.36384,0.39936
79,0.36384,0.39936
80,0.36384,0.39936
81,0.44608,0.33776
82,0.44608,0.33776
83,0.44608,0.33776
84,0.2432,0.24752
85,0.2432,0.24752
86,0.2432,0.24752
87,0.1988,0.23096
88,0.1988,0.23096
89,0.1988,0.23096
90,0.43456,0.37952
91,0.43456,0.37952
92,0.43456,0.37952
93,0.38208,0.33008
94,0.38208,0.33008
95,0.38208,0.33008
96,0.31448,0.33576
97,0.31448,0.33576
98,0.31448,0.33576
99,0.34152,0.34088
100,0.34152,0.34088
101,0.34152,0.34088
102,0.4496,0.47456
103,0.4496,0.47456
104,0.4496,0.47456
105,0.1144,0.1004
106,0.1144,0.1004
107,0.1144,0.1004
108,0.31712,0.40192
109,0.31712,0.40192
110,0.31712,0.40192
111,0.31864,0.3048
112,0.31864,0.3048
113,0.31864,0.3048
114,0.25072,0.24784
115,0.25072,0.24784
116,0.25072,0.24784
117,0.41728,0.36912
118,0.41728,0.36912
119,0.41728,0.36912
120,0.37488,0.30584
121,0.37488,0.30584
122,0.37488,0.30584
123,0.42384,0.39384
124,0.42384,0.39384
125,0.42384,0.39384
126,0.42384,0.39384
127,0.42384,0.39384
128,0.42384,0.39384
129,0.34328,0.35544
130,0.34328,0.35544
131,0.34328,0.35544
132,0.34328,0.35544
133,0.34328,0.35544
134,0.34328,0.35544
135,0.20848,0.20408
136,0.20848,0.20408
137,0.20848,0.20408
138,0.20848,0.20408
139,0.20848,0.20408
140,0.20848,0.20408
141,0.23864,0.1788
142,0.23864,0.1788
143,0.23864,0.1788
144,0.23864,0.1788
145,0.23864,0.1788
146,0.23864,0.1788
147,0.31064,0.31184
