bb_idx,MT_CNNeo,WT_CNNeo
0,0.14934532,
1,0.8850008,
2,0.842426,
3,0.87342876,
4,0.19399162,
5,0.9146809,
6,0.8746233,
7,0.90972304,
8,0.15744491,
9,0.8961129,
10,0.8548938,
11,0.9210807,
12,0.14934532,
13,0.8850008,
14,0.842426,
15,0.87342876,
16,0.14934532,
17,0.8850008,
18,0.842426,
19,0.87342876,
20,0.20167962,
21,0.9129765,
22,0.87402564,
23,0.90236104,
24,0.18109387,
25,0.91151494,
26,0.8707178,
27,0.90236104,
28,0.17450298,
29,0.9046308,
30,0.86432666,
31,0.9134751,
32,0.2330931,
33,0.92136395,
34,0.88490397,
35,0.89254177,
36,0.19399162,
37,0.9146809,
38,0.8746233,
39,0.90972304,
40,0.16484365,
41,0.89660156,
42,0.85543174,
43,0.8956665,
44,0.18335511,
45,0.9103359,
46,0.8697774,
47,0.91612947,
48,0.14688717,
49,0.8769295,
50,0.8347196,
51,0.9192959,
52,0.20021123,
53,0.9183263,
54,0.8794724,
55,0.89748585,
56,0.13958938,
57,0.8603814,
58,0.8162703,
59,0.87342876,
60,0.19720958,
61,0.9080935,
62,0.86892474,
63,0.91612947,
64,0.19415928,
65,0.9084702,
66,0.8682907,
67,0.90689254,
68,0.162953,
69,0.88969964,
70,0.84877574,
71,0.9073143,
72,0.16484365,
73,0.89660156,
74,0.85543174,
75,0.8956665,
76,0.18109387,
77,0.91151494,
78,0.8707178,
79,0.90236104,
80,0.14597291,
81,0.87602156,
82,0.8344274,
83,0.9106547,
84,0.22547072,
85,0.92141426,
86,0.88412434,
87,0.92305243,
88,0.16041212,
89,0.89950037,
90,0.85855335,
91,0.9147188,
92,0.15744491,
93,0.8961129,
94,0.8548938,
95,0.9210807,
96,0.20021123,
97,0.9183263,
98,0.8794724,
99,0.89748585,
100,0.15637508,
101,0.87850034,
102,0.83500075,
103,0.9077715,
104,0.16484365,
105,0.89660156,
106,0.85543174,
107,0.8956665,
108,0.16484365,
109,0.89660156,
110,0.85543174,
111,0.8956665,
112,0.15877697,
113,0.8996078,
114,0.8579465,
115,0.91394585,
116,0.15744491,
117,0.8961129,
118,0.8548938,
119,0.9210807,
120,0.20021123,
121,0.9183263,
122,0.8794724,
123,0.89748585,
124,0.20021123,
125,0.9183263,
126,0.8794724,
127,0.89748585,
128,0.26127228,
129,0.9290284,
130,0.8954582,
131,0.89748585,
132,0.16341473,
133,0.8948609,
134,0.8537567,
135,0.91394585,
136,0.15877697,
137,0.8996078,
138,0.8579465,
139,0.91394585,
140,0.15744491,
141,0.8961129,
142,0.8548938,
143,0.9210807,
144,0.15744491,
145,0.8961129,
146,0.8548938,
147,0.93389267,
148,0.26508287,
149,0.6112616,
150,0.83941185,
151,0.2877017,
152,0.70512867,
153,0.8701962,
154,0.6432474,
155,0.6303484,
156,0.9046035,
157,0.18474708,
158,0.6112616,
159,0.8245076,
160,0.38148093,
161,0.5513012,
162,0.88233167,
163,0.50238293,
164,0.5293954,
