bb_idx,MT_IEDB_Calis,WT_IEDB_Calis
0,0.10793,
1,0.10793,
2,0.10793,
3,0.10793,
4,0.11035,
5,0.11035,
6,0.11035,
7,0.11035,
8,0.02624,
9,0.02624,
10,0.02624,
11,0.02624,
12,-0.01013,
13,-0.01013,
14,-0.01013,
15,-0.01013,
16,-0.03019,
17,-0.03019,
18,-0.03019,
19,-0.03019,
20,-0.16599,
21,-0.16599,
22,-0.16599,
23,-0.16599,
24,-0.20145,
25,-0.20145,
26,-0.20145,
27,-0.20145,
28,0.22028,
29,0.22028,
30,0.22028,
31,0.22028,
32,0.35345,
33,0.35345,
34,0.35345,
35,0.35345,
36,0.32801,
37,0.32801,
38,0.32801,
39,0.32801,
40,0.22263,
41,0.22263,
42,0.22263,
43,0.22263,
44,0.15649,
45,0.15649,
46,0.15649,
47,0.15649,
48,0.17394,
49,0.17394,
50,0.17394,
51,0.17394,
52,0.0937,
53,0.0937,
54,0.0937,
55,0.0937,
56,-0.07028,
57,-0.07028,
58,-0.07028,
59,-0.07028,
60,-0.05916,
61,-0.05916,
62,-0.05916,
63,-0.05916,
64,-0.00665,
65,-0.00665,
66,-0.00665,
67,-0.00665,
68,0.00937,
69,0.00937,
70,0.00937,
71,0.00937,
72,-0.09103,
73,-0.09103,
74,-0.09103,
75,-0.09103,
76,-0.0204,
77,-0.0204,
78,-0.0204,
79,-0.0204,
80,-0.05846,
81,-0.05846,
82,-0.05846,
83,-0.05846,
84,-0.11483,
85,-0.11483,
86,-0.11483,
87,-0.11483,
88,-0.2533,
89,-0.2533,
90,-0.2533,
91,-0.2533,
92,-0.19316,
93,-0.19316,
94,-0.19316,
95,-0.19316,
96,-0.08835,
97,-0.08835,
98,-0.08835,
99,-0.08835,
100,-0.06302,
101,-0.06302,
102,-0.06302,
103,-0.06302,
104,-0.17804,
105,-0.17804,
106,-0.17804,
107,-0.17804,
108,-0.1851,
109,-0.1851,
110,-0.1851,
111,-0.1851,
112,-0.17494,
113,-0.17494,
114,-0.17494,
115,-0.17494,
116,-0.19084,
117,-0.19084,
118,-0.19084,
119,-0.19084,
120,-0.22895,
121,-0.22895,
122,-0.22895,
123,-0.22895,
124,-0.22707,
125,-0.22707,
126,-0.22707,
127,-0.22707,
128,-0.19794,
129,-0.19794,
130,-0.19794,
131,-0.19794,
132,-0.24375,
133,-0.24375,
134,-0.24375,
135,-0.24375,
136,-0.41721,
137,-0.41721,
138,-0.41721,
139,-0.41721,
140,-0.35181,
141,-0.35181,
142,-0.35181,
143,-0.35181,
144,-0.17996,
145,-0.17996,
146,-0.17996,
147,-0.17996,
148,-0.21575,
149,-0.21575,
150,-0.21575,
151,-0.17379,
152,-0.17379,
153,-0.17379,
154,-0.17766,
155,-0.17766,
156,-0.17766,
157,-0.20223,
158,-0.20223,
159,-0.20223,
160,-0.21034,
161,-0.21034,
162,-0.21034,
163,0.00337,
164,0.00337,
165,0.00337,
166,0.13869,
167,0.13869,
168,0.13869,
169,0.23153,
170,0.23153,
171,0.23153,
172,0.33313,
173,0.33313,
174,0.33313,
175,0.37357,
176,0.37357,
177,0.37357,
178,0.20353,
179,0.20353,
180,0.20353,
181,0.01173,
182,0.01173,
183,0.01173,
184,-0.00294,
185,-0.00294,
186,-0.00294,
187,-0.06251,
188,-0.06251,
189,-0.06251,
190,-0.08722,
191,-0.08722,
192,-0.08722,
193,-0.06824,
194,-0.06824,
195,-0.06824,
196,0.08334,
197,0.08334,
198,0.08334,
199,0.14994,
200,0.14994,
201,0.14994,
202,0.15867,
203,0.15867,
204,0.15867,
205,0.11937,
206,0.11937,
207,0.11937,
208,0.09434,
209,0.09434,
210,0.09434,
211,-0.06895,
212,-0.06895,
213,-0.06895,
214,-0.23667,
215,-0.23667,
216,-0.23667,
217,-0.171,
218,-0.171,
219,-0.171,
220,-0.13389,
221,-0.13389,
222,-0.13389,
223,-0.30126,
224,-0.30126,
225,-0.30126,
226,-0.04253,-0.02741
227,-0.10951,-0.08767
228,0.09347,0.11783
229,-0.07203,-0.04683
230,0.06275,0.08879
231,0.07625,0.07625
232,0.04253,0.04253
233,0.00439,0.00439
234,0.22848,0.22848
235,0.1301,0.1301
236,0.04456,0.04456
237,-0.23588,-0.23588
238,-0.47636,-0.47636
239,-0.593,-0.593
240,-0.3727,-0.3727
241,-0.33796,-0.33796
242,-0.11881,-0.11881
243,0.02085,
244,0.02085,
245,0.06415,
246,0.05335,
247,0.05335,
248,0.05335,
249,0.07266,
250,0.07266,
251,0.09396,
252,0.08316,
253,0.08316,
254,0.08316,
255,0.05313,
256,0.05313,
257,0.06033,
258,0.04953,
259,0.04953,
260,0.04953,
261,0.04138,
262,0.04138,
263,0.00628,
264,0.03778,
265,0.03778,
266,0.03778,
267,0.03727,
268,0.03727,
269,-0.09593,
270,0.03367,
271,0.03367,
272,0.03367,
273,-0.09534,
274,-0.09534,
275,0.02796,
276,-0.08484,
277,-0.08484,
278,-0.08484,
279,-0.25456,
280,-0.25456,
281,-0.20056,
282,-0.21136,
283,-0.21136,
284,-0.21136,
285,-0.24727,
286,-0.24727,
287,-0.27407,
288,-0.28487,
289,-0.28487,
290,-0.28487,
291,0.07887,0.07887
292,-0.0453,-0.0453
293,-0.15003,-0.15003
294,-0.16962,-0.16962
295,-0.20412,-0.20412
296,-0.20484,-0.20484
297,-0.1569,-0.1569
298,-0.30545,-0.30545
299,-0.28346,-0.33854
300,-0.27597,-0.35553
301,-0.24922,-0.33796
302,-0.0922,-0.184
303,0.15311,0.15311
304,0.03726,0.03726
305,0.01791,0.01791
306,-0.06371,-0.06371
307,-0.09818,-0.09818
308,-0.11574,-0.11574
309,-0.02666,-0.20702
310,-0.00544,-0.26596
311,0.20388,-0.0867
312,0.26305,-0.03755
313,0.24207,-0.06855
314,0.19894,
315,0.17826,
316,0.17976,
317,0.15036,
318,0.1223,
319,-0.00578,
320,-0.0362,
321,-0.09399,
322,-0.07078,
323,-0.07932,
324,0.00484,
325,-0.05543,
326,-0.05601,
327,-0.0604,
328,-0.15951,-0.15951
329,-0.0747,-0.0747
330,0.17212,0.17212
331,0.13724,0.13724
332,0.12309,0.12309
333,0.19978,0.19978
334,0.1074,0.1074
335,0.14777,0.15461
336,0.07454,0.08442
337,0.02773,0.03875
338,-0.14465,-0.13325
339,-0.15528,-0.15528
340,-0.126,-0.126
341,0.01915,0.01915
342,0.05574,0.05574
343,0.08519,0.08519
344,0.13851,0.13851
345,0.11153,0.11153
346,0.35557,0.32497
347,0.30227,0.25807
348,0.2129,0.1636
349,0.19018,0.13918
350,0.04826,-0.00444
351,-0.00298,-0.00298
352,-0.04824,-0.04824
353,0.37601,0.36557
354,0.29855,0.28347
355,0.2184,0.20158
356,0.07982,0.06242
357,-0.20346,-0.22144
358,-0.42395,-0.42395
359,-0.57806,-0.57806
360,-0.64896,-0.64896
361,-0.50729,-0.50729
362,0.19266,0.19266
363,0.05408,0.05408
364,-0.17326,-0.17326
365,-0.3602,-0.1757
366,-0.6869,-0.4204
367,-0.7922,-0.49495
368,-0.57116,-0.26366
369,-0.3579,-0.04015
370,-0.12484,-0.12484
371,0.03498,0.03498
372,-0.0019,-0.0019
373,-0.03464,-0.03464
374,-0.13956,-0.13956
375,-0.17036,-0.17036
376,-0.02358,-0.02358
377,-0.19499,-0.19499
378,-0.00466,-0.00466
379,0.07956,0.07956
380,0.07223,0.07223
381,0.27696,0.27696
382,0.29573,0.29573
383,0.15636,0.15636
384,0.01498,0.01498
385,0.04594,-0.13856
386,0.00463,0.00463
387,-0.01508,-0.01508
388,-0.02186,-0.02186
389,-0.02829,-0.02829
390,0.17473,0.17473
391,0.26705,0.26705
392,0.19965,0.19965
393,0.23282,0.23282
394,0.21754,0.21754
395,0.08913,0.08913
396,0.03045,0.03045
397,-0.02118,-0.02118
398,-0.0715,-0.0715
399,-0.16876,-0.1792
400,0.05502,0.03994
401,-0.1086,-0.12542
402,-0.07544,-0.09284
403,-0.02654,-0.04452
404,-0.03262,-0.03262
405,-0.01337,-0.01337
406,0.26988,0.26988
407,0.15735,0.15735
408,0.14597,0.14597
409,0.1243,0.1243
410,-0.11034,-0.11034
411,-0.09801,-0.09801
412,-0.13337,-0.07217
413,-0.08713,0.00127
414,-0.22008,-0.12148
415,-0.23534,-0.13334
416,-0.35294,-0.24754
417,-0.09923,-0.09923
418,0.08329,0.08329
419,0.09123,0.09123
420,0.03284,0.03284
421,-0.01119,-0.01119
422,-0.13428,-0.13428
423,-0.22088,-0.22088
424,-0.2408,-0.2408
425,-0.22206,-0.30864
426,-0.19204,-0.3171
427,0.06603,-0.07346
428,0.09231,-0.05199
429,0.10317,-0.04594
430,0.10035,0.10035
431,0.06769,
432,0.06769,
433,0.09119,
434,0.08039,
435,0.08039,
436,0.08039,
437,0.08589,
438,0.08589,
439,0.04419,
440,0.08229,
441,0.08229,
442,0.08229,
443,0.09353,
444,0.09353,
445,0.05183,
446,0.08993,
447,0.08993,
448,0.08993,
449,0.07543,
450,0.07543,
451,0.05513,
452,0.08813,
453,0.08813,
454,0.08813,
455,0.07612,
456,0.07612,
457,0.09962,
458,0.08882,
459,0.08882,
460,0.08882,
461,0.08141,
462,0.08141,
463,0.10321,
464,0.09241,
465,0.09241,
466,0.09241,
467,0.13892,
468,0.13892,
469,0.09722,
470,0.13532,
471,0.13532,
472,0.13532,
473,0.2997,
474,0.2997,
475,0.2457,
476,0.2961,
477,0.2961,
478,0.2961,
479,0.34564,
480,0.34564,
481,0.32024,
482,0.35834,
483,0.35834,
484,0.35834,
485,0.38538,
486,0.38538,
487,0.35178,
488,0.40218,
489,0.40218,
490,0.40218,
491,0.40686,
492,0.40686,
493,0.20386,
494,0.41956,
495,0.41956,
496,0.41956,
497,0.40702,
498,0.40702,
499,0.39082,
500,0.42382,
501,0.42382,
502,0.42382,
503,0.1965,
504,0.1965,
505,0.1709,
506,0.2684,
507,0.2684,
508,0.2684,
509,0.16157,
510,0.16157,
511,0.13477,
512,0.17257,
513,0.17257,
514,0.17257,
515,0.27182,0.27182
516,0.11278,0.11278
517,-0.0774,-0.0774
518,-0.14694,-0.14694
519,-0.1929,-0.1929
520,-0.21724,-0.21724
521,0.03352,0.03226
522,0.05246,0.05064
523,0.08884,0.08681
524,0.03664,0.03454
525,5e-05,-0.00212
526,-0.32775,
527,-0.32775,
528,-0.11985,
529,-0.32985,
530,-0.32985,
531,-0.32985,
532,-0.28118,
533,-0.28118,
534,-0.12368,
535,-0.28478,
536,-0.28478,
537,-0.28478,
538,-0.02714,
539,-0.02714,
540,-0.08634,
541,-0.09714,
542,-0.09714,
543,-0.09714,
544,0.05953,
545,0.05953,
546,-0.09167,
547,0.00583,
548,0.00583,
549,0.00583,
550,0.09456,
551,0.09456,
552,0.05286,
553,0.09096,
554,0.09096,
555,0.09096,
556,-0.09042,
557,-0.09042,
558,-0.09602,
559,-0.05792,
560,-0.05792,
561,-0.05792,
562,-0.08934,
563,-0.08934,
564,0.08446,
565,-0.07664,
566,-0.07664,
567,-0.07664,
568,-0.11886,
569,-0.11886,
570,-0.20366,
571,-0.10616,
572,-0.10616,
573,-0.10616,
574,-0.07043,
575,-0.07043,
576,0.03697,
577,-0.12413,
578,-0.12413,
579,-0.12413,
580,-0.19907,
581,-0.19907,
582,-0.29617,
583,-0.16657,
584,-0.16657,
585,-0.16657,
586,-0.00596,
587,-0.00596,
588,-0.04886,
589,-0.05966,
590,-0.05966,
591,-0.05966,
592,-0.10608,
593,-0.10608,
594,0.14712,
595,-0.06288,
596,-0.06288,
597,-0.06288,
598,-0.0889,
599,-0.0889,
600,-0.1429,
601,-0.0925,
602,-0.0925,
603,-0.0925,
604,0.03096,
605,0.03096,
606,-0.08944,
607,-0.03904,
608,-0.03904,
609,-0.03904,
610,-0.19041,
611,-0.19041,
612,-0.21141,
613,-0.17361,
614,-0.17361,
615,-0.17361,
616,-0.44054,
617,-0.44054,
618,-0.41744,
619,-0.42374,
620,-0.42374,
621,-0.42374,
622,-0.68851,
623,-0.68851,
624,-0.50491,
625,-0.67591,
626,-0.67591,
627,-0.67591,
628,-0.77818,
629,-0.77818,
630,-0.57028,
631,-0.78028,
632,-0.78028,
633,-0.78028,
634,-0.64314,
635,-0.64314,
636,-0.49014,
637,-0.70014,
638,-0.70014,
639,-0.70014,
640,-0.12822,
641,-0.01902,
642,-0.13182,
643,-0.25372,
644,-0.30772,
645,-0.25732,
646,-0.28953,
647,-0.37753,
648,-0.32713,
649,-0.27495,
650,-0.09705,
651,-0.25815,
652,-0.26612,
653,-0.08822,
654,-0.24932,
655,-0.0527,
656,0.0547,
657,-0.1064,
658,0.03405,
659,-0.23535,
660,-0.01965,
661,0.16373,
662,0.05963,
663,0.11003,
664,-0.08169,
665,-0.04759,
666,-0.00979,
667,-0.11898,
668,0.05892,
669,-0.10218,
670,-0.13201,
671,-0.10861,
672,-0.11941,
673,0.04115,
674,-0.00175,
675,-0.01255,
676,-0.0527,
677,0.0547,
678,-0.1064,
679,0.03405,
680,-0.23535,
681,-0.01965,
682,0.16373,
683,0.05963,
684,0.11003,
685,-0.08169,
686,-0.04759,
687,-0.00979,
688,-0.11898,
689,0.05892,
690,-0.10218,
691,-0.13201,
692,-0.10861,
693,-0.11941,
694,0.04115,
695,-0.00175,
696,-0.01255,
697,0.04599,
698,0.00459,
699,0.04239,
700,0.24838,
701,-0.03732,
702,0.17838,
703,0.19921,
704,0.21541,
705,0.21181,
706,-0.01193,
707,0.02697,
708,0.05997,
709,-0.00802,
710,0.04328,
711,-0.00922,
712,-0.11164,
713,-0.08984,
714,-0.10064,
715,-0.15554,
716,-0.20454,
717,-0.17304,
718,-0.18883,
719,-0.18163,
720,-0.19243,
721,-0.26046,
722,-0.26046,
723,-0.26046,
724,-0.26046,
725,-0.26046,
726,-0.35766,
727,-0.35766,
728,-0.35766,
729,-0.35766,
730,-0.35766,
731,-0.32145,
732,-0.32145,
733,-0.32145,
734,-0.32145,
735,-0.32145,
736,-0.36102,
737,-0.36102,
738,-0.36102,
739,-0.36102,
740,-0.36102,
741,-0.24131,
742,-0.24131,
743,-0.24131,
744,-0.24131,
745,-0.24131,
746,-0.04514,
747,-0.04514,
748,-0.04514,
749,-0.04514,
750,-0.04514,
751,0.0843,
752,0.0843,
753,0.0843,
754,0.0843,
755,0.0843,
756,-0.08246,
757,-0.08246,
758,-0.08246,
759,-0.08246,
760,-0.08246,
761,-0.19118,
762,-0.19118,
763,-0.19118,
764,-0.19118,
765,-0.19118,
766,-0.16002,
767,-0.16002,
768,-0.16002,
769,-0.16002,
770,-0.16002,
771,-0.14934,
772,-0.14934,
773,-0.14934,
774,-0.14934,
775,-0.14934,
776,-0.07273,
777,-0.07273,
778,-0.07273,
779,-0.07273,
780,-0.07273,
781,0.14498,
782,0.14498,
783,0.14498,
784,0.14498,
785,0.14498,
786,0.23525,
787,0.23525,
788,0.23525,
789,0.23525,
790,0.23525,
791,0.08282,
792,0.08282,
793,0.08282,
794,0.08282,
795,0.08282,
796,-0.20228,
797,-0.20228,
798,-0.20228,
799,-0.20228,
800,-0.20228,
801,-0.36368,
802,-0.36368,
803,-0.36368,
804,-0.36368,
805,-0.36368,
806,-0.46721,
807,-0.46721,
808,-0.46721,
809,-0.46721,
810,-0.46721,
811,-0.40474,
812,-0.40474,
813,-0.40474,
814,-0.40474,
815,-0.40474,
816,-0.13847,
817,-0.13847,
818,-0.13847,
819,-0.13847,
820,-0.13847,
821,0.00448,
822,0.00448,
823,0.00448,
824,0.00448,
825,0.00448,
826,0.17664,
827,0.17664,
828,0.17664,
829,0.17664,
830,0.17664,
831,0.28818,
832,0.28818,
833,0.28818,
834,0.28818,
835,0.28818,
836,0.15348,
837,0.15348,
838,0.15348,
839,0.15348,
840,0.15348,
841,0.31703,
842,0.31703,
843,0.30983,
844,0.31703,
845,0.29395,
846,0.29395,
847,0.28295,
848,0.29395,
849,0.32111,
850,0.32111,
851,0.32471,
852,0.32111,
853,0.24475,
854,0.24475,
855,0.17285,
856,0.24475,
857,0.1537,
858,0.1537,
859,0.1212,
860,0.1537,
861,0.17853,
862,0.17853,
863,0.18213,
864,0.17853,
865,0.23388,
866,0.23388,
867,0.23748,
868,0.23388,
869,-0.11246,
870,-0.11246,
871,-0.12516,
872,-0.11246,
873,-0.0995,
874,-0.0995,
875,-0.0959,
876,-0.0995,
877,-0.17524,
878,-0.17524,
879,-0.17164,
880,-0.17524,
881,-0.21116,
882,-0.21116,
883,-0.21836,
884,-0.21116,
885,-0.11017,
886,-0.11017,
887,-0.05317,
888,-0.11017,
889,-0.01667,
890,-0.01667,
891,-0.03007,
892,-0.01667,
893,0.09621,
894,0.09621,
895,0.08281,
896,0.09621,
897,0.32369,
898,0.32369,
899,0.37739,
900,0.32369,
901,0.42615,
902,0.42615,
903,0.41565,
904,0.42615,
905,0.48299,
906,0.48299,
907,0.48659,
908,0.48299,
909,-0.50604,
910,-0.50604,
911,-0.50244,
912,-0.50604,
913,-0.47868,
914,-0.47868,
915,-0.44108,
916,-0.47868,
917,-0.2994,
918,-0.2994,
919,-0.2294,
920,-0.2994,
921,-0.20578,
922,-0.20578,
923,-0.20218,
924,-0.20578,
925,-0.09392,
926,-0.09392,
927,-0.05632,
928,-0.09392,
929,-0.06035,
930,-0.06035,
931,-0.02275,
932,-0.06035,
933,0.07685,
934,0.07685,
935,0.08045,
936,0.07685,
937,0.12886,
938,0.12886,
939,0.12166,
940,0.12886,
941,0.14874,
942,0.14874,
943,0.13824,
944,0.14874,
945,0.15097,
946,0.15097,
947,0.13827,
948,0.15097,
949,0.20618,
950,0.20618,
951,0.25988,
952,0.20618,
953,0.07872,
954,0.07872,
955,0.00682,
956,0.07872,
957,-0.22287,
958,-0.22287,
959,-0.23967,
960,-0.22287,
961,-0.22769,
962,-0.22769,
963,-0.22409,
964,-0.22769,
965,-0.07457,
966,-0.07457,
967,-0.02087,
968,-0.07457,
969,-0.0042,
970,-0.0042,
971,-0.0169,
972,-0.0042,
973,0.10124,
974,0.10124,
975,0.13884,
976,0.10124,
977,0.1567,
978,0.1567,
979,0.1603,
980,0.1567,
981,0.13114,
982,0.13114,
983,0.11854,
984,0.13114,
985,0.10494,
986,0.10494,
987,0.08814,
988,0.10494,
989,0.0562,
990,0.0562,
991,0.0394,
992,0.0562,
993,-0.08015,
994,-0.08015,
995,-0.09115,
996,-0.08015,
997,-0.1332,
998,-0.1332,
999,-0.1296,
1000,-0.1332,
1001,-0.1466,
1002,-0.1466,
1003,-0.143,
1004,-0.1466,
1005,-0.15668,
1006,-0.15668,
1007,-0.16938,
1008,-0.15668,
1009,-0.25521,
1010,-0.25521,
1011,-0.25161,
1012,-0.25521,
1013,-0.18522,
1014,-0.18522,
1015,-0.13152,
1016,-0.18522,
1017,0.25962,
1018,0.22162,
1019,0.25962,
1020,0.20554,
1021,0.19284,
1022,0.20554,
1023,0.23817,
1024,0.22477,
1025,0.23817,
1026,0.21859,
1027,0.18609,
1028,0.21859,
1029,0.2517,
1030,0.2383,
1031,0.2517,
1032,0.28489,
1033,0.27769,
1034,0.28489,
1035,0.30258,
1036,0.30468,
1037,0.30258,
1038,0.22478,
1039,0.18678,
1040,0.22478,
1041,0.14882,
1042,0.13202,
1043,0.14882,
1044,0.04388,
1045,0.00588,
1046,0.04388,
1047,0.03369,
1048,0.02109,
1049,0.03369,
1050,0.07586,
1051,0.07946,
1052,0.07586,
1053,0.16587,
1054,0.09397,
1055,0.16587,
1056,0.07429,
1057,0.06159,
1058,0.07429,
1059,0.0246,
1060,0.0078,
1061,0.0246,
1062,-0.14667,
1063,-0.16007,
1064,-0.14667,
1065,-0.25238,
1066,-0.26508,
1067,-0.25238,
1068,-0.30534,
1069,-0.26774,
1070,-0.30534,
1071,-0.33174,
1072,-0.34854,
1073,-0.33174,
1074,-0.32413,
1075,-0.32053,
1076,-0.32413,
1077,-0.22972,
1078,-0.15972,
1079,-0.22972,
1080,-0.30731,
1081,-0.30371,
1082,-0.30731,
1083,-0.25744,
1084,-0.20374,
1085,-0.25744,
1086,-0.12482,
1087,-0.13742,
1088,-0.12482,
1089,-0.13278,
1090,-0.14958,
1091,-0.13278,
1092,-0.06553,
1093,-0.02793,
1094,-0.06553,
1095,0.14504,
1096,0.21504,
1097,0.14504,
1098,0.25615,
1099,0.25735,
1100,0.25615,
1101,0.11305,
1102,0.04115,
1103,0.11305,
1104,0.04404,
1105,0.04764,
1106,0.04404,
1107,0.04729,
1108,0.05089,
1109,0.04729,
1110,0.0514,
1111,0.0387,
1112,0.0514,
1113,0.04656,
1114,0.03396,
1115,0.04656,
1116,0.07482,
1117,0.07842,
1118,0.07482,
1119,0.06798,
1120,0.07158,
1121,0.06798,
1122,0.06475,
1123,0.06835,
1124,0.06475,
1125,-0.06941,
1126,-0.08621,
1127,-0.06941,
1128,0.16587,
1129,0.09397,
1130,0.16587,
1131,0.07429,
1132,0.06159,
1133,0.07429,
1134,0.0246,
1135,0.0078,
1136,0.0246,
1137,-0.14667,
1138,-0.16007,
1139,-0.14667,
1140,-0.25238,
1141,-0.26508,
1142,-0.25238,
1143,-0.30534,
1144,-0.26774,
1145,-0.30534,
1146,-0.33174,
1147,-0.34854,
1148,-0.33174,
1149,-0.32413,
1150,-0.32053,
1151,-0.32413,
1152,-0.22972,
1153,-0.15972,
1154,-0.22972,
1155,-0.30731,
1156,-0.30371,
1157,-0.30731,
1158,-0.25744,
1159,-0.20374,
1160,-0.25744,
1161,-0.12482,
1162,-0.13742,
1163,-0.12482,
1164,-0.13278,
1165,-0.14958,
1166,-0.13278,
1167,-0.06553,
1168,-0.02793,
1169,-0.06553,
1170,0.14504,
1171,0.21504,
1172,0.14504,
