bb_idx,MT_MHCnuggets,WT_MHCnuggets
0,-13427.37,
1,-30953.19,
2,-6014.02,
3,-4602.63,
4,-10240.14,
5,-38076.43,
6,-6052.01,
7,-1025.0,
8,-5986.08,
9,-38048.23,
10,-5882.53,
11,-15058.26,
12,-16518.45,
13,-39175.37,
14,-5985.11,
15,-2305.86,
16,-11519.49,
17,-39230.31,
18,-5997.64,
19,-2829.58,
20,-16973.05,
21,-39103.34,
22,-6021.07,
23,-12726.54,
24,-21416.13,
25,-39922.93,
26,-6021.72,
27,-212.88,
28,-12636.83,
29,-24979.24,
30,-6016.48,
31,-36259.32,
32,-12932.05,
33,-18782.86,
34,-5984.2,
35,-32360.75,
36,-14385.49,
37,-29785.57,
38,-5987.16,
39,-604.8,
40,-15680.92,
41,-38670.53,
42,-6093.4,
43,-20600.1,
44,-1200.79,
45,-34497.2,
46,-6068.4,
47,-481.94,
48,-8689.8,
49,-38024.86,
50,-3359.31,
51,-368.45,
52,-7958.47,
53,-37749.0,
54,-6072.65,
55,-20967.78,
56,-11695.65,
57,-38642.59,
58,-6096.51,
59,-20340.9,
60,-3702.06,
61,-37502.26,
62,-2996.9,
63,-26369.73,
64,-2151.31,
65,-38718.84,
66,-6031.17,
67,-11316.33,
68,-15460.07,
69,-35091.7,
70,-6041.1,
71,-20297.49,
72,-17903.89,
73,-39645.58,
74,-6113.08,
75,-31006.43,
76,-9504.22,
77,-37196.75,
78,-6042.62,
79,-8422.64,
80,-9385.47,
81,-35424.41,
82,-6147.54,
83,-32648.0,
84,-6805.37,
85,-12699.54,
86,-6041.7,
87,-39657.22,
88,-16562.94,
89,-37190.63,
90,-6091.28,
91,-38908.33,
92,-11659.9,
93,-37140.2,
94,-5981.66,
95,-27170.44,
96,-5841.42,
97,-39201.77,
98,-5977.97,
99,-23130.8,
100,-7192.22,
101,-38569.96,
102,-6034.85,
103,-38609.25,
104,-18024.74,
105,-38575.67,
106,-6036.32,
107,-38438.62,
108,-14143.2,
109,-39187.02,
110,-5965.31,
111,-41069.0,
112,-2290.35,
113,-38572.08,
114,-5868.98,
115,-13516.18,
116,-9113.79,
117,-37556.53,
118,-5744.28,
119,-4113.28,
120,-15410.45,
121,-38565.48,
122,-5974.49,
123,-22282.65,
124,-16222.42,
125,-39367.19,
126,-5861.68,
127,-17341.35,
128,-14661.39,
129,-39185.14,
130,-5765.25,
131,-28937.38,
132,-12589.99,
133,-38855.15,
134,-6010.8,
135,-31441.39,
136,-21947.75,
137,-40105.97,
138,-5931.86,
139,-28860.13,
140,-18067.94,
141,-39143.41,
142,-6006.69,
143,-33543.74,
144,-9194.55,
145,-39306.92,
146,-6060.11,
147,-38816.61,
148,-5645.47,
149,-28099.66,
150,-21509.55,
151,-5618.02,
152,-17302.89,
153,-28571.74,
154,-5583.62,
155,-22653.08,
156,-27972.55,
157,-4112.06,
158,-11561.4,
159,-13938.92,
160,-5586.71,
161,-11261.47,
162,-7172.86,
163,-5538.91,
164,-7072.72,
165,-3788.69,
166,-5624.15,
167,-25501.87,
168,-22708.14,
169,-5601.29,
170,-22743.1,
171,-30894.81,
172,-5529.64,
173,-13830.98,
174,-24365.79,
175,-5627.82,
176,-24576.29,
177,-27513.63,
178,-5616.96,
179,-28296.9,
180,-24645.19,
181,-5622.19,
182,-14132.48,
183,-14261.49,
184,-5630.69,
185,-20745.27,
186,-19451.84,
187,-5920.79,
188,-21114.93,
189,-24544.08,
190,-5659.31,
191,-24294.43,
192,-28922.1,
193,-5644.66,
194,-22788.62,
195,-28057.01,
196,-5681.03,
197,-28751.88,
198,-28500.39,
199,-5602.44,
200,-28398.93,
201,-32373.49,
202,-5597.65,
203,-25353.99,
204,-25383.01,
205,-5575.73,
206,-27964.94,
207,-25442.76,
208,-5597.43,
209,-26533.83,
210,-2058.96,
211,-5668.74,
212,-27999.11,
213,-13629.81,
214,-5606.38,
215,-32359.51,
216,-28974.33,
217,-5610.76,
218,-13732.45,
219,-7218.17,
220,-5582.98,
221,-31691.49,
222,-23609.71,
223,-4920.53,
224,-20477.07,
225,-24703.12,
226,-26311.95,-38204.14
227,-17437.61,-34501.53
228,-19101.9,-32429.84
229,-31081.99,-34881.81
230,-40728.49,-42662.41
231,-31403.01,-37447.55
232,-9820.34,-32421.58
233,-23945.52,-34455.9
234,-25113.33,-25113.33
235,-32687.18,-32687.18
236,-333.76,-333.76
237,-9477.7,-9477.7
238,-8855.7,-8855.7
239,-19771.89,-19771.89
240,-11558.87,-11558.87
241,-11117.9,-11117.9
242,-75.42,-75.42
243,-5436.52,
244,-11361.61,
245,-30347.06,
246,-33553.47,
247,-16525.0,
248,-23170.06,
249,-5433.48,
250,-34189.19,
251,-33492.98,
252,-32822.97,
253,-25397.81,
254,-32215.69,
255,-5439.79,
256,-30427.96,
