bb_idx,MT_NetTepi,WT_NetTepi
0,,
1,0.045,
2,,
3,,
4,,
5,0.035,
6,,
7,,
8,,
9,0.029,
10,,
11,,
12,,
13,0.021,
14,,
15,,
16,,
17,0.025,
18,,
19,,
20,,
21,0.01,
22,,
23,,
24,,
25,0.02,
26,,
27,,
28,,
29,0.059,
30,,
31,,
32,,
33,0.098,
34,,
35,,
36,,
37,0.127,
38,,
39,,
40,,
41,0.049,
42,,
43,,
44,,
45,0.093,
46,,
47,,
48,,
49,0.081,
50,,
51,,
52,,
53,0.04,
54,,
55,,
56,,
57,0.023,
58,,
59,,
60,,
61,0.024,
62,,
63,,
64,,
65,0.031,
66,,
67,,
68,,
69,0.042,
70,,
71,,
72,,
73,0.015,
74,,
75,,
76,,
77,0.029,
78,,
79,,
80,,
81,0.038,
82,,
83,,
84,,
85,0.049,
86,,
87,,
88,,
89,0.0,
90,,
91,,
92,,
93,0.037,
94,,
95,,
96,,
97,0.029,
98,,
99,,
100,,
101,0.018,
102,,
103,,
104,,
105,0.001,
106,,
107,,
108,,
109,0.003,
110,,
111,,
112,,
113,0.008,
114,,
115,,
116,,
117,0.013,
118,,
119,,
120,,
121,0.009,
122,,
123,,
124,,
125,0.009,
126,,
127,,
128,,
129,0.008,
130,,
131,,
132,,
133,0.007,
134,,
135,,
136,,
137,0.006,
138,,
139,,
140,,
141,-0.01,
142,,
143,,
144,,
145,0.013,
146,,
147,,
148,0.101,
149,,
150,,
151,0.012,
152,,
153,,
154,0.012,
155,,
156,,
157,0.233,
158,,
159,,
160,0.01,
161,,
162,,
163,0.075,
164,,
165,,
166,0.036,
167,,
168,,
169,0.049,
170,,
171,,
172,0.079,
173,,
174,,
175,0.063,
176,,
177,,
178,0.044,
179,,
180,,
181,0.261,
182,,
183,,
184,0.038,
185,,
186,,
187,0.099,
188,,
189,,
190,0.233,
191,,
192,,
193,0.034,
194,,
195,,
196,0.037,
197,,
198,,
199,0.05,
200,,
201,,
202,0.116,
203,,
204,,
205,0.059,
206,,
207,,
208,0.054,
209,,
210,,
211,0.071,
212,,
213,,
214,0.002,
215,,
216,,
217,0.058,
218,,
219,,
220,0.02,
221,,
222,,
223,0.229,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,0.049,
244,,
245,,
246,,
247,,
248,,
249,0.04,
250,,
251,,
252,,
253,,
254,,
255,0.044,
256,,
257,,
258,,
259,,
260,,
261,0.051,
262,,
263,,
264,,
265,,
266,,
267,0.04,
268,,
269,,
270,,
271,,
272,,
273,0.031,
274,,
275,,
276,,
277,,
278,,
279,0.018,
280,,
281,,
282,,
283,,
284,,
285,0.032,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,,
382,,
383,,
384,,
385,,
386,,
387,,
388,,
389,,
390,,
391,,
392,,
393,,
394,,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
409,,
410,,
411,,
412,,
413,,
414,,
415,,
416,,
417,,
418,,
419,,
420,,
421,,
422,,
423,,
424,,
425,,
426,,
427,,
428,,
429,,
430,,
431,0.038,
432,,
433,,
434,,
435,,
436,,
437,0.039,
438,,
439,,
440,,
441,,
442,,
443,0.047,
444,,
445,,
446,,
447,,
448,,
449,0.045,
450,,
451,,
452,,
453,,
454,,
455,0.051,
456,,
457,,
458,,
459,,
460,,
461,0.046,
462,,
463,,
464,,
465,,
466,,
467,0.048,
468,,
469,,
470,,
471,,
472,,
473,0.059,
474,,
475,,
476,,
477,,
478,,
479,0.067,
480,,
481,,
482,,
483,,
484,,
485,0.071,
486,,
487,,
488,,
489,,
490,,
491,0.092,
492,,
493,,
494,,
495,,
496,,
497,0.083,
498,,
499,,
500,,
501,,
502,,
503,0.073,
504,,
505,,
506,,
507,,
508,,
509,0.054,
510,,
511,,
512,,
513,,
514,,
515,,
516,,
517,,
518,,
519,,
520,,
521,,
522,,
523,,
524,,
525,,
526,0.02,
527,,
528,,
529,,
530,,
531,,
532,0.014,
533,,
534,,
535,,
536,,
537,,
538,0.026,
539,,
540,,
541,,
542,,
543,,
544,0.029,
545,,
546,,
547,,
548,,
549,,
550,0.046,
551,,
552,,
553,,
554,,
555,,
556,0.051,
557,,
558,,
559,,
560,,
561,,
562,0.033,
563,,
564,,
565,,
566,,
567,,
568,0.062,
569,,
570,,
571,,
572,,
573,,
574,0.05,
575,,
576,,
577,,
