bb_idx,MT_PRIME,WT_PRIME
0,0.001304,
1,0.00098,
2,0.001613,
3,0.005887,
4,0.001531,
5,0.000769,
6,0.001272,
7,0.091858,
8,0.003431,
9,0.003452,
10,0.001851,
11,0.002225,
12,0.000811,
13,0.001169,
14,0.000775,
15,0.000622,
16,0.005171,
17,0.000575,
18,0.001147,
19,0.004257,
20,0.00291,
21,0.000817,
22,0.002187,
23,0.001125,
24,0.001725,
25,0.000961,
26,0.002019,
27,0.021508,
28,0.014869,
29,0.003726,
30,0.00604,
31,0.021412,
32,0.002659,
33,0.004373,
34,0.00329,
35,0.036529,
36,0.018836,
37,0.058779,
38,0.01212,
39,0.00572,
40,0.004777,
41,0.001802,
42,0.002264,
43,0.004426,
44,0.010117,
45,0.003174,
46,0.002502,
47,0.054525,
48,0.009859,
49,0.00617,
50,0.086742,
51,0.049895,
52,0.008221,
53,0.008718,
54,0.005306,
55,0.032651,
56,0.018759,
57,0.003393,
58,0.007858,
59,0.002461,
60,0.147483,
61,0.002611,
62,0.023214,
63,0.013199,
64,0.001795,
65,0.001571,
66,0.002016,
67,0.003778,
68,0.003365,
69,0.002887,
70,0.002207,
71,0.003033,
72,0.001313,
73,0.000783,
74,0.001008,
75,0.00103,
76,0.001171,
77,0.001015,
78,0.000764,
79,0.001934,
80,0.001614,
81,0.001036,
82,0.001042,
83,0.001695,
84,0.001115,
85,0.003423,
86,0.001211,
87,0.001618,
88,0.003989,
89,0.001312,
90,0.001155,
91,0.001937,
92,0.010889,
93,0.001015,
94,0.001973,
95,0.001165,
96,0.001292,
97,0.001206,
98,0.00094,
99,0.001854,
100,0.001682,
101,0.000785,
102,0.000727,
103,0.001451,
104,0.0009,
105,0.000844,
106,0.000843,
107,0.000753,
108,0.000714,
109,0.000604,
110,0.000766,
111,0.000916,
112,0.020734,
113,0.001091,
114,0.000691,
115,0.004796,
116,0.001296,
117,0.000685,
118,0.001342,
119,0.003393,
120,0.003066,
121,0.000537,
122,0.000744,
123,0.001788,
