bb_idx,MT_TSCAPE
0,0.069996
1,0.297936
2,0.392256
3,0.070035
4,0.066655
5,0.338837
6,0.453825
7,0.079710
8,0.081207
9,0.387322
10,0.413611
11,0.092369
12,0.023169
13,0.158294
14,0.174852
15,0.033971
16,0.026634
17,0.143454
18,0.143058
19,0.038347
20,0.062368
21,0.270442
22,0.353685
23,0.079096
24,0.036777
25,0.268093
26,0.312887
27,0.059116
28,0.127804
29,0.416623
30,0.684636
31,0.132986
32,0.034637
33,0.218632
34,0.258346
35,0.054803
36,0.086644
37,0.386459
38,0.486100
39,0.106464
40,0.072077
41,0.288567
42,0.365722
43,0.085156
44,0.043978
45,0.192386
46,0.233164
47,0.046681
48,0.050754
49,0.268519
50,0.453189
51,0.065383
52,0.055974
53,0.230132
54,0.354449
55,0.079394
56,0.054103
57,0.310773
58,0.305191
59,0.061057
60,0.076505
61,0.209083
62,0.354410
63,0.062843
64,0.064598
65,0.353387
66,0.357289
67,0.105637
68,0.034277
69,0.171335
70,0.254251
71,0.036792
72,0.035743
73,0.185117
74,0.237656
75,0.044373
76,0.065592
77,0.320070
78,0.393439
79,0.075124
80,0.038849
81,0.308423
82,0.415375
83,0.057315
84,0.015183
85,0.090733
86,0.092701
87,0.027442
88,0.019839
89,0.207747
90,0.180593
91,0.028102
92,0.072541
93,0.355258
94,0.497141
95,0.081724
96,0.030482
97,0.197803
98,0.171214
99,0.048286
100,0.026579
101,0.203307
102,0.205209
103,0.048095
104,0.034383
105,0.223191
106,0.286440
107,0.049085
108,0.026212
109,0.165735
110,0.221924
111,0.034813
112,0.023319
113,0.131953
114,0.157289
115,0.035377
116,0.035793
117,0.203827
118,0.216793
119,0.043226
120,0.017737
121,0.122865
122,0.133425
123,0.023853
124,0.041043
125,0.185552
126,0.298976
127,0.037402
128,0.056261
129,0.239540
130,0.345189
131,0.054455
132,0.014587
133,0.093202
134,0.116995
135,0.027262
136,0.057499
137,0.307163
138,0.335085
139,0.076631
140,0.051196
141,0.272099
142,0.254165
143,0.053967
144,0.024324
145,0.238567
146,0.213514
147,0.039533
148,0.164221
149,0.089475
150,0.078760
151,0.178037
152,0.169942
153,0.155809
154,0.058804
155,0.057278
156,0.047695
157,0.235240
158,0.106383
159,0.138762
160,0.213964
161,0.155743
162,0.101086
163,0.490362
164,0.204107
165,0.264804
166,0.102033
167,0.082618
168,0.101840
169,0.425780
170,0.242409
171,0.274666
172,0.590145
173,0.278162
174,0.252055
175,0.077174
176,0.087625
177,0.053638
178,0.152483
179,0.094591
180,0.084669
181,0.184450
182,0.136270
183,0.082555
184,0.105423
185,0.073508
186,0.071387
187,0.329675
188,0.225001
189,0.216253
190,0.097306
191,0.082542
192,0.077816
193,0.325413
194,0.210781
195,0.212102
196,0.282145
197,0.181322
198,0.185704
199,0.101773
200,0.090284
201,0.082561
202,0.481515
203,0.270478
204,0.283949
205,0.187348
206,0.212717
207,0.147014
208,0.455225
209,0.251389
210,0.199071
211,0.152302
212,0.073478
213,0.087252
214,0.263385
215,0.125484
216,0.150352
217,0.314110
218,0.167423
219,0.170903
220,0.073412
221,0.056593
222,0.052386
223,0.321297
224,0.142884
225,0.173259
226,0.088607
227,0.156397
228,0.155129
229,0.267128
230,0.155765
231,0.068275
232,0.127271
233,0.417030
234,0.158307
235,0.186735
236,0.085399
237,0.171717
238,0.328610
239,0.199384
240,0.068302
241,0.096838
242,0.120394
243,0.082429
244,0.144526
245,0.155520
246,0.207093
247,0.057913
248,0.058960
249,0.036913
250,0.073338
251,0.039771
252,0.132691
253,0.028460
254,0.035049
255,0.236213
256,0.301956
257,0.362692
258,0.585299
259,0.133357
260,0.206419
261,0.165890
262,0.212773
263,0.192814
264,0.406248
265,0.094545
266,0.135580
267,0.043711
268,0.095926
269,0.028302
270,0.126183
271,0.039351
272,0.043531
273,0.129679
274,0.195796
275,0.110719
276,0.252290
277,0.071561
278,0.091770
279,0.099132
280,0.152292
281,0.061551
282,0.215103
283,0.052425
284,0.063639
285,0.096352
286,0.181153
287,0.090661
288,0.240170
289,0.074080
290,0.095456
291,0.194041
292,0.175104
293,0.277049
294,0.397039
295,0.240545
296,0.256756
297,0.186977
298,0.157620
299,0.216857
300,0.369440
301,0.207480
302,0.255966
303,0.136664
304,0.192236
305,0.095744
306,0.152843
307,0.316092
308,0.112251
309,0.132287
310,0.199491
311,0.303781
312,0.125144
313,0.133475
314,0.071942
315,0.281955
316,0.120472
317,0.150956
318,0.094445
319,0.284093
320,0.140434
321,0.201187
322,0.228082
323,0.065989
324,0.226066
325,0.314760
326,0.172976
327,0.090649
328,0.138979
329,0.188900
330,0.222029
331,0.223194
332,0.097158
333,0.203139
334,0.241100
335,0.103388
336,0.372367
337,0.166494
338,0.397678
339,0.265391
340,0.121566
341,0.170973
342,0.242682
343,0.245701
344,0.143112
345,0.132235
346,0.214201
347,0.100959
348,0.207425
349,0.155848
350,0.103250
351,0.197734
352,0.200787
353,0.151792
354,0.233176
355,0.138964
356,0.181527
357,0.092241
358,0.143260
359,0.316153
360,0.111359
361,0.170764
362,0.109047
363,0.127358
364,0.316257
365,0.194023
366,0.213699
367,0.091590
368,0.163670
369,0.162398
370,0.041979
371,0.094014
372,0.172352
373,0.075742
374,0.213401
375,0.181105
376,0.084751
377,0.152613
378,0.124313
379,0.095239
380,0.163091
381,0.113397
382,0.285746
383,0.178927
384,0.166373
385,0.148606
386,0.100319
387,0.068422
388,0.051434
389,0.171891
390,0.067457
391,0.097299
392,0.331529
393,0.113956
394,0.155843
395,0.165504
396,0.312568
397,0.102654
398,0.072252
399,0.186760
400,0.159939
401,0.134637
402,0.150253
403,0.106116
404,0.264552
405,0.075592
406,0.157910
407,0.176685
408,0.067593
409,0.098760
410,0.148375
411,0.069061
412,0.142531
413,0.325356
414,0.095941
415,0.161790
416,0.164763
417,0.288735
418,0.321597
419,0.084822
420,0.195203
421,0.182151
422,0.425011
423,0.203589
424,0.148574
425,0.214061
426,0.309058
427,0.375453
428,0.096801
429,0.193854
430,0.274177
431,0.026108
432,0.037896
433,0.037622
434,0.080216
435,0.024998
436,0.029875
437,0.022618
438,0.055978
439,0.043026
440,0.088713
441,0.016641
442,0.028002
443,0.141723
444,0.204317
445,0.209165
446,0.365651
447,0.089146
448,0.115920
449,0.023637
450,0.037454
451,0.022190
452,0.065771
453,0.019421
454,0.021127
455,0.080146
456,0.181628
457,0.111662
458,0.218878
459,0.059635
460,0.071239
461,0.061643
462,0.069905
463,0.053039
464,0.138530
465,0.029804
466,0.038915
467,0.081067
468,0.143535
469,0.058848
470,0.215540
471,0.043154
472,0.063165
473,0.091731
474,0.165462
475,0.142696
476,0.240774
477,0.059751
478,0.097326
479,0.024119
480,0.036615
481,0.026750
482,0.090557
483,0.019119
484,0.023126
485,0.079477
486,0.134168
487,0.181747
488,0.132590
489,0.050866
490,0.067154
491,0.154937
492,0.243197
493,0.207432
494,0.395641
495,0.102186
496,0.108894
497,0.048748
498,0.101116
499,0.108237
500,0.162294
501,0.050222
502,0.070297
503,0.163211
504,0.244971
505,0.158879
506,0.379060
507,0.086117
508,0.103557
509,0.095184
510,0.146724
511,0.046812
512,0.265462
513,0.039819
514,0.050728
515,0.121715
516,0.346572
517,0.111699
518,0.209226
519,0.278119
520,0.204822
521,0.321438
522,0.213744
523,0.157435
524,0.270772
525,0.173172
526,0.124846
527,0.169972
528,0.070961
529,0.282001
530,0.091891
531,0.093517
532,0.050297
533,0.098576
534,0.049708
535,0.106831
536,0.037652
537,0.042267
538,0.061527
539,0.086644
540,0.051318
541,0.113923
542,0.042002
543,0.054262
544,0.096557
545,0.138338
546,0.083515
547,0.219500
548,0.047733
549,0.071481
550,0.061371
551,0.079893
552,0.036439
553,0.110300
554,0.039527
555,0.041332
556,0.130724
557,0.188891
558,0.117960
559,0.214132
560,0.065295
561,0.060914
562,0.065649
563,0.150878
564,0.065412
565,0.180137
566,0.059518
567,0.071832
568,0.103744
569,0.181050
570,0.092441
571,0.250620
572,0.063955
573,0.085537
574,0.149412
575,0.230274
576,0.162619
577,0.339992
578,0.084282
579,0.099524
580,0.167256
581,0.167359
582,0.065068
583,0.240144
584,0.060994
585,0.082641
586,0.044894
587,0.095749
588,0.044331
589,0.119468
