bb_idx,MT_deepHLApan_bind,MT_deepHLApan_immuno,WT_deepHLApan_bind,WT_deepHLApan_immuno
0,0.0771,0.0953,,
1,0.0156,0.0504,,
2,0.0075,0.9437,,
3,0.35,0.996,,
4,0.0045,0.2576,,
5,0.0008,0.1949,,
6,0.0008,0.9588,,
7,0.0023,0.994,,
8,0.1955,0.3133,,
9,0.0042,0.1126,,
10,0.0067,0.9826,,
11,0.0067,0.9965,,
12,0.0221,0.2501,,
13,0.0018,0.0636,,
14,0.0012,0.9345,,
15,0.0056,0.9957,,
16,0.5297,0.154,,
17,0.0003,0.0646,,
18,0.0008,0.937,,
19,0.0073,0.9879,,
20,0.0175,0.3707,,
21,0.0,0.2584,,
22,0.0006,0.8079,,
23,0.0243,0.9844,,
24,0.0385,0.2033,,
25,0.0004,0.1845,,
26,0.0078,0.8194,,
27,0.0015,0.9901,,
28,0.6867,0.1082,,
29,0.0849,0.3567,,
30,0.095,0.938,,
31,0.3357,0.9955,,
32,0.0684,0.055,,
33,0.1155,0.2947,,
34,0.0023,0.9584,,
35,0.2012,0.996,,
36,0.3858,0.0822,,
37,0.0961,0.0225,,
38,0.038,0.9503,,
39,0.2815,0.9941,,
40,0.3407,0.0882,,
41,0.0014,0.0128,,
42,0.0051,0.8531,,
43,0.3038,0.9906,,
44,0.6457,0.0489,,
45,0.0949,0.057,,
46,0.0348,0.9483,,
47,0.4791,0.9974,,
48,0.6288,0.0081,,
49,0.0023,0.0119,,
50,0.7138,0.9441,,
51,0.4241,0.996,,
52,0.0307,0.0689,,
53,0.0215,0.2244,,
54,0.0091,0.9855,,
55,0.0613,0.9979,,
56,0.2244,0.2767,,
57,0.0002,0.2925,,
58,0.0007,0.9508,,
59,0.005,0.997,,
60,0.945,0.2887,,
61,0.0017,0.2133,,
62,0.2987,0.9315,,
63,0.1038,0.996,,
64,0.4773,0.4524,,
65,0.0009,0.4804,,
66,0.0033,0.9921,,
67,0.4844,0.9956,,
68,0.0839,0.5192,,
69,0.0037,0.3195,,
70,0.0368,0.9784,,
71,0.0586,0.9949,,
72,0.3472,0.2967,,
73,0.0001,0.1729,,
74,0.0044,0.9325,,
75,0.1439,0.98,,
76,0.0875,0.1704,,
77,0.0004,0.1787,,
78,0.0448,0.9188,,
79,0.4967,0.9705,,
80,0.0853,0.6207,,
81,0.0003,0.3849,,
82,0.0062,0.9095,,
83,0.0027,0.9867,,
84,0.0024,0.3451,,
85,0.4174,0.4146,,
86,0.0004,0.8974,,
87,0.0019,0.9871,,
88,0.0482,0.5383,,
89,0.0029,0.4939,,
90,0.0037,0.7928,,
91,0.0065,0.9882,,
92,0.0455,0.2627,,
93,0.0106,0.5352,,
94,0.1211,0.9851,,
95,0.3759,0.9931,,
96,0.1968,0.3004,,
97,0.0038,0.7077,,
98,0.0097,0.9893,,
99,0.2964,0.9943,,
100,0.1026,0.1074,,
101,0.0022,0.6338,,
102,0.039,0.9939,,
103,0.0415,0.9954,,
104,0.0724,0.5005,,
105,0.0039,0.5913,,
106,0.052,0.7911,,
107,0.0053,0.9874,,
108,0.0962,0.7811,,
109,0.0057,0.7673,,
110,0.0425,0.887,,
111,0.0542,0.9936,,
112,0.3231,0.1643,,
113,0.0004,0.2301,,
114,0.0008,0.9195,,
115,0.0004,0.9915,,
116,0.1404,0.2293,,
117,0.0004,0.2203,,
118,0.0411,0.9518,,
119,0.2128,0.9892,,
120,0.1355,0.093,,
121,0.0005,0.2421,,
122,0.0136,0.9606,,
123,0.4037,0.9912,,
124,0.0186,0.1367,,
125,0.0001,0.2745,,
126,0.0058,0.9425,,
127,0.2457,0.9923,,
128,0.1551,0.2865,,
129,0.0003,0.2921,,
130,0.0759,0.8736,,
131,0.2107,0.991,,
132,0.3799,0.2177,,
133,0.0011,0.1425,,
134,0.0454,0.8848,,
135,0.7244,0.9912,,
136,0.0041,0.1824,,
137,0.0003,0.584,,
138,0.6462,0.9401,,
139,0.001,0.9927,,
140,0.0034,0.2609,,
141,0.0,0.5807,,
142,0.0003,0.8848,,
143,0.0001,0.9891,,
144,0.0027,0.1331,,
145,0.0002,0.4743,,
146,0.0005,0.9048,,
147,0.0001,0.9924,,
148,0.5774,0.5689,,
149,0.0051,0.8517,,
150,0.0003,0.9438,,
151,0.0217,0.5839,,
152,0.2902,0.811,,
153,0.0004,0.9692,,
154,0.0058,0.5519,,
155,0.0228,0.8329,,
156,0.0005,0.9356,,
157,0.8078,0.5121,,
158,0.4753,0.8102,,
159,0.0244,0.9206,,
160,0.165,0.4598,,
161,0.4546,0.8549,,
162,0.077,0.9202,,
163,0.0205,0.439,,
164,0.3262,0.8346,,
165,0.9879,0.9094,,
166,0.0005,0.4157,,
167,0.0146,0.8609,,
168,0.5376,0.9235,,
169,0.0004,0.2495,,
170,0.0492,0.686,,
171,0.0008,0.8181,,
172,0.0309,0.2551,,
173,0.6488,0.6568,,
174,0.0223,0.8284,,
175,0.0125,0.2899,,
176,0.5016,0.7842,,
177,0.0561,0.8747,,
178,0.0643,0.457,,
179,0.7161,0.892,,
180,0.0099,0.9574,,
181,0.7696,0.3527,,
182,0.7432,0.8476,,
183,0.1335,0.989,,
184,0.3005,0.3797,,
185,0.5306,0.8728,,
186,0.0192,0.9856,,
187,0.6858,0.5738,,
188,0.0218,0.9193,,
189,0.0017,0.9888,,
190,0.8196,0.7211,,
191,0.011,0.9227,,
192,0.0011,0.9945,,
193,0.0874,0.7739,,
194,0.8287,0.853,,
195,0.0191,0.9974,,
196,0.0509,0.8096,,
197,0.0119,0.9131,,
198,0.0005,0.9979,,
199,0.0123,0.4921,,
200,0.7281,0.7959,,
201,0.0657,0.9854,,
202,0.4717,0.5231,,
203,0.2337,0.8672,,
204,0.0634,0.9547,,
205,0.1569,0.4682,,
206,0.0324,0.7407,,
207,0.0044,0.8978,,
208,0.0454,0.5202,,
209,0.1802,0.8409,,
210,0.9882,0.9069,,
211,0.3133,0.5724,,
212,0.0327,0.9074,,
213,0.0029,0.9794,,
214,0.0294,0.4837,,
215,0.0283,0.8656,,
216,0.0022,0.9818,,
217,0.1187,0.5892,,
218,0.8427,0.891,,
219,0.8902,0.9832,,
220,0.014,0.5444,,
221,0.097,0.8777,,
222,0.0023,0.9513,,
223,0.7952,0.6842,,
224,0.0206,0.9097,,
225,0.0033,0.9783,,
226,0.1192,0.7927,0.0396,0.8895
227,0.0253,0.8438,0.0081,0.8767
228,0.1219,0.787,0.0267,0.8719
229,0.0788,0.7596,0.0229,0.82
230,0.0026,0.7877,0.0008,0.8214
231,0.2464,0.7945,0.0186,0.6644
232,0.552,0.7486,0.2317,0.6639
