HLA-A01-01	HLA-A01:01
HLA-A02-01	HLA-A02:01
HLA-A03-01	HLA-A03:01
HLA-A25-01	HLA-A25:01
HLA-A30-01	HLA-A30:01
HLA-A31-01	HLA-A31:01
HLA-A32-01	HLA-A32:01
HLA-A66-01	HLA-A66:01
HLA-B07-02	HLA-B07:02
HLA-B08-01	HLA-B08:01
HLA-B13-02	HLA-B13:02
HLA-B18-01	HLA-B18:01
HLA-B27-05	HLA-B27:05
HLA-B27-06	HLA-B27:06
HLA-B35-03	HLA-B35:03
HLA-B38-01	HLA-B38:01
HLA-B40-01	HLA-B40:01
HLA-B44-02	HLA-B44:02
HLA-B55-01	HLA-B55:01
HLA-B57-01	HLA-B57:01
HLA-C03-03	HLA-C03:03
HLA-C05-01	HLA-C05:01
HLA-C06-02	HLA-C06:02
HLA-C07-01	HLA-C07:01
HLA-C07-02	HLA-C07:02
HLA-C12-03	HLA-C12:03
