bb_idx,MT_BigMHC,WT_BigMHC
0,0.0035986695,0.0044214795
1,0.02147548,0.010943336
2,0.025731673,0.009381627
3,0.09894558,0.015618795
4,0.019866485,0.006165077
5,0.022941124,0.022540051
6,0.010714083,0.0075096376
7,0.022707146,0.011319156
8,0.0049405433,0.003833402
9,0.026335174,0.033942502
10,0.01721606,0.01963361
11,0.028195415,0.014040588
12,0.008564445,0.016662044
13,0.06753208,0.11759937
14,0.11396624,0.34459823
15,0.041240633,0.2786729
16,0.014500252,0.027496431
17,0.0074245175,0.011901917
18,0.009947245,0.029366871
19,0.009928539,0.013847233
20,0.002612651,0.0016804256
21,0.08382464,0.07283395
22,0.031235063,0.041955102
23,0.011061788,0.024775105
24,0.0012243662,0.0041833064
25,0.6026021,0.5857848
26,0.8347615,0.42386308
27,0.014454897,0.018689485
28,0.0012398383,0.003187876
29,0.008890844,0.007294825
30,0.31594944,0.068580076
31,0.0023665149,0.0027564599
32,0.004280482,0.012668003
33,0.2735826,0.07537615
34,0.07841523,0.04515537
35,0.017366905,0.007973849
36,0.0024215837,0.0020196026
37,0.018025532,0.022338022
38,0.01631404,0.01971711
39,0.005402166,0.0066450876
40,0.00060157815,0.0006947736
41,0.53259,0.5218852
42,0.11721957,0.29791775
43,0.028169444,0.032153104
44,0.006554614,0.0066880547
45,0.06484445,0.061110158
46,0.21251944,0.17961927
47,0.22227776,0.16509509
48,0.009949906,0.007701414
49,0.026577068,0.023873571
50,0.013323617,0.008313985
51,0.07394298,0.049327265
52,0.011794299,0.010832817
53,0.015734067,0.015059493
54,0.08199396,0.08221767
55,0.052076783,0.035816748
56,0.010824031,0.011486725
57,0.02669925,0.031242
58,0.0107665155,0.019436179
59,0.009731025,0.015047878
60,0.0024300914,0.003137774
61,0.027686475,0.0311387
62,0.00894237,0.008474316
63,0.008413946,0.009431553
64,0.0015884629,0.0022418085
65,0.12517625,0.08643532
66,0.113973245,0.14344254
67,0.010919353,0.0147706745
68,0.0016101468,0.0023343614
69,0.13956286,0.18686187
70,0.010546962,0.021751141
71,0.020232657,0.020987269
72,0.0035986695,0.0044214795
73,0.02147548,0.010943336
74,0.025731673,0.009381627
75,0.09894558,0.015618795
76,0.019866485,0.006165077
77,0.022941124,0.022540051
78,0.010714083,0.0075096376
79,0.022707146,0.011319156
80,0.0049405433,0.003833402
81,0.026335174,0.033942502
82,0.01721606,0.01963361
83,0.028195415,0.014040588
84,0.008564445,0.016662044
85,0.06753208,0.11759937
86,0.11396624,0.34459823
87,0.041240633,0.2786729
88,0.014500252,0.027496431
89,0.0074245175,0.011901917
90,0.009947245,0.029366871
91,0.009928539,0.013847233
92,0.002612651,0.0016804256
93,0.08382464,0.07283395
94,0.031235063,0.041955102
95,0.011061788,0.024775105
96,0.0012243662,0.0041833064
97,0.6026021,0.5857848
98,0.8347615,0.42386308
99,0.014454897,0.018689485
100,0.0012398383,0.003187876
101,0.008890844,0.007294825
102,0.31594944,0.068580076
103,0.0023665149,0.0027564599
104,0.004280482,0.012668003
105,0.2735826,0.07537615
106,0.07841523,0.04515537
107,0.017366905,0.007973849
108,0.004212347,0.0029456944
109,0.005943873,0.0054007308
110,0.0021899284,0.001357645
111,0.0023668006,0.0027741417
112,0.0020437476,0.0024071478
113,0.01752948,0.016163578
114,0.008965911,0.01229413
115,0.012925489,0.02573961
116,0.004799067,0.005565707
117,0.013158379,0.018336209
118,0.0075895856,0.01957894
119,0.01215907,0.01718274
120,0.0018185526,0.0019432552
121,0.011392733,0.014300047
122,0.020350974,0.033222675
123,0.005188196,0.0064955656
124,0.0014212421,0.0014186527
125,0.013289609,0.013107398
126,0.0073654233,0.009018555
127,0.003217311,0.003836928
128,0.002333701,0.004437226
129,0.00807833,0.0123734055
130,0.00683607,0.009356649
131,0.016356828,0.036780488
132,0.0025944673,0.003717664
133,0.045119833,0.045687843
134,0.027949233,0.029578289
135,0.022384848,0.02059691
136,0.0003239975,0.00039359866
137,0.034088384,0.034632094
138,0.01688743,0.0047226134
139,0.0041506267,0.0027447667
140,0.0013822804,0.0013592265
141,0.0085686715,0.0070059975
142,0.0069814776,0.009059819
143,0.00619547,0.0067687877
144,0.045882992,0.025267642
145,0.040706933,0.026199
146,0.20659688,0.14500417
147,0.040773105,0.038780957
148,0.012061755,0.009326963
149,0.19695829,0.36604282
150,0.008487189,0.006477522
151,0.033031564,0.024153927
152,0.001014785,0.001381152
153,0.047662105,0.041329943
154,0.0149007095,0.017286561
155,0.010191116,0.012669443
156,0.0035319717,0.0036496497
157,0.021790344,0.023776248
158,0.01715207,0.028774923
159,0.024895336,0.029690547
160,0.0025624097,0.002166671
161,0.021811178,0.016276728
162,0.013096658,0.0087419655
163,0.021930395,0.017890448
164,0.00062760944,0.00043407967
165,0.045720194,0.055888332
166,0.037881058,0.040091723
167,0.0037873432,0.0033196514
168,0.00263809,0.0035281798
169,0.008971048,0.008026295
170,0.020705631,0.028940544
171,0.006089024,0.008528791
172,0.0037177769,0.003621955
173,0.3054905,0.3909696
174,0.043166097,0.0101760095
175,0.024466733,0.025830965
176,0.016874699,0.008869966
177,0.010603348,0.009493134
178,0.029714491,0.023083821
179,0.02640461,0.019557046
180,0.0035986695,0.0044214795
181,0.02147548,0.010943336
182,0.025731673,0.009381627
183,0.09894558,0.015618795
184,0.019866485,0.006165077
185,0.022941124,0.022540051
186,0.010714083,0.0075096376
187,0.022707146,0.011319156
188,0.0049405433,0.003833402
189,0.026335174,0.033942502
190,0.01721606,0.01963361
191,0.028195415,0.014040588
192,0.008564445,0.016662044
193,0.06753208,0.11759937
194,0.11396624,0.34459823
195,0.041240633,0.2786729
196,0.014500252,0.027496431
197,0.0074245175,0.011901917
198,0.009947245,0.029366871
199,0.009928539,0.013847233
200,0.002612651,0.0016804256
201,0.08382464,0.07283395
202,0.031235063,0.041955102
203,0.011061788,0.024775105
204,0.0012243662,0.0041833064
205,0.6026021,0.5857848
206,0.8347615,0.42386308
207,0.014454897,0.018689485
208,0.0012398383,0.003187876
209,0.008890844,0.007294825
210,0.31594944,0.068580076
211,0.0023665149,0.0027564599
212,0.004280482,0.012668003
213,0.2735826,0.07537615
214,0.07841523,0.04515537
215,0.017366905,0.007973849
216,0.0033180711,0.0036528665
217,0.014193348,0.010950849
218,0.006531305,0.0035458205
219,0.009719044,0.010730592
220,0.0058621517,0.006041439
221,0.016044348,0.029818771
222,0.070094265,0.028654145
223,0.019691277,0.018705493
224,0.0010881685,0.0006140313
225,0.11223672,0.1008878
226,0.0065654153,0.0052302564
227,0.012832107,0.014212774
228,0.0044855424,0.007582196
229,0.034758985,0.030958513
230,0.012820855,0.013916751
231,0.006916838,0.0096866265
232,0.0037108653,0.0032685907
233,0.005908389,0.005596339
234,0.0076488075,0.0061351233
235,0.003911142,0.0047179353
236,0.0014849253,0.0014046375
237,0.077486806,0.07353383
238,0.038773555,0.02090412
239,0.037461482,0.022016559
240,0.0016264257,0.0010957515
241,0.015342898,0.013929863
242,0.009532034,0.007207065
243,0.010050433,0.007946839
244,0.00076288026,0.00044726674
245,0.11856352,0.12424433
246,0.024721544,0.013956801
247,0.0045747473,0.0036486338
248,0.0023445748,0.0015816583
249,0.019930115,0.030698461
250,0.0018898016,0.001246404
251,0.0018709023,0.0022966028
252,0.043252658,0.02733886
253,0.60550743,0.08726091
254,0.06671513,0.024375621
255,0.0043823435,0.005616916
256,0.0040559466,0.003335727
257,0.050431307,0.08659535
258,0.21055828,0.20645021
259,0.0025938407,0.0022973293
260,0.0111014,0.011441757
261,0.03893685,0.0361057
262,0.085157834,0.0839601
263,0.008544446,0.007565013
264,0.0023227218,0.0025789863
265,0.019264,0.039425377
266,0.19351363,0.1924281
267,0.0036748454,0.0030576908
268,0.0043524834,0.0029562598
269,0.12346102,0.10203139
270,0.04022018,0.019191904
271,0.0043294975,0.002329653
272,0.0052565387,0.0029661376
273,0.014076449,0.009681804
274,0.009484983,0.0059521594
275,0.0062775654,0.0056060017
276,0.0010997594,0.0017904033
277,0.0072610877,0.0062796655
278,0.014413057,0.011210299
279,0.006543265,0.005640668
280,0.0031226913,0.0024734936
281,0.070651814,0.07529854
282,0.04065137,0.019546818
283,0.006802525,0.0055004125
284,0.0045041773,0.0041204304
285,0.06687383,0.05946758
286,0.052728236,0.043162238
287,0.0035178235,0.0036918044
288,0.0059642685,0.11435957
289,0.009802529,0.019146964
290,0.015739227,0.028452998
291,0.005578072,0.014067964
292,0.000521899,0.00080329267
293,0.012327564,0.009972996
294,0.014028056,0.009131698
295,0.0073608323,0.003635989
