bb_idx,MT_CNNeo,WT_CNNeo
0,0.15744491,0.15744491
1,0.8961129,0.8961129
2,0.8548938,0.8548938
3,0.9210807,0.9210807
4,0.17450298,0.17450298
5,0.9046308,0.9046308
6,0.86432666,0.86432666
7,0.9134751,0.9134751
8,0.16484365,0.16484365
9,0.89660156,0.89660156
10,0.85543174,0.85543174
11,0.8956665,0.8956665
12,0.18594095,0.18594095
13,0.9037937,0.9037937
14,0.86276793,0.86276793
15,0.9073143,0.9073143
16,0.22547072,0.22547072
17,0.92141426,0.92141426
18,0.88412434,0.88412434
19,0.92305243,0.92305243
20,0.15513442,0.15513442
21,0.8830202,0.8830202
22,0.8418418,0.8418418
23,0.9147188,0.9147188
24,0.19720958,0.19720958
25,0.9080935,0.9080935
26,0.86892474,0.86892474
27,0.91612947,0.91612947
28,0.18138912,0.18138912
29,0.90966374,0.90966374
30,0.8690837,0.8690837
31,0.90689254,0.90689254
32,0.19199073,0.16041212
33,0.91552943,0.89950037
34,0.87519425,0.85855335
35,0.90295285,0.9147188
36,0.16041212,0.16041212
37,0.89950037,0.89950037
38,0.85855335,0.85855335
39,0.9147188,0.9147188
40,0.22855309,0.22855309
41,0.920573,0.920573
42,0.88319004,0.88319004
43,0.90295285,0.90295285
44,0.18335511,0.18335511
45,0.9103359,0.9103359
46,0.8697774,0.8697774
47,0.92313284,0.92313284
48,0.15744491,0.15744491
49,0.8961129,0.8961129
50,0.8548938,0.8548938
51,0.92438847,0.92438847
52,0.16041212,0.16041212
53,0.89950037,0.89950037
54,0.85855335,0.85855335
55,0.9147187,0.9147188
56,0.16011788,0.16011788
57,0.89912117,0.89912117
58,0.85808545,0.85808545
59,0.9106547,0.9106547
60,0.16041212,0.16041212
61,0.89950037,0.89950037
62,0.85855335,0.85855335
63,0.9147188,0.9147188
64,0.19399162,0.1696954
65,0.9146809,0.89313346
66,0.8746233,0.8527062
67,0.90972304,0.90972304
68,0.18765862,0.19415928
69,0.9085474,0.9084702
70,0.8692222,0.8682907
71,0.89748585,0.90689254
72,0.15744491,0.15744491
73,0.8961129,0.8961129
74,0.8548938,0.8548938
75,0.9210807,0.9210807
76,0.17450298,0.17450298
77,0.9046308,0.9046308
78,0.86432666,0.86432666
79,0.9134751,0.9134751
80,0.16484365,0.16484365
81,0.89660156,0.89660156
82,0.85543174,0.85543174
83,0.8956665,0.8956665
84,0.18594095,0.18594095
85,0.9037937,0.9037937
86,0.86276793,0.86276793
87,0.9073143,0.9073143
88,0.22547072,0.22547072
89,0.92141426,0.92141426
90,0.88412434,0.88412434
91,0.92305243,0.92305243
92,0.15513442,0.15513442
93,0.8830202,0.8830202
94,0.8418418,0.8418418
95,0.9147188,0.9147188
96,0.19720958,0.19720958
97,0.9080935,0.9080935
98,0.86892474,0.86892474
99,0.91612947,0.91612947
100,0.18138912,0.18138912
101,0.90966374,0.90966374
102,0.8690837,0.8690837
103,0.90689254,0.90689254
104,0.19199073,0.16041212
105,0.91552943,0.89950037
106,0.87519425,0.85855335
107,0.90295285,0.9147188
108,0.14934532,0.14934532
109,0.8850008,0.8850008
110,0.842426,0.842426
111,0.87342876,0.87342876
112,0.16749342,0.16749342
113,0.90244365,0.90244365
114,0.8616412,0.8616412
115,0.9054852,0.9054852
116,0.16011788,0.16011788
117,0.89912117,0.89912117
118,0.85808545,0.85808545
119,0.9106547,0.9106547
120,0.14569055,0.14569055
121,0.86859345,0.86859345
122,0.82576424,0.82576424
123,0.9054852,0.9054852
124,0.16341473,0.16341473
125,0.8948609,0.8948609
126,0.8537567,0.8537567
127,0.91394585,0.91394585
128,0.13365139,0.13365139
129,0.8604554,0.8604554
130,0.81595516,0.81595516
131,0.91394585,0.91394585
132,0.18109387,0.18109387
133,0.91151494,0.91151494
134,0.8707178,0.8707178
135,0.90236104,0.90236104
136,0.26127228,0.20021123
137,0.9290284,0.9183263
138,0.8954582,0.8794724
139,0.89748585,0.89748585
140,0.15877697,0.14934532
141,0.8996078,0.8850008
142,0.8579465,0.842426
143,0.91394585,0.87342876
144,0.17450298,0.17450298
145,0.9046308,0.9046308
146,0.86432666,0.86432666
147,0.9134751,0.9134751
148,0.1729314,0.1729314
149,0.9074061,0.9074061
150,0.8662344,0.8662344
151,0.89254177,0.89254177
152,0.15513442,0.15513442
153,0.8830202,0.8830202
154,0.8418418,0.8418418
155,0.9147188,0.9147188
156,0.17012724,0.17012724
157,0.8872758,0.8872758
158,0.84688383,0.84688383
159,0.91612947,0.91612947
160,0.14416783,0.14416783
161,0.8795592,0.8795592
162,0.83688873,0.83688873
163,0.9073143,0.9073143
164,0.162953,0.162953
165,0.88969964,0.88969964
166,0.84877574,0.84877574
167,0.9073143,0.9073143
168,0.16484365,0.16484365
169,0.89660156,0.89660156
170,0.85543174,0.85543174
171,0.8956665,0.8956665
172,0.15744491,0.15744491
173,0.8961129,0.8961129
174,0.8548938,0.8548938
175,0.9210807,0.92438847
176,0.17450298,0.20609845
177,0.9046308,0.9137672
178,0.86432666,0.8765289
179,0.9134751,0.9147188
180,0.15744491,0.15744491
181,0.8961129,0.8961129
182,0.8548938,0.8548938
183,0.9210807,0.9210807
184,0.17450298,0.17450298
185,0.9046308,0.9046308
186,0.86432666,0.86432666
187,0.9134751,0.9134751
188,0.16484365,0.16484365
189,0.89660156,0.89660156
190,0.85543174,0.85543174
191,0.8956665,0.8956665
192,0.18594095,0.18594095
193,0.9037937,0.9037937
194,0.86276793,0.86276793
195,0.9073143,0.9073143
196,0.22547072,0.22547072
197,0.92141426,0.92141426
198,0.88412434,0.88412434
199,0.92305243,0.92305243
200,0.15513442,0.15513442
201,0.8830202,0.8830202
202,0.8418418,0.8418418
203,0.9147188,0.9147188
204,0.19720958,0.19720958
205,0.9080935,0.9080935
206,0.86892474,0.86892474
207,0.91612947,0.91612947
208,0.18138912,0.18138912
209,0.90966374,0.90966374
210,0.8690837,0.8690837
