bb_idx,MT_ICERFIRE
0,
1,0.145016
2,0.145016
3,0.145016
4,
5,0.169431
6,0.169431
7,0.169431
8,
9,0.125682
10,0.192514
11,0.171246
12,
13,0.127259
14,0.182067
15,0.182542
16,
17,0.127259
18,0.139085
19,0.170091
20,
21,0.166372
22,0.154091
23,0.144829
24,
25,0.15097
26,0.140619
27,0.144816
28,
29,0.163732
30,0.193167
31,0.160256
32,
33,0.196043
34,0.193167
35,0.201337
36,
37,0.231149
38,0.203428
39,0.231586
40,
41,0.183721
42,0.183931
43,0.15922
44,
45,0.161028
46,0.216508
47,0.15922
48,
49,0.149722
50,0.171871
51,0.186535
52,
53,0.175644
54,0.157759
55,0.157759
56,
57,0.156153
58,0.177277
59,0.177168
60,
61,0.148167
62,0.13204
63,0.137951
64,
65,0.124174
66,0.124174
67,0.124174
68,
69,0.104675
70,0.115866
71,0.103416
72,
73,0.145016
74,0.145016
75,0.145016
76,
77,0.169431
78,0.169431
79,0.169431
80,
81,0.125682
82,0.192514
83,0.171246
84,
85,0.127259
86,0.182067
87,0.182542
88,
89,0.127259
90,0.139085
91,0.170091
92,
93,0.166372
94,0.154091
95,0.144829
96,
97,0.15097
98,0.140619
99,0.144816
100,
101,0.163732
102,0.193167
103,0.160256
104,
105,0.196043
106,0.193167
107,0.201337
108,
109,0.18508
110,0.18508
111,0.141215
112,
113,0.185499
114,0.185499
115,0.149608
116,
117,0.185499
118,0.191593
119,0.139481
120,
121,0.152612
122,0.168594
123,0.168594
124,
125,0.170086
126,0.168481
127,0.170086
128,
129,0.118938
130,0.133025
131,0.133025
132,
133,0.176279
134,0.175768
135,0.176279
136,
137,0.11923
138,0.116277
139,0.116319
140,
141,0.151413
142,0.112592
143,0.112309
144,
145,0.145828
146,0.173018
147,0.15589
148,
149,0.160683
150,0.159929
151,0.159462
152,
153,0.14365
154,0.171393
155,0.138684
156,
157,0.166607
158,0.158716
159,0.158364
160,
161,0.164415
162,0.164415
163,0.164599
164,
165,0.154642
166,0.150011
167,0.143114
168,
169,0.191223
170,0.191223
171,0.188858
172,
173,0.230534
174,0.252908
175,0.217754
176,
177,0.222319
178,0.222319
179,0.217754
180,
181,0.145016
182,0.145016
183,0.145016
184,
185,0.169431
186,0.169431
187,0.169431
188,
189,0.125682
190,0.192514
191,0.171246
192,
193,0.127259
194,0.182067
195,0.182542
196,
197,0.127259
198,0.139085
199,0.170091
200,
201,0.166372
202,0.154091
203,0.144829
204,
205,0.15097
206,0.140619
207,0.144816
208,
209,0.163732
210,0.193167
211,0.160256
212,
213,0.196043
214,0.193167
215,0.201337
216,
217,0.160081
218,0.164633
219,0.164388
220,
221,0.175765
222,0.168639
223,0.168639
224,
225,0.161867
226,0.161867
227,0.161378
228,
229,0.211958
230,0.196862
231,0.191446
232,
233,0.153533
234,0.153533
235,0.150574
236,
237,0.115298
238,0.115298
239,0.150574
240,
241,0.179194
242,0.117106
243,0.179194
244,
245,0.090393
246,0.107729
247,0.108911
248,
249,0.139585
250,0.139151
251,0.134646
252,
253,0.129647
254,0.141249
255,0.13057
256,
257,0.128184
258,0.144925
259,0.145363
260,
261,0.137289
262,0.137289
263,0.12866
264,
265,0.132248
266,0.151396
267,0.170695
268,
269,0.141594
270,0.149832
271,0.115641
272,
273,0.141594
274,0.149832
275,0.151003
276,
277,0.149326
278,0.132937
279,0.149326
280,
281,0.120125
282,0.119328
283,0.112064
284,
285,0.142474
286,0.141771
287,0.10048
288,
289,0.128597
290,0.172156
291,0.172156
292,
293,0.144959
294,0.144959
295,0.144959
296,
297,0.167958
298,0.167958
299,0.163646
300,
301,0.160201
302,0.160164
303,0.160544
304,
305,0.119323
306,0.12978
307,0.115457
308,
309,0.176699
310,0.194921
311,0.158411
312,
313,0.277474
314,0.197201
315,0.196926
316,
317,0.1929
318,0.216311
319,0.192892
320,
321,0.197917
322,0.197917
323,0.138219
324,0.110518
325,0.100483
326,0.09652
327,0.098474
328,0.13468
329,0.134801
330,0.14949
331,0.184028
332,0.184028
333,0.157223
334,0.150019
335,0.148448
336,0.126843
337,0.167613
338,0.163683
339,0.135396
340,0.17137
341,0.163683
342,0.135396
343,0.188479
344,0.19193
345,0.191236
346,0.189575
347,0.167055
348,0.160132
349,0.167055
350,0.167055
351,0.134815
352,0.233188
353,0.225314
354,0.275186
355,0.225637
356,0.262684
357,0.281085
358,0.278117
359,0.300372
360,0.251861
361,0.317103
362,0.313155
363,0.297032
364,0.295193
365,0.282848
366,0.196579
367,0.326895
368,0.27109
369,0.338208
370,0.337438
371,0.338663
372,0.251336
373,0.25915
374,0.25915
375,0.10907
376,0.195298
377,0.184855
378,0.183903
379,0.294003
380,0.176616
381,0.169891
382,0.124454
383,0.137347
384,0.175052
385,0.16929
386,0.169847
387,0.150631
388,0.150489
389,0.16229
390,0.179814
391,0.175611
392,0.239176
393,0.182329
394,0.200751
395,0.160561
396,0.155999
397,0.200751
398,0.192648
399,0.143121
400,0.235289
401,0.238989
402,0.143121
403,0.235289
404,0.238989
405,0.106531
406,0.100595
407,0.104917
408,0.113704
409,0.097417
410,0.101549
411,0.119961
412,0.106266
413,0.116823
414,0.14483
415,0.125845
416,0.14483
417,0.11284
418,0.136097
419,0.136097
420,0.100145
421,0.174506
422,0.170985
423,0.173902
424,0.157794
425,0.16235
426,0.18073
427,0.159667
428,0.340652
429,0.128527
430,0.105822
431,0.106121
432,0.164767
433,0.164767
434,0.164767
435,0.207242
436,0.207242
437,0.207242
438,0.149912
439,0.203859
440,0.152286
441,0.144627
442,0.203859
443,0.203143
444,0.156198
445,0.146568
446,0.177008
447,0.129299
448,0.142733
449,0.142257
450,0.178185
451,0.160978
452,0.160594
453,0.151962
454,0.141077
455,0.138191
456,0.147087
457,0.181711
458,0.181711
459,0.091763
460,0.152369
461,0.151946
462,0.159918
463,0.159918
464,0.144382
465,0.115377
466,0.125084
467,0.11405
468,0.132084
469,0.120763
470,0.132084
471,0.092504
472,0.108429
473,0.083096
474,0.111179
475,0.108429
476,0.114634
477,0.116193
478,0.121057
479,0.108242
480,0.11607
481,0.142998
482,0.115593
483,0.157278
484,0.137736
485,0.150333
486,0.173345
487,0.144383
488,0.137015
489,0.160066
490,0.150454
491,0.148328
492,0.109067
493,0.194046
494,0.189204
495,0.181223
496,0.172283
497,0.172077
498,0.173339
499,0.20055
500,0.196192
501,0.18975
502,0.186703
503,0.185389
504,0.236403
505,0.225404
506,0.240789
507,0.231786
508,0.236403
509,0.236403
510,0.272258
511,0.191884
512,0.161016
513,0.191625
514,0.189507
515,0.197445
516,0.200094
517,0.250157
518,0.185638
519,0.195896
