bb_idx,MT_IEDB_Calis,WT_IEDB_Calis
0,0.05339,0.05339
1,0.05339,0.05339
2,0.05339,0.05339
3,0.05339,0.05339
4,-0.04053,0.14397
5,-0.04053,0.14397
6,-0.04053,0.14397
7,-0.04053,0.14397
8,-0.03649,0.23001
9,-0.03649,0.23001
10,-0.03649,0.23001
11,-0.03649,0.23001
12,-0.03804,0.25921
13,-0.03804,0.25921
14,-0.03804,0.25921
15,-0.03804,0.25921
16,-0.27828,0.02922
17,-0.27828,0.02922
18,-0.27828,0.02922
19,-0.27828,0.02922
20,-0.39199,-0.07424
21,-0.39199,-0.07424
22,-0.39199,-0.07424
23,-0.39199,-0.07424
24,-0.20494,-0.10244
25,-0.20494,-0.10244
26,-0.20494,-0.10244
27,-0.20494,-0.10244
28,-0.03365,-0.03365
29,-0.03365,-0.03365
30,-0.03365,-0.03365
31,-0.03365,-0.03365
32,0.06736,0.06736
33,0.06736,0.06736
34,0.06736,0.06736
35,0.06736,0.06736
36,0.20612,0.20612
37,0.20612,0.20612
38,0.20612,0.20612
39,0.20612,0.20612
40,0.1333,0.13312
41,0.1333,0.13312
42,0.1333,0.13312
43,0.1333,0.13312
44,0.04378,0.04352
45,0.04378,0.04352
46,0.04378,0.04352
47,0.04378,0.04352
48,-0.11178,-0.11207
49,-0.11178,-0.11207
50,-0.11178,-0.11207
51,-0.11178,-0.11207
52,-0.24218,-0.24248
53,-0.24218,-0.24248
54,-0.24218,-0.24248
55,-0.24218,-0.24248
56,-0.28517,-0.28548
57,-0.28517,-0.28548
58,-0.28517,-0.28548
59,-0.28517,-0.28548
60,-0.28945,-0.28955
61,-0.28945,-0.28955
62,-0.28945,-0.28955
63,-0.28945,-0.28955
64,-0.24442,-0.24442
65,-0.24442,-0.24442
66,-0.24442,-0.24442
67,-0.24442,-0.24442
68,-0.0453,-0.0453
69,-0.0453,-0.0453
70,-0.0453,-0.0453
71,-0.0453,-0.0453
72,0.05339,0.05339
73,0.05339,0.05339
74,0.05339,0.05339
75,0.05339,0.05339
