bb_idx,MT_PRIME,WT_PRIME
0,0.002683,0.001864
1,0.007216,0.005352
2,0.002195,0.00207
3,0.00398,0.002454
4,0.005043,0.00832
5,0.00107,0.001409
6,0.001085,0.001383
7,0.00084,0.001329
8,0.001285,0.001541
9,0.000638,0.000975
10,0.000867,0.001231
11,0.002598,0.00165
12,0.001605,0.001785
13,0.001753,0.002169
14,0.002042,0.00263
15,0.001316,0.002712
16,0.000509,0.000577
17,0.005316,0.009131
18,0.000542,0.000659
19,0.000271,0.000327
20,0.001215,0.002148
21,0.000368,0.000482
22,0.000958,0.001058
23,0.001121,0.001649
24,0.001435,0.001084
25,0.005654,0.008695
26,0.039077,0.005807
27,0.008693,0.004894
28,0.001271,0.001268
29,0.008071,0.091237
30,0.042045,0.039701
31,0.001842,0.001073
32,0.001866,0.002605
33,0.00338,0.00233
34,0.002653,0.001968
35,0.009754,0.00756
36,0.001195,0.00114
37,0.000972,0.001197
38,0.000716,0.00076
39,0.001427,0.001474
40,0.001294,0.001715
41,0.007111,0.009628
42,0.018953,0.056613
43,0.046794,0.085224
44,0.001257,0.001816
45,0.002493,0.003876
46,0.001257,0.001714
47,0.002865,0.00342
48,0.0006,0.000926
49,0.008707,0.012791
50,0.000722,0.00096
51,0.000786,0.001207
52,0.000777,0.000972
53,0.000522,0.000704
54,0.000449,0.000602
55,0.002555,0.004144
56,0.000599,0.000758
57,0.005049,0.006318
58,0.000587,0.000803
59,0.000925,0.000916
60,0.00115,0.000929
61,0.000672,0.000646
62,0.000548,0.000522
63,0.000854,0.000687
64,0.000819,0.001124
65,0.000713,0.000624
66,0.001651,0.00231
67,0.000898,0.000807
68,0.000913,0.000956
69,0.004937,0.004191
70,0.005717,0.005844
71,0.006023,0.00625
72,0.002683,0.001864
73,0.007216,0.005352
74,0.002195,0.00207
75,0.00398,0.002454
76,0.005043,0.00832
77,0.00107,0.001409
78,0.001085,0.001383
79,0.00084,0.001329
80,0.001285,0.001541
81,0.000638,0.000975
82,0.000867,0.001231
83,0.002598,0.00165
84,0.001605,0.001785
85,0.001753,0.002169
86,0.002042,0.00263
87,0.001316,0.002712
88,0.000509,0.000577
89,0.005316,0.009131
90,0.000542,0.000659
91,0.000271,0.000327
92,0.001215,0.002148
93,0.000368,0.000482
94,0.000958,0.001058
95,0.001121,0.001649
96,0.001435,0.001084
97,0.005654,0.008695
98,0.039077,0.005807
99,0.008693,0.004894
