bb_idx,MT_Repitope,WT_Repitope
0,0.29232,0.36792
1,0.29232,0.36792
2,0.29232,0.36792
3,0.29232,0.36792
4,0.3316,0.32456
5,0.3316,0.32456
6,0.3316,0.32456
7,0.3316,0.32456
8,0.26008,0.29048
9,0.26008,0.29048
10,0.26008,0.29048
11,0.26008,0.29048
12,0.198,0.162
13,0.198,0.162
14,0.198,0.162
15,0.198,0.162
16,0.15232,0.16032
17,0.15232,0.16032
18,0.15232,0.16032
19,0.15232,0.16032
20,0.1616,0.18968
21,0.1616,0.18968
22,0.1616,0.18968
23,0.1616,0.18968
24,0.24936,0.20944
25,0.24936,0.20944
26,0.24936,0.20944
27,0.24936,0.20944
28,0.28744,0.29184
29,0.28744,0.29184
30,0.28744,0.29184
31,0.28744,0.29184
32,0.28288,0.28632
33,0.28288,0.28632
34,0.28288,0.28632
35,0.28288,0.28632
36,0.23632,0.23392
37,0.23632,0.23392
38,0.23632,0.23392
39,0.23632,0.23392
40,0.35272,0.32048
41,0.35272,0.32048
42,0.35272,0.32048
43,0.35272,0.32048
44,0.29336,0.28008
45,0.29336,0.28008
46,0.29336,0.28008
47,0.29336,0.28008
48,0.27976,0.22712
49,0.27976,0.22712
50,0.27976,0.22712
51,0.27976,0.22712
52,0.22272,0.1532
53,0.22272,0.1532
54,0.22272,0.1532
55,0.22272,0.1532
56,0.248,0.16272
57,0.248,0.16272
58,0.248,0.16272
59,0.248,0.16272
60,0.27624,0.20984
61,0.27624,0.20984
62,0.27624,0.20984
63,0.27624,0.20984
64,0.26464,0.20392
65,0.26464,0.20392
66,0.26464,0.20392
67,0.26464,0.20392
68,0.30272,0.19736
69,0.30272,0.19736
70,0.30272,0.19736
71,0.30272,0.19736
72,0.29232,0.36792
73,0.29232,0.36792
74,0.29232,0.36792
75,0.29232,0.36792
76,0.3316,0.32456
77,0.3316,0.32456
78,0.3316,0.32456
79,0.3316,0.32456
80,0.26008,0.29048
81,0.26008,0.29048
82,0.26008,0.29048
83,0.26008,0.29048
84,0.198,0.162
85,0.198,0.162
86,0.198,0.162
87,0.198,0.162
88,0.15232,0.16032
89,0.15232,0.16032
90,0.15232,0.16032
91,0.15232,0.16032
92,0.1616,0.18968
93,0.1616,0.18968
94,0.1616,0.18968
95,0.1616,0.18968
96,0.24936,0.20944
97,0.24936,0.20944
98,0.24936,0.20944
99,0.24936,0.20944
100,0.28744,0.29184
101,0.28744,0.29184
102,0.28744,0.29184
103,0.28744,0.29184
104,0.28288,0.28632
105,0.28288,0.28632
106,0.28288,0.28632
107,0.28288,0.28632
108,0.30472,0.30456
109,0.30472,0.30456
110,0.30472,0.30456
111,0.30472,0.30456
112,0.28416,0.27336
113,0.28416,0.27336
114,0.28416,0.27336
115,0.28416,0.27336
116,0.2208,0.2192
117,0.2208,0.2192
118,0.2208,0.2192
119,0.2208,0.2192
