bb_idx,MT_Seq2Neo
0,0.737416
1,0.802292
2,0.749657
3,0.91354
4,0.73611
5,0.857128
6,0.80813
7,0.940353
8,0.886055
9,0.937561
10,0.913734
11,0.979354
12,0.784695
13,0.906882
14,0.857901
15,0.96449
16,0.68683
17,0.829344
18,0.785993
19,0.938729
20,0.608911
21,0.838985
22,0.766351
23,0.934861
24,0.675343
25,0.781824
26,0.680555
27,0.90428
28,0.841522
29,0.896216
30,0.845012
31,0.953918
32,0.911579
33,0.953902
34,0.938767
35,0.983356
36,0.646005
37,0.754968
38,0.718872
39,0.863575
40,0.662351
41,0.775678
42,0.724777
43,0.873504
44,0.763122
45,0.851181
46,0.82371
47,0.934968
48,0.793166
49,0.817692
50,0.809817
51,0.942217
52,0.811919
53,0.869154
54,0.839962
55,0.956231
56,0.816691
57,0.816436
58,0.82781
59,0.940843
60,0.747704
61,0.814316
62,0.795875
63,0.906781
64,0.652183
65,0.758132
66,0.690397
67,0.862835
68,0.693144
69,0.821115
70,0.758307
71,0.918629
72,0.737416
73,0.802292
74,0.749657
75,0.91354
76,0.73611
77,0.857128
78,0.80813
79,0.940353
80,0.886055
81,0.937561
82,0.913734
83,0.979354
84,0.784695
85,0.906882
86,0.857901
87,0.96449
88,0.68683
89,0.829344
90,0.785993
91,0.938729
92,0.608911
93,0.838985
94,0.766351
95,0.934861
96,0.675343
97,0.781824
98,0.680555
99,0.90428
100,0.841522
101,0.896216
102,0.845012
103,0.953918
104,0.911579
105,0.953902
106,0.938767
107,0.983356
108,0.71758
109,0.820989
110,0.773424
111,0.932704
112,0.755197
113,0.852824
114,0.815808
115,0.939334
116,0.683265
117,0.758813
118,0.696759
119,0.900622
120,0.729746
121,0.847112
122,0.766939
123,0.931014
124,0.772365
125,0.896248
126,0.841757
127,0.957552
128,0.699861
129,0.840883
130,0.7827
131,0.92618
132,0.746636
133,0.817093
134,0.761533
135,0.907732
136,0.615644
137,0.734159
138,0.66828
139,0.855245
140,0.716945
141,0.7868
142,0.750075
143,0.879406
144,0.747251
145,0.847617
146,0.802432
147,0.919939
148,0.762054
149,0.769987
150,0.782355
151,0.910044
152,0.776472
153,0.826634
154,0.786035
155,0.930922
156,0.715477
157,0.793501
158,0.733983
159,0.896799
160,0.693995
161,0.793291
162,0.741805
163,0.896501
164,0.710406
165,0.848772
166,0.783047
167,0.936824
168,0.770457
169,0.853062
170,0.800578
171,0.944005
172,0.702356
173,0.768519
174,0.728147
175,0.918696
176,0.703828
177,0.800907
178,0.760033
179,0.909325
180,0.737416
181,0.802292
182,0.749657
183,0.91354
184,0.73611
185,0.857128
186,0.80813
187,0.940353
188,0.886055
189,0.937561
190,0.913734
191,0.979354
192,0.784695
193,0.906882
194,0.857901
195,0.96449
196,0.68683
197,0.829344
198,0.785993
199,0.938729
200,0.608911
201,0.838985
202,0.766351
203,0.934861
204,0.675343
205,0.781824
206,0.680555
207,0.90428
208,0.841522
209,0.896216
210,0.845012
211,0.953918
212,0.911579
213,0.953902
