bb_idx,MT_CNNeo,WT_CNNeo
0,0.17450298,0.17450298
1,0.9046308,0.9046308
2,0.86432666,0.86432666
3,0.9134751,0.9134751
4,0.16484365,0.16484365
5,0.89660156,0.89660156
6,0.85543174,0.85543174
7,0.8956665,0.8956665
8,0.18594095,0.18594095
9,0.9037937,0.9037937
10,0.86276793,0.86276793
11,0.9073143,0.9073143
12,0.22547072,0.22547072
13,0.92141426,0.92141426
14,0.88412434,0.88412434
15,0.92305243,0.92305243
16,0.15513442,0.15513442
17,0.8830202,0.8830202
18,0.8418418,0.8418418
19,0.9147188,0.9147188
20,0.19720958,0.19720958
21,0.9080935,0.9080935
22,0.86892474,0.86892474
23,0.91612947,0.91612947
24,0.18138912,0.18138912
25,0.90966374,0.90966374
26,0.8690837,0.8690837
27,0.90689254,0.90689254
28,0.19199073,0.16041212
29,0.91552943,0.89950037
30,0.87519425,0.85855335
31,0.90295285,0.9147188
32,0.22855309,0.22855309
33,0.920573,0.920573
34,0.88319004,0.88319004
35,0.90295285,0.90295285
36,0.18335511,0.18335511
37,0.9103359,0.9103359
38,0.8697774,0.8697774
39,0.92313284,0.92313284
40,0.15744491,0.15744491
41,0.8961129,0.8961129
42,0.8548938,0.8548938
43,0.92438847,0.92438847
44,0.16041212,0.16041212
45,0.89950037,0.89950037
46,0.85855335,0.85855335
47,0.9147188,0.9147188
48,0.16011788,0.16011788
49,0.89912117,0.89912117
50,0.85808545,0.85808545
51,0.9106547,0.9106547
52,0.16041212,0.16041212
53,0.89950037,0.89950037
54,0.85855335,0.85855335
55,0.9147188,0.9147188
56,0.19399162,0.1696954
57,0.9146809,0.89313346
58,0.8746233,0.8527062
59,0.90972304,0.90972304
60,0.18765862,0.19415928
61,0.9085474,0.9084702
62,0.8692222,0.8682907
63,0.89748585,0.90689254
64,0.17450298,0.17450298
65,0.9046308,0.9046308
66,0.86432666,0.86432666
67,0.9134751,0.9134751
68,0.16484365,0.16484365
69,0.89660156,0.89660156
70,0.85543174,0.85543174
71,0.8956665,0.8956665
72,0.18594095,0.18594095
73,0.9037937,0.9037937
74,0.86276793,0.86276793
75,0.9073143,0.9073143
76,0.22547072,0.22547072
77,0.92141426,0.92141426
78,0.88412434,0.88412434
79,0.92305243,0.92305243
80,0.15513442,0.15513442
81,0.8830202,0.8830202
82,0.8418418,0.8418418
83,0.9147188,0.9147188
84,0.19720958,0.19720958
85,0.9080935,0.9080935
86,0.86892474,0.86892474
87,0.91612947,0.91612947
88,0.18138912,0.18138912
89,0.90966374,0.90966374
90,0.8690837,0.8690837
91,0.90689254,0.90689254
92,0.19199073,0.16041212
93,0.91552943,0.89950037
94,0.87519425,0.85855335
95,0.90295285,0.9147188
96,0.16749342,0.16749342
97,0.90244365,0.90244365
98,0.8616412,0.8616412
99,0.9054852,0.9054852
100,0.16011788,0.16011788
101,0.89912117,0.89912117
102,0.85808545,0.85808545
103,0.9106547,0.9106547
104,0.14569055,0.14569055
105,0.86859345,0.86859345
106,0.82576424,0.82576424
107,0.9054852,0.9054852
108,0.16341473,0.16341473
109,0.8948609,0.8948609
110,0.8537567,0.8537567
111,0.91394585,0.91394585
112,0.13365139,0.13365139
113,0.8604554,0.8604554
114,0.81595516,0.81595516
115,0.91394585,0.91394585
116,0.18109387,0.18109387
117,0.91151494,0.91151494
118,0.8707178,0.8707178
119,0.90236104,0.90236104
120,0.26127228,0.20021123
121,0.9290284,0.9183263
122,0.8954582,0.8794724
123,0.89748585,0.89748585
124,0.15877697,0.14934532
125,0.8996078,0.8850008
126,0.8579465,0.842426
127,0.91394585,0.87342876
128,0.1729314,0.1729314
129,0.9074061,0.9074061
130,0.8662344,0.8662344
131,0.89254177,0.89254177
132,0.15513442,0.15513442
133,0.8830202,0.8830202
134,0.8418418,0.8418418
135,0.9147188,0.9147188
136,0.17012724,0.17012724
137,0.8872758,0.8872758
138,0.84688383,0.84688383
139,0.91612947,0.91612947
140,0.14416783,0.14416783
141,0.8795592,0.8795592
142,0.83688873,0.83688873
143,0.9073143,0.9073143
144,0.162953,0.162953
145,0.88969964,0.88969964
146,0.84877574,0.84877574
147,0.9073143,0.9073143
148,0.16484365,0.16484365
149,0.89660156,0.89660156
150,0.85543174,0.85543174
151,0.8956665,0.8956665
152,0.15744491,0.15744491
153,0.8961129,0.8961129
154,0.8548938,0.8548938
155,0.9210807,0.92438847
156,0.17450298,0.20609845
157,0.9046308,0.9137672
158,0.86432666,0.8765289
159,0.9134751,0.9147188
160,0.17450298,0.17450298
161,0.9046308,0.9046308
162,0.86432666,0.86432666
163,0.9134751,0.9134751
164,0.16484365,0.16484365
165,0.89660156,0.89660156
166,0.85543174,0.85543174
167,0.8956665,0.8956665
168,0.18594095,0.18594095
169,0.9037937,0.9037937
170,0.86276793,0.86276793
171,0.9073143,0.9073143
172,0.22547072,0.22547072
173,0.92141426,0.92141426
174,0.88412434,0.88412434
175,0.92305243,0.92305243
176,0.15513442,0.15513442
177,0.8830202,0.8830202
178,0.8418418,0.8418418
179,0.9147188,0.9147188
180,0.19720958,0.19720958
181,0.9080935,0.9080935
182,0.86892474,0.86892474
183,0.91612947,0.91612947
184,0.18138912,0.18138912
185,0.90966374,0.90966374
186,0.8690837,0.8690837
187,0.90689254,0.90689254
188,0.19199073,0.16041212
189,0.91552943,0.89950037
190,0.87519425,0.85855335
191,0.90295285,0.9147188
192,0.16484365,0.16484365
193,0.89660156,0.89660156
194,0.85543174,0.85543174
195,0.8956665,0.8956665
196,0.18765862,0.18765862
197,0.9085474,0.9085474
198,0.8692222,0.8692222
199,0.89748585,0.89748585
200,0.162953,0.162953
201,0.88969964,0.88969964
202,0.84877574,0.84877574
203,0.9073143,0.9073143
204,0.16484365,0.16484365
205,0.89660156,0.89660156
206,0.85543174,0.85543174
207,0.8956665,0.8956665
208,0.22855309,0.22855309
209,0.920573,0.920573
210,0.88319004,0.88319004
211,0.90295285,0.90295285
212,0.18335511,0.18335511
213,0.9103359,0.9103359
214,0.8697774,0.8697774
215,0.91612947,0.91612947
216,0.21291119,0.1471029
217,0.9155573,0.8772637
218,0.8774726,0.8351337
219,0.90295285,0.90295285
220,0.18138912,0.24358898
221,0.90966374,0.9240636
222,0.8690837,0.8892639
223,0.90689254,0.89748585
224,0.14934532,0.14934532
225,0.8850008,0.8850008
226,0.842426,0.842426
227,0.87342876,0.87342876
228,0.17450298,0.17450298
229,0.9046308,0.9046308
230,0.86432666,0.86432666
231,0.9134751,0.9134751
232,0.13397312,0.13397312
233,0.84804547,0.84804547
234,0.80242705,0.80242705
235,0.8956665,0.8956665
236,0.15877697,0.15877697
237,0.8996078,0.8996078
238,0.8579465,0.8579465
239,0.91394585,0.91394585
240,0.25422034,0.25422034
241,0.9250285,0.9250285
242,0.8899417,0.8899417
243,0.90295285,0.90295285
244,0.16041212,0.16041212
245,0.89950037,0.89950037
246,0.85855335,0.85855335
247,0.9147188,0.9147188
248,0.18878005,0.19199073
249,0.9007703,0.91552943
250,0.8603019,0.87519425
251,0.90295285,0.90295285
252,0.16062957,0.19399162
253,0.9005439,0.9146809
254,0.85878384,0.8746233
255,0.9073143,0.90972304
256,0.20021123,0.20021123
257,0.9183263,0.9183263
258,0.8794724,0.8794724
259,0.89748585,0.89748585
260,0.1729314,0.1729314
261,0.9074061,0.9074061
262,0.8662344,0.8662344
263,0.89875555,0.89875555
264,0.26127228,0.26127228
265,0.9290284,0.9290284
266,0.8954582,0.8954582
267,0.89748585,0.89748585
268,0.1817941,0.1817941
269,0.90158117,0.90158117
270,0.86166686,0.86166686
271,0.91394585,0.91394585
272,0.16841266,0.16841266
273,0.9027336,0.9027336
274,0.8604519,0.8604519
275,0.9077715,0.9077715
276,0.15744491,0.15744491
277,0.8961129,0.8961129
278,0.8548938,0.8548938
279,0.92438847,0.92438847
280,0.16041212,0.16041212
281,0.89950037,0.89950037
282,0.85855335,0.85855335
283,0.9147188,0.9147188
284,0.20084094,0.14024715
285,0.90975314,0.86590356
286,0.87079424,0.8218884
287,0.89254177,0.9210807
288,0.40894806,0.40894806
289,0.556617,0.556617
290,0.8765306,0.8765306
291,0.3806502,0.3806502
292,0.61217916,0.61217916
293,0.88050187,0.88050187
294,0.2586455,0.2586455
295,0.6303484,0.6303484
296,0.8431192,0.8431192
297,0.4003236,0.4003236
298,0.70512867,0.70512867
299,0.875057,0.875057
300,0.280259,0.280259
301,0.6112616,0.6112616
302,0.8695711,0.8695711
303,0.6205494,0.6205494
304,0.6891413,0.6891413
305,0.89962643,0.89962643
306,0.47325563,0.21914175
307,0.556617,0.556617
308,0.88699406,0.82872826
309,0.51597214,0.32643193
310,0.5513012,0.5715122
311,0.8889472,0.87220687
312,0.32643193,0.32643193
313,0.5715122,0.5715122
314,0.87220687,0.87220687
315,0.27048534,0.27048534
316,0.556617,0.556617
317,0.8455592,0.8455592
318,0.46201548,0.46201548
319,0.6303484,0.6303484
320,0.8901823,0.8901823
321,0.27683577,0.27683577
322,0.6846745,0.6846745
323,0.869799,0.869799
324,0.29804456,0.29804456
325,0.6303484,0.6303484
326,0.8685769,0.8685769
327,0.2613598,0.2613598
328,0.6846745,0.6846745
329,0.8495948,0.8495948
330,0.46634948,0.35965773
331,0.5513012,0.5513012
332,0.885428,0.8681641
333,0.38787198,0.280259
334,0.56856453,0.6112616
335,0.8809592,0.8695711
336,0.31676367,0.31676367
337,0.6303484,0.6303484
338,0.8655595,0.8655595
339,0.27683577,0.27683577
340,0.6846745,0.6846745
341,0.869799,0.869799
342,0.35605276,0.35605276
343,0.6303484,0.6303484
344,0.87509555,0.87509555
345,0.2877017,0.2877017
346,0.70512867,0.70512867
347,0.8701962,0.8701962
348,0.42667055,0.42667055
349,0.6891413,0.6891413
350,0.8863722,0.8863722
351,0.22993028,0.22993028
352,0.6303484,0.6303484
353,0.85237765,0.85237765
354,0.31676367,0.31676367
355,0.6303484,0.6303484
356,0.8655595,0.8655595
357,0.4382019,0.5608852
358,0.6846745,0.5293954
359,0.87910795,0.8941829
360,0.29208583,0.29208583
361,0.556617,0.556617
362,0.8693412,0.8693412
363,0.31676367,0.31676367
364,0.6303484,0.6303484
365,0.8655595,0.8655595
366,0.34692413,0.34692413
367,0.6303484,0.6303484
368,0.8771009,0.8771009
369,0.31676367,0.31676367
370,0.6303484,0.6303484
371,0.8655595,0.8655595
372,0.31676367,0.31676367
373,0.6303484,0.6303484
374,0.8655595,0.8655595
375,0.43466648,0.43466648
376,0.6808932,0.6808932
377,0.88594484,0.88594484
378,0.46201548,0.46201548
379,0.6303484,0.6303484
380,0.8901823,0.8901823
381,0.29804456,0.28586352
382,0.6303484,0.5293954
383,0.8685769,0.8690331
384,0.26549658,0.26549658
385,0.5715122,0.5715122
386,0.8420883,0.8420883
387,0.21186624,0.21186624
388,0.6112616,0.6112616
389,0.84407985,0.84407985
390,0.30771887,0.30771887
391,0.70512867,0.70512867
392,0.85886955,0.85886955
393,0.3096894,0.3096894
394,0.6303484,0.6303484
395,0.8497395,0.8497395
396,0.38335297,0.38335297
397,0.6112616,0.6112616
398,0.8731387,0.8731387
399,0.32643193,0.32643193
400,0.5715122,0.5715122
401,0.87220687,0.87220687
402,0.43466648,0.43466648
403,0.6808932,0.6808932
404,0.88594484,0.88594484
405,0.29208583,0.34692413
406,0.556617,0.6303484
407,0.8693412,0.8771009
408,0.32598704,0.32598704
409,0.6303484,0.6303484
410,0.8723496,0.8723496
411,0.29804456,0.29804456
412,0.6303484,0.6303484
413,0.8685769,0.8685769
414,0.28586352,0.28586352
415,0.5293954,0.5293954
416,0.8690331,0.8690331
417,0.4327043,0.4327043
418,0.6303484,0.6303484
419,0.8798211,0.8798211
420,0.46530595,0.46530595
421,0.61217916,0.61217916
422,0.8783366,0.8783366
423,0.280259,0.280259
424,0.6112616,0.6112616
425,0.8695711,0.8695711
426,0.2747861,0.2747861
427,0.6522136,0.6522136
428,0.8656106,0.8656106
429,0.29208583,0.35605276
430,0.556617,0.6303484
431,0.8693412,0.87509555
432,0.20920116,0.20920116
433,0.49931547,0.49931547
434,0.7321427,0.7321427
435,0.83566797,0.83566797
436,0.91394585,0.91394585
437,0.9057066,0.9057066
438,0.28833213,0.28833213
439,0.56381035,0.56381035
440,0.77850074,0.77850074
441,0.8181808,0.8181808
442,0.90295285,0.90295285
443,0.9252421,0.9252421
444,0.21886624,0.21886624
445,0.5031266,0.5031266
446,0.7318475,0.7318475
447,0.80317223,0.80317223
448,0.8956665,0.8956665
449,0.90509075,0.90509075
450,0.18821114,0.18821114
451,0.4572865,0.4572865
452,0.6903263,0.6903263
453,0.8573433,0.8573433
454,0.9254663,0.9254663
455,0.88055277,0.88055277
456,0.2950489,0.2950489
457,0.56381106,0.56381106
458,0.7773232,0.7773232
459,0.82833695,0.82833695
460,0.90972304,0.90972304
461,0.92396766,0.92396766
462,0.1498358,0.12359141
463,0.4099366,0.35185772
464,0.6448975,0.5738998
465,0.8368138,0.8368138
466,0.9147188,0.9147188
467,0.8555582,0.80548
468,0.20920116,0.20920116
469,0.49931547,0.49931547
470,0.7321427,0.7321427
471,0.83566797,0.83566797
472,0.91394585,0.91394585
473,0.9057066,0.9057066
474,0.21171468,0.24941026
475,0.50057226,0.5259942
476,0.7318782,0.7486679
477,0.8300792,0.8343875
478,0.9106547,0.9134751
479,0.905436,0.9110314
480,0.18047246,0.18047246
481,0.44379285,0.44379285
482,0.6754564,0.6754564
483,0.826438,0.826438
484,0.9077715,0.9077715
485,0.8722885,0.8722885
486,0.17334053,0.17334053
487,0.45035413,0.45035413
488,0.6869185,0.6869185
489,0.8240003,0.8240003
490,0.9073143,0.9073143
491,0.881459,0.881459
492,0.2125203,0.2125203
493,0.50250226,0.50250226
494,0.7333334,0.7333334
495,0.847301,0.847301
496,0.9188715,0.9188715
497,0.9065238,0.9065238
498,0.21171468,0.21171468
499,0.50057226,0.50057226
500,0.7318782,0.7318782
501,0.8300792,0.8300792
502,0.9106547,0.9106547
503,0.905436,0.905436
504,0.17919773,0.17919773
505,0.46219274,0.46219274
506,0.69745886,0.69745886
507,0.77547437,0.77547437
508,0.87342876,0.87342876
509,0.8882149,0.8882149
510,0.32127163,0.32127163
511,0.5698458,0.5698458
512,0.77578336,0.77578336
513,0.8181808,0.8181808
514,0.90295285,0.90295285
515,0.92019224,0.92019224
516,0.23228379,0.23228379
517,0.515204,0.515204
518,0.7434162,0.7434162
519,0.826438,0.826438
520,0.9077715,0.9077715
521,0.90894914,0.90894914
522,0.36971694,0.29777873
523,0.6053038,0.5536214
524,0.7993318,0.76471466
525,0.83937013,0.82666177
526,0.91612947,0.90689254
527,0.92993,0.9158466
528,0.22673103,0.22673103
529,0.5021761,0.5021761
530,0.7297928,0.7297928
531,0.80317223,0.80317223
532,0.8956665,0.8956665
533,0.9010699,0.9010699
534,0.24941026,0.24941026
535,0.5259942,0.5259942
536,0.7486679,0.7486679
537,0.8343875,0.8343875
538,0.9134751,0.9134751
539,0.9110314,0.9110314
540,0.17919773,0.17919773
541,0.46219274,0.46219274
542,0.69745886,0.69745886
543,0.77547437,0.77547437
544,0.87342876,0.87342876
545,0.8882149,0.8882149
546,0.32397866,0.32397866
547,0.57003385,0.57003385
548,0.77629495,0.77629495
549,0.8029263,0.8029263
550,0.89254177,0.89254177
551,0.9199517,0.9199517
552,0.18831195,0.18831195
553,0.45099986,0.45099986
554,0.68138707,0.68138707
555,0.8534595,0.8534595
556,0.9215995,0.9215995
557,0.8753114,0.8753114
558,0.22673103,0.22673103
559,0.5021761,0.5021761
560,0.7297928,0.7297928
561,0.80317223,0.80317223
562,0.8956665,0.8956665
563,0.9010699,0.9010699
564,0.2238185,0.3093605
