bb_idx,MT_ICERFIRE
0,
1,0.184727
2,0.184727
3,0.175727
4,
5,0.13753
6,0.13753
7,0.145215
8,
9,0.192514
10,0.192514
11,0.171246
12,
13,0.127259
14,0.139085
15,0.170091
16,
17,0.150543
18,0.150543
19,0.134473
20,
21,0.166372
22,0.154091
23,0.144829
24,
25,0.15892
26,0.160213
27,0.164188
28,
29,0.189897
30,0.193167
31,0.201337
32,
33,0.203428
34,0.203428
35,0.205798
36,
37,0.203694
38,0.203771
39,0.15922
40,
41,0.161028
42,0.18041
43,0.186535
44,
45,0.168547
46,0.168547
47,0.156363
48,
49,0.175644
50,0.187884
51,0.13863
52,
53,0.148167
54,0.149312
55,0.137951
56,
57,0.13204
58,0.13204
59,0.142534
60,
61,0.129629
62,0.129629
63,0.13188
64,
65,0.184727
66,0.184727
67,0.175727
68,
69,0.13753
70,0.13753
71,0.145215
72,
73,0.192514
74,0.192514
75,0.171246
76,
77,0.127259
78,0.139085
79,0.170091
80,
81,0.150543
82,0.150543
83,0.134473
84,
85,0.166372
86,0.154091
87,0.144829
88,
89,0.15892
90,0.160213
91,0.164188
92,
93,0.189897
94,0.193167
95,0.201337
96,
97,0.146752
98,0.146752
99,0.141215
100,
101,0.185499
102,0.185499
103,0.139481
104,
105,0.157875
106,0.157875
107,0.152498
108,
109,0.152612
110,0.152612
111,0.160787
112,
113,0.118938
114,0.118938
115,0.128269
116,
117,0.170251
118,0.170251
119,0.13478
120,
121,0.140385
122,0.140385
123,0.142427
124,
125,0.112582
126,0.112592
127,0.112309
128,
129,0.145828
130,0.152298
131,0.150991
132,
133,0.14365
134,0.14365
135,0.138684
136,
137,0.166607
138,0.166607
139,0.158364
140,
141,0.157923
142,0.157923
143,0.159266
144,
145,0.164415
146,0.164415
147,0.164599
148,
149,0.191223
150,0.191223
151,0.188858
152,
153,0.252926
154,0.252926
155,0.258318
156,
157,0.222319
158,0.222319
159,0.217754
160,
161,0.184727
162,0.184727
163,0.175727
164,
165,0.13753
166,0.13753
167,0.145215
168,
169,0.192514
170,0.192514
171,0.171246
172,
173,0.127259
174,0.139085
175,0.170091
176,
177,0.150543
178,0.150543
179,0.134473
180,
181,0.166372
182,0.154091
183,0.144829
184,
185,0.15892
186,0.160213
187,0.164188
188,
189,0.189897
190,0.193167
191,0.201337
192,
193,0.164633
194,0.164633
195,0.164388
196,
197,0.175765
198,0.175765
199,0.170151
200,
201,0.211958
202,0.211958
203,0.191446
204,
205,0.181325
206,0.181325
207,0.200734
208,
209,0.153533
210,0.153533
211,0.150574
212,
213,0.17033
214,0.17033
215,0.112791
216,
217,0.117106
218,0.117106
219,0.114725
220,
221,0.090393
222,0.104196
223,0.100506
224,
225,0.128184
226,0.139493
227,0.136151
228,
229,0.137289
230,0.137289
231,0.12866
232,
233,0.205076
234,0.205076
235,0.170695
236,
237,0.132248
238,0.132248
239,0.153346
240,
241,0.141594
242,0.149832
243,0.151003
244,
245,0.160235
246,0.160235
247,0.15448
248,
249,0.132937
250,0.132937
251,0.136998
252,
253,0.121077
254,0.121077
255,0.116041
256,
257,0.157323
258,0.157323
259,0.155624
260,
261,0.144853
262,0.144853
263,0.138306
264,
265,0.167958
266,0.167958
267,0.163646
268,
269,0.140132
270,0.140132
271,0.156009
272,
273,0.20553
274,0.20553
275,0.158411
276,
277,0.176699
278,0.177867
279,0.189651
280,
281,0.1929
282,0.208987
283,0.192892
284,
285,0.216311
286,0.216311
287,0.204479
288,0.098474
289,0.13468
290,0.134801
291,0.183285
292,0.155393
293,0.155393
294,0.14949
295,0.165384
296,0.165384
297,0.126843
298,0.163276
299,0.163276
300,0.20025
301,0.17137
302,0.163683
303,0.135396
304,0.188479
305,0.188479
306,0.183365
307,0.184078
308,0.184078
309,0.160132
310,0.167055
311,0.167055
312,0.195532
313,0.233188
314,0.225314
315,0.183807
316,0.225637
317,0.240218
318,0.251861
319,0.307891
320,0.307891
321,0.194618
322,0.317103
323,0.313155
324,0.172099
325,0.271206
326,0.27109
327,0.196579
328,0.326895
329,0.326895
330,0.117307
331,0.273155
332,0.273155
333,0.16468
334,0.229469
335,0.229469
336,0.107826
337,0.124454
338,0.137347
339,0.144703
340,0.189127
341,0.189127
342,0.108284
343,0.140795
344,0.147093
345,0.185922
346,0.174539
347,0.16229
348,0.128655
349,0.171218
350,0.160561
351,0.155999
352,0.200751
353,0.192648
354,0.188835
355,0.19416
356,0.19416
357,0.143121
358,0.235289
359,0.238989
360,0.106876
361,0.100595
362,0.11227
363,0.119961
364,0.106266
365,0.116823
366,0.190185
367,0.157315
368,0.157845
369,0.11284
370,0.136097
371,0.136097
372,0.188852
373,0.140376
374,0.140376
375,0.100145
376,0.174506
377,0.174506
378,0.122732
379,0.176644
380,0.16235
381,0.128527
382,0.105822
383,0.106121
384,0.106515
385,0.200318
386,0.200318
387,0.182948
388,0.146935
389,0.146935
390,0.144627
391,0.203859
392,0.203143
393,0.170461
394,0.214504
395,0.214504
396,0.156198
397,0.146568
398,0.146568
399,0.178185
400,0.186772
401,0.186752
402,0.138554
403,0.153643
404,0.153643
405,0.147087
406,0.181711
407,0.181711
408,0.112721
409,0.152369
410,0.151946
411,0.097008
412,0.120665
413,0.120665
414,0.099329
415,0.125084
416,0.12519
417,0.130144
418,0.094373
419,0.094373
420,0.102053
421,0.108429
422,0.111054
423,0.153539
424,0.11497
425,0.114634
426,0.105447
427,0.121057
428,0.121057
429,0.157278
430,0.142998
431,0.150333
432,0.109067
433,0.131445
434,0.137851
435,0.1324
436,0.137631
437,0.136621
438,0.173339
439,0.180407
440,0.196192
441,0.18975
442,0.186703
443,0.185389
444,0.239379
445,0.217128
446,0.237647
447,0.221862
448,0.203245
449,0.203245
450,0.227069
451,0.225713
452,0.186113
453,0.231786
454,0.230762
455,0.230762
456,0.200094
457,0.223872
458,0.185638
459,0.195896
460,0.206323
461,0.206323
462,0.222412
463,0.217037
464,0.234768
465,0.239137
466,0.234768
467,0.234768
468,0.177462
469,0.188514
470,0.212673
471,0.193246
472,0.199211
473,0.204996
474,0.241236
475,0.234484
476,0.228362
477,0.234176
478,0.228362
479,0.228362
480,0.262218
481,0.234391
482,0.275517
483,0.273023
484,0.251569
485,0.251569
486,0.202233
487,0.190791
488,0.304926
489,0.25
490,0.250105
491,0.251727
492,0.225199
493,0.216486
494,0.173111
495,0.20702
496,0.197428
497,0.197672
498,0.287113
499,0.228328
500,0.241732
501,0.278739
502,0.220447
503,0.220447
504,0.15391
505,0.169945
506,0.175668
507,0.190287
508,0.20828
509,0.210237
510,0.166825
511,0.166655
512,0.18837
513,0.190692
514,0.189354
515,0.189354
516,0.192921
517,0.139382
518,0.222458
519,0.210055
520,0.162387
521,0.162387
522,0.168676
523,0.129401
524,0.128746
525,0.165903
526,0.128746
527,0.128746
528,0.094791
529,0.088012
530,0.104718
531,0.096509
532,0.089796
533,0.089796
534,0.134913
535,0.117842
536,0.130716
537,0.129863
538,0.113674
539,0.113674
540,0.142253
541,0.157928
542,0.119454
543,0.126275
544,0.136128
545,0.136128
546,0.177122
547,0.177584
548,0.12815
549,0.16432
550,0.165528
551,0.165528
552,0.134919
553,0.165125
554,0.126829
555,0.141701
556,0.167543
557,0.167543
558,0.127473
559,0.132591
560,0.115906
561,0.143529
562,0.15176
563,0.153839
564,0.151071
565,0.152403
566,0.166521
567,0.159258
568,0.16071
569,0.16071
570,0.171805
571,0.142353
572,0.199095
573,0.186687
574,0.161795
575,0.161795
576,0.134795
577,0.090872
578,0.137182
579,0.135941
580,0.090844
581,0.090844
582,0.116996
583,0.10706
584,0.128866
585,0.116177
586,0.104122
587,0.104122
588,0.128889
589,0.129482
590,0.120522
591,0.128202
592,0.128666
593,0.128666
594,0.184274
595,0.176238
596,0.166269
597,0.170832
598,0.161174
599,0.161174
600,0.166612
601,0.15843
602,0.159277
603,0.16025
604,0.160106
605,0.160106
606,0.149552
607,0.158156
608,0.115053
609,0.15146
610,0.206539
611,0.182581
612,0.13782
613,0.135528
614,0.166126
615,0.139654
616,0.137787
617,0.137787
618,0.11811
619,0.116637
620,0.151028
621,0.140869
622,0.141175
623,0.141175
624,0.161963
625,0.166737
626,0.17362
627,0.168626
628,0.172164
629,0.172164
630,0.186126
631,0.15396
632,0.188175
633,0.199852
634,0.170488
635,0.170488
636,0.141687
637,0.127278
638,0.133325
639,0.139056
640,0.126299
641,0.126299
642,0.153884
643,0.151989
644,0.16212
645,0.16766
646,0.168704
647,0.168704
648,0.144298
649,0.145316
650,0.179656
651,0.135405
652,0.150353
653,0.150353
654,0.165722
655,0.149884
656,0.148065
657,0.167699
658,0.150782
659,0.150782
660,0.182133
661,0.183578
662,0.166918
663,0.157223
