bb_idx,MT_MHCSeqNet,WT_MHCSeqNet
0,0.9440639,0.66305465
1,0.0033886135,0.00046613812
2,0.98634076,0.92275786
3,0.9912605,0.9787274
4,0.29883242,0.2706042
5,0.0008561313,0.0021920204
6,0.9938973,0.9887965
7,0.9999395,0.99980307
8,0.3817213,0.3534534
9,0.037780732,0.0609895
10,0.9916462,0.99500823
11,0.9998714,0.99947596
12,0.5964632,0.6849926
13,0.80270064,0.8702685
14,0.98875284,0.9973598
15,0.99980193,0.9997225
16,0.33913204,0.442279
17,4.8965216e-05,0.0036056936
18,0.95977455,0.9697182
19,0.99968845,0.9998121
20,0.017584622,0.008710563
21,0.010492235,0.002818942
22,0.9991151,0.99244285
23,0.97777677,0.9951378
24,0.15020832,0.054185897
25,0.29980177,0.9987052
26,0.92020905,0.91408986
27,0.9984313,0.9966824
28,0.0031892061,0.33986342
29,0.043691993,0.012696028
30,0.9996344,0.9991455
31,0.7462038,0.9667311
32,0.06833029,0.08158764
33,0.014885575,0.013330728
34,0.95850587,0.9340035
35,0.99261016,0.99749863
36,0.12766379,0.07774159
37,0.6005597,0.5325118
38,0.9352632,0.91780263
39,0.9998454,0.9998025
40,0.16830981,0.19836515
41,0.567798,0.6511208
42,0.8881657,0.9068577
43,0.99276793,0.9941886
44,0.44901165,0.42741203
45,0.0032895803,0.005892813
46,0.9752722,0.9805113
47,0.9997827,0.9998789
48,0.36771393,0.4135334
49,0.92753595,0.9327246
50,0.94660455,0.9444918
51,0.99785215,0.99835205
52,0.5745373,0.57868886
53,0.026570141,0.09208384
54,0.8172704,0.8802284
55,0.9988687,0.99913883
56,0.1785841,0.26339424
57,0.0027476847,0.00972265
58,0.8167423,0.84841
59,0.9471266,0.95202637
60,0.010795563,0.05405256
61,0.00015547872,0.00013512373
62,0.6974484,0.74424434
63,0.995984,0.99792707
64,0.9440639,0.66305465
65,0.0033886135,0.00046613812
66,0.98634076,0.92275786
67,0.9912605,0.9787274
68,0.29883242,0.2706042
69,0.0008561313,0.0021920204
70,0.9938973,0.9887965
71,0.9999395,0.99980307
72,0.3817213,0.3534534
73,0.037780732,0.0609895
74,0.9916462,0.99500823
75,0.9998714,0.99947596
76,0.5964632,0.6849926
77,0.80270064,0.8702685
78,0.98875284,0.9973598
79,0.99980193,0.9997225
80,0.33913204,0.442279
81,4.8965216e-05,0.0036056936
82,0.95977455,0.9697182
83,0.99968845,0.9998121
84,0.017584622,0.008710563
85,0.010492235,0.002818942
86,0.9991151,0.99244285
87,0.97777677,0.9951378
88,0.15020832,0.054185897
89,0.29980177,0.9987052
90,0.92020905,0.91408986
91,0.9984313,0.9966824
92,0.0031892061,0.33986342
93,0.043691993,0.012696028
94,0.9996344,0.9991455
95,0.7462038,0.9667311
96,0.273143,0.30594566
97,0.032623112,0.006560236
98,0.72340035,0.7544749
99,0.95676136,0.9850926
100,0.5115011,0.50806326
101,0.083568364,0.04832676
102,0.85084975,0.90427023
103,0.9768623,0.97630095
104,0.37441432,0.36779523
105,0.042897016,0.022699714
106,0.8481716,0.8680892
107,0.9582827,0.9695898
108,0.25193802,0.23125628
109,0.011418432,0.006136
110,0.86016685,0.7843518
111,0.9674926,0.97258985
112,0.4137643,0.32390904
113,0.0115174055,0.00497365
114,0.8212773,0.77825487
115,0.95798624,0.9356574
116,0.15703422,0.12439245
117,0.007883728,0.0072681904
118,0.84106493,0.79422855
119,0.9979193,0.99717855
120,0.066991806,0.031879783
121,0.00033023953,0.007688105
122,0.61666,0.5093469
123,0.9067977,0.9407635
124,0.27506876,0.28201956
125,0.00018534064,0.00058212876
126,0.86433387,0.8358131
127,0.9769186,0.96503365
128,0.09248492,0.24961689
129,0.46127343,0.6454752
130,0.89700735,0.8872801
131,0.99613273,0.98376167
132,0.7933265,0.9721129
133,0.20041448,0.5858479
134,0.96076924,0.9917424
135,0.9979391,0.9997866
136,0.2039547,0.32395443
137,0.01020214,0.120060176
138,0.68118006,0.9455061
139,0.98827374,0.99738365
140,0.025400668,0.042797774
141,9.945035e-05,0.00013175607
142,0.71628,0.8140688
143,0.97901577,0.9883946
144,0.2352302,0.23351526
145,0.00028657913,0.00043809414
146,0.85284615,0.9088013
147,0.9804479,0.9871102
148,0.22515067,0.28810793
149,0.0060005486,0.019557625
150,0.99352324,0.99780977
151,0.9993481,0.9996464
152,0.041119844,0.058705032
153,0.18759075,0.7030995
154,0.9202672,0.869384
155,0.99573016,0.99720514
156,0.579831,0.86838806
157,0.07201901,0.04610446
158,0.9546584,0.9102918
159,0.99745584,0.99548256
160,0.9440639,0.66305465
161,0.0033886135,0.00046613812
162,0.98634076,0.92275786
163,0.9912605,0.9787274
164,0.29883242,0.2706042
165,0.0008561313,0.0021920204
166,0.9938973,0.9887965
167,0.9999395,0.99980307
168,0.3817213,0.3534534
169,0.037780732,0.0609895
170,0.9916462,0.99500823
171,0.9998714,0.99947596
172,0.5964632,0.6849926
173,0.80270064,0.8702685
174,0.98875284,0.9973598
175,0.99980193,0.9997225
176,0.33913204,0.442279
177,4.8965216e-05,0.0036056936
178,0.95977455,0.9697182
179,0.99968845,0.9998121
180,0.017584622,0.008710563
181,0.010492235,0.002818942
182,0.9991151,0.99244285
183,0.97777677,0.9951378
184,0.15020832,0.054185897
185,0.29980177,0.9987052
186,0.92020905,0.91408986
187,0.9984313,0.9966824
188,0.0031892061,0.33986342
189,0.043691993,0.012696028
190,0.9996344,0.9991455
191,0.7462038,0.9667311
192,0.02002731,0.011028826
193,0.0014338493,0.0004349351
194,0.9712939,0.98213005
195,0.9997567,0.99908626
196,0.19423875,0.21316159
197,0.0054528117,0.0049268305
198,0.89940846,0.9153873
199,0.9998567,0.9997638
200,0.19721448,0.18840426
201,0.00041604042,0.0002503395
202,0.9470569,0.9308235
203,0.99507344,0.9908316
204,0.10900518,0.13665366
205,0.0085243285,0.009580046
206,0.8800602,0.859259
207,0.9915099,0.9887563
208,0.023373693,0.020472318
209,0.03540346,0.015696704
210,0.9069993,0.85372114
211,0.9923937,0.99172497
212,0.017656118,0.010914445
213,0.07959777,0.049610764
214,0.8331552,0.80564356
215,0.99536633,0.9933313
216,0.010015875,0.009399593
217,0.0035234392,0.0042384267
218,0.4614266,0.46052605
219,0.71859777,0.7486311
220,0.11728892,0.064988494
221,0.966714,0.9895327
222,0.50199246,0.45117676
223,0.8143089,0.7917367
