bb_idx,MT_MHCflurry_presentation,WT_MHCflurry_presentation,MT_MHCflurry_affinity_neg,WT_MHCflurry_affinity_neg
0,0.0099854291166747,0.003485059556382,-11133.996208865216,-29637.90771897595
1,0.0036777140221444,0.0031911193563316,-31338.09375779465,-32461.98843023339
2,0.0053555989647695,0.0039154713281633,-21245.89227449148,-26277.802308404065
3,0.0221189647867991,0.0045722321316979,-4847.894457183192,-22385.3473673559
4,0.0034912740715246,0.0035211729908533,-30874.807828247525,-30467.53320577008
5,0.0032088334946227,0.0032161358056395,-33685.903872986935,-33457.05438181563
6,0.0040884198744131,0.00418394161763,-26226.626395158084,-25493.689871877697
7,0.0048747170992114,0.0054691994948122,-21864.64278533402,-19323.514698094
8,0.0034881986485312,0.0033924930273301,-31686.110346081183,-31255.673771860875
9,0.0032771195421652,0.0031903675845638,-33796.52406882334,-33303.09208400685
10,0.005198675447059,0.0054787341663407,-20974.841906549984,-19041.084128733943
11,0.0050171282035781,0.0051392823227612,-21760.710257168845,-20344.22801107092
12,0.0073491712191128,0.0075378185856817,-16253.881384416933,-13922.906294893532
13,0.0101510880414392,0.0101897654701058,-11622.034019681834,-10180.148191868468
14,0.0060654553386296,0.0070166085665582,-19832.10127978236,-14996.8762147892
15,0.0484386572614165,0.0863116725975968,-2233.314693558722,-1039.2129064560932
16,0.0031315245843637,0.0032162574557385,-32411.53990298591,-31543.311038811626
17,0.0030616633722521,0.0031347804500952,-33175.567027129626,-32390.38753898937
18,0.0037698201554877,0.0040075703994558,-26759.16157615273,-25130.69507459683
19,0.0043773788655922,0.0049517599165368,-22929.38633688098,-20192.60686963176
20,0.0033606545684426,0.0032881318400641,-31478.50107039021,-31667.550002369084
21,0.0031661718205625,0.0031420608318916,-33477.590898799055,-33189.18774825636
22,0.0173044461579206,0.0107267451125987,-5741.0396752636,-9302.548195019572
23,0.005395739465946,0.0057911176961482,-19293.400617647127,-17637.12029669533
