bb_idx,MT_NetTepi,WT_NetTepi
0,,
1,0.029,0.028
2,,
3,,
4,,
5,0.034,0.057
6,,
7,,
8,,
9,0.019,0.049
10,,
11,,
12,,
13,0.048,0.096
14,,
15,,
16,,
17,-0.014,0.017
18,,
19,,
20,,
21,0.006,0.021
22,,
23,,
24,,
25,0.069,0.426
26,,
27,,
28,,
29,0.09,0.058
30,,
31,,
32,,
33,0.049,0.045
34,,
35,,
36,,
37,0.087,0.085
38,,
39,,
40,,
41,0.157,0.148
42,,
43,,
44,,
45,0.003,0.003
46,,
47,,
48,,
49,0.065,0.052
50,,
51,,
52,,
53,0.018,0.014
54,,
55,,
56,,
57,-0.002,-0.002
58,,
59,,
60,,
61,0.027,0.023
62,,
63,,
64,,
65,0.029,0.028
66,,
67,,
68,,
69,0.034,0.057
70,,
71,,
72,,
73,0.019,0.049
74,,
75,,
76,,
77,0.048,0.096
78,,
79,,
80,,
81,-0.014,0.017
82,,
83,,
84,,
85,0.006,0.021
86,,
87,,
88,,
89,0.069,0.426
90,,
91,,
92,,
93,0.09,0.058
94,,
95,,
96,,
97,0.001,-0.002
98,,
99,,
100,,
101,0.015,0.021
102,,
103,,
104,,
105,0.017,0.031
106,,
107,,
108,,
109,0.026,0.042
110,,
111,,
112,,
113,0.034,0.05
114,,
115,,
116,,
117,0.039,0.044
118,,
119,,
120,,
121,0.043,0.035
122,,
123,,
124,,
125,0.045,0.039
126,,
127,,
128,,
129,0.108,0.137
130,,
131,,
132,,
133,0.039,0.048
134,,
135,,
136,,
137,0.042,0.048
138,,
139,,
140,,
141,0.04,0.046
142,,
143,,
144,,
145,0.03,0.038
146,,
147,,
148,,
149,0.039,0.041
150,,
151,,
152,,
153,0.044,0.171
154,,
155,,
156,,
157,0.049,0.053
158,,
159,,
160,,
161,0.029,0.028
162,,
163,,
164,,
165,0.034,0.057
166,,
167,,
168,,
169,0.019,0.049
170,,
171,,
172,,
173,0.048,0.096
174,,
175,,
176,,
177,-0.014,0.017
178,,
179,,
180,,
181,0.006,0.021
182,,
183,,
184,,
185,0.069,0.426
186,,
187,,
188,,
189,0.09,0.058
190,,
191,,
192,,
193,-0.002,0.001
194,,
195,,
196,,
197,0.002,0.004
198,,
199,,
200,,
201,0.017,0.017
202,,
203,,
204,,
205,0.019,0.019
206,,
207,,
208,,
209,0.037,0.039
210,,
211,,
212,,
213,0.029,0.03
214,,
215,,
216,,
217,0.023,0.023
218,,
219,,
220,,
221,0.481,0.563
222,,
223,,
224,,
225,0.029,-0.014
226,,
227,,
228,,
229,-0.006,-0.015
230,,
231,,
232,,
233,0.017,0.005
234,,
235,,
236,,
237,0.02,0.008
238,,
239,,
240,,
241,0.373,0.346
242,,
243,,
244,,
245,0.042,0.039
246,,
247,,
248,,
249,0.045,0.072
250,,
251,,
252,,
253,0.009,0.009
254,,
255,,
256,,
257,0.004,0.005
258,,
259,,
260,,
261,0.027,0.025
262,,
263,,
264,,
265,0.048,0.046
266,,
267,,
268,,
269,0.072,0.067
270,,
271,,
272,,
273,0.088,0.084
274,,
275,,
276,,
277,0.159,0.14
278,,
279,,
280,,
281,0.067,0.089
282,,
283,,
284,,
285,0.044,0.047
286,,
287,,
288,0.012,-0.005
289,,
290,,
291,-0.008,-0.022
292,,
293,,
294,0.073,0.061
295,,
296,,
297,0.088,0.06
298,,
299,,
300,0.026,0.005
301,,
302,,
303,0.017,0.03
304,,
305,,
306,-0.02,-0.016
307,,
308,,
309,-0.008,0.0
310,,
311,,
312,0.157,0.075
313,,
314,,
315,0.068,0.051
316,,
317,,
318,0.282,0.209
319,,
320,,
321,0.072,0.034
322,,
323,,
324,0.173,0.171
325,,
326,,
327,0.299,0.23
328,,
329,,
330,0.087,0.053
331,,
332,,
333,0.053,0.047
334,,
335,,
336,0.004,0.004
337,,
338,,
339,0.014,0.007
340,,
341,,
342,0.15,0.11
343,,
344,,
345,0.088,0.068
346,,
347,,
348,0.071,0.057
349,,
350,,
351,0.123,0.118
352,,
353,,
354,0.018,0.017
355,,
356,,
357,0.126,0.127
358,,
359,,
360,0.01,0.013
361,,
362,,
363,0.011,0.01
364,,
365,,
366,0.021,0.02
367,,
368,,
369,0.013,0.011
370,,
371,,
372,0.013,0.01
373,,
374,,
375,0.018,0.031
376,,
377,,
378,0.035,0.053
379,,
380,,
381,0.053,0.104
382,,
383,,
384,-0.007,-0.001
385,,
386,,
387,0.004,-0.005
388,,
389,,
390,0.008,0.0
391,,
392,,
393,0.014,0.008
394,,
395,,
396,0.185,0.129
397,,
398,,
399,0.044,0.071
400,,
401,,
402,0.003,0.003
403,,
404,,
405,0.008,0.017
406,,
407,,
408,0.018,0.016
409,,
410,,
411,0.02,0.014
412,,
413,,
414,0.096,0.082
415,,
416,,
417,0.032,0.026
418,,
419,,
420,0.033,0.024
421,,
422,,
423,0.022,0.021
424,,
425,,
426,0.028,0.027
427,,
428,,
429,0.027,0.027
430,,
431,,
432,0.05,0.029
433,,
434,,
435,,
436,,
437,,
438,0.033,0.028
439,,
440,,
441,,
442,,
443,,
444,0.037,0.038
445,,
446,,
447,,
448,,
449,,
450,0.056,0.054
451,,
452,,
453,,
454,,
455,,
456,0.075,0.077
457,,
458,,
459,,
460,,
461,,
462,0.055,0.125
463,,
464,,
465,,
466,,
467,,
468,0.043,0.044
469,,
470,,
471,,
472,,
473,,
474,0.048,0.036
475,,
476,,
477,,
478,,
479,,
480,0.016,0.007
481,,
482,,
483,,
484,,
485,,
486,0.028,0.021
487,,
488,,
489,,
490,,
491,,
492,0.024,0.017
493,,
494,,
495,,
496,,
497,,
498,0.033,0.025
499,,
500,,
501,,
502,,
503,,
504,0.04,0.03
505,,
506,,
507,,
508,,
509,,
510,0.04,0.038
511,,
512,,
513,,
514,,
515,,
516,0.033,0.04
517,,
518,,
519,,
520,,
521,,
522,0.03,0.03
523,,
524,,
525,,
526,,
527,,
528,0.025,0.026
529,,
530,,
531,,
532,,
533,,
534,0.029,0.01
535,,
536,,
537,,
538,,
539,,
540,0.053,0.028
541,,
542,,
543,,
544,,
545,,
546,0.064,0.035
547,,
548,,
549,,
550,,
551,,
552,0.061,0.031
553,,
554,,
555,,
556,,
557,,
558,0.053,0.045
559,,
560,,
561,,
562,,
563,,
564,0.052,0.053
565,,
566,,
567,,
568,,
569,,
570,0.064,0.078
571,,
572,,
573,,
574,,
575,,
576,0.024,0.047
577,,
578,,
579,,
580,,
581,,
582,0.019,0.02
583,,
584,,
585,,
586,,
587,,
588,0.033,0.034
589,,
590,,
591,,
592,,
593,,
594,0.034,0.034
595,,
596,,
597,,
598,,
599,,
600,0.033,0.035
601,,
602,,
603,,
604,,
605,,
606,0.041,0.04
607,,
608,,
609,,
610,,
611,,
612,0.034,0.03
613,,
614,,
615,,
616,,
617,,
618,0.024,0.028
619,,
620,,
621,,
622,,
623,,
624,0.044,0.045
625,,
626,,
627,,
628,,
629,,
630,0.049,0.049
631,,
632,,
633,,
634,,
635,,
636,0.057,0.058
637,,
638,,
639,,
640,,
641,,
642,0.032,0.033
643,,
644,,
645,,
646,,
647,,
648,0.03,0.03
649,,
650,,
651,,
652,,
653,,
654,0.051,0.026
655,,
656,,
657,,
658,,
659,,
660,0.034,0.033
661,,
662,,
663,,
664,,
665,,
666,0.079,0.084
667,,
668,,
669,,
670,,
671,,
672,0.076,0.069
673,,
674,,
675,,
676,,
677,,
678,0.086,0.101
679,,
680,,
681,,
682,,
683,,
684,0.058,0.055
685,,
686,,
687,,
688,,
689,,
690,0.075,0.072
691,,
692,,
693,,
694,,
695,,
696,0.043,0.038
697,,
698,,
699,,
700,,
701,,
702,0.036,0.036
703,,
704,,
705,,
706,,
707,,
708,0.034,0.034
709,,
710,,
711,,
712,,
713,,
714,0.035,0.035
715,,
716,,
717,,
718,,
719,,
720,0.061,0.059
721,,
722,,
723,,
724,,
725,,
726,0.069,0.067
727,,
728,,
729,,
730,,
731,,
732,0.054,0.054
733,,
734,,
735,,
736,,
737,,
738,0.05,0.049
739,,
740,,
741,,
742,,
743,,
744,0.032,0.03
745,,
746,,
747,,
748,,
749,,
750,0.006,0.006
751,,
752,,
753,,
754,,
755,,
756,-0.012,-0.013
757,,
758,,
759,,
760,,
761,,
762,-0.009,-0.014
763,,
764,,
765,,
766,,
767,,
768,0.012,0.011
769,,
770,,
771,,
772,,
773,,
774,-0.013,0.008
775,,
776,,
777,,
778,,
779,,
780,-0.046,-0.017
781,,
782,,
783,,
784,,
785,,
786,-0.036,-0.006
787,,
788,,
789,,
790,,
791,,
792,-0.016,0.016
793,,
794,,
795,,
796,,
797,,
798,0.006,0.017
799,,
800,,
801,,
802,,
803,,
804,0.031,0.032
805,,
806,,
807,,
808,,
809,,
810,0.03,0.031
811,,
812,,
813,,
814,,
815,,
816,0.039,0.048
817,,
818,,
819,,
820,,
821,,
822,0.034,0.011
823,,
824,,
825,,
826,,
827,,
828,0.026,-0.003
829,,
830,,
831,,
832,,
833,,
834,0.069,0.033
835,,
836,,
837,,
838,,
839,,
840,0.05,0.018
841,,
842,,
843,,
844,,
845,,
846,0.052,0.036
847,,
848,,
849,,
850,,
851,,
852,0.049,0.047
853,,
854,,
855,,
856,,
857,,
858,0.049,0.049
859,,
860,,
861,,
862,,
863,,
864,0.061,0.049
865,,
866,,
867,,
868,,
869,,
870,0.056,0.051
871,,
872,,
873,,
874,,
875,,
876,0.037,0.033
877,,
878,,
879,,
880,,
881,,
882,-0.003,-0.003
883,,
884,,
885,,
886,,
887,,
888,-0.016,-0.016
889,,
890,,
891,,
892,,
893,,
894,-0.005,-0.005
895,,
896,,
897,,
898,,
899,,
900,0.003,-0.003
901,,
902,,
903,,
904,,
905,,
906,0.124,0.057
907,,
908,,
909,,
910,,
911,,
912,0.044,0.025
913,,
914,,
915,,
916,,
917,,
918,0.029,0.028
919,,
920,,
921,,
922,,
923,,
924,0.037,0.038
925,,
926,,
927,,
928,,
929,,
930,0.047,0.052
931,,
932,,
933,,
934,,
935,,
936,0.032,0.028
937,,
938,,
939,,
940,,
941,,
942,0.032,0.033
943,,
944,,
945,,
946,,
947,,
948,0.032,0.032
949,,
950,,
951,,
952,,
953,,
954,0.046,0.046
955,,
956,,
957,,
958,,
959,,
960,0.024,0.035
961,,
962,,
963,,
964,,
965,,
966,0.07,0.105
967,,
968,,
969,,
970,,
971,,
972,0.168,0.239
973,,
974,,
975,,
976,,
977,,
978,0.028,0.039
979,,
980,,
981,,
982,,
983,,
984,0.007,0.016
985,,
986,,
987,,
988,,
989,,
990,0.013,0.013
991,,
992,,
993,,
994,,
995,,
996,0.009,0.013
997,,
998,,
999,,
1000,,
1001,,
1002,-0.006,-0.004
1003,,
1004,,
1005,,
1006,,
1007,,
1008,0.032,0.017
1009,,
1010,,
1011,,
1012,,
1013,,
1014,0.034,0.023
1015,,
1016,,
1017,,
1018,,
1019,,
1020,0.038,0.023
1021,,
1022,,
1023,,
1024,,
1025,,
1026,0.075,0.059
1027,,
1028,,
1029,,
1030,,
1031,,
1032,0.044,0.029
1033,,
1034,,
1035,,
1036,,
1037,,
1038,0.056,0.056
1039,,
1040,,
1041,,
1042,,
1043,,
1044,0.053,0.058
1045,,
