bb_idx,MT_PRIME,WT_PRIME
0,0.001006,0.00057
1,0.000423,0.00042
2,0.000428,0.000424
3,0.000333,0.000329
4,0.000328,0.000449
5,0.000283,0.000365
6,0.000296,0.000369
7,0.000255,0.000425
8,0.000259,0.000318
9,0.00026,0.000362
10,0.000367,0.000454
11,0.000228,0.000232
12,0.000265,0.000301
13,0.000549,0.000864
14,0.000194,0.000226
15,0.000168,0.000319
16,0.000167,0.000217
17,0.000129,0.000147
18,0.000133,0.000146
19,0.000131,0.000127
20,0.00018,0.000166
21,0.000161,0.000165
22,0.001663,0.000571
23,0.000589,0.000412
24,0.000284,0.000283
25,0.000712,0.00581
26,0.000499,0.000443
27,0.000875,0.000732
28,0.00037,0.000379
29,0.002092,0.001
30,0.024331,0.003736
31,0.000593,0.000485
32,0.00027,0.000268
33,0.000271,0.000271
34,0.000567,0.000609
35,0.000526,0.000525
36,0.000272,0.000333
37,0.000843,0.001233
38,0.000398,0.000631
39,0.003234,0.008388
40,0.000256,0.000321
41,0.000865,0.001132
42,0.000249,0.00032
43,0.000262,0.00028
44,0.000209,0.000269
45,0.000203,0.000235
46,0.000195,0.000221
47,0.0002,0.000262
48,0.000237,0.000283
49,0.00047,0.00052
50,0.000229,0.000289
51,0.00043,0.00044
52,0.000213,0.0002
53,0.00019,0.000188
54,0.000187,0.000189
55,0.00015,0.000129
56,0.000182,0.000202
57,0.000162,0.000156
58,0.000172,0.000192
59,0.000338,0.000303
60,0.000195,0.000198
61,0.000194,0.000185
62,0.00021,0.000231
63,0.000158,0.000156
64,0.001006,0.00057
65,0.000423,0.00042
66,0.000428,0.000424
67,0.000333,0.000329
68,0.000328,0.000449
69,0.000283,0.000365
70,0.000296,0.000369
71,0.000255,0.000425
72,0.000259,0.000318
73,0.00026,0.000362
74,0.000367,0.000454
75,0.000228,0.000232
76,0.000265,0.000301
77,0.000549,0.000864
78,0.000194,0.000226
79,0.000168,0.000319
80,0.000167,0.000217
81,0.000129,0.000147
82,0.000133,0.000146
83,0.000131,0.000127
84,0.00018,0.000166
85,0.000161,0.000165
86,0.001663,0.000571
87,0.000589,0.000412
88,0.000284,0.000283
89,0.000712,0.00581
90,0.000499,0.000443
91,0.000875,0.000732
92,0.00037,0.000379
93,0.002092,0.001
94,0.024331,0.003736
95,0.000593,0.000485
96,0.000393,0.000412
97,0.000383,0.000378
98,0.000352,0.000353
99,0.000412,0.000425
100,0.000622,0.000528
101,0.000392,0.00033
102,0.000371,0.000308
103,0.0005,0.000339
104,0.000605,0.000446
105,0.000461,0.000421
106,0.000621,0.000541
107,0.000543,0.000574
108,0.000755,0.000485
109,0.000435,0.000326
110,0.000518,0.000373
111,0.000297,0.000219
112,0.000844,0.000739
113,0.000309,0.000267
114,0.000328,0.0003
115,0.000414,0.000432
116,0.000555,0.000535
117,0.000377,0.000378
118,0.000454,0.000513
119,0.000446,0.00058
120,0.000393,0.000276
121,0.000502,0.000564
122,0.000406,0.000274
123,0.000227,0.000211
124,0.000282,0.000271
125,0.000293,0.000273
126,0.000388,0.000356
127,0.004985,0.005479
128,0.000349,0.000349
129,0.001002,0.000975
130,0.000376,0.000375
131,0.000292,0.00029
132,0.000418,0.000503
133,0.000312,0.000331
134,0.000424,0.000476
135,0.000746,0.000898
136,0.000262,0.000253
137,0.000294,0.000291
138,0.000304,0.000292
139,0.000286,0.000284
140,0.000263,0.000251
141,0.000262,0.000248
142,0.000262,0.000249
143,0.000303,0.000286
144,0.000322,0.000305
145,0.000321,0.000304
146,0.000366,0.000341
147,0.000362,0.000359
148,0.000298,0.000298
149,0.000366,0.000351
150,0.00066,0.000563
151,0.000951,0.000673
152,0.000403,0.0004
153,0.000844,0.002437
154,0.000515,0.00045
155,0.001142,0.001166
156,0.000891,0.000987
157,0.000357,0.000397
158,0.000376,0.000366
159,0.00072,0.000924
160,0.001006,0.00057
161,0.000423,0.00042
162,0.000428,0.000424
163,0.000333,0.000329
164,0.000328,0.000449
165,0.000283,0.000365
166,0.000296,0.000369
167,0.000255,0.000425
168,0.000259,0.000318
169,0.00026,0.000362
170,0.000367,0.000454
171,0.000228,0.000232
172,0.000265,0.000301
