bb_idx,MT_Repitope,WT_Repitope
0,0.36984,0.31904
1,0.36984,0.31904
2,0.36984,0.31904
3,0.36984,0.31904
4,0.38416,0.28952
5,0.38416,0.28952
6,0.38416,0.28952
7,0.38416,0.28952
8,0.27208,0.25776
9,0.27208,0.25776
10,0.27208,0.25776
11,0.27208,0.25776
12,0.26328,0.16032
13,0.26328,0.16032
14,0.26328,0.16032
15,0.26328,0.16032
16,0.26888,0.196
17,0.26888,0.196
18,0.26888,0.196
19,0.26888,0.196
20,0.29872,0.2236
21,0.29872,0.2236
22,0.29872,0.2236
23,0.29872,0.2236
24,0.27264,0.20656
25,0.27264,0.20656
26,0.27264,0.20656
27,0.27264,0.20656
28,0.30104,0.2996
29,0.30104,0.2996
30,0.30104,0.2996
31,0.30104,0.2996
32,0.34264,0.33632
33,0.34264,0.33632
34,0.34264,0.33632
35,0.34264,0.33632
36,0.38272,0.36448
37,0.38272,0.36448
38,0.38272,0.36448
39,0.38272,0.36448
40,0.33688,0.3316
41,0.33688,0.3316
42,0.33688,0.3316
43,0.33688,0.3316
44,0.33496,0.3144
45,0.33496,0.3144
46,0.33496,0.3144
47,0.33496,0.3144
48,0.24256,0.20312
49,0.24256,0.20312
50,0.24256,0.20312
51,0.24256,0.20312
52,0.25264,0.22888
53,0.25264,0.22888
54,0.25264,0.22888
55,0.25264,0.22888
56,0.26608,0.22664
57,0.26608,0.22664
58,0.26608,0.22664
59,0.26608,0.22664
60,0.3212,0.2564
61,0.3212,0.2564
62,0.3212,0.2564
63,0.3212,0.2564
64,0.36984,0.31904
65,0.36984,0.31904
66,0.36984,0.31904
67,0.36984,0.31904
68,0.38416,0.28952
69,0.38416,0.28952
70,0.38416,0.28952
71,0.38416,0.28952
72,0.27208,0.25776
73,0.27208,0.25776
74,0.27208,0.25776
75,0.27208,0.25776
76,0.26328,0.16032
77,0.26328,0.16032
78,0.26328,0.16032
79,0.26328,0.16032
80,0.26888,0.196
81,0.26888,0.196
82,0.26888,0.196
83,0.26888,0.196
84,0.29872,0.2236
85,0.29872,0.2236
86,0.29872,0.2236
87,0.29872,0.2236
88,0.27264,0.20656
89,0.27264,0.20656
90,0.27264,0.20656
91,0.27264,0.20656
92,0.30104,0.2996
93,0.30104,0.2996
94,0.30104,0.2996
95,0.30104,0.2996
96,0.32376,0.33768
97,0.32376,0.33768
98,0.32376,0.33768
99,0.32376,0.33768
100,0.28512,0.2556
101,0.28512,0.2556
102,0.28512,0.2556
103,0.28512,0.2556
104,0.33976,0.37024
105,0.33976,0.37024
106,0.33976,0.37024
107,0.33976,0.37024
108,0.31144,0.33968
109,0.31144,0.33968
110,0.31144,0.33968
111,0.31144,0.33968
112,0.33984,0.37048
113,0.33984,0.37048
114,0.33984,0.37048
115,0.33984,0.37048
116,0.3212,0.35032
117,0.3212,0.35032
118,0.3212,0.35032
119,0.3212,0.35032
120,0.29272,0.33192
121,0.29272,0.33192
122,0.29272,0.33192
123,0.29272,0.33192
124,0.27528,0.30752
125,0.27528,0.30752
126,0.27528,0.30752
127,0.27528,0.30752
128,0.41376,0.38512
129,0.41376,0.38512
130,0.41376,0.38512
131,0.41376,0.38512
132,0.43816,0.4012
133,0.43816,0.4012
134,0.43816,0.4012
135,0.43816,0.4012
136,0.46776,0.42712
137,0.46776,0.42712
138,0.46776,0.42712
139,0.46776,0.42712
140,0.3608,0.33744
141,0.3608,0.33744
142,0.3608,0.33744
143,0.3608,0.33744
144,0.41376,0.41376
145,0.41376,0.41376
146,0.41376,0.41376
147,0.41376,0.41376
148,0.21352,0.2232
149,0.21352,0.2232
150,0.21352,0.2232
151,0.21352,0.2232
152,0.25008,0.24032
153,0.25008,0.24032
154,0.25008,0.24032
155,0.25008,0.24032
156,0.26344,0.28992
157,0.26344,0.28992
158,0.26344,0.28992
159,0.26344,0.28992
160,0.36984,0.31904
161,0.36984,0.31904
162,0.36984,0.31904
163,0.36984,0.31904
164,0.38416,0.28952
165,0.38416,0.28952
166,0.38416,0.28952
167,0.38416,0.28952
168,0.27208,0.25776
169,0.27208,0.25776
170,0.27208,0.25776
171,0.27208,0.25776
172,0.26328,0.16032
173,0.26328,0.16032
174,0.26328,0.16032
175,0.26328,0.16032
176,0.26888,0.196
177,0.26888,0.196
178,0.26888,0.196
179,0.26888,0.196
180,0.29872,0.2236
181,0.29872,0.2236
182,0.29872,0.2236
183,0.29872,0.2236
184,0.27264,0.20656
185,0.27264,0.20656
186,0.27264,0.20656
187,0.27264,0.20656
188,0.30104,0.2996
189,0.30104,0.2996
190,0.30104,0.2996
191,0.30104,0.2996
192,0.2876,0.29304
193,0.2876,0.29304
194,0.2876,0.29304
195,0.2876,0.29304
196,0.3172,0.316
197,0.3172,0.316
198,0.3172,0.316
199,0.3172,0.316
200,0.22584,0.254
201,0.22584,0.254
202,0.22584,0.254
203,0.22584,0.254
204,0.20656,0.22344
205,0.20656,0.22344
206,0.20656,0.22344
207,0.20656,0.22344
208,0.20352,0.2404
209,0.20352,0.2404
210,0.20352,0.2404
211,0.20352,0.2404
212,0.21,0.24656
213,0.21,0.24656
214,0.21,0.24656
215,0.21,0.24656
216,0.19064,0.21696
217,0.19064,0.21696
218,0.19064,0.21696
