bb_idx,MT_TransHLA,WT_TransHLA
0,0.182062,0.027977
1,0.182062,0.027977
2,0.182062,0.027977
3,0.182062,0.027977
4,0.041929,0.03943
5,0.041929,0.03943
6,0.041929,0.03943
7,0.041929,0.03943
8,0.173238,0.045804
9,0.173238,0.045804
10,0.173238,0.045804
11,0.173238,0.045804
12,0.245768,0.15867
13,0.245768,0.15867
14,0.245768,0.15867
15,0.245768,0.15867
16,0.020731,0.011048
17,0.020731,0.011048
18,0.020731,0.011048
19,0.020731,0.011048
20,0.424851,0.361931
21,0.424851,0.361931
22,0.424851,0.361931
23,0.424851,0.361931
24,0.33334,0.953357
25,0.33334,0.953357
26,0.33334,0.953357
27,0.33334,0.953357
28,0.81692,0.585727
29,0.81692,0.585727
30,0.81692,0.585727
31,0.81692,0.585727
32,0.251521,0.102881
33,0.251521,0.102881
34,0.251521,0.102881
35,0.251521,0.102881
36,0.345189,0.313645
37,0.345189,0.313645
38,0.345189,0.313645
39,0.345189,0.313645
40,0.644421,0.387288
41,0.644421,0.387288
42,0.644421,0.387288
43,0.644421,0.387288
44,0.066737,0.072865
45,0.066737,0.072865
46,0.066737,0.072865
47,0.066737,0.072865
48,0.177077,0.076402
49,0.177077,0.076402
50,0.177077,0.076402
51,0.177077,0.076402
52,0.056784,0.030127
53,0.056784,0.030127
54,0.056784,0.030127
55,0.056784,0.030127
56,0.021311,0.015181
57,0.021311,0.015181
58,0.021311,0.015181
59,0.021311,0.015181
60,0.067497,0.044296
61,0.067497,0.044296
62,0.067497,0.044296
63,0.067497,0.044296
64,0.182062,0.027977
65,0.182062,0.027977
66,0.182062,0.027977
67,0.182062,0.027977
68,0.041929,0.03943
69,0.041929,0.03943
70,0.041929,0.03943
71,0.041929,0.03943
72,0.173238,0.045804
73,0.173238,0.045804
74,0.173238,0.045804
75,0.173238,0.045804
76,0.245768,0.15867
77,0.245768,0.15867
78,0.245768,0.15867
79,0.245768,0.15867
80,0.020731,0.011048
81,0.020731,0.011048
82,0.020731,0.011048
83,0.020731,0.011048
84,0.424851,0.361931
85,0.424851,0.361931
86,0.424851,0.361931
87,0.424851,0.361931
88,0.33334,0.953357
89,0.33334,0.953357
90,0.33334,0.953357
91,0.33334,0.953357
92,0.81692,0.585727
93,0.81692,0.585727
94,0.81692,0.585727
95,0.81692,0.585727
96,0.003535,0.009303
97,0.003535,0.009303
98,0.003535,0.009303
99,0.003535,0.009303
100,0.018897,0.011121
101,0.018897,0.011121
102,0.018897,0.011121
103,0.018897,0.011121
104,0.005459,0.002801
105,0.005459,0.002801
106,0.005459,0.002801
107,0.005459,0.002801
108,0.012369,0.009263
109,0.012369,0.009263
110,0.012369,0.009263
111,0.012369,0.009263
112,0.056335,0.039943
113,0.056335,0.039943
114,0.056335,0.039943
115,0.056335,0.039943
116,0.017047,0.020939
117,0.017047,0.020939
118,0.017047,0.020939
119,0.017047,0.020939
120,0.004579,0.005469
121,0.004579,0.005469
122,0.004579,0.005469
123,0.004579,0.005469
124,0.341648,0.553554
125,0.341648,0.553554
126,0.341648,0.553554
127,0.341648,0.553554
128,0.109532,0.116609
129,0.109532,0.116609
130,0.109532,0.116609
131,0.109532,0.116609
132,0.219788,0.659006
133,0.219788,0.659006
134,0.219788,0.659006
135,0.219788,0.659006
136,0.130083,0.214842
137,0.130083,0.214842
138,0.130083,0.214842
139,0.130083,0.214842
140,0.103697,0.130361
141,0.103697,0.130361
142,0.103697,0.130361
143,0.103697,0.130361
144,0.087997,0.157872
145,0.087997,0.157872
146,0.087997,0.157872
147,0.087997,0.157872
148,0.603958,0.428769
149,0.603958,0.428769
150,0.603958,0.428769
151,0.603958,0.428769
152,0.038175,0.071869
153,0.038175,0.071869
154,0.038175,0.071869
155,0.038175,0.071869
156,0.36036,0.167656
157,0.36036,0.167656
158,0.36036,0.167656
159,0.36036,0.167656
160,0.182062,0.027977
161,0.182062,0.027977
162,0.182062,0.027977
163,0.182062,0.027977
164,0.041929,0.03943
165,0.041929,0.03943
166,0.041929,0.03943
167,0.041929,0.03943
168,0.173238,0.045804
169,0.173238,0.045804
170,0.173238,0.045804
171,0.173238,0.045804
172,0.245768,0.15867
173,0.245768,0.15867
174,0.245768,0.15867
175,0.245768,0.15867
176,0.020731,0.011048
177,0.020731,0.011048
178,0.020731,0.011048
179,0.020731,0.011048
180,0.424851,0.361931
181,0.424851,0.361931
182,0.424851,0.361931
183,0.424851,0.361931
184,0.33334,0.953357
185,0.33334,0.953357
186,0.33334,0.953357
187,0.33334,0.953357
188,0.81692,0.585727
189,0.81692,0.585727
190,0.81692,0.585727
191,0.81692,0.585727
192,0.291077,0.198083
193,0.291077,0.198083
194,0.291077,0.198083
195,0.291077,0.198083
196,0.122456,0.128072
197,0.122456,0.128072
198,0.122456,0.128072
199,0.122456,0.128072
200,0.474244,0.369648
201,0.474244,0.369648
202,0.474244,0.369648
203,0.474244,0.369648
204,0.07975,0.054123
205,0.07975,0.054123
206,0.07975,0.054123
207,0.07975,0.054123
208,0.018804,0.010429
209,0.018804,0.010429
210,0.018804,0.010429
211,0.018804,0.010429
212,0.020877,0.010894
213,0.020877,0.010894
214,0.020877,0.010894
215,0.020877,0.010894
216,0.009575,0.010759
217,0.009575,0.010759
218,0.009575,0.010759
219,0.009575,0.010759
220,0.098234,0.138699
221,0.098234,0.138699
222,0.098234,0.138699
223,0.098234,0.138699
224,0.52511,0.023189
225,0.52511,0.023189
226,0.52511,0.023189
227,0.52511,0.023189
228,0.375335,0.242381
229,0.375335,0.242381
230,0.375335,0.242381
231,0.375335,0.242381
232,0.249908,0.221406
233,0.249908,0.221406
234,0.249908,0.221406
235,0.249908,0.221406
236,0.014536,0.007641
237,0.014536,0.007641
238,0.014536,0.007641
239,0.014536,0.007641
240,0.747497,0.816834
241,0.747497,0.816834
242,0.747497,0.816834
243,0.747497,0.816834
244,0.059008,0.029387
245,0.059008,0.029387
246,0.059008,0.029387
247,0.059008,0.029387
248,0.052986,0.026499
249,0.052986,0.026499
250,0.052986,0.026499
251,0.052986,0.026499
252,0.087813,0.053749
253,0.087813,0.053749
254,0.087813,0.053749
255,0.087813,0.053749
256,0.009824,0.05851
257,0.009824,0.05851
258,0.009824,0.05851
259,0.009824,0.05851
260,0.007724,0.002229
261,0.007724,0.002229
262,0.007724,0.002229
263,0.007724,0.002229
264,0.005286,0.006409
265,0.005286,0.006409
266,0.005286,0.006409
267,0.005286,0.006409
268,0.064878,0.016191
269,0.064878,0.016191
270,0.064878,0.016191
271,0.064878,0.016191
272,0.059102,0.023858
273,0.059102,0.023858
274,0.059102,0.023858
275,0.059102,0.023858
276,0.025146,0.019899
277,0.025146,0.019899
278,0.025146,0.019899
279,0.025146,0.019899
280,0.079968,0.137147
281,0.079968,0.137147
282,0.079968,0.137147
283,0.079968,0.137147
284,0.011468,0.022903
285,0.011468,0.022903
286,0.011468,0.022903
287,0.011468,0.022903
288,0.099203,0.088005
289,0.099203,0.088005
290,0.099203,0.088005
291,0.026039,0.008242
292,0.026039,0.008242
293,0.026039,0.008242
294,0.030619,0.011574
295,0.030619,0.011574
296,0.030619,0.011574
297,0.4038,0.186553
298,0.4038,0.186553
299,0.4038,0.186553
300,0.309633,0.127855
301,0.309633,0.127855
302,0.309633,0.127855
303,0.305674,0.220843
304,0.305674,0.220843
305,0.305674,0.220843
306,0.042834,0.011787
307,0.042834,0.011787
308,0.042834,0.011787
309,0.27066,0.220428
310,0.27066,0.220428
311,0.27066,0.220428
312,0.851764,0.20439
313,0.851764,0.20439
314,0.851764,0.20439
315,0.820223,0.964417
316,0.820223,0.964417
317,0.820223,0.964417
318,0.571627,0.482843
319,0.571627,0.482843
320,0.571627,0.482843
321,0.224033,0.299892
