bb_idx,MT_deepHLApan_bind,MT_deepHLApan_immuno,WT_deepHLApan_bind,WT_deepHLApan_immuno
0,0.9798,0.0102,0.9702,0.1828
1,0.5942,0.0022,0.6462,0.0292
2,0.9669,0.6848,0.9083,0.8265
3,0.8902,0.9817,0.9289,0.9853
4,0.8019,0.1883,0.8402,0.1966
5,0.7234,0.0091,0.7952,0.0201
6,0.9887,0.7901,0.9777,0.8547
7,0.9902,0.9855,0.9887,0.9901
8,0.9571,0.0064,0.9409,0.0109
9,0.9575,0.0059,0.8843,0.0924
10,0.996,0.8496,0.9928,0.9801
11,0.9932,0.9836,0.9874,0.9941
12,0.9562,0.0048,0.9736,0.0049
13,0.9847,0.0045,0.9782,0.0214
14,0.9899,0.8023,0.9931,0.9104
15,0.9722,0.9834,0.9719,0.9917
16,0.9236,0.0559,0.9843,0.0279
17,0.5719,0.0051,0.7318,0.0062
18,0.9864,0.8313,0.988,0.8892
19,0.9375,0.9737,0.8715,0.9881
20,0.6147,0.025,0.6683,0.0268
21,0.5001,0.0255,0.6565,0.0316
22,0.9993,0.9662,0.9973,0.966
23,0.9857,0.9917,0.9756,0.9936
24,0.5544,0.0252,0.7143,0.0737
25,0.5346,0.0811,0.9992,0.0246
26,0.9696,0.9895,0.9218,0.9905
27,0.9253,0.992,0.9851,0.9908
28,0.4238,0.0391,0.6562,0.0824
29,0.8488,0.0644,0.8564,0.0558
30,0.9954,0.9788,0.9905,0.9844
31,0.9305,0.9926,0.8992,0.9935
32,0.6523,0.1307,0.7133,0.1514
33,0.4906,0.0693,0.5513,0.0726
34,0.9697,0.9403,0.9646,0.9673
35,0.9879,0.9886,0.9854,0.9914
36,0.4911,0.4171,0.4635,0.4897
37,0.6462,0.1515,0.6857,0.2081
38,0.7878,0.9697,0.8465,0.9833
39,0.9438,0.9951,0.9499,0.9963
40,0.8062,0.0651,0.8099,0.0375
41,0.9819,0.0222,0.9769,0.0211
42,0.9738,0.92,0.9733,0.9688
43,0.9295,0.9902,0.9365,0.9908
44,0.943,0.0781,0.9241,0.0544
45,0.7198,0.0246,0.6755,0.0305
46,0.9908,0.808,0.9916,0.8526
47,0.8825,0.9778,0.8898,0.9873
48,0.8721,0.1633,0.8676,0.1134
49,0.9917,0.027,0.9906,0.0393
50,0.9858,0.8383,0.985,0.8767
51,0.9895,0.9783,0.9884,0.9857
52,0.7886,0.3601,0.7818,0.263
53,0.876,0.1275,0.7457,0.1202
54,0.9245,0.9255,0.9142,0.896
55,0.9752,0.989,0.967,0.9905
56,0.8511,0.0521,0.8689,0.0279
57,0.8174,0.4418,0.7077,0.3639
58,0.992,0.9922,0.9931,0.9714
59,0.9901,0.9924,0.9796,0.9906
60,0.438,0.1616,0.5212,0.1413
61,0.357,0.3126,0.3628,0.3333
62,0.8451,0.9907,0.8923,0.9818
63,0.9934,0.9963,0.9876,0.9961
64,0.9798,0.0102,0.9702,0.1828
65,0.5942,0.0022,0.6462,0.0292
66,0.9669,0.6848,0.9083,0.8265
67,0.8902,0.9817,0.9289,0.9853
68,0.8019,0.1883,0.8402,0.1966
69,0.7234,0.0091,0.7952,0.0201
70,0.9887,0.7901,0.9777,0.8547
71,0.9902,0.9855,0.9887,0.9901
72,0.9571,0.0064,0.9409,0.0109
73,0.9575,0.0059,0.8843,0.0924
74,0.996,0.8496,0.9928,0.9801
75,0.9932,0.9836,0.9874,0.9941
76,0.9562,0.0048,0.9736,0.0049
77,0.9847,0.0045,0.9782,0.0214
78,0.9899,0.8023,0.9931,0.9104
79,0.9722,0.9834,0.9719,0.9917
80,0.9236,0.0559,0.9843,0.0279
81,0.5719,0.0051,0.7318,0.0062
82,0.9864,0.8313,0.988,0.8892
83,0.9375,0.9737,0.8715,0.9881
84,0.6147,0.025,0.6683,0.0268
85,0.5001,0.0255,0.6565,0.0316
86,0.9993,0.9662,0.9973,0.966
87,0.9857,0.9917,0.9756,0.9936
88,0.5544,0.0252,0.7143,0.0737
89,0.5346,0.0811,0.9992,0.0246
90,0.9696,0.9895,0.9218,0.9905
91,0.9253,0.992,0.9851,0.9908
92,0.4238,0.0391,0.6562,0.0824
93,0.8488,0.0644,0.8564,0.0558
94,0.9954,0.9788,0.9905,0.9844
95,0.9305,0.9926,0.8992,0.9935
96,0.3805,0.0556,0.3114,0.1444
97,0.1032,0.0695,0.058,0.2021
98,0.7154,0.8335,0.7346,0.9122
99,0.3651,0.992,0.2814,0.9938
100,0.4565,0.0516,0.447,0.0488
101,0.0779,0.0786,0.1021,0.0358
102,0.9238,0.8464,0.9264,0.8477
103,0.8374,0.9944,0.7129,0.988
104,0.6194,0.106,0.5585,0.0236
105,0.0998,0.1281,0.122,0.0247
106,0.9845,0.9421,0.9906,0.9404
107,0.6778,0.9823,0.6194,0.981
108,0.5535,0.1022,0.5776,0.0274
109,0.234,0.1917,0.2953,0.0392
110,0.9906,0.9647,0.99,0.9167
111,0.6637,0.9855,0.679,0.9757
112,0.6822,0.1325,0.7107,0.0136
113,0.0494,0.1152,0.0481,0.0244
114,0.9719,0.9548,0.9753,0.9333
115,0.618,0.9861,0.652,0.9726
116,0.812,0.3979,0.7833,0.3987
117,0.5502,0.6012,0.601,0.4186
118,0.9909,0.855,0.9946,0.9169
119,0.9598,0.9869,0.976,0.9803
120,0.8915,0.7157,0.7196,0.5904
121,0.7087,0.8108,0.7567,0.6556
122,0.9906,0.9406,0.9845,0.9752
123,0.986,0.9914,0.9881,0.9889
124,0.7237,0.1562,0.6297,0.1964
125,0.2067,0.3016,0.1489,0.2584
126,0.9366,0.9561,0.901,0.9342
127,0.7143,0.9876,0.6757,0.9734
128,0.6494,0.5025,0.8598,0.4516
129,0.9865,0.2907,0.9868,0.3399
130,0.9417,0.98,0.9641,0.9713
131,0.8456,0.9958,0.9782,0.9957
132,0.8763,0.7106,0.9456,0.7441
133,0.4546,0.2008,0.7567,0.2656
134,0.8804,0.8592,0.9485,0.9533
135,0.8816,0.9944,0.9696,0.9961
136,0.76,0.4337,0.7683,0.3625
137,0.3847,0.2608,0.4789,0.3772
138,0.9521,0.9906,0.9614,0.9929
139,0.9672,0.9973,0.9916,0.9972
140,0.5234,0.5873,0.6497,0.494
141,0.1899,0.39,0.2085,0.4217
142,0.953,0.9776,0.9524,0.9861
143,0.9604,0.997,0.9847,0.9961
144,0.8089,0.3935,0.8602,0.3858
145,0.4579,0.3951,0.5,0.3013
146,0.9724,0.9912,0.9814,0.9922
147,0.7493,0.995,0.7859,0.9955
148,0.747,0.0158,0.763,0.0422
149,0.2631,0.0215,0.2973,0.0239
150,0.9654,0.9624,0.9838,0.9649
151,0.5058,0.9864,0.5565,0.9886
152,0.7895,0.1188,0.8283,0.0231
153,0.9456,0.1309,0.9776,0.0541
154,0.9693,0.988,0.9585,0.9849
155,0.7953,0.9904,0.9157,0.9914
156,0.9706,0.3123,0.9888,0.2514
157,0.6691,0.1941,0.6683,0.1281
158,0.7622,0.9902,0.7323,0.9825
159,0.8907,0.9859,0.888,0.9939
160,0.9798,0.0102,0.9702,0.1828
161,0.5942,0.0022,0.6462,0.0292
162,0.9669,0.6848,0.9083,0.8265
163,0.8902,0.9817,0.9289,0.9853
164,0.8019,0.1883,0.8402,0.1966
165,0.7234,0.0091,0.7952,0.0201
166,0.9887,0.7901,0.9777,0.8547
167,0.9902,0.9855,0.9887,0.9901
168,0.9571,0.0064,0.9409,0.0109
169,0.9575,0.0059,0.8843,0.0924
170,0.996,0.8496,0.9928,0.9801
171,0.9932,0.9836,0.9874,0.9941
172,0.9562,0.0048,0.9736,0.0049
173,0.9847,0.0045,0.9782,0.0214
174,0.9899,0.8023,0.9931,0.9104
175,0.9722,0.9834,0.9719,0.9917
176,0.9236,0.0559,0.9843,0.0279
177,0.5719,0.0051,0.7318,0.0062
178,0.9864,0.8313,0.988,0.8892
179,0.9375,0.9737,0.8715,0.9881
180,0.6147,0.025,0.6683,0.0268
181,0.5001,0.0255,0.6565,0.0316
182,0.9993,0.9662,0.9973,0.966
183,0.9857,0.9917,0.9756,0.9936
184,0.5544,0.0252,0.7143,0.0737
185,0.5346,0.0811,0.9992,0.0246
186,0.9696,0.9895,0.9218,0.9905
187,0.9253,0.992,0.9851,0.9908
188,0.4238,0.0391,0.6562,0.0824
189,0.8488,0.0644,0.8564,0.0558
190,0.9954,0.9788,0.9905,0.9844
191,0.9305,0.9926,0.8992,0.9935
192,0.6066,0.1758,0.6083,0.2001
193,0.4686,0.0303,0.4873,0.0341
194,0.9769,0.8328,0.9832,0.8725
195,0.877,0.9913,0.9475,0.9916
196,0.7461,0.1125,0.8,0.1752
197,0.3932,0.1637,0.3571,0.0989
198,0.9385,0.9584,0.9538,0.9537
199,0.9875,0.995,0.9921,0.9936
200,0.5507,0.351,0.5993,0.298
201,0.1745,0.1636,0.188,0.1653
202,0.8469,0.9534,0.8148,0.9663
203,0.8329,0.9942,0.8455,0.9943
204,0.6625,0.0791,0.7018,0.2002
205,0.2782,0.1613,0.2953,0.1609
206,0.9472,0.9123,0.9489,0.9107
207,0.7107,0.973,0.6972,0.9777
208,0.6192,0.1371,0.6156,0.0603
209,0.2414,0.1411,0.2383,0.0637
210,0.9697,0.9604,0.9669,0.9671
211,0.9808,0.9827,0.9858,0.9853
212,0.6452,0.2376,0.6627,0.1812
213,0.1334,0.1386,0.1927,0.0772
214,0.9211,0.9379,0.9299,0.9344
215,0.728,0.9895,0.7847,0.9905
216,0.6018,0.1505,0.6804,0.0872
217,0.3692,0.1532,0.4714,0.0998
218,0.9397,0.9742,0.9589,0.9605
219,0.4845,0.9834,0.7056,0.984
220,0.6217,0.077,0.6164,0.1802
221,0.9969,0.1436,0.9988,0.0946
222,0.7533,0.9605,0.7575,0.9382
223,0.9149,0.9907,0.9555,0.9922
224,0.4811,0.2348,0.9009,0.4013
225,0.792,0.1951,0.9301,0.2177
226,0.9616,0.9685,0.9925,0.7933
227,0.9157,0.9918,0.9702,0.9717
228,0.822,0.1984,0.7766,0.0885
229,0.5402,0.2461,0.6039,0.15
230,0.9953,0.9647,0.9892,0.9245
231,0.9192,0.9962,0.9367,0.9899
232,0.9521,0.0252,0.9384,0.0499
233,0.5095,0.1015,0.5555,0.0316
234,0.982,0.9786,0.9897,0.9498
235,0.9163,0.9938,0.9593,0.9783
236,0.5997,0.1822,0.6542,0.0239
237,0.1517,0.0442,0.311,0.0092
238,0.8491,0.9345,0.914,0.8979
239,0.7221,0.9639,0.732,0.9644
240,0.2651,0.2512,0.3159,0.0676
241,0.9965,0.0089,0.9983,0.0029
242,0.8968,0.9144,0.8944,0.872
243,0.9431,0.9775,0.9532,0.9802
244,0.8876,0.6629,0.9129,0.6153
245,0.6055,0.1948,0.6982,0.2698
246,0.9238,0.9644,0.9575,0.8005
247,0.974,0.9925,0.9742,0.9891
248,0.5705,0.3531,0.6914,0.2813
249,0.5341,0.6232,0.904,0.536
250,0.8534,0.986,0.9296,0.9587
251,0.9671,0.9946,0.99,0.9829
252,0.8538,0.2718,0.8566,0.1085
253,0.3558,0.643,0.3371,0.7076
