bb_idx,MT_MHCnuggets,WT_MHCnuggets
0,-9960.3,-10056.36
1,-38280.63,-37516.63
2,-5793.28,-6042.14
3,-28032.09,-16131.75
4,-14224.37,-15744.07
5,-37141.41,-38521.54
6,-6020.98,-6017.07
7,-30046.2,-32315.69
8,-10984.52,-9782.94
9,-38813.99,-38995.85
10,-6025.33,-6061.3
11,-37541.27,-38021.68
12,-5511.69,-4567.11
13,-37791.54,-37247.62
14,-5855.1,-5859.38
15,-28801.68,-28449.1
16,-2616.79,-2604.94
17,-8395.33,-7539.17
18,-6062.02,-6067.01
19,-22294.62,-24606.02
20,-16395.17,-16889.83
21,-37023.39,-36390.47
22,-6029.01,-6026.27
23,-8573.74,-6647.96
24,-10377.39,-8389.08
25,-36872.71,-35825.14
26,-5814.61,-6019.37
27,-2024.92,-2048.38
28,-22527.49,-21911.44
29,-40203.98,-31977.29
30,-5935.52,-5940.37
31,-41250.81,-42673.15
32,-5933.21,-9831.93
33,-29768.8,-36231.52
34,-6028.63,-6026.58
35,-29144.27,-37491.88
36,-10536.73,-14463.78
37,-38932.53,-39410.29
38,-6000.94,-5991.1
39,-27202.01,-26819.07
40,-4964.74,-3934.67
41,-32258.86,-33488.37
42,-5760.74,-4985.4
43,-259.94,-60.01
44,-12351.27,-13394.38
45,-38075.92,-37860.16
46,-5832.45,-5825.3
47,-15555.94,-11133.76
48,-12890.98,-11194.05
49,-3328.88,-2272.51
50,-6037.39,-6051.59
51,-23842.65,-18769.67
52,-15986.28,-15092.23
53,-28471.81,-28190.2
54,-6014.87,-6017.43
55,-34398.11,-29851.27
56,-14254.86,-12075.03
57,-12645.24,-17207.7
58,-6016.65,-6022.63
59,-13161.05,-6930.67
60,-14664.29,-15469.01
61,-33541.33,-33239.11
62,-5995.72,-5992.32
63,-36404.77,-33477.26
64,-14654.87,-15062.44
65,-39857.4,-39823.85
66,-5883.65,-5583.78
67,-17649.37,-23075.48
68,-12903.01,-13660.23
69,-38616.53,-38232.1
70,-5959.19,-5932.41
71,-23676.61,-20372.43
72,-9960.3,-10056.36
73,-38280.63,-37516.63
74,-5793.28,-6042.14
75,-28032.09,-16131.75
76,-14224.37,-15744.07
77,-37141.41,-38521.54
78,-6020.98,-6017.07
79,-30046.2,-32315.69
80,-10984.52,-9782.94
81,-38813.99,-38995.85
82,-6025.33,-6061.3
83,-37541.27,-38021.68
84,-5511.69,-4567.11
85,-37791.54,-37247.62
86,-5855.1,-5859.38
87,-28801.68,-28449.1
88,-2616.79,-2604.94
89,-8395.33,-7539.17
90,-6062.02,-6067.01
91,-22294.62,-24606.02
92,-16395.17,-16889.83
93,-37023.39,-36390.47
