bb_idx,MT_NetTepi,WT_NetTepi
0,,
1,0.037,0.036
2,,
3,,
4,,
5,0.016,0.034
6,,
7,,
8,,
9,0.021,0.05
10,,
11,,
12,,
13,0.021,0.053
14,,
15,,
16,,
17,0.017,0.057
18,,
19,,
20,,
21,-0.008,0.025
22,,
23,,
24,,
25,0.026,0.04
26,,
27,,
28,,
29,0.049,0.147
30,,
31,,
32,,
33,0.066,0.052
34,,
35,,
36,,
37,0.05,0.045
38,,
39,,
40,,
41,0.083,0.079
42,,
43,,
44,,
45,0.03,0.03
46,,
47,,
48,,
49,0.149,0.121
50,,
51,,
52,,
53,-0.002,-0.003
54,,
55,,
56,,
57,0.11,0.087
58,,
59,,
60,,
61,0.013,0.009
62,,
63,,
64,,
65,0.005,0.005
66,,
67,,
68,,
69,0.057,0.048
70,,
71,,
72,,
73,0.037,0.036
74,,
75,,
76,,
77,0.016,0.034
78,,
79,,
80,,
81,0.021,0.05
82,,
83,,
84,,
85,0.021,0.053
86,,
87,,
88,,
89,0.017,0.057
90,,
91,,
92,,
93,-0.008,0.025
94,,
95,,
96,,
97,0.026,0.04
98,,
99,,
100,,
101,0.049,0.147
102,,
103,,
104,,
105,0.066,0.052
106,,
107,,
108,,
109,0.004,0.0
110,,
111,,
112,,
113,-0.009,-0.002
114,,
115,,
116,,
117,0.004,0.018
118,,
119,,
120,,
121,0.019,0.037
122,,
123,,
124,,
125,0.035,0.052
126,,
127,,
128,,
129,0.031,0.047
130,,
131,,
132,,
133,0.036,0.039
134,,
135,,
136,,
137,0.077,0.062
138,,
139,,
140,,
141,0.021,0.019
142,,
143,,
144,,
145,0.038,0.038
146,,
147,,
148,,
149,0.346,0.423
150,,
151,,
152,,
153,0.035,0.042
154,,
155,,
156,,
157,0.043,0.049
158,,
159,,
160,,
161,0.038,0.045
162,,
163,,
164,,
165,0.044,0.052
166,,
167,,
168,,
169,0.035,0.038
170,,
171,,
172,,
173,0.11,0.53
174,,
175,,
176,,
177,0.044,0.047
178,,
179,,
180,,
181,0.037,0.036
182,,
183,,
184,,
185,0.016,0.034
186,,
187,,
188,,
189,0.021,0.05
190,,
191,,
192,,
193,0.021,0.053
194,,
195,,
196,,
197,0.017,0.057
198,,
199,,
200,,
201,-0.008,0.025
202,,
203,,
204,,
205,0.026,0.04
206,,
207,,
208,,
209,0.049,0.147
210,,
211,,
212,,
213,0.066,0.052
214,,
215,,
216,,
217,-0.002,-0.001
218,,
219,,
220,,
221,-0.006,-0.005
222,,
223,,
224,,
225,0.012,0.012
226,,
227,,
228,,
229,0.021,0.021
230,,
231,,
232,,
233,0.02,0.02
234,,
235,,
236,,
237,0.028,0.029
238,,
239,,
240,,
241,0.028,0.028
242,,
243,,
244,,
245,0.055,0.056
246,,
247,,
248,,
249,0.376,0.465
250,,
251,,
252,,
253,0.059,0.01
254,,
255,,
256,,
257,-0.002,-0.014
258,,
259,,
260,,
261,-0.012,-0.021
262,,
263,,
264,,
265,0.02,0.009
266,,
267,,
268,,
269,0.082,0.058
270,,
271,,
272,,
273,0.084,0.07
274,,
275,,
276,,
277,0.034,0.031
278,,
279,,
280,,
281,0.032,0.056
282,,
283,,
284,,
285,0.021,0.019
286,,
287,,
288,,
289,0.005,0.005
290,,
291,,
292,,
293,0.011,0.011
294,,
295,,
296,,
297,0.026,0.025
298,,
299,,
300,,
301,0.064,0.059
302,,
303,,
304,,
305,0.102,0.087
306,,
307,,
308,,
309,0.053,0.055
310,,
311,,
312,,
313,0.683,0.638
314,,
315,,
316,,
317,0.04,0.041
318,,
319,,
320,,
321,0.039,0.043
322,,
323,,
324,0.017,0.001
325,,
326,,
327,-0.01,-0.022
328,,
329,,
330,0.007,-0.011
331,,
332,,
333,0.513,0.461
334,,
335,,
336,0.046,0.023
337,,
338,,
339,0.013,-0.009
340,,
341,,
342,-0.004,-0.002
343,,
344,,
345,-0.012,0.011
346,,
347,,
348,-0.008,-0.006
349,,
350,,
351,0.461,0.151
352,,
353,,
354,0.087,0.072
355,,
356,,
357,0.443,0.358
358,,
359,,
360,0.074,0.041
361,,
362,,
363,0.249,0.193
364,,
365,,
366,0.084,0.071
367,,
368,,
369,0.165,0.123
370,,
371,,
372,0.074,0.061
373,,
374,,
375,0.091,0.087
376,,
377,,
378,0.031,0.017
379,,
380,,
381,0.006,-0.002
382,,
383,,
384,0.174,0.152
385,,
386,,
387,0.088,0.06
388,,
389,,
390,0.106,0.087
391,,
392,,
393,0.113,0.11
394,,
395,,
396,0.032,0.028
397,,
398,,
399,0.038,0.031
400,,
401,,
402,0.048,0.049
403,,
404,,
405,0.012,0.014
406,,
407,,
408,0.013,0.013
409,,
410,,
411,0.014,0.012
412,,
413,,
414,0.016,0.015
415,,
416,,
417,0.011,0.007
418,,
419,,
420,0.031,0.031
421,,
422,,
423,0.047,0.09
424,,
425,,
426,0.049,0.081
427,,
428,,
429,0.033,0.044
430,,
431,,
432,-0.021,-0.017
433,,
434,,
435,-0.005,-0.008
436,,
437,,
438,0.207,0.111
439,,
440,,
441,-0.002,-0.008
442,,
443,,
444,0.006,0.003
445,,
446,,
447,0.232,0.142
448,,
449,,
450,0.018,0.018
451,,
452,,
453,0.019,0.02
454,,
455,,
456,0.015,0.017
457,,
458,,
459,0.019,0.019
460,,
461,,
462,0.028,0.02
463,,
464,,
465,0.045,0.034
466,,
467,,
468,0.032,0.026
469,,
470,,
471,0.044,0.04
472,,
473,,
474,0.034,0.025
475,,
476,,
477,0.028,0.029
478,,
479,,
480,0.039,0.038
481,,
482,,
483,0.029,0.029
484,,
485,,
486,0.311,0.033
487,,
488,,
489,,
490,,
491,,
492,0.036,0.035
493,,
494,,
495,,
496,,
497,,
498,0.026,0.026
499,,
500,,
501,,
502,,
503,,
504,0.047,0.05
505,,
506,,
507,,
508,,
509,,
510,0.338,0.262
511,,
512,,
513,,
514,,
515,,
516,0.033,0.035
517,,
518,,
519,,
520,,
521,,
522,0.083,0.212
523,,
524,,
525,,
526,,
527,,
528,0.042,0.044
529,,
530,,
531,,
532,,
533,,
534,0.054,0.041
535,,
536,,
537,,
538,,
539,,
540,0.004,0.001
541,,
542,,
543,,
544,,
545,,
546,0.024,0.018
547,,
548,,
549,,
550,,
551,,
552,0.042,0.032
553,,
554,,
555,,
556,,
557,,
558,0.013,0.008
559,,
560,,
561,,
562,,
563,,
564,0.036,0.025
565,,
566,,
567,,
568,,
569,,
570,0.041,0.031
571,,
572,,
573,,
574,,
575,,
576,0.034,0.032
577,,
578,,
579,,
580,,
581,,
582,0.03,0.035
583,,
584,,
585,,
586,,
587,,
588,0.085,0.074
589,,
590,,
591,,
592,,
593,,
594,0.045,0.056
595,,
596,,
597,,
598,,
599,,
600,0.029,0.011
601,,
602,,
603,,
604,,
605,,
606,0.038,0.012
607,,
608,,
609,,
610,,
611,,
612,0.051,0.024
613,,
614,,
615,,
616,,
617,,
618,0.065,0.035
619,,
620,,
621,,
622,,
623,,
624,0.067,0.037
625,,
626,,
627,,
628,,
629,,
630,0.05,0.043
631,,
632,,
633,,
634,,
635,,
636,0.053,0.055
637,,
638,,
639,,
640,,
641,,
642,0.045,0.055
643,,
644,,
645,,
646,,
647,,
648,0.043,0.428
649,,
650,,
651,,
652,,
653,,
654,0.022,0.023
655,,
656,,
657,,
658,,
659,,
660,0.024,0.027
661,,
662,,
663,,
664,,
665,,
666,0.026,0.026
667,,
668,,
669,,
670,,
671,,
672,0.026,0.027
673,,
674,,
675,,
676,,
677,,
678,0.04,0.041
679,,
680,,
681,,
682,,
683,,
684,0.027,0.028
685,,
686,,
687,,
688,,
689,,
690,0.04,0.033
691,,
692,,
693,,
694,,
695,,
696,0.025,0.027
697,,
698,,
699,,
700,,
701,,
702,0.045,0.046
703,,
704,,
705,,
706,,
707,,
708,0.047,0.048
709,,
710,,
711,,
712,,
713,,
714,0.048,0.048
715,,
716,,
717,,
718,,
719,,
