bb_idx,MT_PredIG,WT_PredIG
0,0.000548,0.001932
1,0.044056,0.136868
2,0.021115,0.053823
3,0.256017,0.291044
4,0.023531,0.004196
5,0.005393,0.004136
6,0.015134,0.006979
7,0.00378,0.004136
8,0.019844,0.004111
9,0.020416,0.004136
10,0.049532,0.019645
11,0.072163,0.007027
12,0.000269,0.000324
13,0.001047,0.000382
14,0.002068,0.000809
15,0.000299,0.004389
16,0.019844,0.009713
17,0.063932,0.004874
18,0.0029,0.015134
19,0.027833,0.015134
20,0.002095,0.000679
21,0.00156,0.007493
22,0.016634,0.016634
23,0.00156,0.00156
24,0.004652,0.001556
25,0.036293,0.00173
26,0.015229,0.015229
27,0.010488,0.007736
28,0.000736,0.0004
29,0.000673,0.001232
30,0.003381,0.003381
31,0.000196,0.000196
32,0.059613,0.009979
33,0.036312,0.033285
34,0.034345,0.012549
35,0.118382,0.021002
36,0.005366,0.009979
37,0.00378,0.005899
38,0.099826,0.135621
39,0.020416,0.032096
40,0.001001,8.9e-05
41,0.001026,0.000142
42,0.001026,0.000913
43,0.00041,0.001424
44,0.000115,0.000115
45,0.001987,0.002141
46,0.004477,0.00075
47,0.000783,0.000783
48,0.000141,0.000141
49,0.000524,0.000524
50,0.001546,0.004824
51,0.000395,0.000297
52,0.000287,0.000287
53,0.004477,0.001546
54,0.000481,0.000481
55,0.002141,0.002141
56,0.000187,0.000187
57,0.000783,0.000783
58,0.004824,0.004824
59,0.004824,0.005279
60,0.000115,0.000287
61,0.001906,0.001504
62,0.004824,0.004477
63,0.001228,0.000432
64,0.005623,0.008043
65,0.012895,0.012895
66,0.003508,0.01087
67,0.032341,0.00767
68,0.006415,0.005623
69,0.01087,0.01087
70,0.027651,0.039179
71,0.025848,0.018597
72,0.000548,0.001932
73,0.044056,0.136868
74,0.021115,0.053823
75,0.256017,0.291044
76,0.023531,0.004196
77,0.005393,0.004136
78,0.015134,0.006979
79,0.00378,0.004136
80,0.019844,0.004111
81,0.020416,0.004136
82,0.049532,0.019645
83,0.072163,0.007027
84,0.000269,0.000324
85,0.001047,0.000382
86,0.002068,0.000809
87,0.000299,0.004389
88,0.019844,0.009713
89,0.063932,0.004874
90,0.0029,0.015134
91,0.027833,0.015134
92,0.002095,0.000679
93,0.00156,0.007493
94,0.016634,0.016634
95,0.00156,0.00156
96,0.000117,0.000115
97,0.001906,0.001768
98,0.000783,0.000783
99,0.002105,0.000395
100,0.000187,0.000141
101,0.00044,0.000783
102,0.001709,0.001709
103,0.002141,0.002141
104,0.000614,9.8e-05
105,0.000432,0.000395
106,0.004477,0.000993
107,0.01249,0.001826
108,0.000309,0.000459
109,0.000774,0.005123
110,0.002198,0.004854
111,0.001082,0.005123
112,0.000111,9.9e-05
113,0.000633,0.002618
114,0.000238,0.000378
115,0.001094,0.000397
116,0.000102,0.000141
117,0.001937,0.000705
118,0.00028,0.00023
119,0.000743,0.00027
120,0.000269,0.000115
121,0.004386,0.000519
122,0.002791,0.001007
123,0.013315,0.002809
124,0.000857,0.000857
125,0.004109,0.001441
126,0.001546,0.002038
127,0.001821,0.004072
128,0.009747,0.009747
129,0.026873,0.026873
130,0.024612,0.024612
131,0.087722,0.108652
132,0.014658,0.014658
133,0.035715,0.035715
134,0.004793,0.04356
135,0.016261,0.04873
136,0.00076,0.00076
137,0.003419,0.002004
138,0.000278,0.00766
139,0.00316,0.00316
140,0.000243,0.000243
141,0.000538,0.000589
142,0.005522,0.005522
143,0.000861,0.002124
144,0.005356,0.002133
145,0.340983,0.340983
146,0.431648,0.109423
147,0.468215,0.372605
148,0.005193,0.005297
149,0.001745,0.004618
