R,n_pub,n_priv,tau,K,method,coverage,mean_bias,n_rep
1,200,200,0.02,100,naive_pub,0.2943,0.10417,3000
1,200,200,0.02,100,naive_priv,0.9497,0.00031,3000
1,200,200,0.02,100,bonf_pub,0.979,0.10417,3000
1,200,500,0.02,100,naive_pub,0.2753,0.10537,3000
1,200,500,0.02,100,naive_priv,0.9513,-0.00034,3000
1,200,500,0.02,100,bonf_pub,0.9793,0.10537,3000
1,200,2000,0.02,100,naive_pub,0.2717,0.10558,3000
1,200,2000,0.02,100,naive_priv,0.9487,-0.00041,3000
1,200,2000,0.02,100,bonf_pub,0.9783,0.10558,3000
1,500,200,0.02,100,naive_pub,0.4567,0.05965,3000
1,500,200,0.02,100,naive_priv,0.948,-0.00022,3000
1,500,200,0.02,100,bonf_pub,0.9797,0.05965,3000
1,500,500,0.02,100,naive_pub,0.4317,0.06042,3000
1,500,500,0.02,100,naive_priv,0.956,-0.00031,3000
1,500,500,0.02,100,bonf_pub,0.9803,0.06042,3000
1,500,2000,0.02,100,naive_pub,0.446,0.05955,3000
1,500,2000,0.02,100,naive_priv,0.9457,-0.00018,3000
1,500,2000,0.02,100,bonf_pub,0.9833,0.05955,3000
1,2000,200,0.02,100,naive_pub,0.7157,0.02135,3000
1,2000,200,0.02,100,naive_priv,0.946,-0.00037,3000
1,2000,200,0.02,100,bonf_pub,0.989,0.02135,3000
1,2000,500,0.02,100,naive_pub,0.7257,0.02108,3000
1,2000,500,0.02,100,naive_priv,0.9513,0.00076,3000
1,2000,500,0.02,100,bonf_pub,0.9903,0.02108,3000
1,2000,2000,0.02,100,naive_pub,0.7197,0.02129,3000
1,2000,2000,0.02,100,naive_priv,0.9427,0.00042,3000
1,2000,2000,0.02,100,bonf_pub,0.99,0.02129,3000
10,200,200,0.02,100,naive_pub,0.0143,0.13651,3000
10,200,200,0.02,100,naive_priv,0.951,-0.00073,3000
10,200,200,0.02,100,bonf_pub,0.9767,0.13651,3000
10,200,500,0.02,100,naive_pub,0.0167,0.13646,3000
10,200,500,0.02,100,naive_priv,0.9523,-0.00105,3000
10,200,500,0.02,100,bonf_pub,0.9733,0.13646,3000
10,200,2000,0.02,100,naive_pub,0.0147,0.13645,3000
10,200,2000,0.02,100,naive_priv,0.9497,-0.00018,3000
10,200,2000,0.02,100,bonf_pub,0.978,0.13645,3000
10,500,200,0.02,100,naive_pub,0.0997,0.07868,3000
10,500,200,0.02,100,naive_priv,0.9503,-5e-05,3000
10,500,200,0.02,100,bonf_pub,0.9837,0.07868,3000
10,500,500,0.02,100,naive_pub,0.0897,0.07924,3000
10,500,500,0.02,100,naive_priv,0.952,-0.0003,3000
10,500,500,0.02,100,bonf_pub,0.9833,0.07924,3000
10,500,2000,0.02,100,naive_pub,0.0957,0.07923,3000
10,500,2000,0.02,100,naive_priv,0.9537,-0.00025,3000
10,500,2000,0.02,100,bonf_pub,0.9843,0.07923,3000
10,2000,200,0.02,100,naive_pub,0.3537,0.03226,3000
10,2000,200,0.02,100,naive_priv,0.9503,-5e-05,3000
10,2000,200,0.02,100,bonf_pub,0.9947,0.03226,3000
10,2000,500,0.02,100,naive_pub,0.372,0.03223,3000
10,2000,500,0.02,100,naive_priv,0.9443,0.0,3000
10,2000,500,0.02,100,bonf_pub,0.9893,0.03223,3000
10,2000,2000,0.02,100,naive_pub,0.372,0.0322,3000
10,2000,2000,0.02,100,naive_priv,0.948,-0.00011,3000
10,2000,2000,0.02,100,bonf_pub,0.992,0.0322,3000
50,200,200,0.02,100,naive_pub,0.0,0.1551,3000
50,200,200,0.02,100,naive_priv,0.9443,-0.00068,3000
50,200,200,0.02,100,bonf_pub,0.9767,0.1551,3000
50,200,500,0.02,100,naive_pub,0.0,0.15521,3000
50,200,500,0.02,100,naive_priv,0.9523,0.00062,3000
50,200,500,0.02,100,bonf_pub,0.9793,0.15521,3000
