method,alpha,nominal,empirical_error,controlled,dependence,rho,k_merged,n_trials,source_rho
fisher_indep,0.01,0.01,0.01015,True,independent_rho=0.0,0.0,2,40000,data
bonferroni,0.01,0.01,0.01008,True,independent_rho=0.0,0.0,2,40000,data
evalue_mean,0.01,0.01,3e-05,True,independent_rho=0.0,0.0,2,40000,data
fisher_indep,0.05,0.05,0.05047,True,independent_rho=0.0,0.0,2,40000,data
bonferroni,0.05,0.05,0.05055,True,independent_rho=0.0,0.0,2,40000,data
evalue_mean,0.05,0.05,0.00032,True,independent_rho=0.0,0.0,2,40000,data
fisher_indep,0.1,0.1,0.09875,True,independent_rho=0.0,0.0,2,40000,data
bonferroni,0.1,0.1,0.0973,True,independent_rho=0.0,0.0,2,40000,data
evalue_mean,0.1,0.1,0.00143,True,independent_rho=0.0,0.0,2,40000,data
fisher_indep,0.01,0.01,0.0141,False,real_rho=0.17,0.1663,2,40000,data
bonferroni,0.01,0.01,0.01052,True,real_rho=0.17,0.1663,2,40000,data
evalue_mean,0.01,0.01,0.0,True,real_rho=0.17,0.1663,2,40000,data
fisher_indep,0.05,0.05,0.0593,False,real_rho=0.17,0.1663,2,40000,data
bonferroni,0.05,0.05,0.04772,True,real_rho=0.17,0.1663,2,40000,data
evalue_mean,0.05,0.05,0.00042,True,real_rho=0.17,0.1663,2,40000,data
fisher_indep,0.1,0.1,0.1086,False,real_rho=0.17,0.1663,2,40000,data
bonferroni,0.1,0.1,0.09345,True,real_rho=0.17,0.1663,2,40000,data
evalue_mean,0.1,0.1,0.0016,True,real_rho=0.17,0.1663,2,40000,data
