method,label_ratio,seed,dice_ps,dice_fh,dice_mean,hd95_ps,hd95_fh,hd95_mean,n_labeled,n_unlabeled,n_test,epochs,train_time_min
supervised,0.05,0,0.0000,0.7842,0.3921,362.04,19.30,190.67,54,1033,271,5,0.41
mean_teacher,0.05,0,0.1933,0.6760,0.4346,73.60,44.84,59.22,54,1033,271,5,0.51
supervised,0.05,1,0.7888,0.9180,0.8534,6.10,5.15,5.62,54,1033,271,100,1.98
supervised,0.10,0,0.8677,0.9463,0.9070,3.87,2.37,3.12,108,979,271,100,3.73
supervised,0.10,1,0.8468,0.9407,0.8937,4.15,2.67,3.41,108,979,271,100,3.74
supervised,0.20,0,0.8975,0.9520,0.9248,3.24,1.69,2.47,217,870,271,100,7.47
supervised,0.20,1,0.8965,0.9525,0.9245,2.55,1.50,2.02,217,870,271,100,7.91
mean_teacher,0.05,1,0.8095,0.9161,0.8628,6.50,5.38,5.94,54,1033,271,100,5.59
mean_teacher,0.10,0,0.8676,0.9482,0.9079,3.48,1.89,2.69,108,979,271,100,9.64
mean_teacher,0.10,1,0.8558,0.9431,0.8995,4.51,2.47,3.49,108,979,271,100,7.44
mean_teacher,0.20,0,0.9005,0.9514,0.9260,3.45,1.64,2.54,217,870,271,100,13.00
mean_teacher,0.20,1,0.8956,0.9541,0.9248,3.14,1.24,2.19,217,870,271,100,12.03
