subset,image_path,isic_id,target,qbar,f_prob,a_prob,f_pred,a_pred,f_correct,a_correct,f_entropy,category,score
ITB-Edge,D:\YJ-Agent\data\paired_dataset\medium\ISIC_9103289.jpg,ISIC_9103289,0,0.4933199999999999,0.0020348478574305,0.9812247157096864,0,1,1,0,0.014643408420030236,F_recovers,0.9979651521425695
ITB-LQ,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9369222.jpg,ISIC_9369222,0,0.36852,0.0027936252299696,0.8558065295219421,0,1,1,0,0.019217395576690683,F_recovers,0.9972063747700304
ITB-Edge,D:\YJ-Agent\data\paired_dataset\medium\ISIC_7577395.jpg,ISIC_7577395,1,0.48796,0.9983329176902772,0.4615823030471802,1,0,1,0,0.01232948452505482,F_recovers,0.9983329176902772
ITB-Edge,D:\YJ-Agent\data\paired_dataset\light\ISIC_3985031.jpg,ISIC_3985031,1,0.42406,0.987573266029358,0.0600209757685661,1,0,1,0,0.06687653041301762,F_recovers,0.987573266029358
ITB-HQ,D:\YJ-Agent\data\raw\isic2020\train-image\image\ISIC_5646514.jpg,ISIC_5646514,0,0.53255,0.9986160397529602,0.3773958384990692,1,0,0,1,0.010493344151210487,F_misses_A_gets,0.9986160397529602
ITB-HQ,D:\YJ-Agent\data\raw\isic2020\train-image\image\ISIC_8219342.jpg,ISIC_8219342,0,0.551925,0.997986137866974,0.4557995498180389,1,0,0,1,0.014513286808963976,F_misses_A_gets,0.997986137866974
ITB-HQ,D:\YJ-Agent\data\raw\isic2020\train-image\image\ISIC_8133350.jpg,ISIC_8133350,1,0.5582,0.0017956175142899,0.9050747156143188,0,1,0,1,0.013146627906905529,F_misses_A_gets,0.9982043824857101
ITB-Edge,D:\YJ-Agent\data\paired_dataset\medium\ISIC_7293518.jpg,ISIC_7293518,1,0.5479,0.0018640113994479,0.975576102733612,0,1,0,1,0.013577630265065645,F_misses_A_gets,0.9981359886005521
ITB-Edge,D:\YJ-Agent\data\paired_dataset\light\ISIC_6244332.jpg,ISIC_6244332,0,0.52446,0.9990151524543762,0.99974125623703,1,1,0,0,0.0078024853279520245,Both_wrong,1.9987564086914062
ITB-Edge,D:\YJ-Agent\data\paired_dataset\light\ISIC_9360142.jpg,ISIC_9360142,0,0.50584,0.9982650876045228,0.999460756778717,1,1,0,0,0.012761894833121273,Both_wrong,1.9977258443832397
ITB-HQ,D:\YJ-Agent\data\raw\isic2020\train-image\image\ISIC_8355446.jpg,ISIC_8355446,1,0.581575,0.0166248511523008,0.0038265588227659,0,0,0,0,0.08459551800013083,Both_wrong,1.9795485900249332
ITB-HQ,D:\YJ-Agent\data\raw\isic2020\train-image\image\ISIC_5021861.jpg,ISIC_5021861,1,0.6749499999999999,0.0198277384042739,0.0017563959117978,0,0,0,0,0.09736794297543269,Both_wrong,1.9784158656839284
