baseline,label,n,n_pos,n_lq,n_hq,qbar_mean,qbar_median,ece_10bins,ece_15bins,ece_lq_10,ece_hq_10,qcdi_10,ece_lq_15,ece_hq_15,qcdi_15,entropy_vs_qbar_rho,entropy_vs_qbar_rho_p
Std VIB,I,386,119,193,193,0.5688023316062176,0.5900799999999999,0.5170961973616862,0.5196467722980838,0.5685267188475308,0.4480517057079456,0.1204750131395852,0.5715687773166311,0.4416293443006903,0.12993943301594085,-0.09250200188550503,0.06946616853368898
Std VIB,II,504,171,252,252,0.5619970634920635,0.5751,0.4559353725487618,0.45199865540988476,0.5200233246118481,0.38677340184360565,0.13324992276824243,0.5156966981899349,0.3811359583522149,0.13456073983772,-0.10136049821211833,0.02286090380702267
Std VIB,III,252,80,126,126,0.5424088888888888,0.55083,0.4134939377610054,0.4006261742407722,0.4505636180558848,0.36458365901535944,0.08597995904052536,0.45051446681221324,0.35169183615122057,0.09882263066099267,-0.16102501344143474,0.010460799578615936
Std VIB,IV,154,52,77,77,0.5125687012987012,0.51762,0.40529095243614216,0.41514345546337683,0.37179243390436295,0.42825603635086634,-0.05646360244650339,0.34515089531997584,0.4207326039768659,-0.07558170865689007,-0.08321709915637811,0.30486131041997444
Std VIB,V,93,29,46,47,0.4692864516129032,0.4761,0.4798360555382666,0.48938827315766,0.47032229598287656,0.48141492215639103,-0.011092626173514475,0.43532334668966743,0.48942854408016234,-0.05410519739049491,-0.1799117450690841,0.0844101348531981
Std VIB,VI,43,14,21,22,0.4830111627906977,0.46982,0.5431667846995731,0.5260244037869365,0.608102628162929,0.48517304963686253,0.12292957852606651,0.5646234977812994,0.48917981406504457,0.07544368371625482,0.02053760193295077,0.8959973713238452
Std VIB,I-II,890,290,445,445,0.5649485617977529,0.5802099999999999,0.4828333883525364,0.480388732443909,0.5398619464336989,0.4208883367269562,0.1189736097067427,0.5372309742411704,0.41356693205287626,0.12366404218829413,-0.10293248984309365,0.0021076684416695608
Std VIB,III-IV,406,132,203,203,0.5310901970443349,0.53405,0.41438270863512616,0.4119879356791894,0.4306788241554951,0.3824362780238167,0.04824254613167839,0.4216534622710914,0.38630660345291556,0.03534685881817584,-0.12880772656290257,0.009370471963095444
Std VIB,V-VI,136,43,68,68,0.4736258823529411,0.47367999999999993,0.500342181082541,0.5040215838029434,0.4998090112417498,0.489825590965612,0.0099834202761378,0.5089690968777765,0.4953644178835128,0.013604678994263653,-0.13445939418381087,0.11860048980058871
Std VIB,All (known),1432,465,716,716,0.5466759497206704,0.55532,0.46477216290304824,0.4647721629030482,0.5042338371439448,0.4253104886621518,0.07892334848179294,0.5029557471497859,0.423910876285342,0.07904487086444384,-0.10965164917020263,3.2057721218011556e-05
Std VIB,All (incl. unknown),1500,490,750,750,0.5427768666666667,0.5521400000000001,0.4702296157783518,0.4702296157783518,0.5148583931345492,0.4256008384221544,0.08925755471239477,0.5146692861138533,0.42350850971477727,0.09116077639907605,-0.10665944939325558,3.4841078553487764e-05
Std VIB + QCTS,I,386,119,193,193,0.5688023316062176,0.5900799999999999,0.4830364974305489,0.47945715908617714,0.5377967392544776,0.42404475037112194,0.11375198888335564,0.5337414201144013,0.4144670536835182,0.11927436643088307,-0.26488130805193616,1.278846448907191e-07
Std VIB + QCTS,II,504,171,252,252,0.5619970634920635,0.5751,0.3926276034752523,0.3951336605153023,0.4556686408426592,0.33259552817851556,0.12307311266414361,0.4675079521655476,0.3282553772552489,0.1392525749102987,-0.2187321871144889,7.103937545527134e-07
Std VIB + QCTS,III,252,80,126,126,0.5424088888888888,0.55083,0.3646820808892593,0.36526176514971515,0.41356752543390596,0.3117792205248905,0.10178830490901547,0.4163781380592454,0.31519052823523575,0.10118760982400965,-0.2716077155709929,1.2272975269296061e-05
Std VIB + QCTS,IV,154,52,77,77,0.5125687012987012,0.51762,0.34205355802205106,0.33395673662535097,0.32006829599824105,0.36318587404957503,-0.04311757805133398,0.31977687315975484,0.35462767224449576,-0.034850799084740924,-0.18631147473652218,0.020693940458718176
Std VIB + QCTS,V,93,29,46,47,0.4692864516129032,0.4761,0.42809949861873225,0.44850585372392443,0.43582203024093613,0.4247146393035795,0.011107390937356632,0.4060577749235276,0.39577586963839273,0.010281905285134896,-0.30064867002339063,0.003409264503616202
Std VIB + QCTS,VI,43,14,21,22,0.4830111627906977,0.46982,0.5052601481258789,0.45208152847001176,0.5615268212065934,0.4082549861661484,0.15327183504044495,0.5321242923107252,0.38425840399220773,0.1478658883185175,-0.34823316218665057,0.02211558619199044
Std VIB + QCTS,I-II,890,290,445,445,0.5649485617977529,0.5802099999999999,0.4258472345323433,0.4260867153531718,0.4837707180897383,0.3703926804913518,0.1133780375983865,0.49023100650557117,0.36963101324071373,0.12059999326485743,-0.2464120040041188,8.911425508093801e-14
Std VIB + QCTS,III-IV,406,132,203,203,0.5310901970443349,0.53405,0.34976286263708367,0.3522685226345485,0.3527104513741809,0.3404674724283178,0.01224297894586307,0.3542287749509067,0.3431951260002699,0.011033648950636799,-0.2400168408459379,9.93102590139625e-07
