baseline,baseline_name,skin_group,n,n_pos,auc,ece_15,ece_ci_lo,ece_ci_hi
A,EfficientNet-B3 (Direct),I,2947,119,0.6309771433325806,0.06391412884730616,0.05548934846840682,0.07274904409028467
A,EfficientNet-B3 (Direct),II,4808,171,0.6139941003396278,0.05798041438118711,0.05164733977284191,0.06405173462091387
A,EfficientNet-B3 (Direct),III,3308,80,0.614141883519207,0.05703922218406625,0.05011064053593597,0.06449092517334723
A,EfficientNet-B3 (Direct),IV,2781,52,0.5800589114073906,0.059436474351338586,0.05348392371524591,0.06696033575607921
A,EfficientNet-B3 (Direct),V,1533,29,0.5273982024944974,0.05822269161450062,0.04933213199007377,0.0685492706579542
A,EfficientNet-B3 (Direct),VI,635,14,0.6863354037267081,0.0975151385803978,0.08042563335204635,0.11600584328350584
A,EfficientNet-B3 (Direct),I-II,7755,290,0.6222782178903851,0.06023530239300567,0.0550804809077587,0.06510043071903843
A,EfficientNet-B3 (Direct),III-IV,6089,132,0.600325692716997,0.058134107760874326,0.05322328264955797,0.06321353772487807
A,EfficientNet-B3 (Direct),V-VI,2168,43,0.5726183310533516,0.07095230376669327,0.06323594965074417,0.08032511482835406
D,Std VIB,I,2947,119,0.5800325080527261,0.6846167247006948,0.6702783658991839,0.7005304976455975
D,Std VIB,II,4808,171,0.5554136761643883,0.5856353447645639,0.5741400167453244,0.600073645544241
D,Std VIB,III,3308,80,0.5984220105328377,0.5167620714372454,0.5011191379825035,0.5334335161471249
D,Std VIB,IV,2781,52,0.5758343433773994,0.5213141357889537,0.5045267388584334,0.5381538628469367
D,Std VIB,V,1533,29,0.5854502934702861,0.6498369745784411,0.628558896530501,0.671585520984568
D,Std VIB,VI,635,14,0.5113871635610766,0.8068703637847046,0.7818537326954492,0.8368625326102919
D,Std VIB,I-II,7755,290,0.5676785920502575,0.623153881232184,0.6131419666952074,0.6338038558129393
D,Std VIB,III-IV,6089,132,0.5890930456147848,0.5188411141309719,0.5073264265192585,0.5304664553056824
D,Std VIB,V-VI,2168,43,0.5654883720930233,0.6971546665946198,0.6804822530384189,0.7158251806090612
E,Adaptive Prior,I,2947,119,0.6028163740743823,0.6671202333289612,0.653077805090507,0.6827858570107638
E,Adaptive Prior,II,4808,171,0.5719549214492633,0.5643139413034755,0.5516656767538713,0.5789234770470209
E,Adaptive Prior,III,3308,80,0.6136423482032218,0.49655121808485636,0.48085596662743124,0.5135154931593766
E,Adaptive Prior,IV,2781,52,0.6008082701468558,0.5045911438787588,0.48743258304163917,0.5213618476971416
E,Adaptive Prior,V,1533,29,0.5969254402054293,0.6333258575045997,0.6117492427189734,0.6552283971266522
