baseline,baseline_name,axis,label,n,n_pos,ece_15bins,ece_ci_lo,ece_ci_hi
A,EfficientNet-B3 (Direct),sex,sex=M,675,151,0.1944903375912509,0.171892032771493,0.2308177384074533
A,EfficientNet-B3 (Direct),sex,sex=F,645,113,0.1573085347002361,0.13393480346758654,0.189386439783847
A,EfficientNet-B3 (Direct),sex,MAX-MIN GAP,,,0.037181802891014804,,
A,EfficientNet-B3 (Direct),age,age=<40,260,34,0.1854728145984137,0.14520818821737502,0.23059796581567366
A,EfficientNet-B3 (Direct),age,age=40-60,724,86,0.18041523599931392,0.15864467249155018,0.20883256022394295
A,EfficientNet-B3 (Direct),age,age=>60,336,144,0.18635703076357202,0.15637127508135415,0.24052723938414144
A,EfficientNet-B3 (Direct),age,MAX-MIN GAP,,,0.0059417947642581015,,
D,Std VIB,sex,sex=M,675,151,0.1477471499714173,0.12048400970832966,0.18099235050034437
D,Std VIB,sex,sex=F,645,113,0.09785734420505088,0.07400376438177664,0.13083874286089253
D,Std VIB,sex,MAX-MIN GAP,,,0.049889805766366424,,
D,Std VIB,age,age=<40,260,34,0.08897728183163478,0.0591832724275838,0.14195070110225624
D,Std VIB,age,age=40-60,724,86,0.06674950819775124,0.04882108013955872,0.09087857418408676
D,Std VIB,age,age=>60,336,144,0.31507327444532646,0.2693252574651048,0.37321097665931335
D,Std VIB,age,MAX-MIN GAP,,,0.2483237662475752,,
E,Adaptive Prior,sex,sex=M,675,151,0.14832311991774655,0.12129015468063561,0.17963420581026004
E,Adaptive Prior,sex,sex=F,645,113,0.11198629359462006,0.086835429441164,0.14370771009894634
E,Adaptive Prior,sex,MAX-MIN GAP,,,0.036336826323126487,,
E,Adaptive Prior,age,age=<40,260,34,0.0990655567040309,0.06550800910427758,0.1508910557644693
E,Adaptive Prior,age,age=40-60,724,86,0.05897826546267994,0.04343097044986474,0.08520644489479272
E,Adaptive Prior,age,age=>60,336,144,0.3211458159993137,0.2730090039482873,0.3752236947679714
E,Adaptive Prior,age,MAX-MIN GAP,,,0.26216755053663376,,
F,Q-VIB Full,sex,sex=M,675,151,0.15074677786996796,0.1223266917026766,0.18161273268711567
F,Q-VIB Full,sex,sex=F,645,113,0.11251662575365445,0.08697871468896268,0.14304001857519386
F,Q-VIB Full,sex,MAX-MIN GAP,,,0.038230152116313504,,
F,Q-VIB Full,age,age=<40,260,34,0.10238999043089844,0.0682990257103498,0.1538842280391076
F,Q-VIB Full,age,age=40-60,724,86,0.058573346714957425,0.044414207921182565,0.08481252096035907
F,Q-VIB Full,age,age=>60,336,144,0.31902143712726516,0.2687016214307559,0.3718971036597178
F,Q-VIB Full,age,MAX-MIN GAP,,,0.26044809041230776,,
G,Q-VIB+TokFT,sex,sex=M,675,151,0.3042740916512493,0.27098950111435693,0.33843602259569217
G,Q-VIB+TokFT,sex,sex=F,645,113,0.2073497257621367,0.18065840198885824,0.24627466531049882
G,Q-VIB+TokFT,sex,MAX-MIN GAP,,,0.0969243658891126,,
G,Q-VIB+TokFT,age,age=<40,260,34,0.24980178497319758,0.2081032103872769,0.31497480495295566
G,Q-VIB+TokFT,age,age=40-60,724,86,0.25879504310754414,0.2300008475646545,0.29502098540336835
G,Q-VIB+TokFT,age,age=>60,336,144,0.2493559287021136,0.20574503245945733,0.30014388326058644
G,Q-VIB+TokFT,age,MAX-MIN GAP,,,0.009439114405430549,,
H,Focal+LS,sex,sex=M,675,151,0.4896026519492821,0.46003812914203707,0.5162941455245018
H,Focal+LS,sex,sex=F,645,113,0.5100106813186824,0.4832684223041978,0.5368118955206501
H,Focal+LS,sex,MAX-MIN GAP,,,0.020408029369400338,,
H,Focal+LS,age,age=<40,260,34,0.5376960027676363,0.4964658101590781,0.5751088855816769
H,Focal+LS,age,age=40-60,724,86,0.573948875728233,0.5517831293794002,0.5957062307457075
H,Focal+LS,age,age=>60,336,144,0.3067434430122375,0.26259922362154436,0.35739345333671996
H,Focal+LS,age,MAX-MIN GAP,,,0.26720543271599556,,
I,MC Dropout,sex,sex=M,675,151,0.5132736905553826,0.47853790859519335,0.5470067617041231
I,MC Dropout,sex,sex=F,645,113,0.46109164739821773,0.4246669842161296,0.4972133759305227
I,MC Dropout,sex,MAX-MIN GAP,,,0.052182043157164903,,
I,MC Dropout,age,age=<40,260,34,0.4203487819848726,0.3674844530908964,0.4861634891068275
I,MC Dropout,age,age=40-60,724,86,0.5631187642945069,0.5267711174162362,0.5960705424438344
I,MC Dropout,age,age=>60,336,144,0.361563670327,0.3198528378403613,0.4200257353650938
I,MC Dropout,age,MAX-MIN GAP,,,0.20155509396750693,,
J,Deep Ensemble,sex,sex=M,675,151,0.36357550674566513,0.3343507373873834,0.3933522677370519
J,Deep Ensemble,sex,sex=F,645,113,0.3187726837373519,0.2902126702282202,0.3488884507949904
J,Deep Ensemble,sex,MAX-MIN GAP,,,0.04480282300831323,,
J,Deep Ensemble,age,age=<40,260,34,0.3265429325545064,0.2856852085240042,0.38065259145322033
J,Deep Ensemble,age,age=40-60,724,86,0.4046521609525572,0.3769161699994503,0.43243467413552755
J,Deep Ensemble,age,age=>60,336,144,0.22077693700391263,0.17548073514453358,0.2676769866644117
J,Deep Ensemble,age,MAX-MIN GAP,,,0.18387522394864456,,
TS,Std VIB + TS,sex,sex=M,675,151,0.17721404039197503,0.15027572628083055,0.21191806465511526
TS,Std VIB + TS,sex,sex=F,645,113,0.13271440263519918,0.10481005230904093,0.16364015777400417
TS,Std VIB + TS,sex,MAX-MIN GAP,,,0.044499637756775845,,
TS,Std VIB + TS,age,age=<40,260,34,0.1222938987641381,0.08003746383375708,0.16882106613851366
TS,Std VIB + TS,age,age=40-60,724,86,0.07479335607199301,0.054990594236833695,0.09979877851347738
TS,Std VIB + TS,age,age=>60,336,144,0.35498054609966606,0.3068401766389365,0.4113813544677604
TS,Std VIB + TS,age,MAX-MIN GAP,,,0.28018719002767306,,
