image_path,subset,qbar,target,p_mc,p_det,p_ts
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4033321.jpg,ITB-LQ,0.27336,0,0.026001635938882828,0.00036340224323794246,0.03205019608139992
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8478787.jpg,ITB-LQ,0.3946199999999999,0,0.10049986094236374,0.00041327610961161554,0.03381286934018135
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2075655.jpg,ITB-LQ,0.27738,0,0.9970954060554504,0.999581515789032,0.9660119414329529
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2311665.jpg,ITB-LQ,0.3835199999999999,1,0.08379378169775009,0.0003468861395958811,0.03143481910228729
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3636011.jpg,ITB-LQ,0.42078,0,0.09324275702238083,0.0003535236755851656,0.031684182584285736
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9529297.jpg,ITB-LQ,0.38402,0,0.12935777008533478,0.0003800783306360245,0.03265479952096939
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1444573.jpg,ITB-LQ,0.36042,0,0.08272745460271835,0.0003685088304337114,0.03223706781864166
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5086254.jpg,ITB-LQ,0.3625199999999999,0,0.09902738034725189,0.000355707248672843,0.03176559507846832
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1589997.jpg,ITB-LQ,0.37244,1,0.09782829135656357,0.00034958234755322337,0.03153645247220993
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4880952.jpg,ITB-LQ,0.42892,0,0.057149697095155716,0.00034882535692304373,0.03150796517729759
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2334999.jpg,ITB-LQ,0.4185,0,0.11534223705530167,0.0003501257160678506,0.0315568782389164
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9579703.jpg,ITB-LQ,0.22092,1,0.10712013393640518,0.0003565835941117257,0.03179819881916046
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9363564.jpg,ITB-LQ,0.37438,0,0.13589219748973846,0.0003776775556616485,0.03256874904036522
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8145348.jpg,ITB-LQ,0.37632,1,0.23151066899299622,0.00036623221240006387,0.03215394541621208
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2995801.jpg,ITB-LQ,0.37232,0,0.13641630113124847,0.00036031886702403426,0.031936585903167725
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4765961.jpg,ITB-LQ,0.41866,0,0.09736807644367218,0.0003622511285357177,0.032007839530706406
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2110833.jpg,ITB-LQ,0.39284,0,0.11089887470006943,0.00035053983447141945,0.031572431325912476
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9011718.jpg,ITB-LQ,0.27296,0,0.10143525898456573,0.0003625448152888566,0.03201865777373314
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8007849.jpg,ITB-LQ,0.40658,0,0.09193624556064606,0.0003482109750621021,0.03148481994867325
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7892118.jpg,ITB-LQ,0.3045799999999999,0,0.08498170226812363,0.0003656001063063741,0.03213081136345863
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4151356.jpg,ITB-LQ,0.37712,0,0.08311585336923599,0.0003390675119590014,0.031137412413954735
