baseline,baseline_name,subset,n,auc,acc,f1,ece,mean_entropy,sensitivity_at_95spec
A,EfficientNet-B3 (Direct),ITB-Diverse,1500,0.6092746009294807,0.6813333333333333,0.19798657718120805,0.24356624180078512,0.19468387961387634,0.13673469387755102
A,EfficientNet-B3 (Direct),ITB-Edge,660,0.8771952479338843,0.7818181818181819,0.5977653631284916,0.1674342195644523,0.1879616379737854,0.4166666666666667
A,EfficientNet-B3 (Direct),ITB-HQ,360,0.9376929012345678,0.8916666666666667,0.706766917293233,0.06992847334541795,0.10239148885011673,0.6527777777777778
A,EfficientNet-B3 (Direct),ITB-LQ,300,0.7513888888888889,0.6,0.4444444444444444,0.34543358251452444,0.2991296648979187,0.25
D,Std VIB,ITB-Diverse,1500,0.5613548191553849,0.484,0.476319350473613,0.4702295864721139,0.14206132292747498,0.05918367346938776
D,Std VIB,ITB-Edge,660,0.598255280073462,0.8242424242424242,0.30120481927710846,0.11376547909369976,0.212505042552948,0.26515151515151514
D,Std VIB,ITB-HQ,360,0.5874324845679011,0.8111111111111111,0.22727272727272727,0.1275812675555547,0.20643649995326996,0.2638888888888889
D,Std VIB,ITB-LQ,300,0.5528472222222222,0.7833333333333333,0.21686746987951808,0.14600895578662554,0.22096766531467438,0.13333333333333333
E,Adaptive Prior,ITB-Diverse,1500,0.5830167710648616,0.5006666666666667,0.487337440109514,0.4609530914773544,0.12706363201141357,0.09183673469387756
E,Adaptive Prior,ITB-Edge,660,0.625932621671258,0.8272727272727273,0.32142857142857145,0.12097958651455964,0.17722170054912567,0.30303030303030304
E,Adaptive Prior,ITB-HQ,360,0.6154513888888888,0.8194444444444444,0.2857142857142857,0.13835327399687633,0.16396263241767883,0.25
E,Adaptive Prior,ITB-LQ,300,0.5877083333333333,0.7933333333333333,0.18421052631578946,0.14903010497490565,0.20904642343521118,0.13333333333333333
F,Q-VIB Full,ITB-Diverse,1500,0.5844089715093959,0.494,0.48261758691206547,0.466251215433081,0.1254541575908661,0.09795918367346938
F,Q-VIB Full,ITB-Edge,660,0.6273243801652892,0.8303030303030303,0.3411764705882353,0.11898465214127844,0.17389726638793945,0.30303030303030304
F,Q-VIB Full,ITB-HQ,360,0.6055652006172839,0.8138888888888889,0.24719101123595505,0.13987081721425057,0.1621178537607193,0.25
F,Q-VIB Full,ITB-LQ,300,0.5846527777777778,0.7933333333333333,0.18421052631578946,0.14894439712166785,0.20903617143630981,0.11666666666666667
G,Q-VIB+TokFT,ITB-Diverse,1500,0.600456657910689,0.4026666666666667,0.5038759689922481,0.5813233776092529,0.060243215411901474,0.09387755102040816
G,Q-VIB+TokFT,ITB-Edge,660,0.8225292699724518,0.7545454545454545,0.5597826086956522,0.21770070032639938,0.11449084430932999,0.3939393939393939
G,Q-VIB+TokFT,ITB-HQ,360,0.8117766203703703,0.7027777777777777,0.5158371040723982,0.2768781803600076,0.1131608635187149,0.2916666666666667
G,Q-VIB+TokFT,ITB-LQ,300,0.6926388888888889,0.6433333333333333,0.4623115577889447,0.33305679477130373,0.1339682936668396,0.08333333333333333
TS,Std VIB + TS,ITB-Diverse,1500,0.5263649222065064,0.48933333333333334,0.47534246575342465,0.4726481283853451,0.15651114284992218,0.04081632653061224
TS,Std VIB + TS,ITB-Edge,660,0.6756198347107438,0.8212121212121212,0.2804878048780488,0.1455346965372111,0.1413184404373169,0.2878787878787879
TS,Std VIB + TS,ITB-HQ,360,0.7319637345679012,0.8055555555555556,0.18604651162790697,0.16235589178072082,0.14309078454971313,0.3472222222222222
TS,Std VIB + TS,ITB-LQ,300,0.5819444444444445,0.7866666666666666,0.21951219512195122,0.17518765802184744,0.1469576209783554,0.15
H,Focal+LS,ITB-Diverse,1500,0.6093978581531623,0.32666666666666666,0.49246231155778897,0.4050675711631775,0.5704219341278076,0.09591836734693877
H,Focal+LS,ITB-Edge,660,0.88052398989899,0.2,0.3333333333333333,0.4878683132655693,0.596598744392395,0.3939393939393939
H,Focal+LS,ITB-HQ,360,0.8840663580246914,0.2,0.3333333333333333,0.4922013966573609,0.5925807356834412,0.4722222222222222
H,Focal+LS,ITB-LQ,300,0.708125,0.2,0.3333333333333333,0.5351292868455251,0.5624851584434509,0.16666666666666666
I,MC Dropout,ITB-Diverse,1500,0.5534683774499899,0.32866666666666666,0.49320583794665324,0.6631685367027917,0.0388634130358696,0.0653061224489796
I,MC Dropout,ITB-Edge,660,0.8402203856749311,0.5712121212121212,0.47882136279926335,0.43722321510766493,0.15313614904880524,0.23484848484848486
I,MC Dropout,ITB-HQ,360,0.8080150462962963,0.5166666666666667,0.445859872611465,0.47776737606359854,0.14851821959018707,0.1527777777777778
I,MC Dropout,ITB-LQ,300,0.6927430555555556,0.37,0.37623762376237624,0.6128704982002575,0.13006645441055298,0.11666666666666667
J,Deep Ensemble,ITB-Diverse,1500,0.5758415841584159,0.3353333333333333,0.4951898734177215,0.5920298194090525,0.19466187059879303,0.044897959183673466
J,Deep Ensemble,ITB-Edge,660,0.8824107552800735,0.6409090909090909,0.5153374233128835,0.2981290343132886,0.4401548504829407,0.4090909090909091
J,Deep Ensemble,ITB-HQ,360,0.8675733024691359,0.5694444444444444,0.4745762711864407,0.33930834341380334,0.46467268466949463,0.3055555555555556
J,Deep Ensemble,ITB-LQ,300,0.7113194444444444,0.4266666666666667,0.3900709219858156,0.4403523200750351,0.47730663418769836,0.15
