baseline,baseline_name,subset,n,auc,acc,f1,ece,mean_entropy,sensitivity_at_95spec
A,EfficientNet-B3 (Direct),ITB-Diverse,7350,0.6070333541579896,0.792108843537415,0.18809776833156217,0.14626981886673945,0.18667978048324585,0.14081632653061224
A,EfficientNet-B3 (Direct),ITB-Edge,660,0.8771952479338843,0.7818181818181819,0.5977653631284916,0.1674342195644523,0.1879616379737854,0.4166666666666667
A,EfficientNet-B3 (Direct),ITB-HQ,125,0.924,0.848,0.6122448979591837,0.07959144650399684,0.11435706913471222,0.6
A,EfficientNet-B3 (Direct),ITB-LQ,225,0.6725925925925926,0.5022222222222222,0.3707865168539326,0.41641692327128516,0.3023345172405243,0.24444444444444444
D,Std VIB,ITB-Diverse,7350,0.5765534036743949,0.45006802721088435,0.3436180578109776,0.510692166544649,0.14673447608947754,0.07755102040816327
D,Std VIB,ITB-Edge,660,0.6013688016528925,0.8227272727272728,0.2909090909090909,0.1151648523003766,0.2140645533800125,0.2196969696969697
D,Std VIB,ITB-HQ,125,0.6128,0.824,0.26666666666666666,0.13440451973676681,0.20307934284210205,0.2
D,Std VIB,ITB-LQ,225,0.5251851851851852,0.7866666666666666,0.2,0.14935788677798378,0.21399955451488495,0.13333333333333333
E,Adaptive Prior,ITB-Diverse,7350,0.6005298718126706,0.47061224489795916,0.3546193398573561,0.4982104721199087,0.1303195357322693,0.11836734693877551
E,Adaptive Prior,ITB-Edge,660,0.641686753902663,0.8272727272727273,0.32142857142857145,0.12012306464779558,0.17255234718322754,0.2878787878787879
E,Adaptive Prior,ITB-HQ,125,0.6956,0.84,0.375,0.11472042596340179,0.17394940555095673,0.28
E,Adaptive Prior,ITB-LQ,225,0.5617283950617284,0.7866666666666666,0.14285714285714285,0.14467954569392733,0.22508925199508667,0.13333333333333333
F,Q-VIB Full,ITB-Diverse,7350,0.5951288236382989,0.4661224489795918,0.35097585180284485,0.501863703053622,0.12820006906986237,0.10272108843537416
F,Q-VIB Full,ITB-Edge,660,0.6423898071625345,0.8287878787878787,0.33136094674556216,0.12194980987996766,0.17196694016456604,0.25757575757575757
F,Q-VIB Full,ITB-HQ,125,0.7068000000000001,0.824,0.3125,0.12178027546405791,0.1697676181793213,0.24
F,Q-VIB Full,ITB-LQ,225,0.5664197530864197,0.7866666666666666,0.14285714285714285,0.1517731853822867,0.21742916107177734,0.1111111111111111
G,Q-VIB+TokFT,ITB-Diverse,7350,0.6140169605257069,0.3161904761904762,0.351985559566787,0.6688622149406952,0.064751036465168,0.09727891156462586
G,Q-VIB+TokFT,ITB-Edge,660,0.8290576216712581,0.753030303030303,0.5582655826558266,0.21853033419359819,0.11313922703266144,0.4166666666666667
G,Q-VIB+TokFT,ITB-HQ,125,0.8128,0.696,0.525,0.2625386456400156,0.10566437989473343,0.08
G,Q-VIB+TokFT,ITB-LQ,225,0.6361728395061729,0.5555555555555556,0.40476190476190477,0.4192150385677815,0.13912300765514374,0.0
