baseline,baseline_name,subset,n,auc,acc,f1,ece,mean_entropy,sensitivity_at_95spec
D,Std VIB,ITB-Diverse,1500,0.5991169933319862,0.332,0.4939393939393939,0.6506182501514753,0.0713100656867027,0.1224489795918367
D,Std VIB,ITB-Edge,660,0.8857538452708907,0.6257575757575757,0.5089463220675944,0.3941043454250603,0.2909666001796722,0.4015151515151515
D,Std VIB,ITB-HQ,360,0.8738425925925926,0.5611111111111111,0.4733333333333333,0.446572693851259,0.2735590934753418,0.3333333333333333
D,Std VIB,ITB-LQ,300,0.7302083333333333,0.4,0.3877551020408163,0.5711179906129837,0.2383926063776016,0.15
E,Adaptive Prior,ITB-Diverse,1500,0.6035199030107092,0.3333333333333333,0.4944388270980788,0.6492833645145097,0.0721431225538253,0.1244897959183673
E,Adaptive Prior,ITB-Edge,660,0.8850436179981636,0.6166666666666667,0.5029469548133595,0.4046220019685499,0.2952315807342529,0.3939393939393939
E,Adaptive Prior,ITB-HQ,360,0.8723958333333334,0.5444444444444444,0.4640522875816993,0.4543173768868049,0.276384562253952,0.375
E,Adaptive Prior,ITB-LQ,300,0.7323611111111111,0.3866666666666666,0.3866666666666666,0.5850088934103648,0.2363809645175933,0.1333333333333333
G,Q-VIB+TokFT,ITB-Diverse,1500,0.6035613255203072,0.3333333333333333,0.4944388270980788,0.6493749243617059,0.0719990134239196,0.1224489795918367
G,Q-VIB+TokFT,ITB-Edge,660,0.88501492194674,0.6136363636363636,0.5009784735812133,0.4052940233525904,0.2951740622520447,0.3939393939393939
G,Q-VIB+TokFT,ITB-HQ,360,0.8724199459876543,0.5444444444444444,0.4640522875816993,0.4548731007095841,0.2762337923049927,0.375
G,Q-VIB+TokFT,ITB-LQ,300,0.7322916666666667,0.3866666666666666,0.3866666666666666,0.5855501639842986,0.2360773682594299,0.1333333333333333
F,Q-VIB Full,ITB-Diverse,1500,0.6035613255203072,0.3333333333333333,0.49443882709807885,0.6493749243617059,0.07199901342391968,0.12244897959183673
F,Q-VIB Full,ITB-Edge,660,0.88501492194674,0.6136363636363636,0.5009784735812133,0.40529402335259046,0.2951740622520447,0.3939393939393939
F,Q-VIB Full,ITB-HQ,360,0.8724199459876543,0.5444444444444444,0.46405228758169936,0.4548731007095841,0.2762337923049927,0.375
F,Q-VIB Full,ITB-LQ,300,0.7322916666666667,0.38666666666666666,0.38666666666666666,0.5855501639842986,0.23607736825942993,0.13333333333333333
