subset,isic_id,image_path,target,level,source,qbar
ITB-LQ,ISIC_7069003,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7069003.jpg,0,heavy,isic2020,0.35764000000000007
ITB-LQ,ISIC_2953962,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2953962.jpg,0,heavy,isic2020,0.37164
ITB-LQ,ISIC_9425363,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9425363.jpg,0,heavy,isic2020,0.34642
ITB-LQ,ISIC_1819358,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1819358.jpg,0,heavy,isic2020,0.35692
ITB-LQ,ISIC_4192307,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4192307.jpg,0,heavy,isic2020,0.26098
ITB-LQ,ISIC_0808057,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0808057.jpg,0,heavy,isic2020,0.38198
ITB-LQ,ISIC_7397129,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7397129.jpg,0,heavy,isic2020,0.1567
ITB-LQ,ISIC_2141054,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2141054.jpg,0,heavy,isic2020,0.35936
ITB-LQ,ISIC_6019374,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6019374.jpg,0,heavy,isic2020,0.17146
ITB-LQ,ISIC_2033237,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2033237.jpg,1,heavy,isic2020,0.25964
ITB-LQ,ISIC_8473985,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8473985.jpg,0,heavy,isic2020,0.38094
ITB-LQ,ISIC_8357679,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8357679.jpg,0,heavy,isic2020,0.39827999999999997
ITB-LQ,ISIC_5314534,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5314534.jpg,0,heavy,isic2020,0.29647999999999997
ITB-LQ,ISIC_9801917,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9801917.jpg,0,heavy,isic2020,0.29307999999999995
ITB-LQ,ISIC_3407960,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3407960.jpg,0,heavy,isic2020,0.21947999999999998
ITB-LQ,ISIC_7354733,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7354733.jpg,0,heavy,isic2020,0.16414
ITB-LQ,ISIC_0302103,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0302103.jpg,0,heavy,isic2020,0.2946
ITB-LQ,ISIC_6010415,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6010415.jpg,0,heavy,isic2020,0.39718
ITB-LQ,ISIC_3782359,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3782359.jpg,0,heavy,isic2020,0.25460000000000005
ITB-LQ,ISIC_7533216,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7533216.jpg,0,heavy,isic2020,0.38036
ITB-LQ,ISIC_6725828,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6725828.jpg,0,heavy,isic2020,0.39676
ITB-LQ,ISIC_3769485,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3769485.jpg,0,heavy,isic2020,0.29246
ITB-LQ,ISIC_9690239,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9690239.jpg,0,heavy,isic2020,0.399
ITB-LQ,ISIC_1098112,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1098112.jpg,0,heavy,isic2020,0.25134
ITB-LQ,ISIC_0295178,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0295178.jpg,0,heavy,isic2020,0.35802
ITB-LQ,ISIC_9363564,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9363564.jpg,0,heavy,isic2020,0.37438000000000005
ITB-LQ,ISIC_4794860,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4794860.jpg,0,heavy,isic2020,0.38376
ITB-LQ,ISIC_9863065,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9863065.jpg,0,heavy,isic2020,0.35575999999999997
ITB-LQ,ISIC_1996356,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1996356.jpg,0,heavy,isic2020,0.27038
ITB-LQ,ISIC_2489471,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2489471.jpg,0,heavy,isic2020,0.11374
ITB-LQ,ISIC_3096949,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3096949.jpg,0,heavy,isic2020,0.22118000000000002
ITB-LQ,ISIC_0597012,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0597012.jpg,0,heavy,isic2020,0.39404
ITB-LQ,ISIC_7734359,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7734359.jpg,0,heavy,isic2020,0.32322
ITB-LQ,ISIC_4359340,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4359340.jpg,0,heavy,isic2020,0.3194
ITB-LQ,ISIC_2554114,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2554114.jpg,0,heavy,isic2020,0.23866
ITB-LQ,ISIC_2907732,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2907732.jpg,0,heavy,isic2020,0.39664
ITB-LQ,ISIC_3630605,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3630605.jpg,0,heavy,isic2020,0.37668
ITB-LQ,ISIC_1821113,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1821113.jpg,0,heavy,isic2020,0.35426
ITB-LQ,ISIC_4813681,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4813681.jpg,0,heavy,isic2020,0.35056
ITB-LQ,ISIC_5810306,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5810306.jpg,0,heavy,isic2020,0.38130000000000003
