tau,coverage,risk,n_kept,melanoma_miss_rate,method,key
0.0,1.0,0.46,50,0.2,Direct (EfficientNet-B3),direct
0.0010718703269958496,0.02,1.0,1,1.0,Chow's rule (max-softmax),chow
0.001188286542892456,0.02,1.0,1,1.0,Chow's rule (max-softmax),chow
0.0013047027587890624,0.02,1.0,1,1.0,Chow's rule (max-softmax),chow
0.0015128934383392334,0.04,1.0,2,1.0,Chow's rule (max-softmax),chow
0.001724989414215088,0.04,1.0,2,1.0,Chow's rule (max-softmax),chow
0.0018862307071685791,0.06,1.0,3,1.0,Chow's rule (max-softmax),chow
0.0020429515838623047,0.06,1.0,3,1.0,Chow's rule (max-softmax),chow
0.002292308281175792,0.08,0.75,4,0.9,Chow's rule (max-softmax),chow
0.0025545909069478513,0.08,0.75,4,0.9,Chow's rule (max-softmax),chow
0.0027532571810297214,0.1,0.6,5,0.9,Chow's rule (max-softmax),chow
0.002939510508440335,0.1,0.6,5,0.9,Chow's rule (max-softmax),chow
0.004984901363495711,0.12,0.5,6,0.9,Chow's rule (max-softmax),chow
0.0075069941487164145,0.12,0.5,6,0.9,Chow's rule (max-softmax),chow
0.008905593752861051,0.14,0.5714285714285714,7,0.9,Chow's rule (max-softmax),chow
0.00993981719017021,0.14,0.5714285714285714,7,0.9,Chow's rule (max-softmax),chow
0.010455024242401011,0.16,0.625,8,0.9,Chow's rule (max-softmax),chow
0.010762624740600475,0.16,0.625,8,0.9,Chow's rule (max-softmax),chow
0.011354607343673669,0.18,0.5555555555555556,9,0.8,Chow's rule (max-softmax),chow
0.012084472179412914,0.18,0.5555555555555556,9,0.8,Chow's rule (max-softmax),chow
0.01254920423030861,0.2,0.6,10,0.8,Chow's rule (max-softmax),chow
0.012859988212585471,0.2,0.6,10,0.8,Chow's rule (max-softmax),chow
0.014253977369517085,0.22,0.5454545454545454,11,0.7,Chow's rule (max-softmax),chow
0.01639500457793474,0.22,0.5454545454545454,11,0.7,Chow's rule (max-softmax),chow
0.01743101766332981,0.24,0.5,12,0.7,Chow's rule (max-softmax),chow
0.017566648870706473,0.24,0.5,12,0.7,Chow's rule (max-softmax),chow
0.017872627358883536,0.26,0.5384615384615384,13,0.7,Chow's rule (max-softmax),chow
0.01834213923662898,0.26,0.5384615384615384,13,0.7,Chow's rule (max-softmax),chow
0.01969970185309646,0.28,0.5,14,0.7,Chow's rule (max-softmax),chow
0.022061147913336677,0.28,0.5,14,0.7,Chow's rule (max-softmax),chow
0.023594821747392327,0.3,0.4666666666666667,15,0.7,Chow's rule (max-softmax),chow
0.02402479927986857,0.3,0.4666666666666667,15,0.7,Chow's rule (max-softmax),chow
0.024396589919924737,0.32,0.4375,16,0.7,Chow's rule (max-softmax),chow
0.024676506519317628,0.32,0.4375,16,0.7,Chow's rule (max-softmax),chow
0.02515060663223269,0.34,0.4117647058823529,17,0.6,Chow's rule (max-softmax),chow
0.025990228652954174,0.34,0.4117647058823529,17,0.6,Chow's rule (max-softmax),chow
0.027184518054127783,0.36,0.3888888888888889,18,0.5,Chow's rule (max-softmax),chow
0.029182720184326213,0.36,0.3888888888888889,18,0.5,Chow's rule (max-softmax),chow
0.031694098785519605,0.38,0.3684210526315789,19,0.5,Chow's rule (max-softmax),chow
0.03562658146023758,0.38,0.3684210526315789,19,0.5,Chow's rule (max-softmax),chow
