bb_idx,MT_MHCflurry_presentation,WT_MHCflurry_presentation,MT_MHCflurry_affinity_neg,WT_MHCflurry_affinity_neg
0,0.0035495651397532,,-29035.533844632213,
1,0.0032286426147871,,-32021.575532533025,
2,0.0037325231065345,,-27566.183158283453,
3,0.0060577095431156,,-16704.1248229795,
4,0.0033078798615641,,-32462.39836687467,
5,0.0033372925524729,,-32166.91974078927,
6,0.003668086701115,,-29174.622928065102,
7,0.013490828275291,,-7556.070402292804,
8,0.0204000043485204,,-5248.38164022767,
9,0.0036848424578258,,-31097.100748401048,
10,0.0059505505431356,,-18941.98286963692,
11,0.019155934094821,,-5606.937281802596,
12,0.0033435254522151,,-31138.17087384366,
13,0.0031548671245941,,-33063.221481597386,
14,0.0037024654387488,,-28024.610891409277,
15,0.0043100533136505,,-23951.295934796464,
16,0.0038082300515906,,-26866.474197440388,
17,0.0031308786693356,,-32891.2197289979,
18,0.0040489542794728,,-25217.258392841,
19,0.0043452976043508,,-23441.395230035032,
20,0.0047500122370257,,-21521.04871547206,
21,0.0032259960889395,,-32102.136884847903,
22,0.0047758251937624,,-21400.736825995933,
23,0.0049674043405306,,-20547.44433501535,
24,0.0053194775603019,,-24647.13320694911,
25,0.0042740501568472,,-30907.794306052805,
26,0.0056060196932124,,-23344.25250122707,
27,0.4034367869800394,,-168.98313587866565,
28,0.0170216742509556,,-9309.364017828872,
29,0.0072701285949867,,-22578.222566023334,
30,0.012144665205332,,-13245.656844990635,
31,0.0565916932137638,,-2590.6684935462395,
32,0.0043983110377056,,-32302.74116426526,
33,0.0049245886255529,,-28738.98263036619,
34,0.0051954369542673,,-27190.16313965737,
35,0.0087822603868414,,-15779.345916546066,
36,0.0379771508354017,,-15841.610941649356,
37,0.0285550682674708,,-21460.92125901513,
38,0.0624724511809187,,-9241.157994554997,
39,0.0810899879783967,,-6920.523985637738,
40,0.0038486154200239,,-29974.115944965062,
41,0.0035517170180403,,-32566.72134325919,
42,0.0045936227013962,,-24962.87587114633,
43,0.0044074162756376,,-26054.305321562148,
44,0.0053890099869991,,-21259.040779744737,
45,0.0038640301173916,,-29988.70755806606,
46,0.0081172766589274,,-13904.891366293474,
47,0.1095408200824985,,-853.9721041198093,
48,0.2460839943277039,,-2277.6974295301525,
49,0.0260099393148217,,-29973.27302278422,
50,0.6351056657770349,,-406.5739788172053,
51,0.779290953995518,,-196.28138202037232,
52,0.0037099450943429,,-31753.4678062266,
53,0.0036242371118341,,-32529.68574076261,
54,0.0047544445421863,,-24570.42545789395,
55,0.0050933108055255,,-22881.169377503003,
56,0.0043570802117854,,-25747.207944774396,
57,0.0033845023666043,,-33427.40440914428,
58,0.0047008950166661,,-23802.2462083837,
59,0.0055405787323859,,-20079.877420986093,
60,0.9667742888872554,,-33.77614888794465,
61,0.0359330543344769,,-32090.56653433346,
62,0.1451351688034468,,-6737.041788385344,
63,0.3253243536521006,,-2300.1332829240064,
64,0.0074163251123668,,-25531.28169709018,
65,0.0060886297802093,,-31323.18986573192,
66,0.0075207746967717,,-25163.59119432824,
67,0.0133637613305135,,-13838.959740867833,
68,0.0116126361685455,,-25925.97047152833,
69,0.0103914817132895,,-29104.724132671305,
70,0.0201356229485321,,-14580.725344338498,
71,0.0223599474292379,,-13059.16153741092,
72,0.0035282349023935,,-31278.552727115886,
73,0.0033173417890636,,-33334.807108976325,
74,0.0040459229995951,,-27151.92434077227,
75,0.0040121185723757,,-27388.4280500382,
76,0.005613527258751,,-30473.67136842681,
77,0.005250291020416,,-32658.58267670328,
78,0.0064409465804941,,-26428.81412411692,
79,0.0122559225628361,,-13546.187790141394,
80,0.0040006887622276,,-27849.54274390945,
81,0.0034258422746002,,-32691.151388913608,
82,0.0060036497347141,,-18299.476289127622,
83,0.0045137990907496,,-24582.986178278214,
84,0.0037574819943215,,-30775.118828999097,
85,0.0109674680019722,,-10139.650176915336,
86,0.00439738677435,,-26157.756713639006,
87,0.005214454820511,,-21929.88616446498,
88,0.0035913524730789,,-28561.263796008945,
89,0.0035816540390641,,-28641.17324004128,
90,0.0038465086443609,,-26605.726734682965,
91,0.0099779183401113,,-9909.065569769937,
92,0.0092924262500546,,-14549.059923133218,
93,0.0048063741554833,,-28814.44332432608,
94,0.0186351640454118,,-7038.530624855742,
95,0.0246155075022277,,-5251.806071597172,
96,0.0050342741283709,,-22528.039400465597,
97,0.0045605856887925,,-24952.732679793044,
98,0.009629799161056,,-11499.15616863241,
99,0.0238233277917747,,-4458.87389672501,
100,0.005113761018677,,-19604.88226916023,
101,0.0039482629200875,,-25617.396537841923,
102,0.0086797403419545,,-11329.64560760226,
103,0.0106519511924886,,-9157.586693971074,
104,0.003907091007017,,-25772.388371824072,
105,0.0033358703833345,,-30344.48571566021,
106,0.006095775864307,,-16266.6703337129,
107,0.0071401932655526,,-13807.724195608316,
108,0.0033692946659818,,-30076.670200043,
109,0.003303058645767,,-30699.865613726568,
110,0.0050108306116455,,-19954.39268018505,
111,0.0066086666589395,,-14982.034965232964,
112,0.0117261143108923,,-8454.83017925887,
113,0.003411172639051,,-30402.983327788297,
114,0.0040858773763969,,-25230.1699181749,
115,0.0481521782928857,,-1900.029317191421,
116,0.0033597488474565,,-30535.914294533584,
117,0.0031720119123614,,-32404.371989043044,
118,0.005651072326241,,-17836.016678602482,
119,0.004598234386649,,-22077.579268670102,
120,0.0036636738057941,,-27587.46469724178,
121,0.0031683550505972,,-32053.641935015345,
122,0.0056138442993826,,-17742.96346839538,
123,0.0061910896983041,,-16032.683287470389,
124,0.0036891694242733,,-27350.77713293757,
125,0.0032634397722592,,-31044.466017636543,
126,0.0050225378645307,,-19880.375147499293,
127,0.0067934938587394,,-14540.846527637334,
128,0.0035981072256392,,-28105.00249063045,
129,0.0032483834704802,,-31236.11154192089,
130,0.005369573079444,,-18577.822163598124,
131,0.0053371980833442,,-18694.473911027657,
132,0.0044238225193726,,-22798.80964212108,
133,0.0032100881842258,,-31757.423397304803,
134,0.0073189184228753,,-13536.69349397239,
135,0.0055674828646543,,-17971.817979143707,
136,0.0234405092084883,,-29394.454412186216,
137,0.0256987759842172,,-26675.14836961773,
138,0.5610097206434072,,-491.0304978963985,
139,0.653643397973152,,-328.71048429421984,
140,0.0031485848517443,,-32587.439027061057,
141,0.003196083055686,,-32087.397822233583,
142,0.0035512544593597,,-28778.077774161244,
143,0.0059363939521793,,-16914.867177513224,
144,0.0036379181348021,,-29749.669967372607,
145,0.0034804123200947,,-31141.67324741337,
146,0.0045881336171757,,-23404.54284325978,
147,0.0046265772929648,,-23203.433784311244,
148,0.2249782355493694,,-3653.858815354137,
149,0.035788890083422,,-30363.068421591863,
150,0.0357098146524006,,-30434.8585950179,
151,0.0039784201787506,,-27512.11942776158,
152,0.0040104592355599,,-27284.969693679755,
153,0.0034717205083169,,-31671.033283588877,
154,0.0036301470864816,,-28416.350325846368,
155,0.0032782305213182,,-31573.079767535364,
156,0.0032188793474255,,-32174.541741559577,
157,0.5907661127862889,,-243.9937304592445,
158,0.0222704046616674,,-17476.531203360086,
159,0.0153732957993223,,-25781.385039867848,
160,0.0863641955817016,,-16764.183493311397,
161,0.2738731791825744,,-4033.50172218906,
162,0.3293173001040846,,-3074.2788630804084,
163,0.0151288350163392,,-16881.8301426463,
164,0.0163179110577509,,-15597.365637177869,
165,0.6643131327671151,,-113.54799261857428,
166,0.0068964243538329,,-29733.191865163342,
167,0.0071206151235888,,-28763.2073125458,
168,0.0088408186734076,,-22978.17715561236,
169,0.0077066470629528,,-25741.164369607384,
170,0.0182004671799473,,-10511.16680647851,
171,0.0071282954567916,,-27910.502490668805,
172,0.0062123028465602,,-18180.20963777844,
173,0.099960000049633,,-940.0275661917636,
174,0.007404713548567,,-15155.056435754446,
175,0.0041845282249225,,-25563.44045283785,
176,0.0059942773009155,,-17624.318719480874,
177,0.0058605022277623,,-18041.12339395236,
178,0.0041848902065308,,-24773.402731904644,
179,0.0047189178196507,,-21880.097418615325,
180,0.0036413014859315,,-28604.818024804863,
181,0.0477645973312139,,-1982.6342947746991,
182,0.0143894903601378,,-7064.354136958799,
183,0.0044587122430567,,-23844.99152853343,
184,0.005280812865505,,-23625.059841045026,
185,0.0048983940613541,,-25536.104340272388,
186,0.0039861316517442,,-31601.375057149395,
187,0.2175670604374605,,-4671.28406143321,
188,0.0448230616831966,,-29171.1534172336,
189,0.0430927663602801,,-30434.358828415905,
190,0.0612248739617238,,-1783.646697953427,
191,0.0039931141333474,,-31502.821520771857,
192,0.0039582873955617,,-31789.352641570134,
193,0.0786957630953414,,-19233.13425135681,
194,0.2611433784083943,,-4457.485572964269,
195,0.1429163801911288,,-9659.884029946734,
196,0.0036825552434312,,-27581.83784962659,
197,0.003080016782404,,-33172.49481534851,
198,0.0030746359530145,,-33232.44732908381,
199,0.0051205475926846,,-26823.225992382853,
200,0.0123573917659391,,-10748.618665310742,
201,0.0045847074925388,,-30072.689045023857,
202,0.0079052795661697,,-16112.84877576198,
203,0.0062133027089703,,-20683.002418731245,
204,0.0054220681761446,,-23816.15263747081,
205,0.0102661370369101,,-20372.19089087449,
206,0.0070263638797691,,-30201.733670175032,
207,0.0078924727576968,,-26771.361655385965,
208,0.0075220096708126,,-21738.042418897297,
209,0.0069918070640905,,-23449.838967138094,
210,0.1705571366016342,,-726.9000110170776,
211,0.0068475148212291,,-21207.72865364029,
212,0.0045750210070241,,-32197.42026895893,
213,0.0045972912180861,,-32036.123208847912,
214,0.0035556548423202,,-29145.708531395,
215,0.0034477202192585,,-30088.84010058449,
216,0.0032074788750396,,-32419.51603529824,
217,0.0096128277305424,,-10546.865278653757,
218,0.0054536238989238,,-18985.537959675185,
219,0.0070474243529651,,-14557.16635711387,
220,0.0050968197687216,,-22731.79099317228,
221,0.0041724435780093,,-27958.943291970623,
222,0.0039050768978301,,-29939.86688147569,
223,0.4303002180807355,,-286.9159849583515,
224,0.0110717456211078,,-21916.503487728187,
225,0.010227889723977,,-23801.15761034014,
226,0.0532117234065564,0.0129556226587329,-29128.321004987647,-31662.835328791603
227,0.0038388343366007,0.0035965404952052,-28154.620958492666,-29994.46405373409
228,0.0047641699948325,0.0036762959874429,-23655.22391712524,-27848.93400451245
229,0.0351977708826655,0.0169174919069418,-18730.401988663027,-23331.15011940843
230,0.0034294697039602,0.0034605270878303,-31719.37134129057,-31127.112315631523
231,0.0068780279060972,0.005064251183397,-18423.182053089877,-28012.86919234997
232,0.0975542189519952,0.0096937046221114,-1470.4983293440769,-11764.128158405394
233,0.0390787917758298,0.0602650576848082,-7089.982096605691,-13374.43328940536
234,0.0147383449598123,0.0147383449598123,-12233.294550587256,-12233.294550587256
235,0.0372867466925562,0.0372867466925562,-3800.577147635861,-3800.577147635861
236,0.109526959960101,0.109526959960101,-788.1826506266889,-788.1826506266889
237,0.1226756173471634,0.1226756173471634,-666.4731233482602,-666.4731233482602
238,0.0076282514724899,0.0076282514724899,-13030.605790471824,-13030.605790471824
239,0.0044784808066486,0.0044784808066486,-22606.51171671492,-22606.51171671492
240,0.0075387332110478,0.0075387332110478,-13114.966613179153,-13114.966613179153
241,0.0049483269618872,0.0049483269618872,-27402.821582330584,-27402.821582330584
242,0.0807551964405247,0.0807551964405247,-1069.1602658156671,-1069.1602658156671
243,0.0190235857647921,,-22406.846795410573,
244,0.0292995482805311,,-14209.287293542242,
245,0.0248330377446912,,-16926.77928040758,
246,0.8785110279362077,,-50.46198058354314,
247,0.3391825587956322,,-768.6069516037295,
248,0.1231049867036277,,-2919.6631997746244,
249,0.0101793420858984,,-22884.29478510691,
250,0.009222572367032,,-25357.20472902336,
251,0.009429050910789,,-24780.421743394745,
252,0.0231090062560023,,-9707.252730506432,
253,0.0252782063460303,,-8830.561330707937,
254,0.0160170403354544,,-14263.44690200503,
255,0.013976699862802,,-29079.286907714926,
256,0.029051782663426,,-13475.834648312975,
257,0.196358422797703,,-1551.1314618603387,
258,0.2019420191688796,,-1496.2186787923815,
259,0.6524781990213308,,-190.0789946419132,
260,0.6628982007573013,,-181.23391528943728,
261,0.0141340638466795,,-17398.74362930038,
262,0.0317070155782267,,-7434.296479244334,
263,0.7797250096055381,,-59.90062458026725,
264,0.1693466367302044,,-1131.38193416938,
265,0.7629853108120104,,-66.05151854861246,
266,0.6439233892905349,,-119.5966856020131,
267,0.0032458418595773,,-31306.99909766695,
268,0.0033774851216719,,-30047.413581185563,
269,0.0041813149665286,,-24098.635560509527,
270,0.0038076743207055,,-26546.80086771045,
271,0.0042559418575392,,-23661.897313832305,
272,0.0036280228816014,,-27906.25858824353,
273,0.006054920918151,,-31609.78484173804,
274,0.0074085268285202,,-25645.11778235713,
275,0.0646458085000151,,-2593.5526768707155,
276,0.0083143138010144,,-22752.262363063644,
277,0.0093473083157313,,-20146.44924920376,
278,0.007500624052348,,-25318.58517161308,
279,0.0031122262054213,,-33296.68832100023,
280,0.0034113721242204,,-30285.40869086665,
281,0.0195869449202287,,-4925.997257643759,
282,0.005856167167332,,-17319.27423062925,
283,0.0070665394698385,,-14255.595621841858,
284,0.012282580921215,,-8025.409505187652,
285,0.0038292716039248,,-27199.04418673288,
286,0.0056421441454502,,-18215.7466509342,
287,0.0060979779300962,,-16807.58060671473,
288,0.0089675272546398,,-11266.426009200955,
289,0.0044282796582932,,-23404.76953438564,
290,0.003613047967015,,-28882.684866291947,
291,0.0040068504682883,0.0040068504682883,-26745.181160586937,-26745.181160586937
292,0.0075464927994051,0.0075464927994051,-30453.645231770148,-30453.645231770148
293,0.0049597369390821,0.0049597369390821,-23220.13879977669,-23220.13879977669
294,0.0146861119711409,0.0146861119711409,-19310.938339169126,-19310.938339169126
295,0.005025231941329,0.005025231941329,-21288.083954675192,-21288.083954675192
296,0.0067959614314324,0.0067959614314324,-15745.468606441633,-15745.468606441633
297,0.0272023778583515,0.0272023778583515,-27698.19385794705,-27698.19385794705
298,0.0039961942929185,0.0033219768161621,-25295.727873092583,-30484.40980090756
299,0.0121857673343873,0.0278192074163967,-8052.549025441566,-3518.5910456369443
300,0.0821029617173672,0.0258638873492273,-5431.438442133677,-5316.892776990781
301,0.0069563101735156,0.0061402543109337,-18647.7786979943,-17369.179613815963
302,0.0100360389566349,0.0085637620471619,-11013.926963497272,-12044.176159969526
303,0.0035011001944274,0.0035011001944274,-29360.842474987723,-29360.842474987723
304,0.0179722238640225,0.0179722238640225,-7266.0644850823055,-7266.0644850823055
305,0.003555267100972,0.003555267100972,-28457.04359782489,-28457.04359782489
306,0.0055008764915177,0.0055008764915177,-19936.794682839623,-19936.794682839623
307,0.0068940488963551,0.0068940488963551,-14358.2785952453,-14358.2785952453
308,0.018803104621472,0.0296000922223673,-22260.982852887584,-21286.811068342184
309,0.0032591793678898,0.0032107926537136,-31110.2273801666,-31604.286221265356
310,0.0046085879229824,0.0041882530347579,-25533.30557517555,-26006.981347029425
311,0.1428956191881421,0.0384358774608151,-1818.8102547766243,-2663.03782394757
312,0.0046097528356431,0.0042148831582005,-21819.288525650474,-23873.9576232826
313,0.0326698477845175,0.029924453768479,-19017.19993072255,-19612.95023816021
314,0.0034362063399365,,-31839.43461868988,
315,0.1141627332543142,,-1116.8405380550869,
316,0.0070369661303751,,-30652.693936149444,
317,0.0093019740904702,,-11542.748471987932,
318,0.0133097942274141,,-8340.953510234884,
319,0.0101475036368115,,-10478.678710652142,
320,0.0047240328514894,,-22283.474393006632,
321,0.0035491098394849,,-28652.65084873594,
322,0.0038148396359411,,-28817.97587888705,
323,0.0034291926477753,,-29874.339183126725,
324,0.004899843700104,,-20488.143266159783,
325,0.0855388356006728,,-1173.883984168843,
326,0.003933301790661,,-26573.04508429725,
327,0.0475292451071711,,-3241.658054708574,
328,0.0042709500861195,0.0042709500861195,-24769.861074629844,-24769.861074629844
329,0.0188866205546362,0.0188866205546362,-20085.75396179753,-20085.75396179753
330,0.016780649945251,0.016780649945251,-11059.546584505017,-11059.546584505017
331,0.0041876550344596,0.0041876550344596,-29267.50561587866,-29267.50561587866
332,0.006509172817051,0.006509172817051,-17478.384357567247,-17478.384357567247
333,0.0034339478307652,0.0034339478307652,-29539.46371536776,-29539.46371536776
334,0.0032174234653819,0.0033059603008258,-31637.891263860176,-30995.280117900005
335,0.0032562575631532,0.0034087161835885,-31189.080796306323,-29726.241066973867
336,0.0051605351659187,0.0053654050657696,-20362.680636701785,-19338.679467801467
337,0.0039095806005934,0.0040993094843192,-25798.04980551683,-24684.57464872611
338,0.0041119853744178,0.0053258275794003,-25433.025719715533,-23626.68834146466
339,0.2248926567617048,0.2248926567617048,-826.1939827354853,-826.1939827354853
340,0.0193998482819887,0.0193998482819887,-5472.649559962259,-5472.649559962259
341,0.0054410907741222,0.0054410907741222,-19447.73708306276,-19447.73708306276
342,0.0113624103647059,0.0113624103647059,-30694.2839000472,-30694.2839000472
343,0.0033278067241831,0.0033278067241831,-32109.884737279142,-32109.884737279142
344,0.0033405034145442,0.0033405034145442,-30464.44788831706,-30464.44788831706
345,0.0034090656815537,0.0036014362100007,-29845.29068656038,-28512.59090790994
346,0.003652806833091,0.0039966082021841,-28280.020449819647,-25936.567092043293
347,0.0072768399963662,0.0051967612025013,-26712.360617059858,-26587.6796733154
348,0.0042372032738641,0.0040096886054331,-26627.533644796797,-26157.800468613936
349,0.0079439166263783,0.0051965574077931,-28500.12913504801,-29140.42172052929
350,0.0049061590165282,0.0048107253884253,-28012.2781097428,-27805.756914299647
351,0.0328133066343875,0.0287014014768204,-18464.7529061404,-17583.68883032609
352,0.1209318474650678,0.0856104817632025,-780.438147530661,-1649.7347244337595
