bb_idx,MT_DeepImmuno,WT_DeepImmuno
0,0.75142515,0.58712655
1,0.68856835,0.6641117
2,0.93815625,0.9243643
3,0.9861485,0.97871494
4,0.68796974,0.4585405
5,0.71565056,0.6645004
6,0.86157787,0.7661485
7,0.9626293,0.94620746
8,0.3952212,0.37402648
9,0.57574534,0.5181977
10,0.73577225,0.71837467
11,0.9246566,0.9392855
12,0.5379192,0.5862937
13,0.728934,0.8549404
14,0.89145553,0.94123304
15,0.97393894,0.9853617
16,0.7257622,0.688852
17,0.7801821,0.7608671
18,0.9274087,0.95980537
19,0.98143244,0.981205
20,0.41521406,0.5336267
21,0.81149846,0.81612784
22,0.9111645,0.90093386
23,0.9704602,0.98032147
24,0.1494103,0.18492827
25,0.70363176,0.65285975
26,0.60803944,0.77322495
27,0.83002436,0.86916494
28,0.75784606,0.8798825
29,0.8831219,0.94460106
30,0.9280493,0.9566963
31,0.9660876,0.98828125
32,0.89041376,0.9104359
33,0.8760751,0.92237383
34,0.844375,0.89753085
35,0.98089373,0.99024266
36,0.60471016,0.595812
37,0.8436686,0.8095364
38,0.94954836,0.90437233
39,0.9892193,0.97729886
40,0.6665232,0.520393
41,0.880692,0.8304616
42,0.9638175,0.8761575
43,0.9903388,0.9839653
44,0.5841316,0.54180276
45,0.8152839,0.84539354
46,0.94417673,0.9494633
47,0.9910437,0.9882215
48,0.71586293,0.8092941
49,0.82725286,0.8487513
50,0.9516071,0.9731043
51,0.98666584,0.9912373
52,0.82983994,0.7848506
53,0.8120705,0.87253886
54,0.95564413,0.9143356
55,0.9930376,0.9924148
56,0.59293026,0.77093554
57,0.76324296,0.82069707
58,0.9242166,0.9765148
59,0.9659333,0.9882846
60,0.42352703,0.44334576
61,0.7108077,0.7707509
62,0.8920491,0.9608662
63,0.9211859,0.95921695
64,0.58042586,0.38527626
65,0.7990443,0.6933779
66,0.8594303,0.78997743
67,0.9776852,0.94195807
68,0.7947335,0.8367862
69,0.925251,0.90877175
70,0.9550771,0.96813387
71,0.993455,0.99179727
72,0.75142515,0.58712655
73,0.68856835,0.6641117
74,0.93815625,0.9243643
75,0.9861485,0.97871494
76,0.68796974,0.4585405
77,0.71565056,0.6645004
