bb_idx,MT_Andy90,WT_Andy90
0,7.285974,3.548822
1,3.06087,3.466667
2,2.227848,2.212766
3,2.854039,2.773333
4,1.445161,2.182988
5,1.317647,2.011765
6,1.230769,1.935856
7,1.244444,1.9
8,1.341935,2.461538
9,1.223529,2.666667
10,2.238388,4.366812
11,1.485714,2.5
12,6.13592,8.500079
13,34.482759,42.152114
14,2.978743,4.429648
15,4.168421,5.366667
16,2.923077,3.978947
17,2.85,3.78
18,3.0,3.857143
19,2.85,3.78
20,10.347826,7.735843
21,10.818182,9.428571
22,96.92527,31.235211
23,25.918867,13.456441
24,6.564103,8.576
25,33.578174,458.511548
26,11.588325,9.913076
27,39.64976,16.304183
28,29.548374,40.740675
29,184.132197,231.353102
30,1076.184763,525.638078
31,80.912863,96.082717
32,7.239146,4.95509
33,6.727273,5.04
34,7.679216,6.428571
35,9.17363,5.361702
36,16.444645,5.853143
37,44.201689,18.32043
38,14.771748,8.131148
39,352.988691,271.929825
40,28.420625,21.456058
41,244.399185,172.878171
42,14.197103,9.741119
43,24.810231,19.034483
44,9.4875,5.934757
45,14.12093,7.913043
46,7.90625,4.840426
47,11.244444,7.378338
48,6.131387,3.2
49,53.674121,29.598858
50,4.615385,2.533333
51,6.0,3.507692
52,1.302322,0.768
53,4.172099,2.599935
54,0.711111,0.521739
55,1.333333,0.853333
56,1.094965,0.307018
57,1.166667,0.230769
58,1.504147,0.579464
59,1.105269,0.1875
60,0.571429,0.748092
61,0.64,0.753846
62,0.486956,0.677657
63,0.592593,0.753846
64,7.285974,3.548822
65,3.06087,3.466667
66,2.227848,2.212766
67,2.854039,2.773333
68,1.445161,2.182988
69,1.317647,2.011765
70,1.230769,1.935856
71,1.244444,1.9
72,1.341935,2.461538
73,1.223529,2.666667
74,2.238388,4.366812
75,1.485714,2.5
76,6.13592,8.500079
77,34.482759,42.152114
78,2.978743,4.429648
79,4.168421,5.366667
80,2.923077,3.978947
81,2.85,3.78
82,3.0,3.857143
83,2.85,3.78
84,10.347826,7.735843
85,10.818182,9.428571
86,96.92527,31.235211
87,25.918867,13.456441
88,6.564103,8.576
89,33.578174,458.511548
90,11.588325,9.913076
91,39.64976,16.304183
92,29.548374,40.740675
93,184.132197,231.353102
94,1076.184763,525.638078
95,80.912863,96.082717
96,0.2,1.664865
97,0.18,1.54
98,0.189474,1.587629
99,0.284212,1.925
100,2.266667,5.439388
101,2.125,5.632653
102,2.450038,5.52
103,2.44798,5.75
104,0.988235,3.392295
105,0.84,2.94
106,1.92,6.651584
107,1.05,3.266667
108,6.794118,4.049558
109,6.16,4.085714
110,12.911881,7.112482
111,6.16,4.085714
112,56.096116,29.538462
113,30.136364,16.695652
114,22.994087,11.94067
115,28.826087,16.0
116,42.028223,22.822792
117,41.25,24.090909
118,58.682663,26.606426
